# Race: Unknown
# Distance: 42.1 km
# D+: 950 m
# D-: 950 m
# Date: 2023-04-15
# URL: https://live.utmb.world/100milesofistria/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3018,Andreas REITERER,IT,33,H,20-34M,,,,1.0,1.0,1.0,02:45:59,9959.63,True,f,
3002,Simon GOSSELIN,FR,30,H,20-34M,,https://utmb.world/runner/850045.simon.gosselin,875.0,2.0,2.0,2.0,02:49:14,10154.83,True,f,
3006,Dário MOITOSO,PT,32,H,20-34M,,https://utmb.world/runner/887761.dario.moitoso,852.0,3.0,3.0,3.0,02:54:06,10446.5,True,f,
3001,Benedikt HOFFMANN,DE,40,H,35-39M,,,,4.0,4.0,1.0,02:54:07,10447.0,True,f,
3010,Ruedi BECKER,CH,40,H,35-39M,,https://utmb.world/runner/342838.ruedi.becker,833.0,5.0,5.0,2.0,02:57:45,10665.13,True,f,
3013,Roger COMELLAS ESPELT,ES,27,H,20-34M,,,,6.0,6.0,4.0,03:01:11,10871.43,True,f,
3633,Josip MEŠTRIĆ,HR,26,H,20-34M,,https://utmb.world/runner/4203609.josip.mestric,698.0,7.0,7.0,5.0,03:05:49,11149.22,True,f,
3019,Marcel HÖCHE,DE,32,H,20-34M,,,,8.0,8.0,6.0,03:06:50,11210.0,True,f,
3003,Luca ARRIGONI,IT,44,H,40-44M,,,,9.0,9.0,1.0,03:09:49,11389.34,True,f,
3007,Gediminas GRINIUS,LT,46,H,40-44M,,https://utmb.world/runner/136586.gediminas.grinius,850.0,10.0,10.0,2.0,03:14:52,11692.78,True,f,
3030,Josip TOLJAN,HR,29,H,20-34M,,https://utmb.world/runner/4030989.josip.toljan,734.0,11.0,11.0,7.0,03:17:44,11864.26,True,f,
3027,Aleš SVETINA,SI,34,H,20-34M,,,,12.0,12.0,8.0,03:17:57,11877.04,True,f,
3005,Eleanor DAVIS,GB,36,F,20-34W,,https://utmb.world/runner/4194384.eleanor.davis,755.0,13.0,1.0,1.0,03:18:31,11911.98,True,f,
3008,Geiser TOBIAS,IT,35,H,20-34M,,https://utmb.world/runner/5092479.geiser.tobias,,14.0,13.0,9.0,03:18:50,11930.99,True,f,
3596,Jošt LAPAJNE,SI,31,H,20-34M,,,,15.0,14.0,10.0,03:19:42,11982.07,True,f,
3035,Jaka OBLAK,SI,28,H,20-34M,,https://utmb.world/runner/4245047.jaka.oblak,703.0,16.0,15.0,11.0,03:21:54,12114.35,True,f,
3004,Audrey TANGUY,FR,37,F,35-39W,,,,17.0,2.0,1.0,03:22:30,12150.73,True,f,
3032,Andreas POSTL,AT,36,H,20-34M,,https://utmb.world/runner/524959.andreas.postl,712.0,18.0,16.0,12.0,03:23:26,12206.6,True,f,
3011,Emily SCHMITZ,US,44,F,40-44W,,https://utmb.world/runner/1929711.emily.schmitz,723.0,19.0,3.0,1.0,03:23:29,12209.73,True,f,
3037,Mirco CONSOLARO,IT,30,H,20-34M,,,,20.0,17.0,13.0,03:27:26,12446.71,True,f,
3067,Alessio BOZANO,IT,42,H,40-44M,,https://utmb.world/runner/810558.alessio.bozano,626.0,21.0,18.0,3.0,03:27:58,12478.72,True,f,
3413,Bozhidar TSOCHEV,BG,37,H,35-39M,,https://utmb.world/runner/5061841.bozhidar.tsochev,,22.0,19.0,3.0,03:29:09,12549.08,True,f,
3017,Kim SCHREIBER,DE,30,F,20-34W,,https://utmb.world/runner/1996315.kim.schreiber,726.0,23.0,4.0,2.0,03:30:56,12656.96,True,f,
3025,Matthias NAGLMAYR,AT,29,H,20-34M,,https://utmb.world/runner/5074333.matthias.naglmayr,,24.0,20.0,14.0,03:32:56,12776.22,True,f,
3588,Alen NOVAK,SI,36,H,20-34M,,,,25.0,21.0,15.0,03:33:08,12788.28,True,f,
3521,Pedro PINEIRO,ES,33,H,20-34M,,https://utmb.world/runner/5067531.pedro.pineiro,,26.0,22.0,16.0,03:34:51,12891.8,True,f,
3029,Katarina PIŠOTEK,SI,31,F,20-34W,,,,27.0,5.0,3.0,03:36:40,13000.0,True,f,
3085,Jozef BUKOVY,SK,39,H,35-39M,,,,28.0,23.0,4.0,03:38:57,13137.11,True,f,
3269,Jean-François WANSART,BE,35,H,20-34M,,https://utmb.world/runner/5067567.jeanfrancois.wansart,,29.0,24.0,17.0,03:40:32,13232.03,True,f,
3405,Fabian HÖRL,AT,33,H,20-34M,,https://utmb.world/runner/5072347.fabian.horl,,30.0,25.0,18.0,03:40:37,13237.33,True,f,
3038,Witold KOCIOŁEK,PL,50,H,45-49M,,,,31.0,26.0,1.0,03:41:57,13317.35,True,f,
3065,Şahap DEDE,TR,42,H,40-44M,,,,32.0,27.0,4.0,03:42:50,13370.11,True,f,
3021,Coralie BLANCHARD,FR,41,F,35-39W,,,,33.0,6.0,2.0,03:44:48,13488.72,True,f,
3045,Andrew HILL,AU,46,H,40-44M,,https://utmb.world/runner/3221691.andrew.hill,,34.0,28.0,5.0,03:44:57,13497.65,True,f,
3034,Enrico BASSO,IT,34,H,20-34M,,https://utmb.world/runner/4132236.enrico.basso,705.0,35.0,29.0,19.0,03:45:28,13528.75,True,f,
3430,Djino GAJSKI,HR,32,H,20-34M,,https://utmb.world/runner/5023946.djino.gajski,644.0,36.0,30.0,20.0,03:46:09,13569.25,True,f,
3559,Csongor TANKOVICS,HU,47,H,45-49M,,https://utmb.world/runner/5051888.csongor.tankovics,515.0,37.0,31.0,2.0,03:46:25,13585.66,True,f,
3046,Luka HREN,SI,35,H,20-34M,,https://utmb.world/runner/626423.luka.hren,666.0,38.0,32.0,21.0,03:47:22,13642.84,True,f,
3026,Alberto PIEROPAN,IT,31,H,20-34M,,https://utmb.world/runner/2109183.alberto.pieropan,757.0,39.0,33.0,22.0,03:47:42,13662.37,True,f,
