# Race: Istria 100 by UTMB 2024 - 42K
# Distance: 42.1 km
# D+: 950 m
# D-: 950 m
# Date: 2024-04-06
# URL: https://live.utmb.world/100milesofistria/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3530,Simon SCHÄPPI,CH,34,H,20-34M,On Trail,https://utmb.world/runner/3291343.simon.schappi,824.0,1.0,1.0,1.0,03:01:35,10895.021,True,f,
3006,Peter CUDRNAK,SK,39,H,35-39M,Pekaren Kvetoslavov,https://utmb.world/runner/4333812.peter.cudrnak,742.0,2.0,2.0,1.0,03:15:22,11722.063,True,f,
3022,Egill GUNNARSSON,IS,33,H,20-34M,Fjallahlaupathjalfun,https://utmb.world/runner/4226734.egill.gunnarsson,653.0,3.0,3.0,2.0,03:24:22,12262.489,True,f,
3012,Dalibor PETRINJAK,SI,44,H,40-44M,ATD Savinjčan,https://utmb.world/runner/898183.dalibor.petrinjak,688.0,4.0,4.0,1.0,03:34:23,12863.672,True,f,
3003,Andrea KOLBEINSDÓTTIR,IS,26,F,20-34W,,https://utmb.world/runner/1652483.andrea.kolbeinsdottir,766.0,5.0,1.0,1.0,03:34:32,12872.95,True,f,
3037,Gudlaugur Ari JONSSON,IS,31,H,20-34M,Fjallahlaupathjalfun,https://utmb.world/runner/5450097.gudlaugurari.jonsson,609.0,6.0,5.0,3.0,03:36:07,12967.752,True,f,
3010,Riccardo DESTO,IT,43,H,40-44M,,https://utmb.world/runner/4227050.riccardo.desto,713.0,7.0,6.0,2.0,03:37:43,13063.902,True,f,
3001,Jaka OBLAK,SI,28,H,20-34M,ŠD Špik Lučine,https://utmb.world/runner/4245047.jaka.oblak,798.0,8.0,7.0,4.0,03:39:52,13192.161,True,f,
3004,Cedric PERNET,FR,30,H,20-34M,42KM195annecy,https://utmb.world/runner/2058307.cedric.pernet,756.0,9.0,8.0,5.0,03:41:06,13266.601,True,f,
3031,Csongor TANKOVICS,HU,47,H,45-49M,Outdoor Paradise,https://utmb.world/runner/5051888.csongor.tankovics,626.0,10.0,9.0,1.0,03:43:43,13423.044,True,f,
3024,Isaac ATTARD,MT,30,H,20-34M,Mex'd Out,https://utmb.world/runner/5065179.isaac.attard,643.0,11.0,10.0,6.0,03:45:13,13513.948,True,f,
3002,Alan LE PALABE,FR,28,H,20-34M,,https://utmb.world/runner/5140088.alan.lepalabe,771.0,12.0,11.0,7.0,03:47:58,13678.868,True,f,
3017,Kalev ERMITS,EE,33,H,20-34M,Sportland Eesti,https://utmb.world/runner/5444034.kalev.ermits,666.0,13.0,12.0,8.0,03:50:16,13816.902,True,f,
3015,Canpolat AKBAY,TR,38,H,35-39M,Asics Turkey,https://utmb.world/runner/4091276.canpolat.akbay,676.0,14.0,13.0,2.0,03:50:23,13823.592,True,f,
3034,Richard WILSON,GB,47,H,45-49M,Kendal AC,https://utmb.world/runner/763106.richard.wilson,619.0,15.0,14.0,2.0,03:51:59,13919.671,True,f,
3056,Danilo JOVANOVIC,RS,28,H,20-34M,Tk Tamis,https://utmb.world/runner/5072377.danilo.jovanovic,583.0,16.0,15.0,9.0,03:52:22,13942.23,True,f,
3685,Claudia TREMPS,ES,29,F,20-34W,ON RUNNING TEMA,https://utmb.world/runner/797482.claudia.tremps,752.0,17.0,2.0,2.0,03:55:02,14102.395,True,f,
3016,Alexandra TREMBLAY,CA,28,F,20-34W,,https://utmb.world/runner/4206826.alexandra.tremblay,666.0,18.0,3.0,3.0,03:55:53,14153.307,True,f,
3087,Teo ZONTA,HR,27,H,20-34M,SRK Sport Box,https://utmb.world/runner/4054133.teo.zonta,558.0,19.0,16.0,10.0,03:57:24,14244.531,True,f,
3023,Martina DAL BOSCO,IT,36,F,35-39W,Durona team,https://utmb.world/runner/3310101.martina.dalbosco,650.0,20.0,4.0,1.0,03:58:34,14314.573,True,f,
3021,Thelma Bjork EINARSDOTTIR,IS,35,F,20-34W,Fjallahlaupathjalfun,https://utmb.world/runner/3949251.thelma.einarsdottir,657.0,21.0,5.0,4.0,03:58:51,14331.33,True,f,
3033,Rich GILL,GB,43,H,40-44M,Tuesday Club,https://utmb.world/runner/4462632.rich.gill,620.0,22.0,17.0,3.0,04:01:03,14463.683,True,f,
3086,Matthias GOTTSCHLING,AT,33,H,20-34M,,https://utmb.world/runner/4565674.matthias.gottschling,558.0,23.0,18.0,11.0,04:02:14,14534.502,True,f,
3018,Daniel IORDACHE,RO,34,H,20-34M,Oradea Running Culture,https://utmb.world/runner/1966173.daniel.iordache,664.0,24.0,19.0,12.0,04:03:16,14596.463,True,f,
3054,Lorenzo REVELANT,IT,47,H,45-49M,,https://utmb.world/runner/4047469.lorenzo.revelant,584.0,25.0,20.0,3.0,04:04:06,14646.546,True,f,
3040,Tomasz KUSAL,PL,30,H,20-34M,omasz.team,https://utmb.world/runner/4326140.tomasz.kusal,599.0,26.0,21.0,13.0,04:04:11,14651.2,True,f,
3534,Christof BIRK,DE,33,H,20-34M,,https://utmb.world/runner/5667423.christof.birk,,27.0,22.0,14.0,04:04:54,14694.422,True,f,
3468,Nikola KRULJAC,HR,36,H,35-39M,AK RIKA,https://utmb.world/runner/5976521.nikola.kruljac,,28.0,23.0,3.0,04:05:06,14706.674,True,f,
3027,Umberto VINEIS,IT,32,H,20-34M,,https://utmb.world/runner/4186430.umberto.vineis,635.0,29.0,24.0,15.0,04:06:30,14790.442,True,f,
3085,Vladimir CIZEK,CZ,43,H,40-44M,,https://utmb.world/runner/5814401.vladimir.cizek,558.0,30.0,25.0,4.0,04:07:39,14859.899,True,f,
3028,Nicolò ZANELLA,IT,26,H,20-34M,A.S.D TEAM KM SPORT,https://utmb.world/runner/3707177.nicolo.zanella,633.0,31.0,26.0,16.0,04:08:12,14892.05,True,f,
3029,Matej VIRANT,SI,33,H,20-34M,,https://utmb.world/runner/4245084.matej.virant,642.0,32.0,27.0,17.0,04:08:28,14908.912,True,f,
3112,Urška LAMOVEC,SI,31,F,20-34W,,https://utmb.world/runner/3189423.urska.lamovec,550.0,33.0,6.0,5.0,04:10:13,15013.334,True,f,
3019,Baran NALBANTOGLU,TR,35,H,20-34M,Runformance,https://utmb.world/runner/4171165.baran.nalbantoglu,662.0,34.0,28.0,18.0,04:10:55,15055.36,True,f,
3478,Florian SERVANT,FR,39,H,35-39M,,https://utmb.world/runner/5616461.florian.servant,568.0,35.0,29.0,4.0,04:11:36,15096.914,True,f,
3580,Jacob HULL,US,38,H,35-39M,,https://utmb.world/runner/5977111.jacob.hull,,36.0,30.0,5.0,04:11:48,15108.102,True,f,
3042,Santiago Cornelio BARRIO,AR,34,H,20-34M,ZAGREB RUNNERS / HK LOKOMOTIVA,https://utmb.world/runner/4161820.santiagocornelio.barrio,597.0,37.0,31.0,19.0,04:12:35,15155.854,True,f,
3046,Primož LAVRIČ,SI,49,H,45-49M,DGRS Kamnik,https://utmb.world/runner/626419.primoz.lavric,594.0,38.0,32.0,4.0,04:13:15,15195.832,True,f,
3422,Johannes PLATZER,AT,24,H,20-34M,T3 Tri Team Traunsee,https://utmb.world/runner/5506981.johannes.platzer,,39.0,33.0,20.0,04:13:51,15231.846,True,f,
3499,István Gergő GOZONY,HU,51,H,50-54M,Spirit SC,https://utmb.world/runner/5976675.istvangergo.gozony,,40.0,34.0,1.0,04:14:44,15284.455,True,f,
