# Race: Istria 100 by UTMB 2025 - 110K
# Distance: 110 km
# D+: 3860 m
# D-: 3860 m
# Date: 2025-04-12
# URL: https://live.utmb.world/100milesofistria/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1006,Zan ZEPIC,SI,27,H,20-34M,Salomon Slovenia,https://utmb.world/runner/3991453.zan.zepic,846.0,1.0,1.0,1.0,09:56:14,35774.83,True,f,
1003,Martin HALASZ,SK,35,H,35-39M,,https://utmb.world/runner/559670.martin.halasz,856.0,2.0,2.0,1.0,10:38:15,38295.758,True,f,
1019,Tomasz KIK,SK,43,H,40-44M,Slovak Ultra Trail Team,https://utmb.world/runner/1574529.tomasz.kik,780.0,3.0,3.0,1.0,11:04:26,39866.06,True,f,
1026,Alessandro SIMONCELLI,IT,35,H,35-39M,,https://utmb.world/runner/2536887.alessandro.simoncelli,739.0,4.0,4.0,2.0,11:11:54,40314.629,True,f,
1016,Baptiste GALANT,FR,30,H,20-34M,Grenoble Trail / Taillefer Trail team,https://utmb.world/runner/1226145.baptiste.galant,787.0,5.0,5.0,2.0,11:17:26,40646.963,True,f,
1034,Marco BERTELSHOFER,DE,32,H,20-34M,Climbing Ede,https://utmb.world/runner/5095793.marco.bertelshofer,686.0,6.0,6.0,3.0,11:33:53,41633.988,True,f,
1029,Tamás BELUS,HU,45,H,45-49M,Hoka Runners Hungary / Gizionok,https://utmb.world/runner/220895.tamas.belus,706.0,7.0,7.0,1.0,12:04:46,43486.956,True,f,
1020,Jan BOZIC,SI,36,H,35-39M,,https://utmb.world/runner/302210.jan.bozic,775.0,8.0,8.0,3.0,12:16:05,44165.342,True,f,
1012,Nicol GUIDOLIN,IT,42,F,40-44W,Trieste Atletica,https://utmb.world/runner/830541.nicol.guidolin,697.0,9.0,1.0,1.0,12:17:58,44278.131,True,f,
1043,Marijan BUTORAC,HR,47,H,45-49M,AK VELEBIT 2001,https://utmb.world/runner/2401289.marijan.butorac,673.0,10.0,9.0,2.0,12:27:02,44822.475,True,f,
1527,Luka NOSEK,HR,31,H,20-34M,,https://utmb.world/runner/6726501.luka.nosek,,11.0,10.0,4.0,12:29:21,44961.892,True,f,
1030,Nemanja VLAŠKI,BA,44,H,40-44M,Jahorina ultra trail,https://utmb.world/runner/4444074.nemanja.vlaski,689.0,12.0,11.0,2.0,12:29:46,44986.963,True,f,
1018,Alena PABORTSAVA,AN,38,F,35-39W,,https://utmb.world/runner/4444088.alena.pabortsava,685.0,13.0,2.0,1.0,12:33:22,45202.462,True,f,
1023,Robert FARON,PL,51,H,50-54M,TEAM HOKA GARMIN,https://utmb.world/runner/323149.robert.faron,751.0,14.0,12.0,1.0,12:38:45,45525.441,True,f,
1159,Kurt STEINHOFER,AT,47,H,45-49M,Richimountain Runners/LG-INNVIERTEL,https://utmb.world/runner/6706139.kurt.steinhofer,545.0,15.0,13.0,3.0,12:44:41,45881.494,True,f,
