# Race: Unknown
# Distance: 42.1 km
# D+: 950 m
# D-: 950 m
# Date: 2025-04-12
# URL: https://live.utmb.world/100milesofistria/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3003,Sammy Rotich CHELANGAT,KE,25,H,20-34M,run2gether,https://utmb.world/runner/5878198.sammyrotich.chelangat,864.0,1.0,1.0,1.0,02:51:46,10306.056999999999,True,f,869.0
3005,Linus HULTEGÅRD,SE,35,H,35-39M,Craft,https://utmb.world/runner/321121.linus.hultegard,846.0,2.0,2.0,1.0,02:56:30,10590.587,True,f,846.0
3008,Manuel HARTWEG,DE,36,H,35-39M,LG Rülzheim,https://utmb.world/runner/4919023.manuel.hartweg,774.0,3.0,3.0,2.0,03:05:03,11103.306,True,f,807.0
3001,Martyna MLYNARCZYK,PL,36,F,35-39W,HOKA,https://utmb.world/runner/5347840.martyna.mlynarczyk,769.0,4.0,1.0,1.0,03:15:01,11701.462,True,f,766.0
3011,Andreas POSTL,AT,36,H,35-39M,,https://utmb.world/runner/524959.andreas.postl,734.0,5.0,4.0,3.0,03:21:53,12113.421999999999,True,f,740.0
3754,Stanislav POPOV,AN,25,H,20-34M,RUNAWAY Barcelona,https://utmb.world/runner/6841017.stanislav.popov,,6.0,5.0,2.0,03:31:52,12712.873,True,f,705.0
3048,Enrico TESSER,IT,44,H,40-44M,ASD Villa De Sanctis,https://utmb.world/runner/5965281.enrico.tesser,649.0,7.0,6.0,1.0,03:34:44,12884.425,True,f,695.0
3063,Sam RODDA,GB,25,H,20-34M,Reading AC,https://utmb.world/runner/4879731.sam.rodda,597.0,8.0,7.0,3.0,03:35:40,12940.114,True,f,692.0
3017,Luka MESAREC,SI,36,H,35-39M,,https://utmb.world/runner/6850534.luka.mesarec,701.0,9.0,8.0,4.0,03:36:00,12960.087,True,f,691.0
3052,Andres BLANES LOPEZ,ES,33,H,20-34M,,https://utmb.world/runner/3304977.andres.blaneslopez,615.0,10.0,9.0,4.0,03:38:25,13105.386,True,f,684.0
3042,Camilla RIZZARDI,IT,25,F,20-34W,Team Fuga Kailas,https://utmb.world/runner/6108175.camilla.rizzardi,629.0,11.0,2.0,1.0,03:40:13,13213.975,True,f,678.0
