# Race: Unknown
# Distance: 175 km
# D+: 6200 m
# D-: 6200 m
# Date: 2023-05-19
# URL: https://live.utmb.world/alsacegrandest/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
9,Fabrice FAUSER,CH,38,H,35-39M,Dynafit,https://utmb.world/runner/460682.fabrice.fauser,798.0,1.0,1.0,1.0,17:53:44,64424.46,True,f,
17,Markus MEINKE,DE,49,H,45-49M,Dynafit,https://utmb.world/runner/1639385.markus.meinke,751.0,2.0,2.0,1.0,19:04:59,68699.43,True,f,
24,Jeremy GOGUET,FR,37,H,35-39M,,https://utmb.world/runner/347782.jeremy.goguet,752.0,3.0,3.0,2.0,19:15:59,69359.39,True,f,
15,Kaz VERSTRAETE,BE,33,H,20-34M,Nevernotmoving,https://utmb.world/runner/1180607.kaz.verstraete,750.0,4.0,4.0,1.0,19:52:17,71537.89,True,f,
108,François Xavier LELIEUR,FR,40,H,35-39M,Les Vic'kings,https://utmb.world/runner/4850271.francoisxavier.lelieur,,5.0,5.0,3.0,20:14:41,72881.85,True,f,
1,Maite MAIORA ELIZONDO,ES,45,F,40-44W,Team Vibram,https://utmb.world/runner/63502.maite.maiora,761.0,6.0,1.0,1.0,20:20:35,73235.45,True,f,
11,Jérôme FERRIS,FR,47,H,45-49M,Autun Running / Team WTF ,https://utmb.world/runner/822310.jerome.ferris,774.0,7.0,6.0,2.0,20:27:51,73671.17,True,f,
104,Clément FONTENAY,FR,33,H,20-34M,Team ibex,https://utmb.world/runner/3689911.clement.fontenay,690.0,8.0,7.0,2.0,20:58:37,75517.64,True,f,
30,Alexandre BALESTRERI,FR,44,H,40-44M,Running Trail Tervillois,https://utmb.world/runner/1916291.alexandre.balestreri,706.0,9.0,8.0,1.0,21:57:31,79051.62,True,f,
131,Aurélien LECUISINIER,FR,31,H,20-34M,,https://utmb.world/runner/4290553.aurelien.lecuisinier,656.0,10.0,9.0,3.0,22:04:07,79447.12,True,f,
10,Gilles KLIPFEL,FR,42,H,40-44M,US Palaiseau Triathlon,https://utmb.world/runner/150839.gilles.klipfel,769.0,11.0,10.0,2.0,22:38:46,81526.29,True,f,
358,Max HELLIN,BE,44,H,40-44M,,https://utmb.world/runner/4278831.max.hellin,630.0,12.0,11.0,3.0,22:40:19,81619.66,True,f,
205,Alexandre BOUCHET,FR,31,H,20-34M,Saint Jean de Monts Vendée Athlétisme,https://utmb.world/runner/561115.alexandre.bouchet,630.0,13.0,12.0,4.0,22:40:22,81622.33,True,f,
652,Gilles SCHOCH,FR,48,H,45-49M,,https://utmb.world/runner/4850285.gilles.schoch,626.0,14.0,13.0,3.0,22:46:29,81989.32,True,f,
107,Raphaël DEVANTAY,CH,39,H,35-39M,,https://utmb.world/runner/3966983.raphael.devantay,679.0,15.0,14.0,4.0,22:50:02,82202.83,True,f,
32,Jérémie PFAADT,FR,48,H,45-49M,Team Elite #oufderun,https://utmb.world/runner/1940645.jeremie.pfaadt,702.0,16.0,15.0,4.0,23:02:09,82929.53,True,f,
