# Race: Unknown
# Distance: 31 km
# D+: 1700 m
# D-: 1700 m
# Date: 2023-04-29
# URL: https://live.utmb.world/canyons/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2002,Hayden HAWKES,US,34,H,20-34M,,https://utmb.world/runner/5136649.hayden.hawkes,,1.0,1.0,1.0,03:32:11,12731.14,True,f,
2005,Jeshurun E SMALL,US,27,H,20-34M,,https://utmb.world/runner/5038059.jeshurune.small,,2.0,2.0,2.0,03:34:47,12887.0,True,f,
2037,Eric LIPUMA,USA (UNITED STATES),32,H,20-34M,,,,3.0,3.0,3.0,03:45:30,13530.34,True,f,
2007,Matthew SEIDEL,US,29,H,20-34M,,https://utmb.world/runner/4244831.matthew.seidel,847.0,4.0,4.0,4.0,03:46:44,13604.11,True,f,
2008,Nick HANDEL,US,33,H,20-34M,,https://utmb.world/runner/1672073.nick.handel,820.0,5.0,5.0,5.0,03:53:34,14014.0,True,f,
2394,Alexander PARKER,US,26,H,20-34M,,https://utmb.world/runner/4595630.alexander.parker,747.0,6.0,6.0,6.0,03:58:22,14302.56,True,f,
2248,Chris JONES,US,46,H,40-44M,,https://utmb.world/runner/5037941.chris.jones,,7.0,7.0,1.0,04:01:29,14489.22,True,f,
2009,Michele MERIDIO,IT,28,H,20-34M,,https://utmb.world/runner/1524379.michele.meridio,816.0,8.0,8.0,7.0,04:03:56,14636.68,True,f,
2006,Rod FARVARD,US,30,H,20-34M,,https://utmb.world/runner/1261043.rod.farvard,859.0,9.0,9.0,8.0,04:08:05,14885.0,True,f,
2586,Corbyn JAHN,US,34,H,20-34M,,https://utmb.world/runner/5136655.corbyn.jahn,,10.0,10.0,9.0,04:09:07,14947.6,True,f,
2014,Heather JACKSON,US,41,F,35-39W,,https://utmb.world/runner/4500549.heather.jackson,745.0,11.0,1.0,1.0,04:09:36,14976.8,True,f,
2180,Cyril GARCIA,FR,30,H,20-34M,,https://utmb.world/runner/4221017.cyril.garcia,715.0,12.0,11.0,10.0,04:10:11,15011.53,True,f,
2417,Cody PRIEST,US,37,H,35-39M,,https://utmb.world/runner/626288.cody.priest,765.0,13.0,12.0,1.0,04:12:52,15172.59,True,f,
2599,James MCCUE,USA (UNITED STATES),36,H,20-34M,,,,14.0,13.0,11.0,04:16:18,15378.35,True,f,
2102,David BURROUGHS,US,36,H,20-34M,,https://utmb.world/runner/3306877.david.burroughs,,15.0,14.0,12.0,04:16:50,15410.94,True,f,
2019,Caitriona JENNINGS,IE,45,F,40-44W,,https://utmb.world/runner/1777509.caitriona.jennings,745.0,16.0,2.0,1.0,04:17:47,15467.0,True,f,
2011,Emkay SULLIVAN,US,31,F,20-34W,,https://utmb.world/runner/2571601.emkay.sullivan,761.0,17.0,3.0,1.0,04:17:50,15470.98,True,f,
2464,Matthew SALMINEN,US,36,H,20-34M,,https://utmb.world/runner/5037987.matthew.salminen,,18.0,15.0,13.0,04:20:47,15647.0,True,f,
2294,Rob LIVINGSTONE,CA,36,H,20-34M,,https://utmb.world/runner/5059767.rob.livingstone,,19.0,16.0,14.0,04:22:16,15736.69,True,f,
2021,Pedro GOMES,PRT (Portugal),42,H,40-44M,,,,20.0,17.0,2.0,04:23:02,15782.01,True,f,
2449,Megan ROLLAND,US,37,F,35-39W,,https://utmb.world/runner/4161940.megan.rolland,715.0,21.0,4.0,2.0,04:27:45,16065.0,True,f,
2094,Chad BOISSY,CA,32,H,20-34M,,https://utmb.world/runner/2566799.chad.boissy,726.0,22.0,18.0,15.0,04:31:17,16277.57,True,f,
2527,Abdülkadir TOPKARAOĞLU,TR,36,H,20-34M,,https://utmb.world/runner/4168357.abdulkadir.topkaraoglu,651.0,23.0,19.0,16.0,04:32:35,16355.41,True,f,
2172,Alex FRANCIS,US,35,H,20-34M,,https://utmb.world/runner/3291651.alex.francis,733.0,24.0,20.0,17.0,04:34:36,16476.43,True,f,
