# Race: Unknown
# Distance: 96 km
# D+: 4600 m
# D-: 4600 m
# Date: 2025-12-05
# URL: https://live.utmb.world/chiangmai/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Ji Duo,CN,33,H,M 20-34,HOKA,https://utmb.world/runner/1023247.ji.duo,909.0,,,,,0,False,nl,
1006,Manuel Anguita,ES,34,H,M 20-34,KAILAS FUGA,https://utmb.world/runner/457047.manuel.anguita,877.0,,,,,0,False,nl,
1005,Luke Grenfell-Shaw,GB,31,H,M 20-34,Brooks Trail Runners,https://utmb.world/runner/5096752.luke.grenfellshaw,877.0,,,,,0,False,nl,
1020,HUALING CHEN,CN,33,H,M 20-34,zxtour,https://utmb.world/runner/5719720.hualing.chen,803.0,,,,,0,False,nl,
1004,CANHUA LUO,CN,33,H,M 20-34,zxtour,https://utmb.world/runner/1146055.canhua.luo,892.0,,,,,0,False,nl,
1016,Thibault Leroy,FR,31,H,M 20-34,,https://utmb.world/runner/435578.thibault.leroy,819.0,,,,,0,False,nl,
1010,Ekaterina Mityaeva,AN,36,F,F 35-39,adidasTERREX,https://utmb.world/runner/480410.ekaterina.mityaeva,758.0,,,,,0,False,nl,
1014,Min Qi,CN,37,H,M 35-39,,https://utmb.world/runner/1199567.min.qi,825.0,,,,,0,False,nl,
1007,Hau Ha Thi,VN,36,F,F 35-39,Kailas Fuga and Suunto global,https://utmb.world/runner/4133959.hau.hathi,768.0,,,,,0,False,nl,
1019,Milton Amat,MY,43,H,M 40-44,NAAK,https://utmb.world/runner/1120831.milton.amat,802.0,,,,,0,False,nl,
1018,Liping Wang,CN,36,F,F 35-39,,https://utmb.world/runner/3445811.liping.wang,710.0,,,,,0,False,nl,
1002,Dmitry Mityaev,AN,34,H,M 20-34,Adidas TERREX,https://utmb.world/runner/480408.dmitry.mityaev,901.0,,,,,0,False,nl,
