# Race: Unknown
# Distance: 156 km
# D+: 7700 m
# D-: 7700 m
# Date: 2025-10-02
# URL: https://live.utmb.world/chihuahuabyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1,Victor LAROCQUE,CA,35,H,35-39M,,https://utmb.world/runner/4005967.victor.larocque,773.0,1.0,1.0,1.0,21:21:19,76879,True,f,797.0
104,Mauro Martin QUIMARE,MX,27,H,20-34M,Raramurí,https://utmb.world/runner/7779491.mauromartin.quimare,,2.0,2.0,1.0,22:35:58,81358,True,f,753.0
109,Reyes  Giltro SATEVO SARABEACHI,MX,42,H,40-44M,Raramurí,,,3.0,3.0,1.0,23:26:55,84415,True,f,
8,Elena ORMON,US,38,F,35-39W,,https://utmb.world/runner/4258517.elena.ormon,642.0,4.0,1.0,1.0,24:21:51,87711,True,f,698.0
2,Yuta MATSUYAMA,JP,38,H,35-39M,Uglow/ inner fact / oreha sesshusu,https://utmb.world/runner/707046.yuta.matsuyama,721.0,5.0,4.0,2.0,25:53:26,93206,True,f,657.0
90,Tony RODRÍGUEZ,MX,39,H,35-39M,The North Face,https://utmb.world/runner/3244801.tony.rodriguez,778.0,6.0,5.0,3.0,26:38:51,95931,True,f,638.0
103,Miguel LARA,MX,35,H,35-39M,Raramurí,https://utmb.world/runner/351945.miguel.lara,,7.0,6.0,4.0,26:47:18,96438,True,f,635.0
63,Olaf VILLANUEVA,MX,35,H,35-39M,Revel,https://utmb.world/runner/4251537.olaf.villanueva,,8.0,7.0,5.0,27:13:41,98021,True,f,625.0
82,Bernardo PÉREZ LÓPEZ,MX,52,H,50-54M,Cabritas y Jaguares / Salvajes Cholula,https://utmb.world/runner/3895919.bernardo.perezlopez,606.0,9.0,8.0,1.0,27:33:18,99198,True,f,617.0
91,Jason SCHLARB,US,47,H,45-49M,Norda Trail Team,https://utmb.world/runner/4064.jason.schlarb,769.0,10.0,9.0,1.0,27:55:27,100527,True,f,609.0
101,Enrique MORENO CARRILLO,MX,54,H,50-54M,Raramurí,https://utmb.world/runner/4616430.enrique.morenocarrillo,,11.0,10.0,2.0,28:39:36,103176,True,f,593.0
54,Leonel CUETO,US,22,H,20-34M,Los Dos Lobos ,https://utmb.world/runner/6638943.leonel.cueto,379.0,12.0,11.0,2.0,28:56:36,104196,True,f,588.0
92,Angel CERVANTES ARELLANO,MX,25,H,20-34M,The North Face,https://utmb.world/runner/5863600.angel.cervantesarellano,507.0,13.0,12.0,3.0,29:09:43,104983,True,f,583.0
95,Catherine CASTRO VILLICAÑA,MX,34,F,20-34W,Adidas Terrex,https://utmb.world/runner/4807308.catherine.castrovillicana,587.0,14.0,2.0,1.0,29:12:52,105172,True,f,582.0
31,Israel MORÓN,MX,32,H,20-34M,ECATSIE,https://utmb.world/runner/5508739.israel.moron,480.0,15.0,13.0,4.0,29:27:31,106051,True,f,577.0
89,Amador Geraldo HERNANDEZ GARCIA,MX,45,H,45-49M,,https://utmb.world/runner/7623493.amadorgeraldo.hernandezgarcia,,16.0,14.0,2.0,29:42:31,106951,True,f,573.0
20,Alejandro FERIA,MX,42,H,40-44M,Emprender para Inspirar,https://utmb.world/runner/5467263.alejandro.feria,566.0,17.0,15.0,2.0,29:47:26,107246,True,f,571.0
108,Juan CONTRERAS GARCIA,MX,49,H,45-49M,Raramurí,https://utmb.world/runner/4612736.juan.contrerasgarcia,,18.0,16.0,3.0,30:23:36,109416,True,f,560.0
12,Alfredo PLASCENCIA CASILLAS,MX,42,H,40-44M,,https://utmb.world/runner/2443271.alfredo.plascenciacasillas,515.0,19.0,17.0,3.0,31:07:15,112035,True,f,547.0
76,Vicente GUILCAMAIGUA,EC,34,H,20-34M,,https://utmb.world/runner/6835833.vicente.guilcamaigua,678.0,20.0,18.0,5.0,31:24:49,113089,True,f,541.0
62,Martin CRUZ MENDOZA,MX,31,H,20-34M,Panteras GR Team,https://utmb.world/runner/4177673.martin.cruzmendoza,549.0,21.0,19.0,6.0,31:24:50,113090,True,f,541.0
94,Omar LEMUS REYES,MX,49,H,45-49M,,https://utmb.world/runner/1519795.omar.lemusreyes,591.0,22.0,20.0,4.0,31:27:05,113225,True,f,541.0
99,Fidel LÓPEZ LUNA,MX,40,H,40-44M,,https://utmb.world/runner/7718865.fidel.lopezluna,,23.0,21.0,4.0,31:33:52,113632,True,f,539.0
30,Ricardo BADILLO,MX,37,H,35-39M,INEL y MOHINORA,https://utmb.world/runner/4251561.ricardo.badillo,481.0,24.0,22.0,6.0,31:46:34,114394,True,f,535.0
13,Jonathan GONZALEZ,CO,43,H,40-44M,Liebres Colombia,https://utmb.world/runner/4556290.jonathan.gonzalez,575.0,25.0,23.0,5.0,32:09:35,115775,True,f,529.0
15,Marcela Evelyn ARIAS GAETA,MX,37,F,35-39W,KAILAS MEXICO,https://utmb.world/runner/2447569.marcelaevelyn.ariasgaeta,502.0,26.0,3.0,2.0,32:57:29,118649,True,f,516.0
21,Victor Daniel PEREZ GUTIERREZ,MX,38,H,35-39M,RED ZION,https://utmb.world/runner/4605492.victordaniel.perezgutierrez,521.0,27.0,24.0,7.0,32:57:30,118650,True,f,516.0
