# Race: Unknown
# Distance: 94 km
# D+: 4600 m
# D-: 4600 m
# Date: 2025-10-03
# URL: https://live.utmb.world/chihuahuabyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
702,Jupiter CARERA CASAS,MX,31,H,20-34M,CRAFT-BUFF-GU-GAPPER,https://utmb.world/runner/3570865.jupiter.careracasas,838.0,1.0,1.0,1.0,10:44:50,38690,True,f,854.0
500,Julián VINASCO MARÍN,CO,42,H,40-44M,--,https://utmb.world/runner/1925015.julian.vinascomarin,788.0,2.0,2.0,1.0,11:43:16,42196,True,f,783.0
712,Martin SAENZ,EC,46,H,45-49M,EXPLORER-BET,https://utmb.world/runner/162665.martin.saenz,687.0,3.0,3.0,1.0,12:57:39,46659,True,f,708.0
716,Juan Carlos CLETO,MX,24,H,20-34M,Raramurí,https://utmb.world/runner/7779485.juancarlos.cleto,,4.0,4.0,2.0,12:59:18,46758,True,f,707.0
692,Cesar Arturo | FLORES ARMENDARIZ,MX,33,H,20-34M,RUNNER@S PARRAL,https://utmb.world/runner/7613307.cesararturo-.floresarmendariz,,5.0,5.0,3.0,13:45:07,49507,True,f,667.0
504,Julius VAINAUSKAS,LT,35,H,35-39M,,https://utmb.world/runner/3699927.julius.vainauskas,625.0,6.0,6.0,1.0,13:50:18,49818,True,f,663.0
705,Benoît RIDARD,FR,38,H,35-39M,,https://utmb.world/runner/4259381.benoit.ridard,639.0,7.0,7.0,2.0,13:55:28,50128,True,f,659.0
509,Simon CHIFFOLEAU,FR,30,H,20-34M,,https://utmb.world/runner/4674471.simon.chiffoleau,592.0,8.0,8.0,4.0,14:17:01,51421,True,f,643.0
722,Gregorio MORENO,MX,34,H,20-34M,Raramurí,https://utmb.world/runner/7779477.gregorio.moreno,,9.0,9.0,5.0,14:18:31,51511,True,f,642.0
729,Ignacio MORENO CARRILLO,MX,42,H,40-44M,Raramurí,https://utmb.world/runner/7799799.ignacio.morenocarrillo,,10.0,10.0,2.0,14:19:41,51581,True,f,641.0
514,Horacio RANGEL RAMIREZ,MX,42,H,40-44M,Ay Ay Trail,https://utmb.world/runner/6110903.horacio.rangelramirez,570.0,11.0,11.0,3.0,14:34:40,52480,True,f,630.0
703,Angelica Carolina CABRERA CRUZ,MX,41,F,40-44W,,https://utmb.world/runner/5808626.angelicacarolina.cabreracruz,577.0,12.0,1.0,1.0,14:38:29,52709,True,f,627.0
695,Leonel SALAS MANCINAS,MX,24,H,20-34M,Raramuri,https://utmb.world/runner/7630990.leonel.salasmancinas,521.0,13.0,12.0,6.0,14:53:41,53621,True,f,616.0
512,Luis BARROSO-LUQUE,MX,34,H,20-34M,,https://utmb.world/runner/6979263.luis.barrosoluque,583.0,14.0,13.0,7.0,15:06:54,54414,True,f,607.0
666,Sebastian PEREZ-VERDIA,MX,29,H,20-34M,CCC,https://utmb.world/runner/7718725.sebastian.perezverdia,,15.0,14.0,8.0,15:06:56,54416,True,f,607.0
727,Jennifer YAÑEZ CRUZ,MX,26,F,20-34W,Raramurí,https://utmb.world/runner/7799805.jennifer.yanezcruz,,16.0,2.0,1.0,15:24:35,55475,True,f,596.0
516,Denise ZELAYA,MX,36,F,35-39W,,https://utmb.world/runner/4960926.denise.zelaya,579.0,17.0,3.0,1.0,15:26:21,55581,True,f,595.0
503,Naoki TSUKUDA,JP,32,H,20-34M,dogu,https://utmb.world/runner/3376079.naoki.tsukuda,654.0,18.0,15.0,9.0,15:33:11,55991,True,f,590.0
728,Jose Alan GUMERCINDO RIOS,MX,19,H,18-19M,Raramurí,https://utmb.world/runner/7799807.josealan.gumercindorios,,19.0,16.0,1.0,15:50:07,57007,True,f,580.0
506,Gerardo DOMINGUEZ GAITAN,MX,34,H,20-34M,,https://utmb.world/runner/5447903.gerardo.dominguezgaitan,599.0,19.0,16.0,10.0,15:50:07,57007,True,f,580.0
505,Brady LILJEMARK,CL,48,H,45-49M,Trailers Puertecillo,https://utmb.world/runner/5556168.brady.liljemark,619.0,21.0,18.0,2.0,15:56:36,57396,True,f,576.0
689,Julio PRIMO,MX,37,H,35-39M,Inttensos,,,22.0,19.0,3.0,15:58:11,57491,True,f,
696,Luis Hector MOYA CABRERA,MX,31,H,20-34M,YO MARCO / ASICSRUN,https://utmb.world/runner/6813891.luishector.moyacabrera,414.0,23.0,20.0,11.0,16:03:41,57821,True,f,571.0
521,Juan Pablo VALDIVIESO,EC,28,H,20-34M,BET ENDURANCE,https://utmb.world/runner/3474481.juanpablo.valdivieso,586.0,24.0,21.0,12.0,16:11:44,58304,True,f,567.0
724,Isidro Jose RICO,MX,36,H,35-39M,Raramurí,https://utmb.world/runner/7779479.isidrojose.rico,,25.0,22.0,4.0,16:13:08,58388,True,f,566.0
523,Francisco Vicente GONZÁLEZ HIJAR,MX,45,H,45-49M,Rakan Clan,https://utmb.world/runner/716036.franciscovicente.gonzalezhijar,515.0,26.0,23.0,3.0,16:18:20,58700,True,f,563.0
718,Cruz LERMA CHURO,MX,50,H,50-54M,Raramurí,https://utmb.world/runner/4612756.cruz.lermachuro,,27.0,24.0,1.0,16:18:23,58703,True,f,563.0
552,Manuel CANO LÓPEZ,MX,34,H,20-34M,,https://utmb.world/runner/6970916.manuel.canolopez,449.0,28.0,25.0,13.0,16:32:37,59557,True,f,555.0
529,Joel BARBA SÁNCHEZ,MX,23,H,20-34M,Mitocondria University,https://utmb.world/runner/4605482.joel.barbasanchez,516.0,29.0,26.0,14.0,16:32:52,59572,True,f,555.0
680,Emmanuel HERNÁNDEZ,MX,30,H,20-34M,,https://utmb.world/runner/7040699.emmanuel.hernandez,658.0,30.0,27.0,15.0,16:34:51,59691,True,f,554.0
513,Rodolfo VILLALOBOS,MX,40,H,40-44M,Insane,https://utmb.world/runner/4177591.rodolfo.villalobos,576.0,31.0,28.0,4.0,16:34:58,59698,True,f,554.0
674,Inaqui GONZALEZ,MX,32,H,20-34M,Dromo,https://utmb.world/runner/7034069.inaqui.gonzalez,589.0,32.0,29.0,16.0,16:35:11,59711,True,f,553.0
608,Guillermo Tenamaxtli LOPEZ CARDONA,MX,42,H,40-44M,Mitocondria University,https://utmb.world/runner/3567917.guillermotenamaxtli.lopezcardona,,33.0,30.0,5.0,16:37:01,59821,True,f,552.0
667,Emiliano HERNANDEZ,MX,27,H,20-34M,DROMO,https://utmb.world/runner/6941413.emiliano.hernandez,521.0,34.0,31.0,17.0,16:43:15,60195,True,f,549.0
511,Pedro Samuel CORTEZ ORTIZ,MX,42,H,40-44M,TerraPeak,https://utmb.world/runner/4807060.pedrosamuel.cortezortiz,585.0,35.0,32.0,6.0,17:10:49,61849,True,f,534.0
522,Pierre BUHOT LAUNAY,FR,49,H,45-49M,,https://utmb.world/runner/4365338.pierre.buhotlaunay,519.0,36.0,33.0,4.0,17:32:41,63161,True,f,523.0
551,Griselda MONTOYA,MX,40,F,40-44W,,https://utmb.world/runner/5829843.griselda.montoya,451.0,37.0,4.0,2.0,17:54:18,64458,True,f,513.0
627,Fernando FRANCO,MX,31,H,20-34M,EVEN,https://utmb.world/runner/6942417.fernando.franco,464.0,38.0,34.0,18.0,17:55:02,64502,True,f,512.0
517,Carlos HERMOSILLO ÁLVAREZ,MX,36,H,35-39M,TerraPeak,https://utmb.world/runner/2105647.carlos.hermosilloalvarez,544.0,39.0,35.0,5.0,17:59:10,64750,True,f,510.0
546,Rodrigo ORTEGA,MX,50,H,50-54M,,https://utmb.world/runner/4996865.rodrigo.ortega,,40.0,36.0,2.0,18:09:48,65388,True,f,505.0
643,Carlos ALVAREZ ALVAREZ,MX,33,H,20-34M,DRP,https://utmb.world/runner/6821109.carlos.alvarezalvarez,530.0,41.0,37.0,19.0,18:10:54,65454,True,f,505.0
654,Jose Luis VEGA,MX,28,H,20-34M,Podium,https://utmb.world/runner/6905935.joseluis.vega,,42.0,38.0,20.0,18:11:08,65468,True,f,505.0
508,Sabrina WHITE LOREDO,MX,32,F,20-34W,,https://utmb.world/runner/5492631.sabrina.whiteloredo,592.0,43.0,5.0,2.0,18:13:47,65627,True,f,504.0
715,Christopher Alberto QUIROZ JOAQUIN,MX,22,H,20-34M,,https://utmb.world/runner/7706609.christopheralberto.quirozjoaquin,,44.0,39.0,21.0,18:14:43,65683,True,f,503.0
655,Daniel SALIM,MX,33,H,20-34M,,https://utmb.world/runner/6909299.daniel.salim,,45.0,40.0,22.0,18:25:37,66337,True,f,498.0
624,Luis MEJIA,MX,41,H,40-44M,BURS,https://utmb.world/runner/6855851.luis.mejia,528.0,45.0,40.0,7.0,18:25:37,66337,True,f,498.0
612,David MARTINEZ,MX,37,H,35-39M,,https://utmb.world/runner/4251828.david.martinez,501.0,45.0,40.0,6.0,18:25:37,66337,True,f,498.0
676,Carlos GIL,MX,44,H,40-44M,Metta Running House,https://utmb.world/runner/6862903.carlos.gil,,45.0,40.0,7.0,18:25:37,66337,True,f,498.0
645,Jose Maria MONTIAGA BARCON,MX,33,H,20-34M,,https://utmb.world/runner/6821211.josemaria.montiagabarcon,,49.0,44.0,23.0,18:25:38,66338,True,f,498.0
581,Roberto RAZO,MX,40,H,40-44M,,https://utmb.world/runner/4807548.roberto.razo,408.0,50.0,45.0,9.0,18:37:36,67056,True,f,493.0
663,Julio César GÓMEZ AGUILAR,MX,35,H,35-39M,Ninguno,https://utmb.world/runner/6813899.juliocesar.gomezaguilar,518.0,51.0,46.0,7.0,18:44:14,67454,True,f,490.0
740,Cesar David GLORIA RIVAS,MX,19,H,18-19M,Raramurí,https://utmb.world/runner/7799695.cesardavid.gloriarivas,,52.0,47.0,2.0,18:46:23,67583,True,f,489.0
694,Carlos Hernan MENDOZA ARROYO,MX,27,H,20-34M,PIERNON LOCO,https://utmb.world/runner/6840830.carloshernan.mendozaarroyo,472.0,53.0,48.0,24.0,18:51:26,67886,True,f,487.0
578,Andrea HURTARTE,GT,25,F,20-34W,Uphill,https://utmb.world/runner/4918170.andrea.hurtarte,407.0,54.0,6.0,3.0,18:55:59,68159,True,f,485.0
525,Eder Giovanni SÁNCHEZ FERNÁNDEZ,MX,38,H,35-39M,Mohinora,https://utmb.world/runner/2447635.edergiovanni.sanchezfernandez,503.0,55.0,49.0,8.0,18:56:11,68171,True,f,485.0
540,Lucero Abigaith GOMEZ ESPINDOLA,MX,30,F,20-34W,Forever Trail,https://utmb.world/runner/6133845.luceroabigaith.gomezespindola,497.0,56.0,7.0,4.0,19:09:03,68943,True,f,479.0
537,Alejandro URBINA,SV,40,H,40-44M,Trail Runners El Salvador,https://utmb.world/runner/6982260.alejandro.urbina,556.0,57.0,50.0,10.0,19:13:49,69229,True,f,477.0
528,Fredy BARAHONA,CO,53,H,50-54M,ULTRAINSTINK,https://utmb.world/runner/4222908.fredy.barahona,502.0,58.0,51.0,3.0,19:14:00,69240,True,f,477.0
535,Alejandro CUADRAS AMARILLAS,MX,48,H,45-49M,,https://utmb.world/runner/4365396.alejandro.cuadrasamarillas,488.0,59.0,52.0,5.0,19:19:26,69566,True,f,475.0
704,Jesus HERNANDEZ,MX,50,H,50-54M,Gaman,https://utmb.world/runner/3204981.jesus.hernandez,449.0,60.0,53.0,4.0,19:30:46,70246,True,f,470.0
527,Jorge Manuel SOTO ROBLES,MX,31,H,20-34M,TerraPeak,https://utmb.world/runner/5403629.jorgemanuel.sotorobles,520.0,61.0,54.0,25.0,19:30:54,70254,True,f,470.0
710,Pablo CALLES,MX,54,H,50-54M,,https://utmb.world/runner/6816937.pablo.calles,417.0,62.0,55.0,5.0,19:42:55,70975,True,f,466.0
507,Sinuhe FLETES,MX,41,H,40-44M,El Escuadrón de la Montaña,https://utmb.world/runner/168288.sinuhe.fletes,599.0,63.0,56.0,11.0,19:44:30,71070,True,f,465.0
605,María Fernanda AGUILAR ALVAREZ,MX,35,F,35-39W,El Escuadron de la Montaña,https://utmb.world/runner/1959681.mariafernanda.aguilaralvarez,542.0,64.0,8.0,2.0,19:44:31,71071,True,f,465.0
518,Pablo Ignacio OSORIO TORRES,MX,32,H,20-34M,Ice Runners,https://utmb.world/runner/4389902.pabloignacio.osoriotorres,492.0,65.0,57.0,26.0,19:47:36,71256,True,f,464.0
575,Rafael PELLEGRIN,MX,29,H,20-34M,ICE RUNNERS,https://utmb.world/runner/5494291.rafael.pellegrin,502.0,65.0,57.0,26.0,19:47:36,71256,True,f,464.0
638,Fernanda DELGADO,MX,34,F,20-34W,,https://utmb.world/runner/6813885.fernanda.delgado,324.0,67.0,9.0,5.0,19:47:51,71271,True,f,464.0
547,Pablo NAVARRO,MX,43,H,40-44M,Free & Alive,https://utmb.world/runner/5943524.pablo.navarro,456.0,68.0,59.0,12.0,19:51:16,71476,True,f,462.0
683,Cesar Ramon MORALES REYES,MX,37,H,35-39M,mohinora,https://utmb.world/runner/7078849.cesarramon.moralesreyes,,69.0,60.0,9.0,20:06:23,72383,True,f,457.0
620,Diego POLIDURA,MX,32,H,20-34M,Guts,https://utmb.world/runner/6796763.diego.polidura,,70.0,61.0,28.0,20:18:04,73084,True,f,452.0
610,Eloy Alejandro MORENO LUGO,MX,50,H,50-54M,,https://utmb.world/runner/4177729.eloyalejandro.morenolugo,,71.0,62.0,6.0,20:27:35,73655,True,f,449.0
532,Mauricio CRUZ GARCIA,MX,34,H,20-34M,NAUPA,https://utmb.world/runner/6855817.mauricio.cruzgarcia,496.0,72.0,63.0,29.0,20:30:16,73816,True,f,448.0
687,Jose LUGARDO ESPEJEL,MX,38,H,35-39M,,https://utmb.world/runner/7028387.jose.lugardoespejel,,73.0,64.0,10.0,20:32:11,73931,True,f,447.0
561,Rodrigo OLAYA,CO,33,H,20-34M,Kromer,https://utmb.world/runner/6045761.rodrigo.olaya,434.0,74.0,65.0,30.0,20:34:42,74082,True,f,446.0
641,Miguel ROMERO,MX,36,H,35-39M,Hijxs de la Sierra Madre,https://utmb.world/runner/6820851.miguel.romero,,75.0,66.0,11.0,20:35:33,74133,True,f,446.0
709,Iris Citlali SEDANO GARCÍA,MX,36,F,35-39W,,https://utmb.world/runner/4633804.iriscitlali.sedanogarcia,513.0,76.0,10.0,3.0,20:47:23,74843,True,f,442.0
653,Claudia Ivette HERRERA COVARRUBIAS,MX,42,F,40-44W,Ultra Cuu,https://utmb.world/runner/6891429.claudiaivette.herreracovarrubias,,76.0,10.0,3.0,20:47:23,74843,True,f,442.0
691,Nelson GOMEZ,MX,57,H,55-59M,,https://utmb.world/runner/7637939.nelson.gomez,,78.0,67.0,1.0,20:47:24,74844,True,f,442.0
