# Race: Unknown
# Distance: 246 km
# D+: 17000 m
# D-: 17000 m
# Date: 2024-07-17
# URL: https://live.utmb.world/eigerultratrail/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
800, TEAM GENEVE TRAIL,SUI / FRA,2025,H,H,TEAM GENEVE TRAIL,,764.0,1.0,1.0,1.0,47:23:40,170620.49899999998,True,f,
804, AlpsXperience,SUI,2025,H,H,Scarpa Karpos / AlpsXperience,,705.0,2.0,2.0,2.0,49:04:01,176641.349,True,f,
871, Roque Nublo Trail Team,ESP,2025,H,H,ROQUE nUBLO TRAIL TEAM / Roque nublo trail team / CARPHIAL TEROR TRAIL,,701.0,3.0,3.0,3.0,58:25:12,210312.57100000003,True,f,
859, Selbstläufer,SUI,2025,H,H,Selbstläufer,,592.0,4.0,4.0,4.0,60:37:14,218234.143,True,f,
821, Lederbergers,GER / SUI,2025,H,H,TV Haslen,,634.0,5.0,5.0,5.0,61:01:20,219680.52800000002,True,f,
801, Inspire for Better,ESP / POR,2025,H,H,Monsanto Running Team,,696.0,6.0,6.0,6.0,61:46:13,222373.84699999998,True,f,
822, Team Vogtland,GER,2025,H,H,LG Vogtland,,614.0,7.0,7.0,7.0,65:54:20,237260.21899999998,True,f,
810, Milangeles,ITA,2025,F,F,Runaway Milano ASD,,653.0,8.0,1.0,1.0,66:43:15,240195.43,True,f,
874, Zürcher Alpinkatzen,SUI / GER,2025,H,H,Zürcher Alpinkatzen,,615.0,9.0,8.0,8.0,66:45:45,240345.72600000002,True,f,
840, Rock&Run,GER,2025,X,Mx,,,570.0,10.0,1.0,1.0,66:52:57,240777.24800000002,True,f,
835, Keep Smiling,SUI,2025,H,H,KTV Illgau,,510.0,11.0,9.0,9.0,69:23:57,249837.473,True,f,
816, WAM,BEL,2025,F,F,KKS,,577.0,12.0,2.0,2.0,69:27:57,250077.65600000002,True,f,
851, TEAM GARMIN,FRA,2025,X,Mx,,,464.0,13.0,2.0,2.0,69:43:07,250987.99800000002,True,f,
831, trail-maniacs Solothurn,SUI / GER,2025,H,H,trail-maniacs Solothurn / Trail-maniacs Solothurn,,585.0,14.0,10.0,10.0,70:17:44,253064.6,True,f,
817, trail-maniacs Boys,SUI,2025,H,H,trail-maniacs / trail-maniacs | trail-rookies Podcast,,631.0,14.0,10.0,10.0,70:17:44,253064.797,True,f,
825, Italian Ultra Team,ITA,2025,H,H,,,593.0,16.0,12.0,12.0,70:32:59,253979.697,True,f,
833, Polish Gorillas,USA / GER,2025,H,H,,,553.0,17.0,13.0,13.0,70:42:49,254569.551,True,f,
