# Race: Unknown
# Distance: 165.2 km
# D+: 5470 m
# D-: 5470 m
# Date: 2024-02-16
# URL: https://live.utmb.world/tarawera/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3,Adrian MACDONALD,US,37,H,35-39M,,https://utmb.world/runner/3527137.adrian.macdonald,881.0,1.0,1.0,1.0,15:00:57,54057.255999999994,True,f,879.0
1213,Samuel HARVEY,NZ,32,H,20-34M,,https://utmb.world/runner/5065587.samuel.harvey,732.0,2.0,2.0,1.0,15:29:53,55793.987,True,f,
9,Mike CARROLL,AU,43,H,40-44M,,https://utmb.world/runner/1879789.mike.carroll,833.0,3.0,3.0,1.0,15:37:01,56221.817,True,f,845.0
1293,George MURRAY,NZ,33,H,20-34M,,https://utmb.world/runner/4804486.george.murray,827.0,4.0,4.0,2.0,17:06:10,61570.78,True,f,772.0
23,Matthew DUNN,AU,38,H,35-39M,,https://utmb.world/runner/3104413.matthew.dunn,767.0,5.0,5.0,2.0,17:16:35,62195.585999999996,True,f,764.0
1309,Robert ORMSBY,AU,44,H,40-44M,,https://utmb.world/runner/5078009.robert.ormsby,654.0,6.0,6.0,2.0,17:56:22,64582.0,True,f,736.0
36,Konoka AZUMI,JP,36,F,35-39W,,https://utmb.world/runner/664803.konoka.azumi,672.0,7.0,1.0,1.0,18:24:53,66293.777,True,f,717.0
1245,Anthony KERR-TAYLOR,NZ,39,H,35-39M,,https://utmb.world/runner/4106207.anthony.kerrtaylor,578.0,8.0,7.0,3.0,18:44:15,67455.556,True,f,704.0
29,Austin CHIRICO,US,37,H,35-39M,,https://utmb.world/runner/3769067.austin.chirico,755.0,9.0,8.0,4.0,19:03:36,68616.738,True,f,693.0
1440,Aaron DOWER,NZ,48,H,45-49M,,https://utmb.world/runner/4010853.aaron.dower,703.0,10.0,9.0,1.0,19:06:37,68797.283,True,f,691.0
1263,Qingbo LIU,CN,49,H,45-49M,,https://utmb.world/runner/4969598.qingbo.liu,,11.0,10.0,2.0,19:27:20,70040.589,True,a,678.0
1285,Robbie MITCHELL,NZ,38,H,35-39M,,https://utmb.world/runner/4969528.robbie.mitchell,608.0,12.0,11.0,5.0,19:44:59,71099.171,True,f,668.0
1478,Michael HOOKER,AU,45,H,40-44M,,https://utmb.world/runner/2562859.michael.hooker,767.0,13.0,12.0,3.0,19:47:29,71249.11099999999,True,f,667.0
1487,Luca AHUMADA-PERCOCO,AR,32,H,20-34M,,https://utmb.world/runner/4969526.luca.ahumadapercoco,559.0,14.0,13.0,3.0,19:52:38,71558.6,True,f,664.0
1397,Jeff VANDERSANDELACOSTE,NZ,38,H,35-39M,,https://utmb.world/runner/4969658.jeff.vandersandelacoste,514.0,14.0,13.0,6.0,19:52:38,71558.761,True,f,664.0
45,Chantelle SMITH,AU,39,F,35-39W,,https://utmb.world/runner/1967381.chantelle.smith,622.0,16.0,2.0,2.0,19:55:41,71741.776,True,f,662.0
1341,Tom SABEY,GB,31,H,20-34M,,https://utmb.world/runner/5504253.tom.sabey,,17.0,15.0,4.0,20:11:30,72690.894,True,f,654.0
1491,Peter KNIGHT,Guernsey,37,H,35-39M,,https://utmb.world/runner/3823595.peter.knight,623.0,18.0,16.0,7.0,20:11:31,72691.255,True,f,654.0
28,Gerald MACPHERSON,AU,33,H,20-34M,,https://utmb.world/runner/2076737.gerald.macpherson,763.0,19.0,17.0,5.0,20:21:12,73272.451,True,f,649.0
1064,Andy TAYLOR,NZ,52,H,50-54M,,https://utmb.world/runner/1344391.andy.taylor,606.0,20.0,18.0,1.0,20:53:12,75192.079,True,f,632.0
1495,David VROOM,AU,47,H,45-49M,,,,21.0,19.0,3.0,21:09:35,76175.152,True,f,
1175,Chrissi FABER,DE,35,F,20-34W,,https://utmb.world/runner/2609371.chrissi.faber,592.0,22.0,3.0,1.0,21:15:17,76517.224,True,f,621.0
1090,Mathew BAKER,NZ,52,H,50-54M,,https://utmb.world/runner/5814761.mathew.baker,,23.0,20.0,2.0,21:22:03,76923.186,True,f,
1037,Nick JOHNSTON,NZ,37,H,35-39M,,https://utmb.world/runner/449662.nick.johnston,633.0,24.0,21.0,8.0,21:33:47,77627.05099999999,True,f,612.0
1261,Shannon-Leigh LITT,NZ,47,F,45-49W,,https://utmb.world/runner/5136163.shannonleigh.litt,602.0,25.0,4.0,1.0,21:43:04,78184.215,True,f,608.0
1262,Bevan LITTLER,NZ,46,H,45-49M,,https://utmb.world/runner/1828411.bevan.littler,610.0,26.0,22.0,4.0,21:43:51,78231.03,True,f,607.0
