# Race: Unknown
# Distance: 14 km
# D+: 0 m
# D-: 0 m
# Date: 2024-07-19
# URL: https://live.utmb.world/eigerultratrail/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
7003,Julien PILLOT,,35,H,20-34M,,https://utmb.world/runner/2389269.julien.pillot,706.0,1.0,1.0,1.0,01:20:03,4803.692,True,f,687.0
7002,Stéven GUICHAOUA,,28,H,20-34M,,https://utmb.world/runner/4483041.steven.guichaoua,724.0,2.0,2.0,2.0,01:20:18,4818.529,True,f,685.0
7192,Stijn VANDERHOEFT,,39,H,35-39M,,https://utmb.world/runner/5110488.stijn.vanderhoeft,,3.0,3.0,1.0,01:22:35,4955.746,True,f,666.0
7009,Bernd HELBER,,43,H,40-44M,,https://utmb.world/runner/3323445.bernd.helber,622.0,4.0,4.0,1.0,01:25:55,5155.144,True,f,640.0
7266,Timothy ROGERS,,44,H,40-44M,,https://utmb.world/runner/5867465.timothy.rogers,,5.0,5.0,2.0,01:27:12,5232.4,True,f,631.0
7149,Michal ZAVODSKY,,31,H,20-34M,,https://utmb.world/runner/5128997.michal.zavodsky,503.0,6.0,6.0,3.0,01:29:02,5342.508000000001,True,f,618.0
7004,Timo BERNHARD,,29,H,20-34M,OL Regio Olten,https://utmb.world/runner/5256350.timo.bernhard,701.0,7.0,7.0,4.0,01:30:00,5400.575,True,f,611.0
7001,Deborah MARTI,,30,F,20-34W,Adidas terrex,https://utmb.world/runner/4715011.deborah.chiarello,694.0,8.0,1.0,1.0,01:33:09,5589.715999999999,True,f,590.0
7037,Guido RIEGGER,,58,H,55-59M,,https://utmb.world/runner/3300247.guido.riegger,492.0,9.0,8.0,1.0,01:33:28,5608.908,True,f,588.0
7225,Jasper KURT-ELLI,,18,H,16-17M,The Marmottes,https://utmb.world/runner/5825253.jasper.kurtelli,,10.0,9.0,1.0,01:35:44,5744.840999999999,True,f,575.0
7015,Simon WERNER,,41,H,40-44M,Run for Pizza!,https://utmb.world/runner/505349.simon.werner,594.0,11.0,10.0,3.0,01:36:06,5766.130999999999,True,f,572.0
7047,Daniel BERGER,,32,H,20-34M,Sport Streicher Racing Team,https://utmb.world/runner/5648937.daniel.berger,468.0,12.0,11.0,5.0,01:38:12,5892.738,True,f,560.0
7012,Rafael GEISER,,42,H,40-44M,,https://utmb.world/runner/3960215.rafael.geiser,599.0,13.0,12.0,4.0,01:39:32,5972.865,True,f,553.0
7026,Jan BRUHNSEN,,31,H,20-34M,,https://utmb.world/runner/3298947.jan.bruhnsen,521.0,14.0,13.0,6.0,01:39:35,5975.394,True,f,552.0
7020,Benjamin SLOSBERG,,40,H,35-39M,,https://utmb.world/runner/668975.benjamin.slosberg,538.0,15.0,14.0,2.0,01:40:11,6011.206999999999,True,f,549.0
7022,Yaël WENGER,,19,H,18-19M,Team la Vallée,https://utmb.world/runner/5806559.yael.wenger,527.0,16.0,15.0,1.0,01:41:01,6061.533,True,f,544.0
7024,Bill NANSON,,63,H,60-64M,,https://utmb.world/runner/4189695.bill.nanson,519.0,17.0,16.0,1.0,01:41:31,6091.563,True,f,542.0
7010,Nicolas MARIN,,44,H,40-44M,CMBM,https://utmb.world/runner/917541.nicolas.marin,614.0,18.0,17.0,5.0,01:42:14,6134.061,True,f,538.0
7267,Janine SCHOTT,,47,F,45-49W,Club Olympus21 Tenerife,https://utmb.world/runner/1348655.janine.schott,,19.0,2.0,1.0,01:43:14,6194.705,True,f,533.0
7007,Sam COLLINS,,36,H,35-39M,,https://utmb.world/runner/3104803.sam.collins,638.0,20.0,18.0,3.0,01:43:35,6215.901999999999,True,f,
7259,Sandy MINNEBO,,49,H,45-49M,,https://utmb.world/runner/5857325.sandy.minnebo,,21.0,19.0,1.0,01:44:18,6258.786,True,f,527.0
7081,Jamie NUNN,,41,F,40-44W,Basel Dragons,https://utmb.world/runner/5065793.jamie.nunn,395.0,22.0,3.0,1.0,01:44:59,6299.882,True,f,524.0
7174,Ricardo DE FONTES AVELAR,,32,H,20-34M,,https://utmb.world/runner/1209163.ricardo.defontesavelar,,23.0,20.0,7.0,01:45:04,6304.984,True,f,523.0
7195,Clément LAMY,,26,H,20-34M,,https://utmb.world/runner/5802023.clement.lamy,,24.0,21.0,8.0,01:46:29,6389.983,True,f,517.0
7036,Daniela RUIZ-MÜLLER,,53,F,50-54W,trail-maniacs,,,25.0,4.0,1.0,01:50:11,6611.37,True,f,
7239,Joaquin Ramiro MARTINEZ ROCHE,,44,H,40-44M,C.C VALDEGANGA,https://utmb.world/runner/5830913.joaquinramiro.martinezroche,,26.0,22.0,6.0,01:50:25,6625.6630000000005,True,f,498.0
7032,Laurène FLÖSS,,38,F,35-39W,Trail Verbier St. Bernard,https://utmb.world/runner/4674291.laurene.floss,504.0,27.0,5.0,1.0,01:50:45,6645.656999999999,True,f,497.0
7187,Sandra LANGENEGGER,,46,F,45-49W,,https://utmb.world/runner/5801443.sandra.langenegger,,28.0,6.0,2.0,01:51:14,6674.8240000000005,True,f,494.0
7035,Olivier NOLBERT,,51,H,50-54M,,https://utmb.world/runner/5828519.olivier.nolbert,495.0,29.0,23.0,1.0,01:51:57,6717.203,True,f,491.0
7162,Alexandra BAUR,,38,F,35-39W,,https://utmb.world/runner/6236447.alexandra.baur,,30.0,7.0,2.0,01:52:27,6747.576,True,f,489.0
7125,Jesus Alberto ALVAREZ GALAN,,47,H,45-49M,Equipo Militar Esqui y Montaña,https://utmb.world/runner/587777.jesusalberto.alvarezgalan,,31.0,24.0,2.0,01:52:38,6758.99,True,f,488.0
7062,Bruno COMBRET,,60,H,55-59M,,https://utmb.world/runner/110760.bruno.combret,431.0,32.0,25.0,2.0,01:53:18,6798.453,True,f,485.0
7065,Gaetan LEROY,,40,H,35-39M,,https://utmb.world/runner/5314832.gaetan.leroy,423.0,33.0,26.0,4.0,01:53:28,6808.63,True,f,485.0
7150,Léo ROSET,,24,H,20-34M,,https://utmb.world/runner/5719005.leo.roset,415.0,34.0,27.0,9.0,01:54:02,6842.460999999999,True,f,482.0
7191,Doris VAN DEN BROECK,,41,F,40-44W,,https://utmb.world/runner/5110486.doris.vandenbroeck,,35.0,8.0,2.0,01:54:19,6859.576,True,f,481.0
7231,Rémi SCHNEIDER,,39,H,35-39M,,https://utmb.world/runner/5828525.remi.schneider,,36.0,28.0,5.0,01:55:01,6901.138000000001,True,f,478.0
7025,Christian STANG,,42,H,40-44M,,https://utmb.world/runner/306735.christian.stang,521.0,37.0,29.0,7.0,01:55:24,6924.3330000000005,True,f,477.0
7041,Alexander RAUCH,,48,H,45-49M,,https://utmb.world/runner/5256398.alexander.rauch,479.0,38.0,30.0,3.0,01:55:29,6929.031,True,f,476.0
7086,Stephanie LAUBER-MAYOR,,44,F,40-44W,,https://utmb.world/runner/4720520.stephanie.laubermayor,379.0,39.0,9.0,3.0,01:55:52,6952.887,True,f,475.0
7232,Bertrand SCHNEIDER,,47,H,45-49M,,https://utmb.world/runner/5828523.bertrand.schneider,,40.0,31.0,4.0,01:55:53,6953.632,True,f,475.0
7257,Philipp BERANEK,,32,H,20-34M,,https://utmb.world/runner/5855017.philipp.beranek,,41.0,32.0,10.0,01:55:54,6954.937,True,f,475.0
7271,Malte ECKERT,,41,H,40-44M,Ausdauerhelden,https://utmb.world/runner/5671811.malte.eckert,,42.0,33.0,8.0,01:57:19,7039.7,True,f,469.0
7005,Terje SANDNESS,,61,H,60-64M,Team Sandness,https://utmb.world/runner/44961.terje.sandness,679.0,42.0,33.0,2.0,01:57:19,7039.863,True,f,469.0
7269,Nils KAUFMANN,,16,H,14-15M,,https://utmb.world/runner/6152287.nils.kaufmann,,44.0,35.0,1.0,01:58:17,7097.045999999999,True,f,465.0
7155,Sandra MÜLLER,,36,F,35-39W,,https://utmb.world/runner/5058105.sandra.muller,,45.0,10.0,3.0,01:58:34,7114.713000000001,True,f,464.0
7027,Stefan BISCHOFF,,39,H,35-39M,,https://utmb.world/runner/3300403.stefan.bischoff,518.0,46.0,36.0,6.0,01:58:57,7137.938,True,f,462.0
