# Race: Unknown
# Distance: 82 km
# D+: 4720 m
# D-: 4720 m
# Date: N/A
# URL: https://live.utmb.world/grandraidventoux/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
397,Théo LE BOUDEC,FR,25,H,SE M,Altra - Compressport,https://utmb.world/runner/4197488.theo.leboudec,846.0,1.0,1.0,1.0,08:18:58,29938.78,True,f,
335,Jérémy ARBORE,FR,31,H,SE M,,https://utmb.world/runner/5260166.jeremy.arbore,600.0,2.0,2.0,2.0,08:40:45,31245.71,True,f,
398,Jeremie ASSEZAT,FR,35,H,SE M,VELAY ATHLETISME,https://utmb.world/runner/528694.jeremie.assezat,668.0,3.0,3.0,3.0,08:50:40,31840.66,True,f,
400,Marie DOHIN,FR,41,F,M1 W,TEAM KIPRUN WOMEN TEAM,https://utmb.world/runner/366647.marie.dohin,677.0,4.0,1.0,1.0,09:34:59,34499.95,True,f,
342,Julien SIMONOT,FR,31,H,SE M,Cycles 963,https://utmb.world/runner/500052.julien.simonot,750.0,5.0,4.0,4.0,09:45:53,35153.02,True,f,
327,Romain DAMIANI,FR,35,H,SE M,,https://utmb.world/runner/864036.romain.damiani,716.0,6.0,5.0,5.0,09:48:03,35283.11,True,f,
316,Thomas PAGEZY,FR,36,H,M0 M,,https://utmb.world/runner/1811927.thomas.pagezy,666.0,7.0,6.0,1.0,09:49:24,35364.35,True,f,
387,Gerald RECEVEUR,FR,43,H,M1 M,,https://utmb.world/runner/325492.gerald.receveur,558.0,8.0,7.0,1.0,10:00:15,36015.0,True,f,
399,Marie-Laure THIEUX,FR,42,F,M1 W,,https://utmb.world/runner/1759023.marielaure.thieux,646.0,9.0,2.0,2.0,10:10:54,36654.92,True,f,
264,Gregoire MASNOU,FR,34,H,SE M,,https://utmb.world/runner/1070435.gregoire.masnou,629.0,10.0,8.0,6.0,10:46:38,38798.64,True,f,
218,Tanguy BELLIER,FR,34,H,SE M,,https://utmb.world/runner/1180899.tanguy.bellier,597.0,11.0,9.0,7.0,10:46:39,38799.6,True,f,
337,Joanny ABEL,FR,40,H,M0 M,,https://utmb.world/runner/767987.joanny.abel,643.0,12.0,10.0,2.0,10:47:10,38830.56,True,f,
396,Damien VESSEAU,FR,45,H,M1 M,Aix Athlé Provence,https://utmb.world/runner/7839.damien.vesseau,641.0,13.0,11.0,2.0,10:48:41,38921.98,True,f,
267,Antonin GUYADER,FR,24,H,SE M,,,,14.0,12.0,8.0,10:54:15,39255.71,True,f,
263,Benjamin KAUFMANN,FR,33,H,SE M,La Foulée Romaine,https://utmb.world/runner/1325165.benjamin.kaufmann,645.0,15.0,13.0,9.0,10:56:01,39361.89,True,f,
293,Axel WISS,FR,46,H,M2 M,ASVA,https://utmb.world/runner/1746527.axel.wiss,583.0,16.0,14.0,1.0,10:58:07,39487.28,True,f,
211,Cédric BARONI,FR,51,H,M3 M,Courir en Livradois Forez,https://utmb.world/runner/4543754.cedric.baroni,572.0,17.0,15.0,1.0,10:59:13,39553.34,True,f,
361,Sylvain LEBRUN,FR,39,H,M0 M,,https://utmb.world/runner/1906139.sylvain.lebrun,638.0,18.0,16.0,3.0,11:00:04,39604.85,True,f,
286,Francois DIBETTA,FR,56,H,M4 M,framatome st marcel,https://utmb.world/runner/616080.francois.dibetta,638.0,19.0,17.0,1.0,11:00:20,39620.78,True,f,
292,Jean-Philippe BEGUIN,FR,52,H,M3 M,Asva,https://utmb.world/runner/4224950.jeanphilippe.beguin,564.0,20.0,18.0,2.0,11:01:05,39665.55,True,f,
