# Race: Unknown
# Distance: 84 km
# D+: 4720 m
# D-: 4720 m
# Date: N/A
# URL: https://live.utmb.world/grandraidventoux/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4040, Les ApiTrailers,FR,2025,X,Mx,,,561.0,1,1,1,08:44:36,31476.61,True,f,
4034, Loriolade 2,FR,2025,X,Mx,Laloriolade 2,,644.0,2,2,2,08:46:36,31596.83,True,f,
4043, La Team Papa Decath,FR,2025,X,Mx,,,529.0,3,3,3,09:08:23,32903.03,True,f,
4048, LES BOB,FR,2025,X,Mx,,,529.0,4,4,4,09:16:05,33365.86,True,f,
4032, Tu brasses du Vent'OU tu cours,FR,2025,X,Mx,,,554.0,5,5,5,09:21:04,33664.77,True,f,
4004, Loriolade number one,FR,2025,X,Mx,La Loriolade,,544.0,6,6,6,09:24:19,33859.44,True,f,
4024, Team trail du Livradois Forez,FR,2025,X,Mx,Courir en Livradois Forez,,606.0,7,7,7,09:34:18,34458.83,True,f,
4038, Les intrépides savoyardes,FR,2025,F,F,MSN73,,517.0,8,1,1,09:35:05,34505.75,True,f,
4042, Les Foreziens,FR,2025,X,Mx,,,535.0,9,8,8,09:35:47,34547.84,True,f,
4003, CLF en vadrouille,FR,2025,X,Mx,Courir en Livradois Forez,,534.0,10,9,9,09:44:12,35052.63,True,f,
4015, Les Désorientés,FR,2025,X,Mx,CSA TRAIL BA 115,,538.0,11,10,10,09:46:23,35183.23,True,f,
4002, Sport nature St Jean,FR,2025,X,Mx,Sport Nature Saint Jean,,456.0,12,11,11,09:53:29,35609.31,True,f,
4039, DINGUES DES FOULEES,FR,2025,X,Mx,DINGUES DES FOULEES,,513.0,13,12,12,09:54:33,35673.63,True,f,
4030, La Fût Team,FR,2025,X,Mx,CSA BA115 Orange,,,14,13,13,09:59:06,35946.44,True,f,
4007, Les frelons,FR,2025,X,Mx,Combes et Crêtes,,485.0,15,14,14,10:02:52,36172.54,True,f,
4044, CRRA-Moisis,FR,2025,X,Mx,CRRA,,557.0,16,15,15,10:06:45,36405.38,True,f,
4001, Les chamois gardois,FR,2025,X,Mx,,,,17,16,16,10:11:16,36676.94,True,f,
4012, Canikaze84,FR,2025,X,Mx,"Canikaze84, canikaze84",,496.0,18,17,17,10:11:29,36689.27,True,f,
4051, Gemelli,FR,2025,X,Mx,Gemelli,,610.0,19,18,18,10:11:57,36717.09,True,f,
4006, Les copains d'abord,FR,2025,X,Mx,COURIR EN LIVRADOIS FOREZ,,467.0,20,19,19,10:14:44,36884.62,True,f,
4026, Les Gazelles du CLF,FR,2025,F,F,Courir en Livradois Forez,,527.0,21,2,2,10:18:53,37133.47,True,f,
4010, Les Nazes,FR,2025,X,Mx,CSA TRAIL BA 115 / Les Nazes,,458.0,22,20,20,10:20:58,37258.94,True,f,
4005, Los Bandidos,FR,2025,X,Mx,,,447.0,23,21,21,10:22:50,37370.93,True,f,
4023, CNGA 2,FR,2025,X,Mx,CNGA,,470.0,24,22,22,10:23:20,37400.42,True,f,
4008, Run 4 Fun du CLF,FR,2025,X,Mx,Courir en Livradois Forez,,542.0,25,23,23,10:25:02,37502.99,True,f,
4020, Cap en Luberon,FR,2025,X,Mx,Cap en Luberon,,482.0,26,24,24,10:32:31,37951.79,True,f,
