# Race: Unknown
# Distance: 124 km
# D+: 6500 m
# D-: 6500 m
# Date: 2025-04-25
# URL: https://live.utmb.world/grandraidventoux/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1,Matthieu SIMON,FR,28,H,20-34M,Brooks Trail Runners,https://utmb.world/runner/1555099.matthieu.simon,855.0,1.0,1.0,1.0,12:33:38,45218.9,True,f,
10,Ludovic POMMERET,FR,50,H,50-54M,Team Hoka,https://utmb.world/runner/7829.ludovic.pommeret,889.0,2.0,2.0,1.0,12:39:49,45589.1,True,f,
15,Alex MOLIN PRADEL,FR,26,H,20-34M,Annecy Athlétisme / MTR,https://utmb.world/runner/4438090.alex.molinpradel,825.0,3.0,3.0,2.0,12:55:50,46550.87,True,f,
18,Nicolas ALLEMEERSCH,FR,30,H,20-34M,Sans,https://utmb.world/runner/4009035.nicolas.allemeersch,818.0,4.0,4.0,3.0,13:00:34,46834.14,True,f,
13,Jérémie MARIN,FR,34,H,20-34M,Altra running,https://utmb.world/runner/539006.jeremie.marin,818.0,5.0,5.0,4.0,13:02:16,46936.83,True,f,
9,Pierre-Arnaud BOURGUENOLLE,FR,38,H,35-39M,Oxsitis / Otso Luxembourg,https://utmb.world/runner/460526.pierrearnaud.bourguenolle,819.0,6.0,6.0,1.0,13:08:28,47308.13,True,f,
14,Diego PAZOS,CH,41,H,40-44M,Compressport / Naak,https://utmb.world/runner/42923.diego.pazos,810.0,7.0,7.0,1.0,13:12:10,47530.2,True,f,
3,Andy SYMONDS,GB,44,H,40-44M,SCOTT RUNNING,https://utmb.world/runner/5960.andy.symonds,836.0,8.0,8.0,2.0,13:14:15,47655.0,True,f,
36,Brieuc LAMY,FR,26,H,20-34M,Suunto,https://utmb.world/runner/2693193.brieuc.lamy,756.0,9.0,9.0,5.0,14:17:00,51420.14,True,f,
4,Alexandre BOUCHEIX,FR,34,H,20-34M,CASQUETTE VERTE,https://utmb.world/runner/758585.alexandre.boucheix,830.0,10.0,10.0,6.0,14:38:31,52711.14,True,f,
24,David CALERO RODRIGUEZ,ES,37,H,35-39M,-,https://utmb.world/runner/563770.david.calerorodriguez,751.0,11.0,11.0,2.0,14:44:04,53044.56,True,f,
16,Massimo PALADIN,IT,40,H,40-44M,-,https://utmb.world/runner/921767.massimo.paladin,779.0,12.0,12.0,3.0,15:19:30,55170.6,True,f,
43,Adrien MONDON,FR,31,H,20-34M,,https://utmb.world/runner/5042198.adrien.mondon,697.0,13.0,13.0,7.0,15:23:33,55413.32,True,f,
22,Christophe GRIFGNEE,BE,37,H,35-39M,Vo2Max/Respire Sports,https://utmb.world/runner/481160.christophe.grifgnee,766.0,14.0,14.0,3.0,15:28:02,55682.17,True,f,
6,Ida Sophie HEGEMANN,DE,28,F,20-34W,,https://utmb.world/runner/2228289.idasophie.hegemann,725.0,15.0,1.0,1.0,15:57:25,57445.94,True,f,
19,Sébastien CAPUS,FR,36,H,35-39M,JDK Racing Team,https://utmb.world/runner/1815055.sebastien.capus,777.0,16.0,15.0,4.0,16:04:45,57885.93,True,f,
170,Lorenzo GESALDI,IT,32,H,20-34M,,https://utmb.world/runner/4856896.lorenzo.gesaldi,642.0,17.0,16.0,8.0,16:35:42,59742.14,True,f,
57,Marco NOTO,BE,35,H,35-39M,Wild Training,https://utmb.world/runner/4199112.marco.noto,650.0,18.0,17.0,5.0,16:37:44,59864.56,True,f,
41,Thomas GAUDINAUD,FR,35,H,35-39M,,https://utmb.world/runner/3392793.thomas.gaudinaud,706.0,19.0,18.0,6.0,16:39:53,59993.39,True,f,
66,Jules MOUZE,FR,32,H,20-34M,,https://utmb.world/runner/4494660.jules.mouze,643.0,20.0,19.0,9.0,16:48:12,60492.67,True,f,
50,Samuel BOURS,BE,38,H,35-39M,,https://utmb.world/runner/3679079.samuel.bours,665.0,21.0,20.0,7.0,16:48:22,60502.33,True,f,
45,Sebastian PIEL,DE,39,H,35-39M,Trail Crew Trier,https://utmb.world/runner/3226121.sebastian.piel,672.0,22.0,21.0,8.0,16:51:09,60669.65,True,f,
157,Charly COUDURIER,FR,35,H,35-39M,Sainte of course,https://utmb.world/runner/4901166.charly.coudurier,632.0,23.0,22.0,9.0,16:51:26,60686.29,True,f,
49,Tom COLLIN,FR,28,H,20-34M,MORGON RUNNERS,https://utmb.world/runner/3515009.tom.collin,681.0,24.0,23.0,10.0,16:53:15,60795.51,True,f,
98,Arthur SIMON,FR,24,H,20-34M,SAA,https://utmb.world/runner/5485845.arthur.simon,640.0,25.0,24.0,11.0,16:57:51,61071.57,True,f,
39,Jérémie BOUCHARD,FR,41,H,40-44M,CIELA VILLAGE,https://utmb.world/runner/1653175.jeremie.bouchard,735.0,26.0,25.0,4.0,16:59:38,61178.19,True,f,
75,Thomas FATTORE,FR,29,H,20-34M,,https://utmb.world/runner/4284550.thomas.fattore,631.0,27.0,26.0,12.0,17:08:56,61736.26,True,f,
135,Kevin MERAUT,FR,37,H,35-39M,,https://utmb.world/runner/5685121.kevin.meraut,614.0,28.0,27.0,10.0,17:21:03,62463.74,True,f,
81,Antoine YAHIA CHERIF,FR,34,H,20-34M,Marseille Trail Club,https://utmb.world/runner/4301640.antoine.yahiacherif,631.0,29.0,28.0,13.0,17:25:10,62710.76,True,f,
26,Laura BERRUER,FR,25,F,20-34W,Team Terre de Running Luberon / AS Cavaillon,https://utmb.world/runner/2621627.laura.berruer,610.0,30.0,2.0,2.0,17:30:17,63017.6,True,f,
129,Barthelemy COCAULT,FR,29,H,20-34M,COCAULT MAURY,https://utmb.world/runner/4317449.barthelemy.cocault,608.0,31.0,29.0,14.0,17:31:27,63087.6,True,f,
92,Elie PELISSON,FR,43,H,40-44M,,https://utmb.world/runner/5215171.elie.pelisson,629.0,32.0,30.0,5.0,17:33:45,63225.59,True,f,
155,Arthur PRÉVOST,FR,32,H,20-34M,,https://utmb.world/runner/5042246.arthur.prevost,605.0,33.0,31.0,15.0,17:35:39,63339.81,True,f,
63,Valentin RENAUX,FR,26,H,20-34M,,https://utmb.world/runner/4312339.valentin.renaux,645.0,34.0,32.0,16.0,17:36:54,63414.28,True,f,
91,Nicolas SENSEY,FR,32,H,20-34M,,https://utmb.world/runner/3798621.nicolas.sensey,620.0,35.0,33.0,17.0,17:43:43,63823.29,True,f,
73,Emilien JOBERT,FR,35,H,35-39M,,https://utmb.world/runner/6102278.emilien.jobert,643.0,36.0,34.0,11.0,17:47:12,64032.64,True,f,
77,Rémy GUICHARD,FR,37,H,35-39M,,https://utmb.world/runner/5614012.remy.guichard,628.0,37.0,35.0,12.0,17:49:04,64144.92,True,f,
46,Yann MORIN,FR,39,H,35-39M,,https://utmb.world/runner/3891147.yann.morin,674.0,37.0,35.0,12.0,17:49:04,64144.68,True,f,
58,Guillaume SOUFFLET,FR,31,H,20-34M,AL ECHIROLLES,https://utmb.world/runner/4308639.guillaume.soufflet,650.0,39.0,37.0,18.0,17:52:52,64372.21,True,f,
492,François HINAULT,FR,38,H,35-39M,Grand Raid du Finistère,https://utmb.world/runner/854073.francois.hinault,595.0,40.0,38.0,14.0,17:53:28,64408.4,True,f,
137,Vincent GLEIZE,FR,49,H,45-49M,Team Terre de Running Luberon,https://utmb.world/runner/2014539.vincent.gleize,600.0,41.0,39.0,1.0,17:57:58,64678.06,True,f,
25,Sara AMMANN,CH,40,F,40-44W,Compressport Switzerland,https://utmb.world/runner/1025025.sara.ammann,625.0,42.0,3.0,1.0,18:00:02,64802.98,True,f,
