# Race: Unknown
# Distance: 13 km
# D+: 500 m
# D-: 500 m
# Date: 2023-09-23
# URL: https://live.utmb.world/grindstone/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2012,Brandt BOGGS,US,38,H,35-39M,,https://utmb.world/runner/5039603.brandt.boggs,,1.0,1.0,1.0,01:42:40,6160.934,True,f,635.0
2124,Hollyann SWANN,US,30,F,20-34W,,https://utmb.world/runner/4083385.hollyann.swann,723.0,2.0,1.0,1.0,01:49:18,6558.8009999999995,True,f,597.0
2130,Shad UADIALE,CA,38,H,35-39M,,https://utmb.world/runner/5060289.shad.uadiale,,3.0,2.0,2.0,01:51:09,6669.852,True,f,587.0
2076,Steven LARICK,US,32,H,20-34M,,https://utmb.world/runner/4292517.steven.larick,723.0,4.0,3.0,1.0,01:54:01,6841.359,True,f,572.0
2073,Aimee KOHLER,US,30,F,20-34W,,https://utmb.world/runner/5039663.aimee.kohler,,5.0,2.0,2.0,01:55:21,6921.189,True,f,566.0
2038,Martin DUBEAU,CA,48,H,45-49M,,https://utmb.world/runner/1549429.martin.dubeau,519.0,6.0,4.0,1.0,01:59:18,7158.979,True,f,547.0
2011,Brittany BLITZER,US,37,F,35-39W,,https://utmb.world/runner/5039017.brittany.blitzer,571.0,7.0,3.0,1.0,02:00:43,7243.71,True,f,540.0
2057,Oscar GONZALEZ,US,47,H,45-49M,,https://utmb.world/runner/4518763.oscar.gonzalez,417.0,8.0,5.0,2.0,02:02:18,7338.554,True,f,533.0
2082,Matthew LIVINGSTONE,US,45,H,40-44M,,https://utmb.world/runner/166189.matthew.livingstone,573.0,9.0,6.0,1.0,02:05:43,7543.608,True,f,519.0
2004,Jake MITCHELL,US,38,H,35-39M,,https://utmb.world/runner/5310283.jake.mitchell,448.0,10.0,7.0,3.0,02:10:00,7800.389,True,f,502.0
2121,Leonardo SOLANO,CR,36,H,20-34M,,https://utmb.world/runner/4925083.leonardo.solano,478.0,11.0,8.0,2.0,02:11:01,7861.284000000001,True,f,498.0
2060,Steven GUARD,US,33,H,20-34M,,https://utmb.world/runner/1836389.steven.guard,499.0,12.0,9.0,3.0,02:12:18,7938.283,True,f,493.0
2091,Ivan MENDEZ,CR,44,H,40-44M,,https://utmb.world/runner/2295443.ivan.mendez,500.0,13.0,10.0,2.0,02:12:30,7950.238,True,f,492.0
2015,Logan BROWN,US,36,H,20-34M,,https://utmb.world/runner/5201569.logan.brown,,14.0,11.0,4.0,02:14:18,8058.209,True,f,486.0
2132,Mehmet UNAL,US,41,H,35-39M,,https://utmb.world/runner/5039677.mehmet.unal,,15.0,12.0,4.0,02:15:00,8100.0,True,f,483.0
2009,Daniel BARTLING,US,39,H,35-39M,,https://utmb.world/runner/5051641.daniel.bartling,,16.0,13.0,5.0,02:17:25,8245.733,True,f,475.0
2031,Andrew CROOT,US,43,H,40-44M,,https://utmb.world/runner/5039683.andrew.croot,,17.0,14.0,3.0,02:17:30,8250.631,True,f,474.0
2019,Dominic BYRON,US,34,H,20-34M,,https://utmb.world/runner/5176363.dominic.byron,,18.0,15.0,5.0,02:18:39,8319.863000000001,True,f,471.0
2081,Samie LEIGH,US,37,F,35-39W,,https://utmb.world/runner/4517080.samie.leigh,538.0,19.0,4.0,2.0,02:19:30,8370.198,True,f,468.0
2090,Ricardo MEJIAS GAMBOA,CR,36,H,20-34M,,https://utmb.world/runner/5178795.ricardo.mejiasgamboa,,20.0,16.0,6.0,02:19:51,8391.65,True,f,467.0
2007,Andrew ARBUCKLE,US,50,H,45-49M,,https://utmb.world/runner/229256.andrew.arbuckle,460.0,21.0,17.0,3.0,02:20:51,8451.969000000001,True,f,463.0
2033,Todd DAVIS,US,48,H,45-49M,,https://utmb.world/runner/37548.todd.davis,,22.0,18.0,4.0,02:21:59,8519.668,True,f,460.0
2131,George ULRICH,US,55,H,50-54M,,https://utmb.world/runner/2639707.george.ulrich,399.0,23.0,19.0,1.0,02:22:19,8539.989,True,f,458.0
2139,Erik ZORN,US,32,H,20-34M,,https://utmb.world/runner/4807448.erik.zorn,435.0,24.0,20.0,7.0,02:22:22,8542.177,True,f,458.0
2016,Christine BRUGH,US,33,F,20-34W,,https://utmb.world/runner/5039623.christine.brugh,,25.0,5.0,3.0,02:22:58,8578.927,True,f,456.0
2133,Valverde Rodriguez DAVID,CR,47,H,45-49M,,https://utmb.world/runner/1198557.valverderodriguez.david,411.0,26.0,21.0,5.0,02:23:43,8623.988000000001,True,f,454.0
2044,Willow FITZGERALD,US,22,F,20-34W,,https://utmb.world/runner/5039593.willow.fitzgerald,,27.0,6.0,4.0,02:24:10,8650.001,True,f,453.0
2028,Dorothee CONVARD,US,46,F,40-44W,,https://utmb.world/runner/5039619.dorothee.convard,,28.0,7.0,1.0,02:24:20,8660.925,True,f,452.0
2034,Christopher DE VEER,US,50,H,45-49M,,https://utmb.world/runner/3001789.christopher.deveer,,29.0,22.0,6.0,02:25:46,8746.966999999999,True,f,448.0
2050,Erin FULTON,US,46,F,40-44W,,https://utmb.world/runner/5039657.erin.fulton,,30.0,8.0,2.0,02:26:45,8805.798,True,f,445.0
2106,Rico RECINOS,US,32,H,20-34M,,https://utmb.world/runner/5039587.rico.recinos,,31.0,23.0,8.0,02:27:47,8867.314,True,f,441.0
2074,Tom KRAJNA,US,67,H,65-69M,,https://utmb.world/runner/1915621.tom.krajna,470.0,32.0,24.0,1.0,02:32:46,9166.895,True,f,427.0
2099,Taynay OLIVEIRA,US,38,F,35-39W,,https://utmb.world/runner/570071.taynay.oliveira,423.0,33.0,9.0,3.0,02:34:28,9268.33,True,f,422.0
2005,Johan OSORIO,US,43,H,40-44M,,https://utmb.world/runner/5504761.johan.osorio,,34.0,25.0,4.0,02:34:40,9280.1,True,f,422.0
2102,Jeremy PEYTON,US,51,H,45-49M,,https://utmb.world/runner/5039597.jeremy.peyton,,35.0,26.0,7.0,02:34:48,9288.68,True,f,421.0
2070,Victoria KENDRA,US,55,F,50-54W,,https://utmb.world/runner/2037335.victoria.kendra,426.0,36.0,10.0,1.0,02:34:56,9296.16,True,f,421.0
2010,Justina BARTLING,US,34,F,20-34W,,https://utmb.world/runner/5051639.justina.bartling,,37.0,11.0,5.0,02:35:04,9304.302,True,f,421.0
2141,Tyler PEEK,US,60,H,55-59M,,https://utmb.world/runner/33758.tyler.peek,,38.0,27.0,1.0,02:35:24,9324.48,True,f,420.0
2067,Cigdem ILHAN,TR,31,F,20-34W,,https://utmb.world/runner/4207651.cigdem.ilhan,392.0,39.0,12.0,6.0,02:35:50,9350.939,True,f,419.0
2006,Mauro ALVES,US,60,H,55-59M,,https://utmb.world/runner/5038473.mauro.alves,401.0,40.0,28.0,2.0,02:36:47,9407.82,True,f,416.0
2063,Sarah HOLLAND,US,33,F,20-34W,,https://utmb.world/runner/5039631.sarah.holland,,41.0,13.0,7.0,02:36:54,9414.0,True,f,416.0
2111,Katelyn ROBERTS,CA,36,F,20-34W,,https://utmb.world/runner/5058499.katelyn.roberts,390.0,42.0,14.0,8.0,02:37:26,9446.632,True,f,414.0
2075,Tanja LANDSTROM,US,49,F,45-49W,,https://utmb.world/runner/5039605.tanja.landstrom,,43.0,15.0,1.0,02:37:40,9460.671999999999,True,f,414.0
2092,Martin MERAVY,US,36,H,20-34M,,https://utmb.world/runner/5201567.martin.meravy,,44.0,29.0,9.0,02:38:10,9490.869,True,f,412.0
2040,Arturo ESPINOZA,US,47,H,45-49M,,https://utmb.world/runner/405508.arturo.espinoza,394.0,45.0,30.0,8.0,02:38:37,9517.181999999999,True,f,411.0
2113,Blanka SAMPLE,US,48,F,45-49W,,https://utmb.world/runner/5038823.blanka.sample,361.0,46.0,16.0,2.0,02:38:46,9526.758,True,f,411.0
2045,John FITZGERALD,US,58,H,55-59M,,https://utmb.world/runner/5039635.john.fitzgerald,,47.0,31.0,3.0,02:40:14,9614.815999999999,True,f,407.0
2055,Jennifer GILDEA,US,50,F,45-49W,,https://utmb.world/runner/5039607.jennifer.gildea,,47.0,17.0,3.0,02:40:14,9614.976999999999,True,f,407.0
2021,Victor CARRENO,US,45,H,40-44M,,https://utmb.world/runner/5038517.victor.carreno,,49.0,32.0,5.0,02:40:45,9645.578000000001,True,f,406.0
2109,Mileidis RIVAS,US,44,F,40-44W,,https://utmb.world/runner/575001.mileidis.rivas,390.0,50.0,18.0,3.0,02:41:47,9707.095,True,f,403.0
2118,James SMITH,US,45,H,40-44M,,https://utmb.world/runner/5040157.james.smith,315.0,51.0,33.0,6.0,02:42:53,9773.136,True,f,401.0
2135,Brett WEISSER,US,56,H,50-54M,,https://utmb.world/runner/4618676.brett.weisser,383.0,52.0,34.0,2.0,02:43:35,9815.329,True,f,399.0
2103,Jacob PRITCHARD,US,36,H,20-34M,,https://utmb.world/runner/5192507.jacob.pritchard,,53.0,35.0,10.0,02:44:50,9890.407,True,f,396.0
2002,Jason HARR,US,44,H,40-44M,,https://utmb.world/runner/5504755.jason.harr,,54.0,36.0,7.0,02:45:15,9915.146,True,f,395.0
2056,Elisabeth GOLLER,IT,61,F,55-59W,,https://utmb.world/runner/5179491.elisabeth.goller,,55.0,19.0,1.0,02:45:22,9922.874,True,f,395.0
2042,Senol EVREN,US,59,H,55-59M,,https://utmb.world/runner/4130816.senol.evren,,56.0,37.0,4.0,02:46:32,9992.159,True,f,392.0
