# Race: Grindstone Trail Running Festival by UTMB 2024 - 100k
# Distance: 105 km
# D+: 3350 m
# D-: 3350 m
# Date: 2024-09-21
# URL: https://live.utmb.world/grindstone/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1053,Sean Bowman,US,41,H,40-44M,,,,1.0,1.0,1.0,10:36:26,38186.741,True,f,
1237,Reagan Mccoy,US,27,H,20-34M,,,,2.0,2.0,1.0,10:55:09,39309.969,True,f,
1289,Dalton Randall,US,28,H,20-34M,,,,3.0,3.0,2.0,10:55:39,39339.589,True,f,
1245,Drew Miller,US,39,H,35-39M,,,,4.0,4.0,1.0,11:02:34,39754.0,True,f,
1329,Andrew Simpson,US,37,H,35-39M,,,,5.0,5.0,2.0,11:15:19,40519.203,True,f,
1038,Holly Benner,US,42,F,40-44W,,https://utmb.world/runner/6230611.holly.benner,,6.0,1.0,1.0,11:22:44,40964.141,True,f,
1125,Matthew Ferro,US,31,H,20-34M,,,,7.0,6.0,3.0,11:23:46,41026.832,True,f,
1044,Mead Binhammer,US,31,H,20-34M,,,,8.0,7.0,4.0,11:28:00,41280.23,True,f,
1275,Conner Parsons,US,37,H,35-39M,,,,9.0,8.0,3.0,11:29:09,41349.658,True,f,
1373,Pat Wachter,US,28,H,20-34M,,,,10.0,9.0,5.0,11:35:19,41719.528,True,f,
1337,Chase Smith,US,28,H,20-34M,,,,11.0,10.0,6.0,11:46:06,42366.67,True,f,
1303,Isaac Rubinstein,US,29,H,20-34M,,,,12.0,11.0,7.0,11:50:32,42632.669,True,f,
1388,Nicholas Wirz,US,37,H,35-39M,,,,13.0,12.0,4.0,11:55:11,42911.916,True,f,
1249,Rob Molke,US,34,H,20-34M,,,,14.0,13.0,8.0,12:01:57,43317.896,True,f,
1250,Almos Molnar,HU,34,H,20-34M,,,,15.0,14.0,9.0,12:16:25,44185.208,True,f,
1142,Mitchell Grant,CA,32,H,20-34M,,,,16.0,15.0,10.0,12:42:16,45736.379,True,f,
1052,Cody Bowers,US,39,H,35-39M,,,,16.0,15.0,5.0,12:42:16,45736.444,True,f,
1036,Dania Belisle,CA,33,F,20-34W,,,,18.0,2.0,1.0,12:42:54,45774.0,True,f,
1085,Nikolette Cochran,US,40,F,35-39W,,,,19.0,3.0,1.0,12:42:55,45775.656,True,f,
1042,August Beyer,US,25,H,20-34M,,,,20.0,17.0,11.0,12:48:34,46114.022,True,f,
1211,Scott Lesh,US,41,H,40-44M,,,,21.0,18.0,2.0,12:49:10,46150.0,True,f,
1026,Sandor Axelrod,US,33,H,20-34M,,,,22.0,19.0,12.0,12:51:37,46297.96,True,f,
1230,Boone Marois,US,31,H,20-34M,,,,23.0,20.0,13.0,12:53:08,46388.467,True,f,
1164,Samuel Hill,US,28,H,20-34M,,,,24.0,21.0,14.0,13:05:21,47121.435,True,f,
1209,Shazan Lefebvre,CA,39,H,35-39M,,,,25.0,22.0,6.0,13:11:43,47503.573,True,f,
1261,Lyne Nantel,CA,43,F,40-44W,,,,26.0,4.0,2.0,13:17:25,47845.289,True,f,
1069,Alexandra Caminiti,US,37,F,35-39W,,,,27.0,5.0,2.0,13:22:04,48124.807,True,f,
1210,Matt Lenagh,US,34,H,20-34M,,,,28.0,23.0,15.0,13:25:07,48307.784,True,f,
1255,Andrew Moskal,US,37,H,35-39M,,,,29.0,24.0,7.0,13:27:31,48451.428,True,f,
1147,Maegen Guse,CA,29,F,20-34W,,,,30.0,6.0,2.0,13:30:51,48651.223,True,f,
1379,Eugene Wechsler,US,42,H,40-44M,,,,31.0,25.0,3.0,13:38:40,49120.952,True,f,
1107,Christina Di Iorio,CA,29,F,20-34W,,,,32.0,7.0,3.0,13:44:59,49499.549,True,f,
1134,Robert Galinski,US,41,H,40-44M,,,,33.0,26.0,4.0,13:47:48,49668.339,True,f,
1267,Blake Ofstedal,US,34,H,20-34M,,,,34.0,27.0,16.0,13:49:03,49743.02,True,f,
1386,Matthew Wilson,US,42,H,40-44M,,,,35.0,28.0,5.0,13:51:28,49888.183,True,f,
1387,Jessica Wingo,US,33,F,20-34W,,,,36.0,8.0,4.0,13:51:29,49889.499,True,f,
1401,Taylor Hitt,US,29,H,20-34M,,,,37.0,29.0,17.0,13:52:22,49942.204,True,f,
1022,Maxime Arnaudon,FR,33,H,20-34M,,,,38.0,30.0,18.0,13:53:42,50022.912,True,f,
1067,Kyle Burns,US,31,H,20-34M,,,,39.0,31.0,19.0,13:54:25,50065.397,True,f,
1157,Jeanelle Hazlett,CA,36,F,35-39W,,,,40.0,9.0,3.0,13:54:44,50084.335,True,f,
1208,James Lee,US,36,H,35-39M,,,,41.0,32.0,8.0,14:08:47,50927.781,True,f,
1341,Dmitri Soloviev,US,52,H,50-54M,,,,42.0,33.0,1.0,14:10:15,51015.386,True,f,
1240,Tracy Mckinnon,US,51,H,50-54M,,,,43.0,34.0,2.0,14:16:47,51407.432,True,f,
1162,Parry Higginson,US,36,H,35-39M,,,,44.0,35.0,9.0,14:21:38,51698.8,True,f,
1256,Kate Mulcahy,US,33,F,20-34W,,,,45.0,10.0,5.0,14:22:11,51731.98,True,f,
1113,Karen Dunn,US,49,F,45-49W,,,,46.0,11.0,1.0,14:22:41,51761.392,True,f,
1416,Matt Stanek,US,55,H,50-54M,,,,47.0,36.0,3.0,14:26:42,52002.952,True,f,
1078,Mather Chaney,US,48,H,45-49M,,,,48.0,37.0,1.0,14:29:57,52197.001,True,f,
1333,Nick Slatt,US,37,H,35-39M,,,,49.0,38.0,10.0,14:38:49,52729.078,True,f,
1385,Caleb Wilson,US,33,H,20-34M,,,,50.0,39.0,20.0,14:38:59,52739.879,True,f,
1130,Tyler Foor,US,29,H,20-34M,,,,51.0,40.0,21.0,14:39:42,52782.644,True,f,
1325,Jean-pierre Sicotte,CA,37,H,35-39M,,,,52.0,41.0,11.0,14:41:41,52901.979,True,f,
1104,Christopher Dellana,US,34,H,20-34M,,,,53.0,42.0,22.0,14:43:03,52983.658,True,f,
1316,Rebekah luci Searels,US,32,F,20-34W,,,,53.0,12.0,6.0,14:43:03,52983.983,True,f,
1163,Conner Hildahl,CA,38,H,35-39M,,,,55.0,43.0,12.0,14:46:47,53207.56,True,f,
1153,Nick Harrower,CA,35,H,20-34M,,,,55.0,43.0,23.0,14:46:47,53207.783,True,f,
1350,Melissa Surman,US,47,F,45-49W,,,,57.0,13.0,2.0,14:48:48,53328.303,True,f,
1417,Jhon Alexander Sanchez,CO,39,H,35-39M,,https://utmb.world/runner/4807026.jhonalexander.sanchez,527.0,58.0,45.0,13.0,14:49:05,53345.383,True,f,
1179,Alexander Jeffs,US,30,H,20-34M,,,,59.0,46.0,24.0,14:50:28,53428.164,True,f,
