# Race: Grindstone Trail Running Festival by UTMB 2025 - 100K
# Distance: 105 km
# D+: 3350 m
# D-: 3350 m
# Date: 2025-09-20
# URL: https://live.utmb.world/grindstone/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1331,Mead BINHAMMER,US,31,H,20-34M,,https://utmb.world/runner/5451464.mead.binhammer,775.0,1.0,1.0,1.0,09:38:11,34691,True,f,
1291,Nicholas GUARNACCIA,US,32,H,20-34M,,https://utmb.world/runner/7525929.nicholas.guarnaccia,,2.0,2.0,2.0,10:09:35,36575,True,f,
1016,Timothy NOONEY,US,32,H,20-34M,,https://utmb.world/runner/1878535.timothy.nooney,776.0,3.0,3.0,3.0,10:22:58,37378,True,f,
1017,Adrian SPENCER,US,42,H,40-44M,,https://utmb.world/runner/1135363.adrian.spencer,724.0,4.0,4.0,1.0,10:56:38,39398,True,f,
1166,Nick GOLEBIOWSKI,US,30,H,20-34M,,https://utmb.world/runner/7338829.nick.golebiowski,,5.0,5.0,4.0,11:18:17,40697,True,f,
1002,Sandi NYPAVER,US,37,F,35-39W,,https://utmb.world/runner/2800.sandi.nypaver,654.0,6.0,1.0,1.0,11:24:54,41094,True,f,
1154,Andrew BOYLE,US,29,H,20-34M,,https://utmb.world/runner/4258511.andrew.boyle,,7.0,6.0,5.0,11:50:15,42615,True,f,
1290,Tessa CHESSER,US,38,F,35-39W,,https://utmb.world/runner/428371.tessa.chesser,,8.0,2.0,2.0,12:15:24,44124,True,f,
1022,Ryan KROMER,US,31,H,20-34M,,https://utmb.world/runner/4130874.ryan.kromer,623.0,9.0,7.0,6.0,12:18:02,44282,True,f,
1026,Leon YUM,FR,34,H,20-34M,,https://utmb.world/runner/3194619.leon.yum,621.0,10.0,8.0,7.0,12:36:06,45366,True,f,
1036,Jessica WINGO,US,33,F,20-34W,,https://utmb.world/runner/6391631.jessica.wingo,562.0,11.0,3.0,1.0,12:38:26,45506,True,f,
1034,Joe KEYS,US,29,H,20-34M,,https://utmb.world/runner/5196477.joe.keys,575.0,12.0,9.0,8.0,12:43:39,45819,True,f,
1041,Laura TRISSEL,US,42,F,40-44W,,https://utmb.world/runner/6110983.laura.trissel,536.0,13.0,4.0,1.0,12:56:07,46567,True,f,
1313,Joachim CASSEL,GB,35,H,35-39M,,https://utmb.world/runner/2126375.joachim.cassel,619.0,14.0,10.0,1.0,13:16:43,47803,True,f,
1023,Tanis BOLTON,CA,34,F,20-34W,,https://utmb.world/runner/4491990.tanis.bolton,641.0,15.0,5.0,2.0,13:19:00,47940,True,f,
1057,William PALMER,US,56,H,55-59M,,https://utmb.world/runner/440570.william.palmer,497.0,16.0,11.0,1.0,13:19:53,47993,True,f,
1024,John LAKE,US,32,H,20-34M,,https://utmb.world/runner/6174066.john.lake,634.0,17.0,12.0,9.0,13:32:53,48773,True,f,
1027,Stan FERGUSON,US,62,H,60-64M,,https://utmb.world/runner/5718753.stan.ferguson,613.0,18.0,13.0,1.0,13:45:27,49527,True,f,
1323,Gabriella BACCARANI,PA,36,F,35-39W,,https://utmb.world/runner/889709.gabriella.baccarani,541.0,19.0,6.0,3.0,13:50:14,49814,True,f,
1030,Jean-Philippe LEBEAU,CA,46,H,45-49M,,https://utmb.world/runner/501174.jeanphilippe.lebeau,590.0,20.0,14.0,1.0,14:01:14,50474,True,f,
1151,Juliana VILLA,CO,30,F,20-34W,,https://utmb.world/runner/7511305.juliana.villa,,21.0,7.0,3.0,14:08:55,50935,True,f,
1196,Marshall DANIELS,US,40,H,40-44M,,https://utmb.world/runner/4883104.marshall.daniels,,22.0,15.0,2.0,14:22:21,51741,True,f,
1270,Jay REYNOLDS,US,32,H,20-34M,,https://utmb.world/runner/6964913.jay.reynolds,,23.0,16.0,10.0,14:25:16,51916,True,f,
1029,Masaomi SAKAGUCHI,JP,45,H,45-49M,,https://utmb.world/runner/4352926.masaomi.sakaguchi,602.0,24.0,17.0,2.0,14:26:57,52017,True,f,
1318,Scott BRITTON,US,38,H,35-39M,,https://utmb.world/runner/6725635.scott.britton,,25.0,18.0,2.0,14:30:26,52226,True,f,
1279,Matt SIMEONE,US,38,H,35-39M,,https://utmb.world/runner/7474125.matt.simeone,,26.0,19.0,3.0,14:32:28,52348,True,f,
1061,Simon THIVIERGE,CA,37,H,35-39M,,https://utmb.world/runner/6580148.simon.thivierge,494.0,27.0,20.0,4.0,14:35:02,52502,True,f,
1047,Samuel VAN VALKENBURG,US,40,H,40-44M,,https://utmb.world/runner/1380993.samuel.vanvalkenburg,524.0,28.0,21.0,3.0,14:36:42,52602,True,f,
1037,Conner BASSETT,US,38,H,35-39M,,https://utmb.world/runner/238239.conner.bassett,558.0,29.0,22.0,5.0,14:38:41,52721,True,f,
1327,Cristian RIBADENEIRA,EC,28,H,20-34M,,https://utmb.world/runner/4448882.cristian.ribadeneira,559.0,30.0,23.0,11.0,14:41:37,52897,True,f,
1189,Scott DERKACZ,US,38,H,35-39M,,https://utmb.world/runner/6919449.scott.derkacz,,31.0,24.0,6.0,14:43:50,53030,True,f,
1190,Tai ROULSTON,US,62,H,60-64M,,https://utmb.world/runner/6976109.tai.roulston,,32.0,25.0,2.0,14:46:17,53177,True,f,
1289,Dylan BERES,US,36,H,35-39M,,https://utmb.world/runner/1865829.dylan.beres,,33.0,26.0,7.0,14:49:43,53383,True,f,
1232,Ethan HEISS,US,25,H,20-34M,,https://utmb.world/runner/6271891.ethan.heiss,,33.0,26.0,12.0,14:49:43,53383,True,f,
1046,Mark CARTER,US,46,H,45-49M,,https://utmb.world/runner/1380551.mark.carter,525.0,35.0,28.0,3.0,14:58:56,53936,True,f,
1191,Brett CLINGERMAN,US,41,H,40-44M,,https://utmb.world/runner/2451609.brett.clingerman,,36.0,29.0,4.0,15:07:38,54458,True,f,
1054,Leah GATTI,CA,36,F,35-39W,,https://utmb.world/runner/1605667.leah.gatti,503.0,37.0,8.0,4.0,15:13:45,54825,True,f,
1200,Shawn SCHWENN,US,25,H,20-34M,,https://utmb.world/runner/6712097.shawn.schwenn,,38.0,30.0,13.0,15:14:17,54857,True,f,
1256,T.J. PYZYK,US,31,H,20-34M,,https://utmb.world/runner/7588075.tj.pyzyk,,39.0,31.0,14.0,15:21:06,55266,True,f,
1043,Daniel SIMONDS,US,33,H,20-34M,,https://utmb.world/runner/2655341.daniel.simonds,529.0,40.0,32.0,15.0,15:26:51,55611,True,f,
1087,Bihua ZHANG,US,46,F,45-49W,,https://utmb.world/runner/2275609.bihua.zhang,466.0,41.0,9.0,1.0,15:29:44,55784,True,f,
1315,Edwin GAY,US,34,H,20-34M,,https://utmb.world/runner/6712081.edwin.gay,,42.0,33.0,16.0,15:37:20,56240,True,f,
1035,Montey CRUMMER,US,39,H,35-39M,,https://utmb.world/runner/4564910.montey.crummer,565.0,43.0,34.0,8.0,15:42:17,56537,True,f,
1064,Michele ZANDONA,BR,47,F,45-49W,,https://utmb.world/runner/1402845.michele.zandona,489.0,44.0,10.0,2.0,15:44:01,56641,True,f,
1162,Nathan MILES,US,26,H,20-34M,,https://utmb.world/runner/7375293.nathan.miles,,45.0,35.0,17.0,15:45:45,56745,True,f,
1076,Bradley TONGCO,US,28,H,20-34M,,https://utmb.world/runner/4445268.bradley.tongco,478.0,46.0,36.0,18.0,15:46:48,56808,True,f,
1028,Andrew STEGER,US,41,H,40-44M,,https://utmb.world/runner/3272783.andrew.steger,608.0,47.0,37.0,5.0,15:47:15,56835,True,f,
1060,Christophe VANPOUILLE,FR,49,H,45-49M,,https://utmb.world/runner/5806919.christophe.vanpouille,495.0,48.0,38.0,4.0,15:48:12,56892,True,f,
1170,Ryan NELLIGAN,US,30,H,20-34M,,https://utmb.world/runner/4138668.ryan.nelligan,,49.0,39.0,19.0,15:49:06,56946,True,f,
1177,Will PAXTON,US,25,H,20-34M,,https://utmb.world/runner/5725519.will.paxton,,50.0,40.0,20.0,15:51:30,57090,True,f,
1333,Will WICK,US,51,H,50-54M,,https://utmb.world/runner/7679877.will.wick,,51.0,41.0,1.0,15:54:07,57247,True,f,
1068,Thibault RICHARD,FR,26,H,20-34M,,https://utmb.world/runner/6206355.thibault.richard,483.0,52.0,42.0,21.0,15:54:53,57293,True,f,
1343,Loid SAILLARD,US,51,H,50-54M,,https://utmb.world/runner/112151.loid.saillard,565.0,52.0,42.0,2.0,15:54:53,57293,True,f,
1143,Dominique STASULLI,US,34,F,20-34W,,https://utmb.world/runner/4158088.dominique.stasulli,,54.0,11.0,4.0,15:54:55,57295,True,f,
1059,James BRENNAN,US,46,H,45-49M,,https://utmb.world/runner/15198.james.brennan,496.0,55.0,44.0,5.0,15:58:06,57486,True,f,
1340,Joseph PELKY,US,39,H,35-39M,,https://utmb.world/runner/6572345.joseph.pelky,450.0,56.0,45.0,9.0,16:00:25,57625,True,f,
1311,Eric NILLES,GB,55,H,55-59M,,https://utmb.world/runner/4179437.eric.nilles,,57.0,46.0,2.0,16:04:20,57860,True,f,
1257,Jason SHINAR,US,41,H,40-44M,,https://utmb.world/runner/7594889.jason.shinar,,58.0,47.0,6.0,16:08:37,58117,True,f,
1152,Bobby HERRINGTON,US,42,H,40-44M,,https://utmb.world/runner/1053921.bobby.herrington,,59.0,48.0,7.0,16:09:20,58160,True,f,
1063,Chris HARDIN,US,33,H,20-34M,,https://utmb.world/runner/5350651.chris.hardin,489.0,60.0,49.0,22.0,16:09:35,58175,True,f,
1066,Matt CURLEY,US,59,H,55-59M,,https://utmb.world/runner/1536465.matt.curley,487.0,61.0,50.0,3.0,16:11:18,58278,True,f,
1072,Marc BILLINGS,US,46,H,45-49M,,https://utmb.world/runner/6777459.marc.billings,480.0,62.0,51.0,6.0,16:12:37,58357,True,f,
1163,Katherine ANTEL,ZA,42,F,40-44W,,https://utmb.world/runner/7375295.katherine.antel,,63.0,12.0,2.0,16:14:36,58476,True,f,
1302,Marissa THEOFANIDES,US,40,F,40-44W,,https://utmb.world/runner/7551721.marissa.theofanides,,64.0,13.0,3.0,16:18:13,58693,True,f,
