# Race: Unknown
# Distance: 169 km
# D+: 6400 m
# D-: 6400 m
# Date: 2025-09-19
# URL: https://live.utmb.world/grindstone/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
18,Christopher SOBIE,US,38,H,35-39M,,https://utmb.world/runner/4647520.christopher.sobie,733.0,1.0,1.0,1.0,21:47:22,78442,True,f,746.0
17,Yannick BERNARD,CA,38,H,35-39M,,https://utmb.world/runner/2111153.yannick.bernard,736.0,2.0,2.0,2.0,22:43:54,81834,True,f,715.0
22,Nick LUDEN,US,43,H,40-44M,,https://utmb.world/runner/618902.nick.luden,677.0,3.0,3.0,1.0,23:12:21,83541,True,f,701.0
186,Matthew SHIPMAN,US,40,H,40-44M,,https://utmb.world/runner/6189647.matthew.shipman,,4.0,4.0,2.0,24:22:08,87728,True,f,667.0
23,Nicholas KOPP,US,33,H,20-34M,,https://utmb.world/runner/302863.nicholas.kopp,670.0,5.0,5.0,1.0,24:45:47,89147,True,f,657.0
34,Keith VANGRAAFEILAND,US,44,H,40-44M,,https://utmb.world/runner/2280633.keith.vangraafeiland,580.0,6.0,6.0,3.0,24:47:43,89263,True,f,656.0
114,Michael KOS,US,34,H,20-34M,,https://utmb.world/runner/7364731.michael.kos,,7.0,7.0,2.0,25:10:12,90612,True,f,646.0
24,Lukas BURRER,DE,29,H,20-34M,,https://utmb.world/runner/5029422.lukas.burrer,667.0,8.0,8.0,3.0,25:43:33,92613,True,f,536.0
218,Joel TAKACS,US,38,H,35-39M,,https://utmb.world/runner/7290395.joel.takacs,,9.0,9.0,3.0,26:09:21,94161,True,f,622.0
44,Guillaume HINSE,CA,39,H,35-39M,,https://utmb.world/runner/2419829.guillaume.hinse,530.0,10.0,10.0,4.0,26:14:27,94467,True,f,620.0
213,Chase STOCK,US,46,H,45-49M,,https://utmb.world/runner/2016395.chase.stock,,11.0,11.0,1.0,26:32:04,95524,True,f,613.0
31,Isabelle DANFORTH,US,25,F,20-34W,,https://utmb.world/runner/5944201.isabelle.danforth,593.0,12.0,1.0,1.0,26:36:23,95783,True,f,611.0
26,Franck BITARD,FR,34,H,20-34M,,https://utmb.world/runner/1640565.franck.bitard,641.0,13.0,12.0,4.0,26:39:36,95976,True,f,610.0
122,Sean MCKENZIE,US,32,H,20-34M,,https://utmb.world/runner/5186370.sean.mckenzie,,14.0,13.0,5.0,26:40:40,96040,True,f,609.0
133,Justine KOKSAL,US,33,F,20-34W,,https://utmb.world/runner/6712065.justine.koksal,,15.0,2.0,2.0,26:59:35,97175,True,f,602.0
38,Vincent BOULET,CA,46,H,45-49M,,https://utmb.world/runner/4255211.vincent.boulet,550.0,16.0,14.0,2.0,27:21:04,98464,True,f,594.0
37,Celia NALBACH,US,28,F,20-34W,,https://utmb.world/runner/4116470.celia.nalbach,555.0,17.0,3.0,3.0,27:34:01,99241,True,f,590.0
30,Rhoda SMOKER,US,39,F,35-39W,,https://utmb.world/runner/856350.rhoda.smoker,,18.0,4.0,1.0,27:40:31,99631,True,f,588.0
200,Ryan KENNEDY,US,51,H,50-54M,,https://utmb.world/runner/7049871.ryan.kennedy,,19.0,15.0,1.0,27:41:59,99719,True,f,587.0
47,Nick HARRELD,US,39,H,35-39M,,https://utmb.world/runner/3353353.nick.harreld,525.0,20.0,16.0,5.0,27:46:20,99980,True,f,585.0
113,Scot MURDOCH,US,53,H,50-54M,,https://utmb.world/runner/7368391.scot.murdoch,,21.0,17.0,2.0,27:53:39,100419,True,f,583.0
64,Christy RABER,US,32,H,20-34M,,https://utmb.world/runner/6500629.christy.raber,483.0,22.0,18.0,6.0,28:12:33,101553,True,f,576.0
249,Deirdre KEANE,US,37,F,35-39W,,https://utmb.world/runner/5235916.deirdre.keane,561.0,23.0,5.0,2.0,28:40:26,103226,True,f,567.0
20,Jeffrey FAIRMAN,US,43,H,40-44M,,https://utmb.world/runner/3624107.jeffrey.fairman,682.0,24.0,19.0,4.0,28:44:11,103451,True,f,566.0
193,Molly BELK,US,31,F,20-34W,,https://utmb.world/runner/4396836.molly.belk,,25.0,6.0,4.0,28:47:09,103629,True,f,565.0
107,Nathan DZIWULSKI,US,25,H,20-34M,,https://utmb.world/runner/7458997.nathan.dziwulski,,26.0,20.0,7.0,28:51:29,103889,True,f,563.0
181,Adam EARLE,US,46,H,45-49M,,https://utmb.world/runner/5039511.adam.earle,444.0,27.0,21.0,3.0,28:55:26,104126,True,f,562.0
33,Michael POWELL,US,34,H,20-34M,,https://utmb.world/runner/4225139.michael.powell,583.0,28.0,22.0,8.0,28:58:32,104312,True,f,561.0
45,Greg PANDISE,US,30,H,20-34M,,https://utmb.world/runner/5833187.greg.pandise,529.0,29.0,23.0,9.0,29:05:00,104700,True,f,559.0
215,Elijah KIGER,US,26,H,20-34M,,https://utmb.world/runner/7335519.elijah.kiger,,30.0,24.0,10.0,29:26:48,106008,True,f,552.0
256,Keith LEVASSEUR,US,47,H,45-49M,,https://utmb.world/runner/17661.keith.levasseur,581.0,31.0,25.0,4.0,30:04:36,108276,True,f,541.0
216,Cooper BRANCH,US,22,H,20-34M,,https://utmb.world/runner/7337285.cooper.branch,,32.0,26.0,11.0,30:20:27,109227,True,f,536.0
46,Jhon Alexander SANCHEZ,CO,39,H,35-39M,,https://utmb.world/runner/4807026.jhonalexander.sanchez,526.0,33.0,27.0,6.0,30:45:02,110702,True,f,529.0
250,Kellen BETTS,US,43,H,40-44M,,https://utmb.world/runner/14111.kellen.betts,498.0,34.0,28.0,5.0,30:47:34,110854,True,f,528.0
217,Adam PERRY,US,34,H,20-34M,,https://utmb.world/runner/4397752.adam.perry,,35.0,29.0,12.0,31:01:18,111678,True,f,524.0
39,Sam REXRODE,US,31,H,20-34M,,https://utmb.world/runner/5942929.sam.rexrode,548.0,36.0,30.0,13.0,31:02:12,111732,True,f,524.0
123,Scott HERNANDEZ,US,45,H,45-49M,,https://utmb.world/runner/7190559.scott.hernandez,,37.0,31.0,5.0,31:06:37,111997,True,f,523.0
40,Rémi LETENDRE,CA,41,H,40-44M,,https://utmb.world/runner/3514867.remi.letendre,546.0,38.0,32.0,6.0,31:06:47,112007,True,f,523.0
85,Christopher ZARATE,US,37,H,35-39M,,https://utmb.world/runner/5039733.christopher.zarate,437.0,39.0,33.0,7.0,31:06:56,112016,True,f,523.0
112,Michael WUNDERLICH,US,22,H,20-34M,,https://utmb.world/runner/7248497.michael.wunderlich,,40.0,34.0,14.0,31:12:59,112379,True,f,521.0
