# Race: Unknown
# Distance: 108 km
# D+: 4710 m
# D-: 4710 m
# Date: 2022-09-16
# URL: https://live.utmb.world/julianalps/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
101,Jan BOŽIČ,SI,36,H,31-40M,INDEPENDENT,https://utmb.world/runner/302210.jan.bo--i--,776.0,1.0,1.0,1.0,12:08:11,43691.85,True,f,
105,Andrea PALADIN,IT,32,H,≤ 30M,INDEPENDENT,https://utmb.world/runner/4249759.andrea.paladin,740.0,2.0,2.0,1.0,12:37:38,45458.16,True,f,
104,Benjamin MÜLLER,CH,34,H,31-40M,MEGAJOULE / LC FRAUENFELD,https://utmb.world/runner/307024.benjamin.muller,747.0,2.0,2.0,2.0,12:37:38,45458.221,True,f,
114,Martin PLAČKO,SK,49,H,41-50M,SLOVAK ULTRA TRAIL TEAM,https://utmb.world/runner/1680457.martin.placko,696.0,4.0,4.0,1.0,13:00:41,46841.699,True,f,
4,Jarek GONCZARENKO,PL,45,H,41-50M,RUN100LOVE,https://utmb.world/runner/727496.jarek.gonczarenko,727.0,5.0,5.0,2.0,13:01:18,46878.392,True,f,
120,David RYAN,IE,40,H,31-40M,INDEPENDENT,https://utmb.world/runner/4295801.david.ryan,675.0,6.0,6.0,3.0,13:19:54,47994.724,True,f,
436,Nick WAGGONER,CA,40,H,31-40M,INDEPENDENT,,,7.0,7.0,4.0,13:43:58,49438.09099999999,True,f,
388,Henning LENERTZ,DE,38,H,31-40M,WILLPOWER,https://utmb.world/runner/749876.henning.lenertz,,8.0,8.0,5.0,13:47:42,49662.49,True,f,
113,Modris TRULIS,LV,34,H,31-40M,SUPERVAROŅI,https://utmb.world/runner/2964089.modris.trulis,698.0,9.0,9.0,6.0,13:54:08,50048.801,True,f,
5,Dan Alexandru CRUCIAT,RO,43,H,31-40M,,https://utmb.world/runner/812935.dan.cruciat,723.0,10.0,10.0,7.0,13:56:58,50218.539000000004,True,f,
