# Race: Unknown
# Distance: 15 km
# D+: 550 m
# D-: 550 m
# Date: 2025-09-21
# URL: https://live.utmb.world/julianalps/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
7002,Adrian BRANESCU,RO,34,H,20-34M,,https://utmb.world/runner/286582.adrian.branescu,757.0,1.0,1.0,1.0,01:14:18,4458,True,f,
7004,Uroš ROZMAN,SI,40,H,40-44M,INTERSPORT SLO,https://utmb.world/runner/4245174.uros.rozman,724.0,2.0,2.0,1.0,01:14:45,4485,True,f,
7001,Andreas ROIS,AT,39,H,35-39M,LTV Köflach,https://utmb.world/runner/310619.andreas.rois,764.0,3.0,3.0,1.0,01:16:19,4579,True,f,
7005,Alexander NIEDERMÜLLER,AT,24,H,20-34M,Lauftreff Nußdorf,https://utmb.world/runner/6699973.alexander.niedermuller,679.0,4.0,4.0,2.0,01:16:41,4601,True,f,
7049,Aleksa VUKOVIC,BA,23,H,20-34M,Nnormal BiH,https://utmb.world/runner/3966071.aleksa.vukovic,605.0,5.0,5.0,3.0,01:17:59,4679,True,f,
7013,Noah RASTEIRO,FR,22,H,20-34M,Puissance 3 Cournon,https://utmb.world/runner/6885976.noah.rasteiro,615.0,6.0,6.0,4.0,01:19:17,4757,True,f,
7006,Alexander WEIGL,AT,31,H,20-34M,LAC Harlekin,https://utmb.world/runner/2359405.alexander.weigl,672.0,7.0,7.0,5.0,01:21:23,4883,True,f,
7122,Martin NEUMANN,CZ,39,H,35-39M,Karpatske nadeje Straznice,https://utmb.world/runner/4814136.martin.neumann,622.0,8.0,8.0,2.0,01:22:15,4935,True,f,
7018,Aljaž RUTAR,SI,31,H,20-34M,,https://utmb.world/runner/6489988.aljaz.rutar,605.0,9.0,9.0,6.0,01:22:53,4973,True,f,
7507,Tamas KISS,HU,36,H,35-39M,,https://utmb.world/runner/5569006.tamas.kiss,695.0,10.0,10.0,3.0,01:23:19,4999,True,f,
7025,Luka DACAR,SI,22,H,20-34M,,https://utmb.world/runner/5896953.luka.dacar,578.0,11.0,11.0,7.0,01:23:26,5006,True,f,
7003,Christos SAKKAS,GR,36,H,35-39M,bearindustries.tech,https://utmb.world/runner/4492696.christos.sakkas,738.0,12.0,12.0,4.0,01:23:35,5015,True,f,
7020,Riccardo GAMBARETTO,IT,40,H,40-44M,,https://utmb.world/runner/3077067.riccardo.gambaretto,595.0,13.0,13.0,2.0,01:24:20,5060,True,f,
7009,Dejan ZORMAN,SI,45,H,45-49M,AD Olimpik,https://utmb.world/runner/2050919.dejan.zorman,626.0,14.0,14.0,1.0,01:24:25,5065,True,f,
7017,Aleksandar ŠTAJFER,RS,37,H,35-39M,,https://utmb.world/runner/1095699.aleksandar.stajfer,607.0,15.0,15.0,5.0,01:25:06,5106,True,f,
7010,Patrick RAMMER,AT,36,H,35-39M,,https://utmb.world/runner/6781463.patrick.rammer,620.0,16.0,16.0,6.0,01:26:28,5188,True,f,
7542,Daniele LINOSSI,IT,26,H,20-34M,,https://utmb.world/runner/7509440.daniele.linossi,514.0,17.0,17.0,8.0,01:27:24,5244,True,f,
7012,Julia RATH,DE,21,F,20-34W,Penzberg,https://utmb.world/runner/6821949.julia.rath,616.0,18.0,1.0,1.0,01:27:29,5249,True,f,
7702,Marko TRAMPUŽ,SI,35,H,35-39M,,https://utmb.world/runner/5250218.marko.trampuz,,18.0,18.0,7.0,01:27:29,5249,True,f,
7600,Kacper POLUS,PL,32,H,20-34M,,https://utmb.world/runner/6992033.kacper.polus,,20.0,19.0,9.0,01:27:32,5252,True,f,
7625,Alfie ROUSSEAU,GB,22,H,20-34M,,https://utmb.world/runner/7458441.alfie.rousseau,,21.0,20.0,10.0,01:28:24,5304,True,f,
7632,Pablo SANCHEZ REQUE,ES,24,H,20-34M,KTT 01,https://utmb.world/runner/7419139.pablo.sanchezreque,,22.0,21.0,11.0,01:29:04,5344,True,f,
7042,Patrick MUELLER,DE,35,H,35-39M,,https://utmb.world/runner/7252838.patrick.mueller,599.0,23.0,22.0,8.0,01:29:17,5357,True,f,
7451,Aleksandar GRUBEŠIĆ,SI,36,H,35-39M,,https://utmb.world/runner/7544689.aleksandar.grubesic,,24.0,23.0,9.0,01:30:05,5405,True,f,
7077,Urban JERKIČ,SI,36,H,35-39M,,https://utmb.world/runner/6490634.urban.jerkic,481.0,25.0,24.0,10.0,01:30:46,5446,True,f,
7028,Michele MAZZOLENI,IT,50,H,50-54M,,https://utmb.world/runner/4170292.michele.mazzoleni,574.0,26.0,25.0,1.0,01:31:09,5469,True,f,
7393,Nejc DAGARIN,SI,28,H,20-34M,,https://utmb.world/runner/7479615.nejc.dagarin,,27.0,26.0,12.0,01:31:53,5513,True,f,
7023,Klemen AVSENIK,SI,46,H,45-49M,Since 1979,https://utmb.world/runner/4830460.klemen.avsenik,579.0,28.0,27.0,2.0,01:31:56,5516,True,f,
7037,Alan ŠTOR,SI,35,H,35-39M,,https://utmb.world/runner/2050567.alan.stor,554.0,29.0,28.0,11.0,01:32:02,5522,True,f,
7656,Mihailo STANOJEVIC,RS,21,H,20-34M,Sveta Srbija,https://utmb.world/runner/7535393.mihailo.stanojevic,,30.0,29.0,13.0,01:32:08,5528,True,f,
7053,Dino ŠUNJERGA,SI,29,H,20-34M,,https://utmb.world/runner/6318771.dino.sunjerga,529.0,31.0,30.0,14.0,01:32:23,5543,True,f,
7091,Sebastjan KODERMAN,SI,32,H,20-34M,,https://utmb.world/runner/5473032.sebastjan.koderman,464.0,32.0,31.0,15.0,01:32:53,5573,True,f,
7647,Matic SLABE,SI,20,H,20-34M,,https://utmb.world/runner/7438297.matic.slabe,,33.0,32.0,16.0,01:33:12,5592,True,f,
7035,Darren AGNEW,GB,33,H,20-34M,MCR Outdoors,https://utmb.world/runner/2616389.darren.agnew,555.0,34.0,33.0,17.0,01:33:19,5599,True,f,
7029,Jure BENKOVIC,SI,31,H,20-34M,,https://utmb.world/runner/5250220.jure.benkovic,567.0,35.0,34.0,18.0,01:33:37,5617,True,f,
7045,Dariusz RUTA,PL,54,H,50-54M,NKB CHYŻY NOWY TOMYŚL,https://utmb.world/runner/4676414.dariusz.ruta,537.0,36.0,35.0,2.0,01:34:26,5666,True,f,
7090,David Daniel PETER,HU,30,H,20-34M,,https://utmb.world/runner/6122340.daviddaniel.peter,464.0,37.0,36.0,19.0,01:34:41,5681,True,f,
7027,Nikolaj BERGANT,SI,44,H,40-44M,Trail Lajf,https://utmb.world/runner/3389131.nikolaj.bergant,575.0,38.0,37.0,3.0,01:34:56,5696,True,f,
7653,Andrea SPREAFICO,IT,28,H,20-34M,,https://utmb.world/runner/7550911.andrea.spreafico,,39.0,38.0,20.0,01:35:12,5712,True,f,
7063,Andreas KLUG,AT,25,H,20-34M,KTC,https://utmb.world/runner/4713604.andreas.klug,507.0,40.0,39.0,21.0,01:35:45,5745,True,f,
7048,Thomas WEIGL,AT,33,H,20-34M,,https://utmb.world/runner/6327426.thomas.weigl,534.0,41.0,40.0,22.0,01:35:51,5751,True,f,
7522,Nik KOVAČIČ,SI,31,H,20-34M,,https://utmb.world/runner/7379845.nik.kovacic,,42.0,41.0,23.0,01:37:37,5857,True,f,
7047,Stefano CAPOFERRI,IT,16,H,16-17M,,https://utmb.world/runner/5825983.stefano.capoferri,534.0,43.0,42.0,1.0,01:37:40,5860,True,f,
7052,Mirco CAPOFERRI,IT,45,H,45-49M,Atletica Frimas,https://utmb.world/runner/3316261.mirco.capoferri,524.0,44.0,43.0,3.0,01:37:47,5867,True,f,
7623,Jan ROT,SI,29,H,20-34M,,https://utmb.world/runner/7425923.jan.rot,,45.0,44.0,24.0,01:37:48,5868,True,f,
7563,Miha MIHELIČ,SI,55,H,55-59M,,https://utmb.world/runner/7494575.miha.mihelic,,46.0,45.0,1.0,01:37:52,5872,True,f,
7509,Blaž KOBAL,SI,22,H,20-34M,,https://utmb.world/runner/7269705.blaz.kobal,,47.0,46.0,25.0,01:37:55,5875,True,f,
7038,Igor LAH,SI,54,H,50-54M,,https://utmb.world/runner/5471452.igor.lah,552.0,48.0,47.0,3.0,01:38:08,5888,True,f,
7040,Barbora HYNKOVA,CZ,41,F,40-44W,Salomon/TJ Magla,https://utmb.world/runner/4158165.barbora.hynkova,540.0,49.0,2.0,1.0,01:38:21,5901,True,f,
7488,Jacek JACHYMIAK,PL,22,H,20-34M,,https://utmb.world/runner/3865435.jacek.jachymiak,,50.0,48.0,26.0,01:38:42,5922,True,f,
7069,Maciej WESOŁOWSKI,PL,36,H,35-39M,Żórawski Team,https://utmb.world/runner/5986115.maciej.wesolowski,501.0,51.0,49.0,12.0,01:38:45,5925,True,f,
7062,Aljaž SULČIČ,SI,31,H,20-34M,Snakes,https://utmb.world/runner/7367891.aljaz.sulcic,508.0,51.0,49.0,27.0,01:38:45,5925,True,f,
7076,Gregor BLATNIK,SI,43,H,40-44M,,https://utmb.world/runner/6386517.gregor.blatnik,483.0,53.0,51.0,4.0,01:38:58,5938,True,f,
7033,Thomas SEIBOLD,DE,57,H,55-59M,,https://utmb.world/runner/143149.thomas.seibold,559.0,54.0,52.0,2.0,01:39:01,5941,True,f,
7495,Matic JORDAN,SI,23,H,20-34M,,https://utmb.world/runner/7535403.matic.jordan,,55.0,53.0,28.0,01:39:04,5944,True,f,
7036,Žiga PORENTA,SI,41,H,40-44M,,https://utmb.world/runner/3913265.ziga.porenta,554.0,56.0,54.0,5.0,01:39:13,5953,True,f,
7086,Anita HOHNEC,SI,31,F,20-34W,,https://utmb.world/runner/7533754.anita.hohnec,467.0,57.0,3.0,2.0,01:39:16,5956,True,f,
7566,Michal MINAR,SK,40,H,40-44M,,https://utmb.world/runner/4957835.michal.minar,501.0,58.0,55.0,6.0,01:39:51,5991,True,f,
7555,Andrew MCLEAN,MU,61,H,60-64M,Black River Sport Club,https://utmb.world/runner/7185957.andrew.mclean,,59.0,56.0,1.0,01:39:58,5998,True,f,
7044,Luka ŠMID,SI,40,H,40-44M,,https://utmb.world/runner/7544635.luka.smid,538.0,60.0,57.0,7.0,01:40:11,6011,True,f,
7607,Martina R.ZABKAR,SI,42,F,40-44W,,https://utmb.world/runner/7535401.martina.rzabkar,,61.0,4.0,2.0,01:40:16,6016,True,f,
7055,Tobias KOHL,DE,42,H,40-44M,,https://utmb.world/runner/7366996.tobias.kohl,522.0,62.0,58.0,8.0,01:40:27,6027,True,f,
7026,Peter ŽAGAR,SI,45,H,45-49M,,https://utmb.world/runner/542587.peter.zagar,576.0,63.0,59.0,4.0,01:40:55,6055,True,f,
7015,Martin JAZBEC,SI,38,H,35-39M,,https://utmb.world/runner/7173035.martin.jazbec,609.0,64.0,60.0,13.0,01:41:01,6061,True,f,
7041,Simone CAPOFERRI,IT,49,H,45-49M,,https://utmb.world/runner/1615895.simone.capoferri,540.0,65.0,61.0,5.0,01:41:05,6065,True,f,
7031,Petra ORGOVÁNYI,HU,38,F,35-39W,Sashegyi Gepárdok,https://utmb.world/runner/4367100.petra.orgovanyi,566.0,66.0,5.0,1.0,01:41:16,6076,True,f,
