# Race: Unknown
# Distance: 81 km
# D+: 4850 m
# D-: 4850 m
# Date: 2024-08-02
# URL: https://live.utmb.world/kat100/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Daniel JUNG,IT,42,H,40-44M,TEAM ALTRA-ALPENPLUS,https://utmb.world/runner/487870.daniel.jung,859.0,1.0,1.0,1.0,09:40:52,34852.204,True,f,
1002,Tomas MACECEK,CZ,34,H,20-34M,SALOMON CZECH REPUBLIC,https://utmb.world/runner/666242.tomas.macecek,859.0,2.0,2.0,1.0,09:59:21,35961.485,True,f,
1003,Goar LOPETEGUI NIETO,ES,31,H,20-34M,DOMUSA TEKNIK - LANA TEAM,https://utmb.world/runner/469688.goar.lopeteguinieto,842.0,3.0,3.0,2.0,10:06:22,36382.996,True,f,
1006,Johann OBERMUELLER,DE,37,H,35-39M,team Hypoxicum,https://utmb.world/runner/1554713.johann.obermueller,793.0,4.0,4.0,1.0,10:28:44,37724.304,True,f,
1009,Hubert SCHWAIGER,DE,41,H,40-44M,,https://utmb.world/runner/5311612.hubert.schwaiger,742.0,5.0,5.0,2.0,10:44:42,38682.117,True,f,
1013,Santiago Federico MARGOZZINI VALDES,CL,28,H,20-34M,,https://utmb.world/runner/868833.santiago.margozzinivaldes,732.0,6.0,6.0,3.0,11:09:38,40178.517,True,f,
1011,Vratko ROKYTA,SK,41,H,40-44M,NEONKA,https://utmb.world/runner/4558002.vratko.rokyta,736.0,7.0,7.0,3.0,11:10:28,40228.872,True,f,
1016,Corentin ARDOUIN,FR,27,H,20-34M,AC TASSIN,https://utmb.world/runner/1870823.corentin.ardouin,707.0,8.0,8.0,4.0,11:26:49,41209.753,True,f,
1012,Benedikt NUSSBAUM,DE,40,H,35-39M,,https://utmb.world/runner/2324925.benedikt.nussbaum,735.0,9.0,9.0,2.0,11:37:20,41840.102,True,f,
1035,Damiano PRESCIANI,IT,35,H,20-34M,Inrun,https://utmb.world/runner/810674.damiano.presciani,638.0,10.0,10.0,5.0,11:47:10,42430.238,True,f,
1305,Jonas SCHULZ,DE,27,H,20-34M,,https://utmb.world/runner/5688485.jonas.schulz,,11.0,11.0,6.0,11:49:17,42557.257000000005,True,f,
