# Race: Unknown
# Distance: 10 km
# D+: 335 m
# D-: 335 m
# Date: 2023-10-15
# URL: https://live.utmb.world/kodiak/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4070,Karl FREDERIK GLEICHMAN,DK,24,H,20-34M,,https://utmb.world/runner/4301521.karlfrederikgleichman.andersen,501.0,1.0,1.0,1.0,00:48:47,2927,True,f,
4035,Luis MARQUEZ,US,39,H,35-39M,,https://utmb.world/runner/5448269.luis.marquez,,2.0,2.0,1.0,00:56:53,3413,True,f,
4024,Laura GORDILLO,US,31,F,20-34W,,https://utmb.world/runner/5351023.laura.gordillo,,3.0,1.0,1.0,01:04:24,3864,True,f,
4041,Jose R SANCHEZ,US,53,H,50-54M,,https://utmb.world/runner/5351031.joser.sanchez,,4.0,3.0,1.0,01:06:00,3960,True,f,
4069,Caren WARE,US,63,F,60-64W,,https://utmb.world/runner/5550513.caren.ware,,5.0,2.0,1.0,01:06:19,3979,True,f,
4009,Olivia BLAND,US,42,F,40-44W,,https://utmb.world/runner/5504335.olivia.bland,,6.0,3.0,1.0,01:06:50,4010,True,f,
4059,Scott HINE,US,53,H,50-54M,,https://utmb.world/runner/5519091.scott.hine,,7.0,4.0,2.0,01:08:15,4095,True,f,
4050,Xiangyu WEN,US,28,H,20-34M,,https://utmb.world/runner/5351011.xiangyu.wen,,8.0,5.0,2.0,01:09:35,4175,True,f,
4072,Selma REBEKKA GLEICHMAN,DK,20,F,U20 W,,https://utmb.world/runner/5552975.selmarebekkagleichman.andersen,,9.0,4.0,1.0,01:11:42,4302,True,f,
4071,Torben ANDERSEN,DK,62,H,60-64M,,https://utmb.world/runner/5552977.torben.andersen,,10.0,6.0,1.0,01:11:44,4304,True,f,
4077,Sheri STAROPOLI,US,55,F,50-54W,,https://utmb.world/runner/5571583.sheri.staropoli,,11.0,5.0,1.0,01:11:49,4309,True,f,
4007,Esteban ANDREU-VON EUW,US,35,H,20-34M,,https://utmb.world/runner/5571581.esteban.andreuvoneuw,,12.0,7.0,3.0,01:15:31,4531,True,f,
4080,Nicholas ARENA,US,27,H,20-34M,,,,13.0,8.0,4.0,01:15:43,4543,True,f,
4030,Timofey KARTASHOV,GB,18,H,U18 M,,https://utmb.world/runner/5357673.timofey.kartashov,,14.0,9.0,1.0,01:16:13,4573,True,f,
4011,David CANTU,US,58,H,55-59M,,https://utmb.world/runner/4943379.david.cantu,276.0,15.0,10.0,1.0,01:17:17,4637,True,f,
4062,Jon BUCKLEY,CA,38,H,35-39M,,https://utmb.world/runner/5526407.jon.buckley,,16.0,11.0,2.0,01:20:05,4805,True,f,
4047,Itzel VASQUEZ,US,34,F,20-34W,,https://utmb.world/runner/5504319.itzel.vasquez,,17.0,6.0,2.0,01:21:10,4870,True,f,
4048,Tiffany VERDUZCO,US,36,F,20-34W,,https://utmb.world/runner/5382999.tiffany.verduzco,,18.0,7.0,3.0,01:21:34,4894,True,f,
4040,Cinthia SANCHEZ,US,33,F,20-34W,,https://utmb.world/runner/5351035.cinthia.sanchez,,19.0,8.0,4.0,01:22:49,4969,True,f,
4016,Frances CHASEDUNN,US,34,F,20-34W,,https://utmb.world/runner/5504337.frances.chasedunn,,20.0,9.0,5.0,01:24:47,5087,True,f,
4063,Krystle GARCIA,US,40,F,35-39W,,https://utmb.world/runner/5529115.krystle.garcia,,21.0,10.0,1.0,01:25:05,5105,True,f,
4028,Jamie HOVE,US,36,F,20-34W,,https://utmb.world/runner/4258578.jamie.hove,,21.0,10.0,6.0,01:25:05,5105,True,f,
4084,Susana CASTANEDA,US,47,F,45-49W,,,,23.0,12.0,1.0,01:25:25,5125,True,f,
4031,Alina KARTASHOVA,GB,42,F,40-44W,,https://utmb.world/runner/5357671.alina.kartashova,,24.0,13.0,2.0,01:26:01,5161,True,f,
4033,Dmitry KOTOV,US,36,H,20-34M,,https://utmb.world/runner/5351039.dmitry.kotov,,25.0,12.0,5.0,01:26:23,5183,True,f,
4057,Ximena FERNANDEZ SOTO,MX,40,F,35-39W,,https://utmb.world/runner/4808332.ximena.fernandezsoto,316.0,26.0,14.0,2.0,01:26:38,5198,True,f,
4053,Crystal IGNACIO,US,44,F,40-44W,,https://utmb.world/runner/5509421.crystal.ignacio,,27.0,15.0,3.0,01:27:05,5225,True,f,
4052,Juan ZARAGOZA,US,38,H,35-39M,,https://utmb.world/runner/5504317.juan.zaragoza,,28.0,13.0,3.0,01:27:46,5266,True,f,
4085,Lisa MOSA,US,56,F,50-54W,,,,29.0,16.0,2.0,01:27:48,5268,True,f,
