# Race: Unknown
# Distance: 159.9 km
# D+: 4824 m
# D-: 4824 m
# Date: 2025-10-10
# URL: https://live.utmb.world/kodiak/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
14,Hayden HAWKS,US,34,H,20-34M,,https://utmb.world/runner/1140055.hayden.hawks,912.0,1.0,1.0,1.0,16:40:37,60037,True,f,
3,Joseph MCCONAUGHY,US,34,H,20-34M,,https://utmb.world/runner/1103159.joseph.mcconaughy,855.0,2.0,2.0,2.0,17:01:32,61292,True,f,
6,Jhon BARRERA,CO,40,H,40-44M,,https://utmb.world/runner/1190095.jhon.barrera,824.0,3.0,3.0,1.0,17:29:53,62993,True,f,
30,Clark MESSMAN,US,30,H,20-34M,,https://utmb.world/runner/34920.clark.messman,740.0,4.0,4.0,3.0,17:46:47,64007,True,f,
15,Mario MENDOZA JR,US,39,H,35-39M,,https://utmb.world/runner/162799.mario.mendozajr,809.0,5.0,5.0,1.0,19:18:55,69535,True,f,
11,Galen HECHT,US,30,H,20-34M,,https://utmb.world/runner/3025307.galen.hecht,775.0,6.0,6.0,4.0,19:26:23,69983,True,f,
5,Erik SORENSON,US,39,H,35-39M,,https://utmb.world/runner/680583.erik.sorenson,847.0,7.0,7.0,2.0,19:29:33,70173,True,f,
33,Joseph ROLDAN,US,35,H,35-39M,,https://utmb.world/runner/5232284.joseph.roldan,721.0,8.0,8.0,3.0,19:30:51,70251,True,f,
2,Lin CHEN,CN,34,F,20-34W,,https://utmb.world/runner/2414677.lin.chen,752.0,9.0,1.0,1.0,19:31:17,70277,True,f,
31,Shaun BURKE,US,38,H,35-39M,,https://utmb.world/runner/287510.shaun.burke,730.0,10.0,9.0,4.0,19:33:49,70429,True,f,
8,Madison LIECHTY,US,27,F,20-34W,,https://utmb.world/runner/5140954.madison.liechty,701.0,11.0,2.0,2.0,19:43:59,71039,True,f,
13,Austin CHIRICO,US,37,H,35-39M,,https://utmb.world/runner/3769067.austin.chirico,772.0,12.0,10.0,5.0,19:48:08,71288,True,f,
38,Clement JAMBOU,FR,34,H,20-34M,,https://utmb.world/runner/642432.clement.jambou,698.0,13.0,11.0,5.0,20:11:27,72687,True,f,
58,Genevieve HARRISON,US,38,F,35-39W,,https://utmb.world/runner/4715021.genevieve.harrison,635.0,14.0,3.0,1.0,20:15:58,72958,True,f,
43,Charles CAI,US,31,H,20-34M,,https://utmb.world/runner/1381179.charles.cai,684.0,15.0,12.0,6.0,20:30:38,73838,True,f,
488,Jeremy DOUGLAS,CA,43,H,40-44M,,https://utmb.world/runner/3496491.jeremy.douglas,,16.0,13.0,2.0,20:48:29,74909,True,f,
36,Kevin WALKER,US,32,H,20-34M,,https://utmb.world/runner/4434882.kevin.walker,701.0,17.0,14.0,7.0,20:58:04,75484,True,f,
12,Kristi KNECHT,US,42,F,40-44W,,https://utmb.world/runner/708503.kristi.knecht,,18.0,4.0,1.0,21:02:48,75768,True,f,
35,Christopher HARRINGTON,US,41,H,40-44M,,https://utmb.world/runner/493810.christopher.harrington,710.0,19.0,15.0,3.0,21:18:17,76697,True,f,
51,Tyler BURKE,US,40,H,40-44M,,https://utmb.world/runner/287511.tyler.burke,652.0,20.0,16.0,4.0,21:28:47,77327,True,f,
88,Jake KILGORE,US,46,H,45-49M,,https://utmb.world/runner/489675.jake.kilgore,595.0,21.0,17.0,1.0,21:38:53,77933,True,f,
