# Race: Unknown
# Distance: 164 km
# D+: 5185 m
# D-: 5185 m
# Date: 2022-12-15
# URL: https://live.utmb.world/kosciuszko/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
108,Adrian MacDonald,,39,H,Vet M,,,,1.0,1.0,1.0,14:07:42,50861.223,True,f,
2,Vlad Shatrov,,47,H,Mas M,,https://utmb.world/runner/891437.vlad.shatrov,816.0,2.0,2.0,1.0,15:10:36,54635.68,True,f,
98,Luke Barrett,,37,H,Vet M,,,,3.0,3.0,2.0,15:50:44,57043.965,True,f,
1,Shane Johnstone,,39,H,Vet M,,https://utmb.world/runner/405110.shane.johnstone,713.0,4.0,4.0,3.0,17:27:56,62875.47100000001,True,f,
3,HAYATO NISHIKATA,,33,H,Vet M,,https://utmb.world/runner/1027753.hayato.nishikata,750.0,5.0,5.0,4.0,18:08:55,65334.195999999996,True,f,
245,James Quaife,,27,H,OpenM,,,,6.0,6.0,1.0,18:28:05,66484.90299999999,True,f,
61,Jared Penetcost,,32,H,OpenM,,,,7.0,7.0,2.0,18:43:22,67401.895,True,f,
121,Thomas Scott,,40,H,Vet M,,https://utmb.world/runner/3793297.thomas.scott,679.0,8.0,8.0,5.0,18:45:48,67547.512,True,f,
96,Elijah Mayr,,37,H,Vet M,,https://utmb.world/runner/891465.elijah.mayr,628.0,9.0,9.0,6.0,18:56:01,68160.022,True,f,
248,Leigh Chapman,,45,H,Mas M,,https://utmb.world/runner/4804934.leigh.chapman,713.0,10.0,10.0,2.0,19:17:35,69454.701,True,f,
4,Sarah Ludowici,,32,F,OpenF,,https://utmb.world/runner/625081.sarah.ludowici,680.0,11.0,1.0,1.0,19:23:01,69780.04400000001,True,f,
166,Ewan Horsburgh,,48,H,Mas M,,https://utmb.world/runner/21559.ewan.horsburgh,600.0,12.0,11.0,3.0,19:42:55,70974.80099999999,True,f,
6,Claire O'Brien-Smith,,34,F,Vet F,,https://utmb.world/runner/2609381.claire.obriensmith,598.0,13.0,2.0,1.0,19:49:01,71340.216,True,f,
115,Ben Wilson,,40,H,Vet M,,https://utmb.world/runner/1855409.benjamin.wilson,574.0,14.0,12.0,7.0,20:29:10,73749.228,True,f,
90,Ryan Tomkins,,36,H,Vet M,,https://utmb.world/runner/4158270.ryan.tomkins,603.0,15.0,13.0,8.0,20:31:58,73917.15400000001,True,f,
75,Llewellyn Mcmaster,,34,H,Vet M,,https://utmb.world/runner/4158426.llewellyn.mcmaster,,16.0,14.0,9.0,20:32:36,73955.198,True,f,
124,Benjamin Gerhardy,,41,H,Vet M,,https://utmb.world/runner/454454.benjamin.gerhardy,642.0,17.0,15.0,10.0,20:52:58,75177.701,True,f,
20,Amy Lamprecht,,46,F,Mas F,,https://utmb.world/runner/425573.amy.lamprechthinds,,18.0,3.0,1.0,21:14:43,76482.88799999999,True,f,
79,Daniel Murray,,35,H,Vet M,,https://utmb.world/runner/3633149.daniel.murray,572.0,19.0,16.0,11.0,21:15:05,76504.716,True,f,
13,Monika Georgieva,,41,F,Vet F,,https://utmb.world/runner/4302718.monika.georgieva,521.0,20.0,4.0,2.0,21:43:40,78219.742,True,f,
244,Colin Ferguson,,51,H,Mas M,,https://utmb.world/runner/3104487.colin.ferguson,581.0,21.0,17.0,4.0,21:50:26,78625.811,True,f,
241,Paul McBride,,42,H,Vet M,,https://utmb.world/runner/3400261.paul.mcbride,574.0,22.0,18.0,12.0,22:21:46,80505.189,True,f,
21,sarah jalim,,47,F,Mas F,,https://utmb.world/runner/2041973.sarah.jalim,,23.0,5.0,2.0,22:24:42,80681.8,True,f,
158,Andrew Kotlar,,47,H,Mas M,,https://utmb.world/runner/1455757.andrew.kotlar,626.0,24.0,19.0,5.0,22:28:11,80890.62599999999,True,f,
135,David Pearce,,44,H,Mas M,,https://utmb.world/runner/4271540.david.pearce,528.0,25.0,20.0,6.0,22:44:54,81893.193,True,f,
144,Michael Molloy,,45,H,Mas M,,https://utmb.world/runner/615266.michael.molloy,602.0,26.0,21.0,7.0,22:57:38,82657.215,True,f,
14,Ursula Adams,,41,F,Vet F,,https://utmb.world/runner/4302709.ursula.adams,570.0,27.0,6.0,3.0,22:58:13,82692.298,True,f,
170,Sean Chan,,48,H,Mas M,,https://utmb.world/runner/636843.sean.chan,,28.0,22.0,8.0,22:58:24,82703.025,True,f,
