# Race: Unknown
# Distance: 50 km
# D+: 1300 m
# D-: 1300 m
# Date: 2024-11-27
# URL: https://live.utmb.world/kosciuszko/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5009,Tait HEARPS,AU,29,H,20-34M,,https://utmb.world/runner/4058293.tait.hearps,827.0,1.0,1.0,1.0,04:10:04,15004.783000000001,True,f,
5014,Ben ST LAWRENCE,AU,44,H,40-44M,,https://utmb.world/runner/1879011.ben.stlawrence,792.0,2.0,2.0,1.0,04:11:08,15068.659,True,f,
5010,Tom DRISCOLL,AU,27,H,20-34M,,https://utmb.world/runner/4158466.tom.driscoll,782.0,3.0,3.0,2.0,04:21:05,15665.918,True,f,
5709,William O'MEALLEY,AU,26,H,20-34M,,https://utmb.world/runner/4963760.william.omealley,636.0,4.0,4.0,3.0,04:22:56,15776.995,True,f,
6142,Eric CONCÉ,FR,48,H,45-49M,,https://utmb.world/runner/440389.eric.conce,774.0,5.0,5.0,1.0,04:29:55,16195.656,True,f,
5573,John PINCHEN,AU,33,H,20-34M,,https://utmb.world/runner/3640147.john.pinchen,716.0,6.0,6.0,4.0,04:37:13,16632.691000000006,True,f,
5006,Oli RUSE,AU,24,H,20-34M,,https://utmb.world/runner/6276869.oli.ruse,,7.0,7.0,5.0,04:38:21,16701.081000000002,True,f,
6148,Grant BRISBIN,AU,43,H,40-44M,,https://utmb.world/runner/891453.grant.brisbin,,8.0,8.0,2.0,04:41:03,16863.138,True,f,
5439,Antonio HERRERA,AR,35,H,20-34M,,https://utmb.world/runner/4134774.antonio.herrera,659.0,9.0,9.0,6.0,04:42:54,16974.675,True,f,
6139,Kate AVERY,GB,34,F,20-34W,,https://utmb.world/runner/4494858.kate.avery,721.0,10.0,1.0,1.0,04:43:51,17031.307,True,f,
5445,Ben SILKE,AU,26,H,20-34M,,https://utmb.world/runner/6036263.ben.silke,683.0,11.0,10.0,7.0,04:51:03,17463.032,True,f,
5004,Kimber MATTOX,US,37,F,35-39W,,https://utmb.world/runner/4057096.kimber.mattox,739.0,12.0,2.0,1.0,04:51:06,17466.445,True,f,
