# Race: Unknown
# Distance: 20 km
# D+: 625 m
# D-: 625 m
# Date: 2023-11-04
# URL: https://live.utmb.world/kullamannen/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3719,sebastian ljungdahl,SE,37,H,35-39M,Hälle IF,,,1.0,1.0,1.0,01:29:35,5374.588000000002,True,f,
3001,Albin Gezelius,SE,22,H,20-34M,IFK Mora FIK,https://utmb.world/runner/4002834.albin.gezelius,744.0,2.0,2.0,1.0,01:33:04,5584.349,True,f,
3002,Linus Wedin,SE,21,H,U20 M,KFUM Örebro - Team Salomon,https://utmb.world/runner/4824012.linus.wedin,655.0,3.0,3.0,1.0,01:37:00,5820.089,True,f,
3436,Petter Restorp,SE,48,H,45-49M,La Sportiva,,,4.0,4.0,1.0,01:39:41,5980.308000000001,True,f,
3437,Amanda Nilsson,SE,29,F,20-34W,,,,5.0,1.0,1.0,01:40:35,6034.066,True,f,
3007,David Sundström,SE,39,H,35-39M,Trångsvikens IF,https://utmb.world/runner/4691388.david.sundstrom,580.0,6.0,5.0,2.0,01:42:22,6142.047,True,f,
3431,Mathias Flade,DE,46,H,40-44M,New Balance Team,https://utmb.world/runner/5583461.mathias.flade,,7.0,6.0,1.0,01:44:26,6266.9230000000025,True,f,
3419,Mathias Fugger,AT,34,H,20-34M,xc-ski.de A|N skimarathon team,https://utmb.world/runner/5504571.mathias.fugger,,8.0,7.0,2.0,01:50:17,6617.62,True,f,
3039,Peter Blaski,DE,43,H,40-44M,Krampfkartoffeln,https://utmb.world/runner/4824102.peter.blaski,500.0,9.0,8.0,2.0,01:52:24,6744.549,True,f,
3503,Tilde Jensen,SE,38,F,35-39W,Stigmännen Karlshamns OK,https://utmb.world/runner/1535093.tilde.jensen,588.0,10.0,2.0,1.0,01:53:42,6821.795,True,f,
3022,Robin Söderholm,SE,37,H,35-39M,Team SPRINGAMERA,https://utmb.world/runner/4547876.robin.soderholm,543.0,11.0,9.0,3.0,01:53:45,6824.569,True,f,
3012,PAUL CAILLAU,FR,30,H,20-34M,,https://utmb.world/runner/4470855.paul.caillau,567.0,12.0,10.0,3.0,01:53:46,6825.8830000000025,True,f,
3346,Fredrik Nilsson,SE,42,H,40-44M,,https://utmb.world/runner/5072113.fredrik.nilsson,,13.0,11.0,3.0,01:53:50,6829.7519999999995,True,f,
3026,Victor Gillander,SE,40,H,35-39M,,https://utmb.world/runner/4198358.victor.gillander,532.0,14.0,12.0,4.0,01:56:23,6982.868,True,f,
3004,Henrich Ewers,DK,43,H,40-44M,Nordtrim,https://utmb.world/runner/4373740.henrich.ewers,612.0,15.0,13.0,4.0,01:56:25,6984.432,True,f,
3010,Joel Sjöholm,SE,31,H,20-34M,Pan-Kristianstad,https://utmb.world/runner/3277865.joel.sjoholm,569.0,16.0,14.0,4.0,01:57:09,7029.437,True,f,
3011,Mattias Larsson,SE,53,H,50-54M,,https://utmb.world/runner/4527836.mattias.larsson,568.0,17.0,15.0,1.0,01:58:24,7104.79,True,f,
3180,Kristofer Skog,SE,41,H,35-39M,,,,18.0,16.0,5.0,01:58:48,7127.983,True,f,
3416,Anton Peterzén,SE,35,H,20-34M,,https://utmb.world/runner/1619495.anton.peterzen,,19.0,17.0,5.0,01:59:27,7166.9609999999975,True,f,
3441,Kristofer Kiste,,36,H,20-34M,,,,20.0,18.0,6.0,02:00:01,7201.396,True,f,
3027,Janne Werner,SE,37,H,35-39M,Tisdagsklubben Örebro,https://utmb.world/runner/5071989.janne.werner,531.0,21.0,19.0,6.0,02:00:31,7231.1140000000005,True,f,
3356,Christian Bentsen,DK,48,H,45-49M,Gentofte Idræt Klub,https://utmb.world/runner/5073137.christian.bentsen,,22.0,20.0,2.0,02:00:51,7250.616,True,f,
3014,Ludovic Delabre,FR,25,H,20-34M,Cercle des Triathlètes de Nouvelle-Calédonie,https://utmb.world/runner/5073159.ludovic.delabre,561.0,23.0,21.0,7.0,02:01:10,7269.638000000001,True,f,
3342,Philip Gelin,SE,36,H,20-34M,,https://utmb.world/runner/5072099.philip.gelin,,24.0,22.0,8.0,02:01:18,7277.951,True,f,
3502,Pia Michelle Elgaard Folsing,DK,43,F,40-44W,Bistrup Trailklub,https://utmb.world/runner/4373742.piamichelle.elgaardfolsing,592.0,25.0,3.0,1.0,02:01:33,7293.531,True,f,
3175,Fredrik Dupont,SE,50,H,45-49M,,https://utmb.world/runner/5060169.fredrik.dupont,,26.0,23.0,3.0,02:02:03,7323.392,True,f,
3195,Daniel Johansson,SE,46,H,40-44M,Team Nordic Trail,https://utmb.world/runner/5063203.daniel.johansson,,27.0,24.0,5.0,02:02:22,7341.813,True,f,
3017,Simon Österling,SE,36,H,20-34M,Slutna Mästerskapen,https://utmb.world/runner/4824036.simon.osterling,550.0,28.0,25.0,9.0,02:02:25,7344.757,True,f,
3036,Mattias Edvinsson,SE,47,H,45-49M,Runners Club Helsingborg,https://utmb.world/runner/4528148.mattias.edvinsson,506.0,29.0,26.0,4.0,02:03:06,7385.8,True,f,
3423,Vaclav Novak,CZ,31,H,20-34M,,https://utmb.world/runner/5517867.vaclav.novak,,30.0,27.0,10.0,02:03:51,7431.19,True,f,
