# Race: Unknown
# Distance: 50 km
# D+: 834 m
# D-: 834 m
# Date: 2023-11-04
# URL: https://live.utmb.world/kullamannen/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2006,Stian Dahl Sommerseth,NO,28,H,20-34M,Satisfy Running,https://utmb.world/runner/991233.stian.dahlsommerseth,852.0,1.0,1.0,1.0,03:51:31,13891.301000000001,True,f,
2001,Andreu Simon Aymerich,ES,34,H,20-34M,ASICS TRAIL TEAM,https://utmb.world/runner/638210.andreu.simonaymerich,903.0,2.0,2.0,2.0,03:52:47,13967.951000000001,True,f,
2012,James Tilley,GB,38,H,35-39M,RunThrough Trails,https://utmb.world/runner/2356577.james.tilley,794.0,3.0,3.0,1.0,03:53:01,13981.457,True,f,
2009,Jonas Hesthaug,NO,27,H,20-34M,Salomon Norway,https://utmb.world/runner/1718973.jonas.hesthaug,827.0,4.0,4.0,3.0,03:53:27,14007.13,True,f,
2440,Manuell Innerhofer,AT,30,H,20-34M,Salomon Running Team Österreich,https://utmb.world/runner/5563437.manuell.innerhofer,,5.0,5.0,4.0,03:56:22,14182.81,True,f,
2436,Änung Viken,NO,32,H,20-34M,"Vollan IK
Team Dynafit",https://utmb.world/runner/5535759.anung.viken,,6.0,6.0,5.0,03:57:01,14221.9,True,f,
2642,Sindre Buraas,NO,36,H,20-34M,Hoka x Untold_Movement,,,7.0,7.0,6.0,03:59:27,14367.428999999998,True,f,
2502,Yngvild Kaspersen,NO,30,F,20-34W,adidas TERREX,https://utmb.world/runner/656571.yngvild.kaspersen,789.0,8.0,1.0,1.0,03:59:31,14371.871000000001,True,f,
2013,Denis Trillet,BE,31,H,20-34M,Oufteam,https://utmb.world/runner/2040419.denis.trillet,790.0,9.0,8.0,7.0,04:00:30,14430.248,True,f,
2011,Joacim Lantz,SE,34,H,20-34M,Hoka,https://utmb.world/runner/696352.joacim.lantz,799.0,10.0,9.0,8.0,04:02:31,14551.239,True,f,
2015,Andreas Lundegård,SE,39,H,35-39M,FK Studenterna,https://utmb.world/runner/696405.andreas.lundegard,769.0,11.0,10.0,2.0,04:02:45,14565.488000000001,True,f,
2008,Tuomas Kari,FI,42,H,40-44M,Salomon Trail Team Finland,https://utmb.world/runner/3513757.tuomas.kari,827.0,12.0,11.0,1.0,04:05:25,14725.598,True,f,
2003,Anthony Felber,FR,28,H,20-34M,Team Sidas Matryx,https://utmb.world/runner/709785.anthony.felber,890.0,13.0,12.0,9.0,04:09:16,14956.028,True,f,
2501,Judith Wyder,CH,37,F,35-39W,Hoka / Redbull,https://utmb.world/runner/3337007.judith.wyder,789.0,14.0,2.0,1.0,04:09:38,14978.678999999998,True,f,
2005,Abel Carretero Ernesto,ES,34,H,20-34M,,https://utmb.world/runner/1751923.abel.carretero,862.0,15.0,13.0,10.0,04:13:42,15222.188,True,f,
