# Race: Unknown
# Distance: 173 km
# D+: 2300 m
# D-: 2300 m
# Date: 2025-10-31
# URL: https://live.utmb.world/kullamannen/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
10,Christian MALMSTRÖM,SE,45,H,45-49M,Team Blekinge / Irunteam,https://utmb.world/runner/1243141.christian.malmstrom,729.0,1.0,1.0,1.0,16:18:22,58702,True,f,779.0
3,Alexandre BOUCHEIX,FR,34,H,20-34M,CASQUETTE VERTE,https://utmb.world/runner/758585.alexandre.boucheix,819.0,2.0,2.0,1.0,16:34:44,59684,True,f,766.0
5,Jakob ÅBERG,SE,34,H,20-34M,SATISFY,https://utmb.world/runner/1843273.jakob.aberg,801.0,3.0,3.0,2.0,17:03:29,61409,True,f,744.0
24,Hanna AHO,SE,33,F,20-34W,Navåsens FK,https://utmb.world/runner/3976348.hanna.aho,660.0,4.0,1.0,1.0,17:59:21,64761,True,f,706.0
32,Anne-Sofie POLLESTAD,NO,40,F,40-44W,,https://utmb.world/runner/4131603.annesofie.pollestad,648.0,5.0,2.0,1.0,18:32:13,66733,True,f,685.0
18,Eevi BENGS,FI,35,F,35-39W,Team Altra,https://utmb.world/runner/4583132.eevi.bengs,676.0,6.0,3.0,1.0,18:32:41,66761,True,f,685.0
29,Aurimas BRAZAUSKAS,LT,48,H,45-49M,Wild Souls,https://utmb.world/runner/4270487.aurimas.brazauskas,656.0,7.0,4.0,2.0,18:58:55,68335,True,f,669.0
25,Joakim JOHANSSON,SE,39,H,35-39M,,https://utmb.world/runner/508271.joakim.johansson,659.0,8.0,5.0,1.0,19:27:34,70054,True,f,653.0
740,Claes CHRISTENSSON,SE,39,H,35-39M,Umara SC,https://utmb.world/runner/665600.claes.christensson,683.0,9.0,6.0,2.0,19:41:36,70896,True,f,645.0
22,Oscar ASKERLUND,SE,40,H,40-44M,Hällbybrunns IF,https://utmb.world/runner/691416.oscar.askerlund,661.0,10.0,7.0,1.0,20:01:53,72113,True,f,634.0
65,Elin ÖHMAN,SE,33,F,20-34W,Team Ironcoach,https://utmb.world/runner/1996521.elin.ohman,606.0,11.0,4.0,2.0,20:03:19,72199,True,f,633.0
103,Eric HOLMSTRÖM,SE,44,H,40-44M,,https://utmb.world/runner/4445146.eric.holmstrom,569.0,12.0,8.0,2.0,20:04:41,72281,True,f,632.0
