# Race: Unknown
# Distance: 10 km
# D+: 230 m
# D-: 230 m
# Date: 2025-10-18
# URL: https://live.utmb.world/laketoba/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1027,Rusdiyanto RUSDIYANTO,ID,38,H,Veterans,,https://utmb.world/runner/7698019.rusdiyanto.rusdiyanto,,1.0,1.0,1.0,00:47:28,2848,True,f,
1200,Wilsen SINGGIN,MY,35,H,Veterans,NAAK,https://utmb.world/runner/7882763.wilsen.singgin,,2.0,2.0,2.0,00:48:06,2886,True,f,
1067,Maulana MAULANA,ID,26,H,OpenM,WABUP SERDANG,https://utmb.world/runner/7794191.maulana.maulana,,3.0,3.0,1.0,00:54:19,3259,True,f,
1034,Patar Marlon SIREGAR,ID,55,H,Super Ma,020 Runners,https://utmb.world/runner/3354267.patarmarlon.siregar,,5.0,5.0,1.0,01:07:33,4053,True,f,
1052,Edy SYAHPUTRA,ID,47,H,MastersM,Runner polres simalungun club,https://utmb.world/runner/7641503.edy.syahputra,,6.0,6.0,2.0,01:08:28,4108,True,f,
1175,May HERBERT,ID,38,H,Veterans,Cbr,https://utmb.world/runner/7706725.may.herbert,,7.0,7.0,3.0,01:08:34,4114,True,f,
1187,Adrian SETIYADI SITORUS,ID,26,H,OpenM,,https://utmb.world/runner/7800013.adrian.setiyadisitorus,,9.0,9.0,2.0,01:09:02,4142,True,f,
1172,Siong Hua ALEXANDER,ID,42,H,MastersM,Runtorunners,https://utmb.world/runner/7585149.sionghua.alexander,,10.0,10.0,3.0,01:09:22,4162,True,f,
1055,Dimas ADITIYA WIBAWA,ID,24,H,OpenM,Imigrasi Siantar,https://utmb.world/runner/7807449.dimas.aditiyawibawa,,11.0,11.0,3.0,01:09:53,4193,True,f,
1025,Nicodemus Lamhot SITANGGANG,ID,17,H,OpenM,-,https://utmb.world/runner/7800005.nicodemuslamhot.sitanggang,,12.0,12.0,4.0,01:11:35,4295,True,f,
1198,Angelica TOMAS,PH,29,F,OpenW,NAAK,https://utmb.world/runner/7847513.angelica.tomas,,13.0,1.0,1.0,01:12:24,4344,True,f,
1179,Brisman Herberth SINAGA,ID,26,H,OpenM,-,https://utmb.world/runner/7732125.brismanherberth.sinaga,,14.0,13.0,5.0,01:12:30,4350,True,f,
1181,Andan GALINGGING,ID,32,H,Veterans,,https://utmb.world/runner/7768487.andan.galingging,,15.0,14.0,4.0,01:13:38,4418,True,f,
1112,Hashfi Fauzan RAZ,ID,33,H,Veterans,,https://utmb.world/runner/7551191.hashfifauzan.raz,,16.0,15.0,5.0,01:14:42,4482,True,f,
1145,Cahya CHOYRONY,ID,33,H,Veterans,-,https://utmb.world/runner/7551189.cahya.choyrony,,17.0,16.0,6.0,01:14:46,4486,True,f,
1092,Jimmi PASARIBU,ID,33,H,Veterans,Dairi runners,https://utmb.world/runner/7551731.jimmi.pasaribu,,18.0,17.0,7.0,01:15:32,4532,True,f,
1107,Gustav SAMUDRA,ID,31,H,Veterans,Pelari Ciput,https://utmb.world/runner/7627629.gustav.samudra,,19.0,18.0,8.0,01:16:00,4560,True,f,
1161,Chandra DEWI,ID,42,F,MastersW,SIANTAR HASH / SIANTAR RUNNER CLUB,https://utmb.world/runner/7807443.chandra.dewi,,21.0,2.0,1.0,01:16:30,4590,True,f,
