# Race: La Sportiva Lavaredo Ultra Trail by UTMB® 2024 - LAVAREDO 20K
# Distance: 20 km
# D+: 1000 m
# D-: 1000 m
# Date: 2024-06-27
# URL: https://live.utmb.world/lavaredo/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6001,Nadir MAGUET,IT,32,H,20-34M,La Sportiva,https://utmb.world/runner/117642.nadir.maguet,911.0,1.0,1.0,1.0,01:29:35,5375.461,True,f,
6004,Andrea ROSTAN,IT,27,H,20-34M,,https://utmb.world/runner/3079753.andrea.rostan,860.0,2.0,2.0,2.0,01:30:30,5430.051,True,f,
6751,Lorenzo CAGNATI,IT,28,H,20-34M,La Sportiva,https://utmb.world/runner/2036721.lorenzo.cagnati,,3.0,3.0,3.0,01:32:59,5579.827,True,f,
6011,Ibai LARREA ARANGUREN,ES,23,H,20-34M,La Sportiva,https://utmb.world/runner/4954205.ibai.larrea,823.0,4.0,4.0,4.0,01:34:01,5641.672,True,f,
6743,Nicolas MOLINA AGUSTÍN,ES,25,H,20-34M,La Sportiva,https://utmb.world/runner/1765453.nicolas.molina,856.0,5.0,5.0,5.0,01:36:41,5801.973,True,f,
6014,Dionigi GIANOLA,IT,26,H,20-34M,U. S. Malonno,https://utmb.world/runner/2658609.dionigi.gianola,809.0,6.0,6.0,6.0,01:38:31,5911.157,True,f,
6013,Eddj NANI,IT,32,H,20-34M,Skyrunning adventure,https://utmb.world/runner/446910.eddj.nani,813.0,7.0,7.0,7.0,01:39:27,5967.352,True,f,
6003,Peter FRANO,SK,29,H,20-34M,Scarpa,https://utmb.world/runner/1238361.peter.frano,880.0,8.0,8.0,8.0,01:39:50,5990.441,True,f,
6005,Luca PESCOLLDERUNGG,IT,34,H,20-34M,La Sportiva,https://utmb.world/runner/2230211.luca.pescollderungg,856.0,9.0,9.0,9.0,01:40:21,6021.174,True,f,
6015,Gyorgy SZABOLCS-ISTVAN,RO,33,H,20-34M,Scarpa,https://utmb.world/runner/118008.szabolcsistvan.gyorgy,807.0,10.0,10.0,10.0,01:41:08,6068.152,True,f,
6018,Gabriele DEL LONGO,IT,38,H,35-39M,,https://utmb.world/runner/4128790.gabriele.dellongo,801.0,11.0,11.0,1.0,01:43:59,6239.379,True,f,
6016,Jan CASTILLO PAREDES,ES,21,H,20-34M,La Sportiva Spain,https://utmb.world/runner/5111460.jan.castilloparedes,805.0,12.0,12.0,11.0,01:44:45,6285.72,True,f,
6038,Saimir XHEMALAJ,IT,31,H,20-34M,Modena Runners Club,https://utmb.world/runner/3304233.saimir.xhemalaj,720.0,13.0,13.0,12.0,01:45:36,6336.089,True,f,
6027,Federico VECELLIO PATIS,IT,27,H,20-34M,U.S. Tre Cime,https://utmb.world/runner/4052096.federico.vecelliopatis,758.0,14.0,14.0,13.0,01:46:03,6363.634,True,f,
6029,Marco DE MEO,IT,29,H,20-34M,Scarpa,https://utmb.world/runner/946527.marco.demeo,748.0,15.0,15.0,14.0,01:47:36,6456.739,True,f,
6032,Mirco CONSOLARO,IT,30,H,20-34M,Durona Team/ Km Sport,https://utmb.world/runner/4365606.mirco.consolaro,745.0,16.0,16.0,15.0,01:49:07,6547.737,True,f,
6034,Andrea TAFFAREL,IT,24,H,20-34M,,https://utmb.world/runner/5148536.andrea.taffarel,742.0,17.0,17.0,16.0,01:50:13,6613.936,True,f,
6604,Dušan KRSTIĆ,RS,27,H,20-34M,TIAC,https://utmb.world/runner/5619555.dusan.krstic,,18.0,18.0,17.0,01:50:39,6639.373,True,f,
6031,Leonardo CASENTINI,IT,20,H,18-19M,-,https://utmb.world/runner/5029005.leonardo.casentini,747.0,19.0,19.0,1.0,01:50:57,6657.697,True,f,
