# Race: Unknown
# Distance: 80 km
# D+: 4600 m
# D-: 4600 m
# Date: 2025-06-28
# URL: https://live.utmb.world/lavaredo/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2004,Drew HOLMEN,US,33,H,20-34M,Nike Trail,https://utmb.world/runner/1030827.drew.holmen,870.0,1.0,1.0,1.0,07:54:29,28469.179,True,f,
2009,Dominik MATT,AT,34,H,20-34M,Salomon,https://utmb.world/runner/2121061.dominik.matt,854.0,2.0,2.0,2.0,07:56:20,28580.664,True,f,
2011,Noah WILLIAMS,US,30,H,20-34M,La Sportiva,https://utmb.world/runner/2397135.noah.williams,857.0,3.0,3.0,3.0,08:10:35,29435.252999999997,True,f,
2007,Martin HALASZ,SK,35,H,35-39M,,https://utmb.world/runner/559670.martin.halasz,854.0,4.0,4.0,1.0,08:18:20,29899.892000000003,True,f,
2029,Tiziano SCATOLIN,IT,32,H,20-34M,DUEROCCHE ASD,https://utmb.world/runner/3999116.tiziano.scatolin,788.0,5.0,5.0,4.0,08:43:17,31397.408,True,f,
2003,Anna TARASOVA,AN,42,F,40-44W,Norda Team,https://utmb.world/runner/3162541.anna.tarasova,773.0,6.0,1.0,1.0,08:44:30,31469.785,True,f,
2010,Michele MERIDIO,IT,28,H,20-34M,Brooks Trail Runners,https://utmb.world/runner/1524379.michele.meridio,853.0,7.0,6.0,5.0,08:49:27,31766.909,True,f,
2022,Miłosz SZCZEŚNIEWSKI,PL,36,H,35-39M,Hoka Garmin Team,https://utmb.world/runner/199337.milosz.szczesniewski,802.0,8.0,7.0,2.0,08:51:04,31864.105,True,f,
2012,Diego ANGELLA,IT,29,H,20-34M,La Sportiva,https://utmb.world/runner/415878.diego.angella,845.0,9.0,8.0,6.0,08:51:50,31909.821,True,f,
2001,Yngvild KASPERSEN,NO,30,F,20-34W,adidas TERREX,https://utmb.world/runner/656571.yngvild.kaspersen,795.0,10.0,2.0,1.0,08:58:35,32315.181,True,f,
2026,Mauro RASOM,IT,33,H,20-34M,,https://utmb.world/runner/666244.mauro.rasom,794.0,11.0,9.0,7.0,09:02:20,32539.195,True,f,
2006,Marion DELESPIERRE MAUPPIN,FR,38,F,35-39W,ON RUNNING,https://utmb.world/runner/385957.marion.delespierremauppin,752.0,12.0,3.0,1.0,09:08:12,32891.675,True,f,
2019,Carlo SALVETTI,IT,35,H,35-39M,ELLEERRE ASD,https://utmb.world/runner/648095.carlo.salvetti,814.0,13.0,10.0,3.0,09:14:17,33257.038,True,f,
2034,Roberto PIROLA,IT,34,H,20-34M,GS Orobie,https://utmb.world/runner/287102.roberto.pirola,771.0,14.0,11.0,8.0,09:15:44,33344.558,True,f,
2023,Christian MODENA,IT,41,H,40-44M,Team Salomon,https://utmb.world/runner/19590.christian.modena,799.0,15.0,12.0,1.0,09:27:35,34054.653,True,f,
