# Race: Unknown
# Distance: 26 km
# D+: 1000 m
# D-: 1000 m
# Date: 2024-11-03
# URL: https://live.utmb.world/mallorcabyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
4004,Eduard HERNANDEZ,ES,44,H,40-44M,IRON WILL SOLIDEO,https://utmb.world/runner/698916.eduard.hernandez,858.0,1.0,1.0,1.0,02:01:46,7306.04,True,f,
4005,Valentin BENARD,FR,28,H,20-34M,Asics Fuji Trail,https://utmb.world/runner/1565203.valentin.benard,856.0,2.0,2.0,1.0,02:04:51,7491.45,True,f,
5240,Dominik MATT,AT,34,H,20-34M,Salomon,https://utmb.world/runner/2121061.dominik.matt,864.0,3.0,3.0,2.0,02:05:37,7537.97,True,f,
5226,Lleïr BARCONS COMAPOSADA,ES,21,H,20-34M,Wild Trail Project,https://utmb.world/runner/4943537.lleir.barconscomaposada,805.0,4.0,4.0,3.0,02:07:30,7650.52,True,f,
4006,Bertie HOUGHTON,GB,30,H,20-34M,Dark Peak Fell Runners,https://utmb.world/runner/3157311.bertie.houghton,837.0,5.0,5.0,4.0,02:10:04,7804.83,True,f,
5235,Toni BANOS,ES,25,H,20-34M,JOMA TEAM,https://utmb.world/runner/4673220.toni.banos,795.0,6.0,6.0,5.0,02:11:48,7908.5,True,f,
4011,James MILLER,ZA,28,H,20-34M,,https://utmb.world/runner/4303420.james.miller,784.0,7.0,7.0,6.0,02:12:52,7972.65,True,f,
4001,Judith WYDER,CH,37,F,35-39W,ST Bern,https://utmb.world/runner/3337007.judith.wyder,796.0,8.0,1.0,1.0,02:13:32,8012.41,True,f,
5139,Thomas HOUZET,FR,26,H,20-34M,NNormal,https://utmb.world/runner/6581819.thomas.houzet,,9.0,8.0,7.0,02:14:57,8097.79,True,f,
4009,Sergi BELTRAN FONT,ES,30,H,20-34M,Elke running,https://utmb.world/runner/4221238.sergi.beltranfont,786.0,10.0,9.0,8.0,02:15:26,8126.47,True,f,
4026,Adrian VOS PEREZ,ES,20,H,18-19M,Todo Vertical V+,https://utmb.world/runner/4925047.adrian.vosperez,740.0,11.0,10.0,1.0,02:16:44,8204.89,True,f,
4039,Antonio Vicente GALVAÑ VICENTE,ES,29,H,20-34M,C.A. MARATHON CREVILLENT,https://utmb.world/runner/4966012.antoniovicente.galvanvicente,693.0,11.0,10.0,9.0,02:16:44,8204.16,True,f,
5219,Gabriel LOMBRISER,CH,44,H,40-44M,ST Bern,https://utmb.world/runner/346116.gabriel.lombriser,,13.0,12.0,2.0,02:18:54,8334.39,True,f,
4027,Victor VAN DEN DRIESSCHE,FR,41,H,40-44M,Ibiza Half Triathlon,https://utmb.world/runner/4075545.victor.vandendriessche,733.0,14.0,13.0,3.0,02:19:25,8365.74,True,f,
4028,Davide BONATO,IT,25,H,20-34M,Atletica Gavirate,https://utmb.world/runner/4446140.davide.bonato,741.0,15.0,14.0,10.0,02:19:55,8395.9,True,f,
4025,Daniel REDONDO ARROYO,ES,36,H,35-39M,TODOVERTICAL V+,https://utmb.world/runner/4305564.daniel.redondoarroyo,740.0,16.0,15.0,1.0,02:20:09,8409.89,True,f,
4032,Grégoire DESLOGES,FR,36,H,35-39M,,https://utmb.world/runner/385770.gregoire.desloges,713.0,17.0,16.0,2.0,02:21:18,8478.84,True,f,
4036,Manuel MARIN JUAREZ,ES,32,H,20-34M,GRUP ENTRENAMENT DAVID MUNDINA,https://utmb.world/runner/5036322.manuel.marinjuarez,698.0,18.0,17.0,11.0,02:22:12,8532.09,True,f,
4014,Óscar SOBRADO ROSSELLÓ,ES,23,H,20-34M,Endurance THB,https://utmb.world/runner/4475974.oscar.sobradorossello,764.0,19.0,18.0,12.0,02:23:16,8596.2,True,f,
5186,Miquel MAS PARADOWSKI,ES,36,H,35-39M,SALT CLUB DE MUNTANYA,https://utmb.world/runner/4235262.miquel.masparadowski,,20.0,19.0,3.0,02:23:32,8612.6,True,f,
4818,Ben MOUNSEY,GB,44,H,40-44M,SportsShoes Trail Team,https://utmb.world/runner/448125.ben.mounsey,,21.0,20.0,4.0,02:24:30,8670.81,True,f,
5228,Isabel CALERO,ES,36,F,35-39W,Murbac Trail,https://utmb.world/runner/1682749.isabel.calero,689.0,22.0,2.0,2.0,02:25:06,8706.41,True,f,
4047,Bernat NADAL CARDENAS,ES,33,H,20-34M,Club Esportiu Es pedal,https://utmb.world/runner/5065255.bernat.nadalcardenas,670.0,23.0,21.0,13.0,02:25:18,8718.95,True,f,
4052,Alvaro DE LA CALZADA JOVER,ES,27,H,20-34M,,https://utmb.world/runner/4222488.alvaro.delacalzadajover,673.0,24.0,22.0,14.0,02:25:26,8726.92,True,f,
4051,Gijs WAGENAAR,NL,27,H,20-34M,Running Barcelona,https://utmb.world/runner/5115690.gijs.wagenaar,661.0,25.0,23.0,15.0,02:26:18,8778.98,True,f,
4074,David CARRIQUE SANCHEZ,ES,31,H,20-34M,,https://utmb.world/runner/5568931.david.carriquesanchez,622.0,26.0,24.0,16.0,02:26:31,8791.03,True,f,
4035,Antoine BOUSQUET,FR,38,H,35-39M,Team Trail Paris,https://utmb.world/runner/2655535.antoine.bousquet,702.0,27.0,25.0,4.0,02:27:05,8825.48,True,f,
4049,Adrian PERALTA,ES,32,H,20-34M,Club esportiu es pedal,https://utmb.world/runner/5447424.adrian.peralta,669.0,28.0,26.0,17.0,02:27:25,8845.49,True,f,
4960,Thomas HENRIKSEN,NO,47,H,45-49M,Frogner Runners,https://utmb.world/runner/6401267.thomas.henriksen,,29.0,27.0,1.0,02:28:38,8918.76,True,f,
