# Race: Unknown
# Distance: 69 km
# D+: 4350 m
# D-: 4350 m
# Date: 2024-11-01
# URL: https://live.utmb.world/mallorcabyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1009,Camilla MAGLIANO,IT,40,F,35-39W,Altra running,https://utmb.world/runner/1195273.camilla.magliano,767.0,,,,,0,False,cancelled,
1025,Anna TARASOVA,ES,42,F,40-44W,Overland running,https://utmb.world/runner/3162541.anna.tarasova,742.0,,,,,0,False,cancelled,
1031,Keith WIGLEY,GB,32,H,20-34M,Elite Trail Team,https://utmb.world/runner/2566355.keith.wigley,830.0,,,,,0,False,cancelled,
1023,Eleanor DAVIS,GB,36,F,35-39W,The North Face,https://utmb.world/runner/4194384.eleanor.davis,747.0,,,,,0,False,cancelled,
1045,Severine PETERSEN,DE,30,F,20-34W,Team Mammut,https://utmb.world/runner/4417944.severine.petersen,661.0,,,,,0,False,cancelled,
1030,Jordi ROY,ES,37,H,35-39M,Overland running team,https://utmb.world/runner/2116379.jordi.roy,831.0,,,,,0,False,cancelled,
1027,Katarzyna WILK,PL,40,F,35-39W,Salomon,https://utmb.world/runner/1842905.katarzyna.wilk,737.0,,,,,0,False,cancelled,
1039,Michaela WOLF,DE,38,F,35-39W,TwoPeaksEndurance,https://utmb.world/runner/1128739.michaela.wolf,699.0,,,,,0,False,cancelled,
1026,Goar LOPETEGUI NIETO,ES,31,H,20-34M,DOMUSA TEKNIK - LANA TEAM,https://utmb.world/runner/469688.goar.lopeteguinieto,842.0,,,,,0,False,cancelled,
1028,Morten ANTONSEN,NO,24,H,20-34M,,https://utmb.world/runner/2157907.morten.antonsen,837.0,,,,,0,False,cancelled,
1036,Hugh CHATFIELD,GB,31,H,20-34M,Tring Running Club,https://utmb.world/runner/4460426.hugh.chatfield,824.0,,,,,0,False,cancelled,
1021,Baptiste PETITJEAN,FR,30,H,20-34M,TEAM SALOMON,https://utmb.world/runner/4653028.baptiste.petitjean,853.0,,,,,0,False,cancelled,
1037,Tsubasa FUJI,JP,30,H,20-34M,NNormal Japan,https://utmb.world/runner/746045.tsubasa.fuji,806.0,,,,,0,False,cancelled,
1038,Lisa WIMMER,DE,33,F,20-34W,Salomon Running,https://utmb.world/runner/4214565.lisa.wimmer,704.0,,,,,0,False,cancelled,
1051,Sergio MACHIN,ES,33,H,20-34M,CD Hilera,https://utmb.world/runner/945129.sergio.machin,763.0,,,,,0,False,cancelled,
1054,Eetu NORDMAN,FI,40,H,35-39M,Salomon Finland,https://utmb.world/runner/503965.eetu.nordman,745.0,,,,,0,False,cancelled,
1050,Ivan GERONAZZO,IT,54,H,50-54M,Scarpa,https://utmb.world/runner/34654.ivan.geronazzo,777.0,,,,,0,False,cancelled,
1056,Jules-Henri GABIOUD,CH,38,H,35-39M,Scarpa Karpos,https://utmb.world/runner/20156.juleshenri.gabioud,738.0,,,,,0,False,cancelled,
1029,Brennan TOWNSHEND,GB,32,H,20-34M,Keswick AC,https://utmb.world/runner/1640163.brennan.townshend,833.0,,,,,0,False,cancelled,
1057,Ioan CONTIU,RO,32,H,20-34M,,https://utmb.world/runner/2099743.ioan.contiu,735.0,,,,,0,False,cancelled,
1046,Ignasi FERRER,ES,34,H,20-34M,Overland,https://utmb.world/runner/160950.ignasi.ferrer,792.0,,,,,0,False,cancelled,
1049,Joan Antoni MAYOL  MUNTANER,ES,32,H,20-34M,C.M.CARBONERS,https://utmb.world/runner/1185237.joanantoni.mayolmuntaner,786.0,,,,,0,False,cancelled,
1034,Sindre BURAAS,NO,36,H,35-39M,HOKA x untold_movement,https://utmb.world/runner/4292391.sindre.buraas,820.0,,,,,0,False,cancelled,
1048,Ryuta IWAI,JP,32,H,20-34M,NNormal JAPAN,https://utmb.world/runner/2387203.ryuta.iwai,788.0,,,,,0,False,cancelled,
1059,Gines ARROYO,ES,46,H,45-49M,Espuña Trail,https://utmb.world/runner/723966.gines.arroyo,735.0,,,,,0,False,cancelled,
1047,Henri ANSIO,FI,40,H,35-39M,Salomon Finland,https://utmb.world/runner/310366.henri.ansio,759.0,,,,,0,False,cancelled,
1064,Dylan ROCES,FR,30,H,20-34M,,https://utmb.world/runner/4768494.dylan.roces,727.0,,,,,0,False,cancelled,
1052,Nigel HOCKIN,GB,37,H,35-39M,Slaithwaite Striders,https://utmb.world/runner/2478017.nigel.hockin,753.0,,,,,0,False,cancelled,
1061,Matteo GONZO,IT,41,H,40-44M,,https://utmb.world/runner/2536885.matteo.gonzo,734.0,,,,,0,False,cancelled,
1062,Xavi VILLALONGA,ES,35,H,20-34M,,https://utmb.world/runner/3166645.xavi.villalonga,732.0,,,,,0,False,cancelled,
1058,Sacha COUSIN,FR,37,H,35-39M,cmbm,https://utmb.world/runner/657353.sacha.cousin,736.0,,,,,0,False,cancelled,
1055,Kaz VERSTRAETE,BE,33,H,20-34M,Nevernotmoving,https://utmb.world/runner/1180607.kaz.verstraete,741.0,,,,,0,False,cancelled,
1060,Rubén LOPEZ ZUHEROS,ES,37,H,35-39M,Trailrunners avanza Jaén,https://utmb.world/runner/1149077.ruben.lopezzuheros,735.0,,,,,0,False,cancelled,
1053,Andreas DÜRR,AT,30,H,20-34M,,https://utmb.world/runner/3175565.andreas.durr,753.0,,,,,0,False,cancelled,
1068,Paul Etienne TEILLAUCHET,FR,35,H,20-34M,COURIR A SAUSSET,https://utmb.world/runner/1732297.pauletienne.teillauchet,722.0,,,,,0,False,cancelled,
1077,Aleksandr FIRSOV,AN,38,H,35-39M,Mountain Runners del Berguedà,https://utmb.world/runner/3212401.aleksandr.firsov,698.0,,,,,0,False,cancelled,
1067,Luis BARAJA GUERRA,ES,36,H,35-39M,KM VERTICAL TORRELAVEGA,https://utmb.world/runner/2698867.luis.barajaguerra,726.0,,,,,0,False,cancelled,
1063,Andrés LEAL VICH,ES,39,H,35-39M,Gymnapolis,https://utmb.world/runner/4586186.andres.lealvich,727.0,,,,,0,False,cancelled,
1076,Diego GONZÁLEZ PÉREZ,ES,47,H,45-49M,G.M.Cumbre Llangreu,https://utmb.world/runner/1556663.diego.gonzalezperez,704.0,,,,,0,False,cancelled,
1073,Erick PIRAZAN,CO,32,H,20-34M,Benetan gasteiz,https://utmb.world/runner/4169834.erick.pirazan,709.0,,,,,0,False,cancelled,
1066,Miquel Angel CUENCA,ES,36,H,35-39M,,https://utmb.world/runner/6125878.miquelangel.cuenca,724.0,,,,,0,False,cancelled,
1069,Fedrik VANCRAEYNEST,BE,46,H,45-49M,FATT - KBF,https://utmb.world/runner/3900285.fedrik.vancraeynest,714.0,,,,,0,False,cancelled,
1044,Mirjam SAARHEIM,NO,47,F,45-49W,Lofoten løpeklubb,https://utmb.world/runner/2232503.mirjam.saarheim,675.0,,,,,0,False,cancelled,
1065,Pau BESTARD PUIG,ES,39,H,35-39M,Ermassets club de muntanya d’Esporles,https://utmb.world/runner/209361.pau.bestardpuig,725.0,,,,,0,False,cancelled,
1084,Joe HORNE,GB,41,H,40-44M,HP3,https://utmb.world/runner/656088.joe.horne,680.0,,,,,0,False,cancelled,
1093,Francisco Tomas FERNANDEZ SEGURA,ES,44,H,40-44M,Club Atletismo Sierra Segura,https://utmb.world/runner/729348.franciscotomas.fernandezsegura,673.0,,,,,0,False,cancelled,
1081,Markus STEINMANN,AT,45,H,40-44M,Vakutec Racing Team,https://utmb.world/runner/3245265.markus.steinmann,689.0,,,,,0,False,cancelled,
1071,Ramon ROSSELLO PONS,ES,37,H,35-39M,Es Pedal,https://utmb.world/runner/4468918.ramon.rossellopons,711.0,,,,,0,False,cancelled,
