# Race: Unknown
# Distance: 69 km
# D+: 4350 m
# D-: 4350 m
# Date: 2024-11-01
# URL: https://live.utmb.world/mallorcabyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
7002, Los del valle,ES,2025,H,H,,,409.0,,,,,0,False,cancelled,
7004, Tiburãos Running Team,ES,2025,H,H,Tiburãos Running Team,,489.0,,,,,0,False,cancelled,
7003, JDS,ES,2025,X,Mx,,,,,,,,0,False,cancelled,
7001, BadBuzz,BE,2025,X,Mx,,,481.0,,,,,0,False,cancelled,
7009, Pringat el d'es mig,ES,2025,H,H,,,,,,,,0,False,cancelled,
7013, LA PILI,ES,2025,X,Mx,,,,,,,,0,False,cancelled,
7014, MTM,ES,2025,H,H,"YEPA, Ibers, C.E. TRIATS",,495.0,,,,,0,False,cancelled,
7015, Cabrum,ES,2025,H,H,"Sa Riba Club, Es Carboners",,,,,,,0,False,cancelled,
7011, Hiru Txerritxoak,ES,2025,H,H,Legazpi Trail,,635.0,,,,,0,False,cancelled,
7020, Boenvi,ES,2025,H,H,"Aixemendi Kirol Elkartea, Brooks Trail Runners, Eutsi Balmatrail",,695.0,,,,,0,False,cancelled,
7022, TRAMUNTANES TEAM,ES,2025,H,H,TRAMUNTANA ESPORT,,,,,,,0,False,cancelled,
7005, Els últims,ES,2025,X,Mx,,,757.0,,,,,0,False,cancelled,
7006, BNRC,"AN, RU",2025,X,Mx,BNRC,,371.0,,,,,0,False,cancelled,
7008, CAZANDO AMANECERES,ES,2025,X,Mx,"Matinam X Somiar, Matinam X somiar",,428.0,,,,,0,False,cancelled,
7025, SALT,ES,2025,H,H,SALT Club de Muntanya,,774.0,,,,,0,False,cancelled,
7007, power girls,ES,2025,F,F,"Secció de Muntanya Club Pollença, C. M. Matinam per Somiar, Matinam X Somiar",,474.0,,,,,0,False,cancelled,
7017, Diaita F,ES,2025,X,Mx,Club atletisme Diaita,,,,,,,0,False,cancelled,
7021, Ses Tramuntanes,ES,2025,F,F,Tramuntana,,,,,,,0,False,cancelled,
7019, Corredores de Llucmajor,ES,2025,H,H,Corredores de Llucmajor,,395.0,,,,,0,False,cancelled,
7016, ZigZag Mallorca,"RO, ZA, GB",2025,F,F,ZigZag Mallorca,,457.0,,,,,0,False,cancelled,
7010, Cartagonova,ES,2025,X,Mx,,,519.0,,,,,0,False,cancelled,
7012, Mantxola Crew,ES,2025,H,H,Legazpi Trail,,,,,,,0,False,cancelled,
7018, Diaita M,ES,2025,H,H,Club atletisme Diaita,,614.0,,,,,0,False,cancelled,
7024, Guirado Salamanca Power,ES,2025,X,Mx,Matinam X somiar,,508.0,,,,,0,False,cancelled,
7023, Torrents i altres herbes,ES,2025,H,H,Secció de Muntanya Club Pollença,,,,,,,0,False,cancelled,
