# Race: Unknown
# Distance: 96.8 km
# D+: 4356 m
# D-: 4356 m
# Date: 2025-04-18
# URL: https://live.utmb.world/mountyun/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1013,Zhengqiang XIONG,CN,29,H,20-34M,,https://utmb.world/runner/3664259.zhengqiang.xiong,721.0,1.0,1.0,1.0,10:15:08,36908.73,True,f,
1003,Min QI,CN,37,H,35-39M,,https://utmb.world/runner/1199567.min.qi,839.0,2.0,2.0,1.0,10:39:16,38356.95,True,f,
1011,Hualing CHEN,CN,33,H,20-34M,,https://utmb.world/runner/5719720.hualing.chen,722.0,3.0,3.0,2.0,10:59:28,39568.89,True,f,
1001,Fuzhao XIANG,CN,34,F,20-34W,,https://utmb.world/runner/989977.fuzhao.xiang,796.0,4.0,1.0,1.0,11:00:49,39649.99,True,f,
1008,Wenrong ZHENG,CN,37,F,35-39W,,https://utmb.world/runner/879489.wenrong.zheng,698.0,5.0,2.0,1.0,12:14:16,44056.39,True,f,
1004,Ying LI,CN,39,F,35-39W,,https://utmb.world/runner/5714414.ying.li,714.0,6.0,3.0,2.0,12:33:09,45189.75,True,f,
1052,Zhou SONG,CN,38,H,35-39M,,https://utmb.world/runner/3597335.zhou.song,628.0,7.0,4.0,2.0,12:40:14,45614.91,True,f,
1058,Yongbo LI,CN,29,H,20-34M,,https://utmb.world/runner/5877914.yongbo.li,560.0,8.0,5.0,3.0,13:33:31,48811.67,True,f,
1091,Yang SHI,CN,36,H,35-39M,,https://utmb.world/runner/5622180.yang.shi,503.0,9.0,6.0,3.0,13:36:43,49003.89,True,f,
1120,Xingzhong PANG,CN,41,H,40-44M,,https://utmb.world/runner/3526937.xingzhong.pang,473.0,10.0,7.0,1.0,13:52:33,49953.95,True,f,
1168,Zhili CHANG,CN,36,H,35-39M,,https://utmb.world/runner/2495681.zhili.chang,431.0,11.0,8.0,4.0,14:15:36,51336.94,True,f,
1005,Zhihu WANG,CN,39,H,35-39M,,https://utmb.world/runner/1412169.zhihu.wang,811.0,12.0,9.0,5.0,14:25:44,51944.88,True,f,
1064,Xinyu WANG,CN,38,H,35-39M,,https://utmb.world/runner/2390177.xinyu.wang,551.0,13.0,10.0,6.0,14:33:01,52381.71,True,f,
1057,Yanqiu YUE,CN,36,F,35-39W,,https://utmb.world/runner/5691234.yanqiu.yue,567.0,14.0,4.0,3.0,14:37:28,52648.74,True,f,
1069,Yi PAN,CN,40,H,40-44M,,https://utmb.world/runner/1148431.yi.pan,542.0,15.0,11.0,2.0,14:50:01,53401.79,True,f,
1053,Yong LI,CN,36,H,35-39M,,https://utmb.world/runner/4118555.yong.li,625.0,16.0,12.0,7.0,14:52:08,53528.67,True,f,
1012,Xiaoxiao ZHOU,CN,36,F,35-39W,,https://utmb.world/runner/2420757.xiaoxiao.zhou,633.0,17.0,5.0,4.0,15:07:31,54451.09,True,f,
1515,Ming ZHONG,CN,40,H,40-44M,,https://utmb.world/runner/3594561.ming.zhong,,18.0,13.0,3.0,15:08:46,54526.34,True,f,
1060,Kai TAO,CN,51,H,50-54M,,https://utmb.world/runner/3118829.kai.tao,556.0,19.0,14.0,1.0,15:10:59,54659.38,True,f,
1499,Wei CUI,CN,46,H,45-49M,,https://utmb.world/runner/7046305.wei.cui,,20.0,15.0,1.0,15:15:20,54920.23,True,f,
1071,Yang LIU,CN,42,H,40-44M,,https://utmb.world/runner/4684596.yang.liu,539.0,21.0,16.0,4.0,15:19:35,55175.7,True,f,
1485,Jianghai LUO,CN,37,H,35-39M,,https://utmb.world/runner/6984479.jianghai.luo,,22.0,17.0,8.0,15:22:45,55365.96,True,f,
1138,Xinhua ZHANG,CN,38,H,35-39M,,https://utmb.world/runner/5839997.xinhua.zhang,455.0,23.0,18.0,9.0,15:29:53,55793.33,True,f,
1084,Jin DU,CN,32,H,20-34M,,https://utmb.world/runner/4124357.jin.du,508.0,24.0,19.0,4.0,15:30:23,55823.85,True,f,
1051,Yang LIU,CN,37,H,35-39M,,https://utmb.world/runner/1655017.yang.liu,701.0,25.0,20.0,10.0,15:35:51,56151.15,True,f,
1068,Fei ZHAO,CN,41,H,40-44M,,https://utmb.world/runner/2433849.fei.zhao,543.0,26.0,21.0,5.0,15:38:49,56329.16,True,f,
1226,Lichen YANG,CN,49,H,45-49M,,https://utmb.world/runner/3793353.lichen.yang,399.0,27.0,22.0,2.0,15:41:37,56497.34,True,f,
1097,Tianzuo XIE,CN,34,H,20-34M,,https://utmb.world/runner/6370004.tianzuo.xie,493.0,28.0,23.0,5.0,15:45:59,56759.45,True,f,
1117,Binjie ZHAO,CN,39,H,35-39M,,https://utmb.world/runner/4050846.binjie.zhao,478.0,29.0,24.0,11.0,15:46:17,56777.38,True,f,
1065,Along HE,CN,37,H,35-39M,,https://utmb.world/runner/5056576.along.he,547.0,30.0,25.0,12.0,15:46:54,56814.47,True,f,
1100,Zongheng ZHENG,CN,33,H,20-34M,,https://utmb.world/runner/6370026.zongheng.zheng,490.0,31.0,26.0,6.0,15:48:34,56914.34,True,f,
1076,Lei SHI,CN,43,H,40-44M,,https://utmb.world/runner/5097718.lei.shi,523.0,32.0,27.0,6.0,15:49:40,56980.53,True,f,
1063,Feng ZHAO,CN,41,H,40-44M,,https://utmb.world/runner/5780822.feng.zhao,551.0,33.0,28.0,7.0,15:53:37,57217.67,True,f,
1096,Wangqian MA,CN,35,H,35-39M,,https://utmb.world/runner/4050704.wangqian.ma,500.0,34.0,29.0,13.0,15:54:07,57247.61,True,f,
1059,Jian LI,CN,51,H,50-54M,,https://utmb.world/runner/2390139.jian.li,557.0,35.0,30.0,2.0,15:55:55,57355.3,True,f,
1123,Qiyu ZHAO,CN,30,H,20-34M,,https://utmb.world/runner/5097820.qiyu.zhao,472.0,36.0,31.0,7.0,15:58:00,57480.45,True,f,
1085,Shen ZHU,CN,36,H,35-39M,,https://utmb.world/runner/5699536.shen.zhu,505.0,37.0,32.0,14.0,15:58:53,57533.91,True,f,
1061,Tengfei FU,CN,35,H,35-39M,,https://utmb.world/runner/5429818.tengfei.fu,553.0,38.0,33.0,15.0,16:01:44,57704.83,True,f,
1152,Rui WANG,CN,35,H,35-39M,,https://utmb.world/runner/4013225.rui.wang,445.0,39.0,34.0,16.0,16:03:07,57787.92,True,f,
1080,Bin DENG,CN,45,H,45-49M,,https://utmb.world/runner/3529681.bin.deng,519.0,40.0,35.0,3.0,16:07:39,58059.89,True,f,
1487,Mengling XIE,CN,32,F,20-34W,,https://utmb.world/runner/4070073.mengling.xie,,41.0,6.0,2.0,16:11:04,58264.19,True,f,
1167,Hui ZHANG,CN,40,H,40-44M,,https://utmb.world/runner/3078869.hui.zhang,431.0,42.0,36.0,8.0,16:12:14,58334.43,True,f,
1140,Junjie LI,CN,37,H,35-39M,,https://utmb.world/runner/5699096.junjie.li,454.0,43.0,37.0,17.0,16:12:48,58368.3,True,f,
1093,Delong A,CN,33,H,20-34M,,,,44.0,38.0,8.0,16:14:10,58450.57,True,f,
1070,Zhiwei ZHONG,CN,43,H,40-44M,,https://utmb.world/runner/6536783.zhiwei.zhong,542.0,45.0,39.0,9.0,16:15:07,58507.38,True,f,
1110,Qiantao ZHENG,CN,50,H,50-54M,,https://utmb.world/runner/6369950.qiantao.zheng,481.0,46.0,40.0,3.0,16:17:00,58620.62,True,f,
1473,Yong LI,CN,65,H,65-69M,,https://utmb.world/runner/7046589.yong.li,,47.0,41.0,1.0,16:17:55,58675.73,True,f,
1136,Jianqiang LIU,CN,29,H,20-34M,,https://utmb.world/runner/6373584.jianqiang.liu,458.0,48.0,42.0,9.0,16:20:27,58827.92,True,f,
1075,Shufa LIU,CN,40,H,40-44M,,https://utmb.world/runner/1367281.shufa.liu,529.0,49.0,43.0,10.0,16:25:01,59101.93,True,f,
1056,Le LIU,CN,41,H,40-44M,,https://utmb.world/runner/4051002.le.liu,572.0,50.0,44.0,11.0,16:26:00,59160.7,True,f,
1131,Hui CHEN,CN,36,H,35-39M,,https://utmb.world/runner/6983958.hui.chen,466.0,51.0,45.0,18.0,16:26:22,59182.39,True,f,
1493,Aleksei RODIONOV,AN,34,H,20-34M,,https://utmb.world/runner/5619972.aleksei.rodionov,485.0,52.0,46.0,10.0,16:54:40,60880.5,True,f,
1088,Long PEI,CN,37,H,35-39M,,https://utmb.world/runner/5429218.long.pei,504.0,53.0,47.0,19.0,16:58:00,61080.26,True,f,
1497,Zhangping XU,CN,39,H,35-39M,,https://utmb.world/runner/7046461.zhangping.xu,,54.0,48.0,20.0,17:16:33,62193.2,True,f,
1101,Binghong CHEN,CN,46,H,45-49M,,https://utmb.world/runner/6569006.binghong.chen,490.0,55.0,49.0,4.0,17:25:52,62752.84,True,f,
1127,Shuntao GOU,CN,38,H,35-39M,,https://utmb.world/runner/3595697.shuntao.gou,469.0,56.0,50.0,21.0,17:27:42,62862.68,True,f,
1081,Nan ZHANG,CN,30,H,20-34M,,https://utmb.world/runner/5140509.nan.zhang,515.0,57.0,51.0,11.0,17:27:59,62879.81,True,f,
1112,Jiaying TIAN,CN,39,H,35-39M,,https://utmb.world/runner/2363573.jiaying.tian,480.0,58.0,52.0,22.0,17:28:09,62889.26,True,f,
