# Race: Unknown
# Distance: 48.3 km
# D+: 2407 m
# D-: 2407 m
# Date: 2025-04-19
# URL: https://live.utmb.world/mountyun/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5002,Tao LUO,CN,27,H,20-34M,,https://utmb.world/runner/544891.tao.luo,886.0,1.0,1.0,1.0,04:08:31,14911.35,True,f,
5013,Erqing WU,CN,26,H,20-34M,,https://utmb.world/runner/5973853.erqing.wu,824.0,2.0,2.0,2.0,04:10:52,15052.14,True,f,
5020,Yeyuedu SHI,CN,26,H,20-34M,,https://utmb.world/runner/6256506.yeyuedu.shi,781.0,3.0,3.0,3.0,04:29:36,16176.94,True,f,
5028,Sangwangdui GE,CN,21,H,20-34M,,https://utmb.world/runner/7049201.sangwangdui.ge,672.0,4.0,4.0,4.0,04:41:52,16912.71,True,f,
5008,Hu ZHAO,CN,32,H,20-34M,,https://utmb.world/runner/3985012.hu.zhao,853.0,5.0,5.0,5.0,04:54:52,17692.65,True,f,
5053,Song LI,CN,35,H,35-39M,,https://utmb.world/runner/1621953.song.li,719.0,6.0,6.0,1.0,04:59:42,17982.41,True,f,
5027,Chengxi QIAN,CN,38,H,35-39M,,https://utmb.world/runner/849242.chengxi.qian,708.0,7.0,7.0,2.0,05:03:00,18180.73,True,f,
5055,Jiangtao WANG,CN,27,H,20-34M,,https://utmb.world/runner/5839929.jiangtao.wang,660.0,8.0,8.0,6.0,05:06:59,18419.07,True,f,
5023,Melnyk OLEKSII,UA,39,H,35-39M,,https://utmb.world/runner/1438743.oleksii.melnyk,770.0,9.0,9.0,3.0,05:08:14,18494.95,True,f,
5005,Juwei ZI,CN,23,H,20-34M,,https://utmb.world/runner/4052883.juwei.zi,873.0,10.0,10.0,7.0,05:13:09,18789.42,True,f,
5018,Ting ZHANG,CN,24,F,20-34W,,https://utmb.world/runner/3744363.ting.zhang,700.0,11.0,1.0,1.0,05:16:39,18999.28,True,f,
5601,Ruifang ZHOU,CN,31,F,20-34W,,https://utmb.world/runner/1367171.ruifang.zhou,690.0,12.0,2.0,2.0,05:18:29,19109.82,True,f,
5060,Yunlu XIANG,CN,37,H,35-39M,,https://utmb.world/runner/4149356.yunlu.xiang,634.0,13.0,11.0,4.0,05:30:26,19826.25,True,f,
8507,Lei YANG,CN,32,H,20-34M,,https://utmb.world/runner/3197751.lei.yang,,14.0,12.0,8.0,05:33:51,20031.26,True,f,
5085,Muzhen LI,CN,34,H,20-34M,,https://utmb.world/runner/4137818.muzhen.li,557.0,15.0,13.0,9.0,05:34:58,20098.32,True,f,
5026,Shengli SHI,CN,40,H,40-44M,,https://utmb.world/runner/1023457.shengli.shi,724.0,15.0,13.0,1.0,05:34:58,20098.42,True,f,
5064,Yihao WANG,CN,40,H,40-44M,,https://utmb.world/runner/6534703.yihao.wang,612.0,17.0,15.0,2.0,05:38:06,20286.44,True,f,
5019,Ram Maya BUDHA,NP,21,F,20-34W,,https://utmb.world/runner/7095173.rammaya.budha,,18.0,3.0,3.0,05:38:33,20313.33,True,f,
5025,Xianfeng ZHANG,CN,32,F,20-34W,,https://utmb.world/runner/2534343.xianfeng.zhang,644.0,19.0,4.0,4.0,05:39:31,20371.18,True,f,
5082,Weigang GAN,CN,37,H,35-39M,,https://utmb.world/runner/1364455.weigang.gan,602.0,20.0,16.0,5.0,05:41:42,20502.7,True,f,
5054,Qipeng ZHOU,CN,51,H,50-54M,,https://utmb.world/runner/534779.qipeng.zhou,673.0,21.0,17.0,1.0,05:48:40,20920.12,True,f,
5056,Minghui XU,CN,47,H,45-49M,,https://utmb.world/runner/1337951.minghui.xu,649.0,22.0,18.0,1.0,05:49:17,20957.21,True,f,
5071,Xiwei ZHOU,CN,41,H,40-44M,,https://utmb.world/runner/3462045.xiwei.zhou,587.0,23.0,19.0,3.0,05:58:52,21532.22,True,f,
