# Race: Unknown
# Distance: 15 km
# D+: 650 m
# D-: 650 m
# Date: 2025-07-20
# URL: https://live.utmb.world/mrwwbyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5021,Riccardo BORGIALLI,IT,34,H,20-34M,NEW BALANCE / Sport Project VCO,https://utmb.world/runner/311862.riccardo.borgialli,835.0,1.0,1.0,1.0,01:09:58,4198.47,True,f,
5020,Davide CHERAZ,IT,33,H,20-34M,Team New Balance,https://utmb.world/runner/158119.davide.cheraz,865.0,2.0,2.0,2.0,01:12:29,4349.87,True,f,
5970,Francesco DE FABIANI,IT,32,H,20-34M,Esercito,https://utmb.world/runner/7476075.francesco.defabiani,,3.0,3.0,3.0,01:13:22,4402.76,True,f,
5022,Kamil LEŚNIAK,PL,32,H,20-34M,Hoka Garmin Team,https://utmb.world/runner/107261.kamil.lesniak,850.0,4.0,4.0,4.0,01:13:33,4413.73,True,f,
5922,Dennis BRUNOD,IT,47,H,45-49M,ATLETICA MONTEROSA,https://utmb.world/runner/60960.dennis.brunod,,5.0,5.0,1.0,01:14:11,4451.18,True,f,
5002,Sébastien LEDAY,FR,37,H,35-39M,Les 2 Alpes Trail,https://utmb.world/runner/2662347.sebastien.leday,781.0,6.0,6.0,1.0,01:15:57,4557.12,True,f,
5006,Umberto Andrea PASCAL,IT,23,H,20-34M,Gsp Pomaretto,https://utmb.world/runner/7197902.umbertoandrea.pascal,713.0,7.0,7.0,5.0,01:16:21,4581.94,True,f,
5005,Adrien MAUHIN,BE,25,H,20-34M,Cbm Racing Team,https://utmb.world/runner/5912224.adrien.mauhin,728.0,8.0,8.0,6.0,01:16:43,4603.03,True,f,
5003,Enda CLOAKE,IE,28,H,20-34M,SOAR Running,https://utmb.world/runner/4212102.enda.cloake,769.0,9.0,9.0,7.0,01:17:48,4668.95,True,f,
5925,Matteo ROSSI,IT,25,H,20-34M,Team HOKA,https://utmb.world/runner/588579.matteo.rossi,817.0,10.0,10.0,8.0,01:18:59,4739.85,True,f,
5954,Jean-Xavier VILLANESE,IT,22,H,20-34M,Atletica Monterosa,https://utmb.world/runner/7391544.jeanxavier.villanese,707.0,11.0,11.0,9.0,01:19:10,4750.75,True,f,
5923,Joseph PHILIPPOT,IT,22,H,20-34M,APD Pont Saint Martin,https://utmb.world/runner/3320491.joseph.philippot,751.0,12.0,12.0,10.0,01:20:00,4800.27,True,f,
5023,Dennis BORRACCINO,IT,22,H,20-34M,Kailas italia,https://utmb.world/runner/4153849.dennis.borraccino,617.0,13.0,13.0,11.0,01:20:40,4840.71,True,f,
5931,Mathieu CRETIER,IT,19,H,18-19M,APD Pont-Saint-Martin,https://utmb.world/runner/7445921.mathieu.cretier,,14.0,14.0,1.0,01:20:46,4846.69,True,f,
5945,Jerome PIN,FR,46,H,45-49M,LYOMONIX,https://utmb.world/runner/1459031.jerome.pin,687.0,15.0,15.0,2.0,01:21:30,4890.56,True,f,
5958,Nuno TAVARES,PT,33,H,20-34M,Escola de Atletismo de Coimbra,https://utmb.world/runner/4291087.nuno.tavares,749.0,16.0,16.0,12.0,01:23:07,4987.4,True,f,
5043,Alessandro SALVATI,IT,32,H,20-34M,CLIMB RUNNERS,https://utmb.world/runner/5687654.alessandro.salvati,678.0,17.0,17.0,13.0,01:23:28,5008.96,True,f,
5942,Thomas GENESELLI,IT,36,H,35-39M,Luciani Sport team,https://utmb.world/runner/2036243.thomas.geneselli,,18.0,18.0,2.0,01:24:41,5081.26,True,f,
5016,Manuel CARRARA,IT,53,H,50-54M,Angolo Mountain Running,https://utmb.world/runner/3079783.manuel.carrara,658.0,19.0,19.0,1.0,01:25:03,5103.31,True,f,
5033,Piérick PAN,FR,19,H,18-19M,,https://utmb.world/runner/4906844.pierick.pan,643.0,20.0,20.0,2.0,01:25:13,5113.33,True,f,
