# Race: Unknown
# Distance: 43 km
# D+: 3200 m
# D-: 3200 m
# Date: 2025-07-19
# URL: https://live.utmb.world/mrwwbyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3029,Petter ENGDAHL,SE,31,H,20-34M,Adidas TERREX,https://utmb.world/runner/1065223.petter.engdahl,908.0,1.0,1.0,1.0,03:58:43,14323.64,True,f,
3007,William BOFFELLI,IT,32,H,20-34M,ASD Run Fast,https://utmb.world/runner/3751057.william.boffelli,863.0,2.0,2.0,2.0,04:11:06,15066.0,True,f,
3032,Damiano LENZI,IT,38,H,35-39M,sport project VCO,https://utmb.world/runner/289234.damiano.lenzi,894.0,2.0,2.0,1.0,04:11:06,15066.12,True,f,
3013,Andrei PREDA,RO,33,H,20-34M,CSA Steaua București,https://utmb.world/runner/1444867.andrei.preda,843.0,4.0,4.0,3.0,04:20:36,15636.53,True,f,
3490,Marcin RZESZÓTKO,PL,35,H,35-39M,Tatra SkyMarathon,https://utmb.world/runner/1069129.marcin.rzeszotko,865.0,5.0,5.0,2.0,04:22:18,15738.31,True,f,
3002,Gianluca GHIANO,IT,25,H,20-34M,BROOKS TRAIL RUNNERS,https://utmb.world/runner/2073279.gianluca.ghiano,910.0,6.0,6.0,4.0,04:28:19,16099.19,True,f,
3010,Lucien MERMILLON,FR,22,H,20-34M,Team Rossignol,https://utmb.world/runner/4447384.lucien.mermillon,852.0,6.0,6.0,4.0,04:28:19,16099.0,True,f,
3011,Genis PORQUERAS,ES,27,H,20-34M,,https://utmb.world/runner/4136389.genis.porqueras,849.0,8.0,8.0,6.0,04:34:08,16448.36,True,f,
3018,Marc VIZCAINO MUÑOZ,ES,26,H,20-34M,,https://utmb.world/runner/1506379.marc.vizcainomunoz,793.0,8.0,8.0,6.0,04:34:08,16448.0,True,f,
3015,Lukas MANGGER,IT,29,H,20-34M,Dynafit Team,https://utmb.world/runner/4200697.lukas.mangger,832.0,10.0,10.0,8.0,04:34:29,16469.66,True,f,
3025,Patrick STANGBYE,NO,35,H,35-39M,Untold Movement/ Portal,https://utmb.world/runner/1616141.patrick.stangbye,761.0,11.0,11.0,3.0,04:38:45,16725.7,True,f,
3016,Marc PINSACH RUBIROLA,ES,36,H,35-39M,,https://utmb.world/runner/61068.marc.pinsachrubirola,825.0,12.0,12.0,4.0,04:40:13,16813.53,True,f,
3051,Wannes LYBAERT,BE,36,H,35-39M,,https://utmb.world/runner/639700.wannes.lybaert,706.0,13.0,13.0,5.0,04:47:47,17267.94,True,f,
3027,Simon METTETAL,FR,25,H,20-34M,,https://utmb.world/runner/3360003.simon.mettetal,766.0,14.0,14.0,9.0,04:48:23,17303.89,True,f,
3023,Gabriele GAZZETTO,IT,26,H,20-34M,Climb Runners Asd,https://utmb.world/runner/3261263.gabriele.gazzetto,768.0,15.0,15.0,10.0,04:49:14,17354.9,True,f,
3489,Aleix TODA MAS,ES,36,H,35-39M,COMPRESSPORT,https://utmb.world/runner/736415.aleix.todamas,869.0,16.0,16.0,6.0,04:53:25,17605.68,True,f,
3017,Jasper MANNAERT,BE,31,H,20-34M,KBF Skyrunning team,https://utmb.world/runner/835029.jasper.mannaert,804.0,17.0,17.0,11.0,04:56:45,17805.22,True,f,
3030,Martyna MLYNARCZYK,PL,36,F,35-39W,HOKA,https://utmb.world/runner/5347840.martyna.mlynarczyk,770.0,18.0,1.0,1.0,05:00:10,18010.47,True,f,
3026,Martin ROUSSET,FR,38,H,35-39M,,https://utmb.world/runner/5624849.martin.rousset,756.0,19.0,18.0,7.0,05:02:05,18125.82,True,f,
3049,Elia STEVENIN,IT,29,H,20-34M,MODA VEJA,https://utmb.world/runner/1157281.elia.stevenin,712.0,20.0,19.0,12.0,05:04:48,18288.03,True,f,
3043,Nicolas STATTI,IT,44,H,40-44M,Polisportiva Sant'Orso Aosta,https://utmb.world/runner/366133.nicolas.statti,723.0,21.0,20.0,1.0,05:08:41,18521.22,True,f,
3038,Benjamin BERTRAND,FR,25,H,20-34M,Decathlon Colmar,https://utmb.world/runner/6204218.benjamin.bertrand,732.0,22.0,21.0,13.0,05:12:11,18731.9,True,f,
3044,Davide BARATTINI,IT,28,H,20-34M,OUTDOOR WHIT US,https://utmb.world/runner/4817802.davide.barattini,723.0,23.0,22.0,14.0,05:14:00,18840.78,True,f,
3060,Alex HAMMOND,GB,21,H,20-34M,Oxford University Cross Country Club,https://utmb.world/runner/6852692.alex.hammond,686.0,24.0,23.0,15.0,05:15:26,18926.7,True,f,
3048,Andrés GARCÍA RODRIGUEZ,ES,32,H,20-34M,Club Atletismo Pravia,https://utmb.world/runner/1539281.andres.garciarodriguez,731.0,25.0,24.0,16.0,05:16:30,18990.11,True,f,
3115,Davide COSLOVICH,IT,25,H,20-34M,A.P.D PONT-SAINT-MARTI,https://utmb.world/runner/1157301.davide.coslovich,,26.0,25.0,17.0,05:17:16,19036.47,True,f,
3037,Riccardo CASAROTTO,IT,30,H,20-34M,SFINISHER,https://utmb.world/runner/526664.riccardo.casarotto,733.0,27.0,26.0,18.0,05:19:09,19149.38,True,f,
3072,Julien PASQUIER,FR,40,H,40-44M,,https://utmb.world/runner/3507169.julien.pasquier,671.0,28.0,27.0,2.0,05:19:14,19154.37,True,f,
3047,Alessandro ROSTAGNO,IT,47,H,45-49M,TEAM ARDUUA - ASD BAUDENASCA,https://utmb.world/runner/3386263.alessandro.rostagno,714.0,29.0,28.0,1.0,05:20:13,19213.28,True,f,
3062,Lucas DEFOSSE,BE,28,H,20-34M,ECK,https://utmb.world/runner/2345347.lucas.defosse,681.0,30.0,29.0,19.0,05:21:50,19310.03,True,f,
3040,Lorenzo ORLANDO,IT,33,H,20-34M,Sisport Genova,https://utmb.world/runner/4142397.lorenzo.orlando,725.0,31.0,30.0,20.0,05:21:51,19311.65,True,f,
3486,Marco MANGARETTO,IT,54,H,50-54M,APD Pont Saint Martin,https://utmb.world/runner/30457.marco.mangaretto,720.0,32.0,31.0,1.0,05:21:56,19316.14,True,f,
3008,Juliane RÖSSLER,DE,27,F,20-34W,TG Viktoria Augsburg,https://utmb.world/runner/4183033.juliane.rossler,721.0,33.0,2.0,1.0,05:22:01,19321.56,True,f,
3022,Hugo LONNE,FR,24,H,20-34M,Team Genève trail,https://utmb.world/runner/4773864.hugo.lonne,788.0,34.0,32.0,21.0,05:23:56,19436.96,True,f,
3024,Christian NODARI,IT,46,H,45-49M,ASD GSA ATLETICA SOVERE,https://utmb.world/runner/4140956.christian.nodari,763.0,35.0,33.0,2.0,05:25:48,19548.26,True,f,
3071,Timo PILLEN,BE,26,H,20-34M,,https://utmb.world/runner/5901070.timo.pillen,669.0,36.0,34.0,22.0,05:26:30,19590.26,True,f,
3031,Marina CUGNETTO,IT,34,F,20-34W,Atletica Saluzzo,https://utmb.world/runner/2219167.marina.cugnetto,719.0,37.0,3.0,2.0,05:27:03,19623.69,True,f,
3091,Jean Luc PERRON,IT,28,H,20-34M,Lab4you,https://utmb.world/runner/1499725.jeanluc.perron,645.0,38.0,35.0,23.0,05:29:08,19748.92,True,f,
3069,Sam RODDA,GB,25,H,20-34M,Bristol Distance Project,https://utmb.world/runner/4879731.sam.rodda,672.0,39.0,36.0,24.0,05:30:32,19832.37,True,f,
3233,Charles STEMART,FR,22,H,20-34M,CARLITO,https://utmb.world/runner/6137864.charles.stemart,618.0,40.0,37.0,25.0,05:34:08,20048.01,True,f,
3098,Théo ALBA,FR,32,H,20-34M,VMA - Viens M'Attraper,https://utmb.world/runner/2659549.theo.alba,639.0,41.0,38.0,26.0,05:34:22,20062.06,True,f,
3095,Stephen ASTIER,FR,37,H,35-39M,Trail Club Ollioules ,https://utmb.world/runner/4866113.stephen.astier,643.0,42.0,39.0,8.0,05:38:04,20284.78,True,f,
3074,Josselin BECHEREL,FR,33,H,20-34M,Duc Army,https://utmb.world/runner/2662881.josselin.becherel,660.0,43.0,40.0,27.0,05:38:36,20316.25,True,f,
3045,Saul BETANCORT,ES,36,H,35-39M,,https://utmb.world/runner/3207897.saul.betancort,722.0,44.0,41.0,9.0,05:39:18,20358.68,True,f,
3021,Laura BARALE,IT,48,F,45-49W,BORGARETTO 75,https://utmb.world/runner/2091011.laura.barale,673.0,45.0,4.0,1.0,05:39:54,20394.62,True,f,
3088,Marco LIPRANDI,IT,26,H,20-34M,A.S.D. PAM MONDOVI-CHIUSA PESIO,https://utmb.world/runner/4235147.marco.liprandi,649.0,46.0,42.0,28.0,05:40:13,20413.06,True,f,
4388,Matteo CESANO,IT,19,H,18-19M,CN025,https://utmb.world/runner/6967001.matteo.cesano,652.0,46.0,42.0,1.0,05:40:13,20413.36,True,f,
3180,Yana VASIANOVYCH,UA,34,F,20-34W,KIT,https://utmb.world/runner/5312102.yana.vasianovych,651.0,48.0,5.0,3.0,05:41:57,20517.44,True,f,
4260,Jean MASCARELLO,IT,22,H,20-34M,,https://utmb.world/runner/6381635.jean.mascarello,,49.0,44.0,29.0,05:42:08,20528.93,True,f,
3176,Thibaud GUELENNOC,FR,31,H,20-34M,Bol d'air,https://utmb.world/runner/4393300.thibaud.guelennoc,625.0,50.0,45.0,30.0,05:42:16,20536.46,True,f,
3120,Christian GHEZZI,IT,38,H,35-39M,,https://utmb.world/runner/1555385.christian.ghezzi,625.0,51.0,46.0,10.0,05:42:37,20557.37,True,f,
3041,Erik PANATTI,IT,38,H,35-39M,Amici Madonna della Neve Lagunc,https://utmb.world/runner/1572673.erik.panatti,725.0,52.0,47.0,11.0,05:43:00,20580.37,True,f,
3484,Rebecca WATNEY,ZA,30,F,20-34W,,https://utmb.world/runner/4885288.rebecca.watney,661.0,53.0,6.0,4.0,05:43:16,20596.38,True,f,
3066,Matteo MANTOVANI,IT,42,H,40-44M,Nessuna,https://utmb.world/runner/6643832.matteo.mantovani,676.0,54.0,48.0,3.0,05:43:53,20633.74,True,f,
3059,Olivier SAVOY,FR,48,H,45-49M,team instinct,https://utmb.world/runner/11457.olivier.savoy,685.0,55.0,49.0,3.0,05:44:04,20644.24,True,f,
3110,Ansbert DE CLEENE,BE,34,H,20-34M,,https://utmb.world/runner/5141232.ansbert.decleene,633.0,56.0,50.0,31.0,05:44:42,20682.24,True,f,
3054,Pedro ROCHA,PT,41,H,40-44M,Nast,https://utmb.world/runner/764551.pedro.rocha,699.0,57.0,51.0,4.0,05:44:50,20690.79,True,f,
3217,Adam SZOTTFRIED,HU,37,H,35-39M,,https://utmb.world/runner/5732396.adam.szottfried,580.0,58.0,52.0,12.0,05:44:54,20694.27,True,f,
3205,Miguel ASENSIO,ES,47,H,45-49M,,https://utmb.world/runner/4555380.miguel.asensio,587.0,59.0,53.0,4.0,05:46:08,20768.64,True,f,
3488,Edgar THÉLIER,FR,25,H,20-34M,,https://utmb.world/runner/4969350.edgar.thelier,641.0,60.0,54.0,32.0,05:46:13,20773.99,True,f,
3019,Sara LAGOMARSINO,IT,41,F,40-44W,Atletica Levante,https://utmb.world/runner/4224770.sara.lagomarsino,677.0,61.0,7.0,1.0,05:46:26,20786.07,True,f,
4429,Cristoforo Hadler NEGRA,IT,33,H,20-34M,,https://utmb.world/runner/7025815.cristoforohadler.negra,,62.0,55.0,33.0,05:46:33,20793.81,True,f,
3039,Jairo LAGUNA,ES,22,H,20-34M,Lurbel Team,https://utmb.world/runner/4856694.jairo.laguna,727.0,63.0,56.0,34.0,05:47:37,20857.95,True,f,
3266,Nicolas MAZILLE,FR,28,H,20-34M,,https://utmb.world/runner/6972048.nicolas.mazille,564.0,64.0,57.0,35.0,05:47:39,20859.97,True,f,
3156,Nicolas ROUX,FR,37,H,35-39M,none,https://utmb.world/runner/3487179.nicolas.roux,612.0,65.0,58.0,13.0,05:49:08,20948.86,True,f,
3083,Christophe HUDRY,FR,29,H,20-34M,Méribel Sport Montagne ,https://utmb.world/runner/2234351.christophe.hudry,651.0,66.0,59.0,36.0,05:49:28,20968.32,True,f,
3084,Roberto MAGUET,IT,59,H,55-59M,Amici del Mago,https://utmb.world/runner/311872.roberto.maguet,633.0,67.0,60.0,1.0,05:49:38,20978.78,True,f,
4301,Gerhard KNAPP,IT,35,H,35-39M,,https://utmb.world/runner/6725305.gerhard.knapp,646.0,68.0,61.0,14.0,05:49:56,20996.05,True,f,
3100,Anthony LATHUILLE-NICOLLET,FR,33,H,20-34M,,https://utmb.world/runner/913013.anthony.lathuillenicollet,639.0,69.0,62.0,37.0,05:50:06,21006.3,True,f,
3036,Régis THONON,BE,38,H,35-39M,Gruppetto,https://utmb.world/runner/4958672.regis.thonon,738.0,70.0,63.0,15.0,05:50:22,21022.27,True,f,
3500,Theo ROPERS,FR,26,H,20-34M,PTCA,https://utmb.world/runner/5277137.theo.ropers,688.0,71.0,64.0,38.0,05:50:41,21041.75,True,f,
3153,Katrin BIELER,IT,34,F,20-34W,INRUN,https://utmb.world/runner/526483.katrin.bieler,611.0,72.0,8.0,5.0,05:50:57,21057.71,True,f,
3077,Nora SERRES,NO,31,F,20-34W,Isfjorden IL,https://utmb.world/runner/4241897.nora.serres,659.0,73.0,9.0,6.0,05:51:56,21116.12,True,f,
3203,Rory MARTINEZ,ES,35,H,35-39M,Altzania,https://utmb.world/runner/2346327.rory.martinez,588.0,74.0,65.0,16.0,05:55:30,21330.31,True,f,
3124,Simon DUROST,FR,35,H,35-39M,Duc Army,https://utmb.world/runner/2182059.simon.durost,627.0,75.0,66.0,17.0,05:55:41,21341.17,True,f,
3116,Anthony STOFFELS,BE,34,H,20-34M,,https://utmb.world/runner/1460327.anthony.stoffels,629.0,76.0,67.0,39.0,05:55:51,21351.25,True,f,
3087,Gianluca MAZZETTI,IT,36,H,35-39M,,https://utmb.world/runner/6664796.gianluca.mazzetti,650.0,77.0,68.0,18.0,05:56:07,21367.33,True,f,
3277,Alessandro Paolo CALIGOLA,IT,31,H,20-34M,,https://utmb.world/runner/6359665.alessandropaolo.caligola,560.0,78.0,69.0,40.0,05:56:18,21378.73,True,f,
3080,Alessandro RIZZO,IT,28,H,20-34M,Acquirunners,https://utmb.world/runner/4737732.alessandro.rizzo,654.0,79.0,70.0,41.0,05:56:41,21401.41,True,f,
3147,Jeanne CARRIER,CA,28,F,20-34W,,https://utmb.world/runner/5359156.jeanne.carrier,615.0,80.0,10.0,7.0,05:56:50,21410.7,True,f,
3201,Morgan JONES,GB,39,H,35-39M,Jones,https://utmb.world/runner/4306251.morgan.jones,589.0,81.0,71.0,19.0,05:57:01,21421.0,True,f,
3137,Loris VUILLEN,IT,64,H,60-64M,Courmayeur Trailers,https://utmb.world/runner/11486.loris.vuillen,621.0,82.0,72.0,1.0,05:57:19,21439.37,True,f,
