# Race: Unknown
# Distance: 19.5 km
# D+: 1150 m
# D-: 1150 m
# Date: N/A
# URL: https://live.utmb.world/mut/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1005,Matthew ELKINGTON,GB,30,H,M1,Ambleside AC,,,1.0,1.0,1.0,01:28:55,5334.63,True,f,
1019,Werner MARTI,CH,36,H,M30,Adidas Terrex,,,2.0,2.0,1.0,01:29:34,5374.0,True,f,
1016,Fabian FUX,CH,24,H,M1,BCVS Mount Asics Team,,,3.0,3.0,2.0,01:30:47,5447.0,True,f,
1704,Florian BECK,DE,30,H,M1,SCOTT RUNNING GER,,,4.0,4.0,3.0,01:31:26,5486.96,True,f,
1006,William GARDNER,GB,32,H,M1,Rugby & Northampton AC,,,5.0,5.0,4.0,01:35:47,5747.67,True,f,
1009,Gregory MATILE,CH,41,H,M30,,,,6.0,6.0,2.0,01:37:52,5872.7,True,f,
1003,Yann HIDALGO Y VALDEZ,CH,23,H,JuniorsG,SEP-Olympic La Chaux-de-Fonds,,,7.0,7.0,1.0,01:37:53,5873.0,True,f,
1027,Lorick BUCLIN,CH,19,H,JuniorsG,Vtt Saint-Cergue ,,,8.0,8.0,2.0,01:39:53,5993.89,True,f,
1014,Sophie DALY,IE,27,F,W1,,,,9.0,1.0,1.0,01:40:13,6013.67,True,f,
1015,Maria CHRISTEN,CH,28,F,W1,,,,10.0,2.0,2.0,01:40:44,6044.93,True,f,
1028,Dennis Robin SULLIGER,CH,23,H,JuniorsG,,,,11.0,9.0,3.0,01:42:54,6174.0,True,f,
1002,Louis BÉTRISEY,CH,24,H,M1,Ascension du Christ-Roi,,,11.0,9.0,5.0,01:42:54,6174.11,True,f,
1039,Quentin GENDRE,CH,31,H,M1,CS Broc,,,13.0,11.0,6.0,01:43:29,6209.15,True,f,
1022,Sam GIRARDIN,CH,23,H,JuniorsG,,,,14.0,12.0,4.0,01:43:41,6221.39,True,f,
1164,Maxime PELLOUCHOUD,CH,22,H,JuniorsG,,,,15.0,13.0,5.0,01:43:46,6226.62,True,f,
1001,Caroline ULRICH,CH,23,F,JuniorsF,Running conseils team,,,16.0,3.0,1.0,01:44:26,6266.35,True,f,
1719,Daisy JEPKOSGEI,KE,25,F,W1,Braveheart Runners,,,17.0,4.0,3.0,01:44:44,6284.88,True,f,
