# Race: Unknown
# Distance: 25 km
# D+: 2876 m
# D-: 2876 m
# Date: N/A
# URL: https://live.utmb.world/mut/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
5014,Finlay  WILD,GB,41,H,M30,Mountain Equipment ,,,1.0,1.0,1.0,02:34:10,9250.0,True,f,
5001,Ruy UEDA,JP,32,H,M1,Red Bull,,,2.0,2.0,1.0,02:35:39,9339.81,True,f,
5006,Nicolas MOLINA AUGUSTÍN,ES,25,H,M1,La Sportiva,,,3.0,3.0,2.0,02:37:21,9441.0,True,f,
5009,Johann BAUJARD,FR,28,H,M1,Salomon,,,4.0,4.0,3.0,02:38:38,9518.34,True,f,
5045,Karl AUGSTEN,CA,34,H,M30,Canmore Trail Culture,,,5.0,5.0,2.0,02:39:30,9570.0,True,f,
5015,Johannes KLEIN,DE,34,H,M30,Adidas terrex,,,6.0,6.0,3.0,02:39:53,9593.0,True,f,
5011,Ryunosuke OMI,JP,24,H,M1,Adidas terrex,,,7.0,7.0,4.0,02:44:34,9874.21,True,f,
5003,Lukas GASSER,IT,31,H,M1,,,,8.0,8.0,5.0,02:44:39,9879.0,True,f,
5010,Tsubasa FUJI,JP,30,H,M1,Seiko Epson / Salomon Outdoor Japan,,,9.0,9.0,6.0,02:45:51,9951.45,True,f,
5012,Luca PESCOLLDERUNGG,AT,34,H,M30,La Sportiva,,,10.0,10.0,4.0,02:46:34,9994.53,True,f,
5008,Pierre METTAN,CH,28,H,M1,Salomon Suisse,,,11.0,11.0,7.0,02:50:32,10232.42,True,f,
5004,Sebastian FALKENSTEINER,AT,31,H,M1,Dynafit,,,12.0,12.0,8.0,02:51:23,10283.16,True,f,
5293,Lucas  DUPUY,FR,29,H,M1,Dynafit,,,13.0,13.0,9.0,02:52:52,10372.15,True,f,
5053,Daniel IZQUIERDO ALONSO,ES,27,H,M1,SCOTT RUNNING,,,14.0,14.0,10.0,02:53:23,10403.39,True,f,
5013,Raul	 BUTACI,,40,H,M30,Merrell,,,15.0,15.0,5.0,02:53:32,10412.39,True,f,
5094,Jérémie MELLY,CH,42,H,M30,ski club anniviers,,,16.0,16.0,6.0,02:56:50,10610.37,True,f,
5005,Aitor ZUNZUNEGI TAPIA,ES,25,H,M1,Euskal Selekzioa,,,17.0,17.0,11.0,03:04:31,11071.89,True,f,
5064,Florian MÜLLER,CH,27,H,M1,Sauser Team Performance,,,18.0,18.0,12.0,03:04:34,11074.14,True,f,
5054,Matt MANNING,GB,32,H,M1,Torq Fitness,,,19.0,19.0,13.0,03:05:09,11109.4,True,f,
5105,Adrià CANIMAS FURCARÀ,ES,36,H,M30,ACE-Bombers BCN,,,20.0,20.0,7.0,03:05:31,11131.65,True,f,
5113,Davide  CAMPIOTTI ,IT,34,H,M30,Runcard ,,,21.0,21.0,8.0,03:08:01,11281.55,True,f,
5092,Pierre PERROT,FR,37,H,M30,,,,22.0,22.0,9.0,03:08:43,11323.37,True,f,
