# Race: Unknown
# Distance: 32 km
# D+: 2000 m
# D-: 2000 m
# Date: N/A
# URL: https://live.utmb.world/mut/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3, Pro Team Corporate Relay ,CH,2025,,CorporaR,Switzerland,,,1.0,1.0,1.0,03:03:34,11014.77,True,f,
12, Forestiers I,CH,2025,,CorporaR,CS 13 Etoiles,,,2.0,2.0,2.0,03:09:21,11361.73,True,f,
13, Fondation Sgipa 1,FR,2025,,CorporaR,FONDATION SGIPA/Fondation Sgipa/Fondation Sgipa ,,,3.0,3.0,3.0,03:24:13,12253.77,True,f,
14, Loyco 1,CH,2025,,CorporaR,Loyco,,,4.0,4.0,4.0,03:27:14,12434.5,True,f,
20, Unalpurosa,CH,2025,,CorporaR,,,,5.0,5.0,5.0,03:49:04,13744.32,True,f,
25, Sauvetage fondue,CH,2025,,CorporaR,Morgane Muller/HEC Mafia,,,6.0,6.0,6.0,03:55:14,14114.92,True,f,
24, Joray-Wyss SA,FR,2025,,CorporaR,,,,7.0,7.0,7.0,03:55:57,14157.49,True,f,
51, Parking + Taxi Christophe AG,CH,2025,,CorporaR,Parking + Taxi Christophe/Parking + Taxi Christophe AG,,,8.0,8.0,8.0,04:04:29,14669.7,True,f,
18, Sauvetage Raclette Team,CH,2025,,CorporaR,,,,9.0,9.0,9.0,04:09:41,14981.67,True,f,
17, Zermattbalance,CH,2025,,CorporaR,ZERMATTBALANCE,,,10.0,10.0,10.0,04:11:27,15087.9,True,f,
16, Loyco 3,CH,2025,,CorporaR,Loyco 3,,,11.0,11.0,11.0,04:11:59,15119.54,True,f,
30, CG Sport Coaching 2,CH,2025,,CorporaR,,,,12.0,12.0,12.0,04:16:08,15368.11,True,f,
21, Team GM,CH,2025,,CorporaR,ESS,,,13.0,13.0,13.0,04:16:31,15391.8,True,f,
49, Runningeneva,CH,2025,,CorporaR,Ecotrail Genève,,,14.0,14.0,14.0,04:17:46,15466.49,True,f,
48, LBF,FR,2025,,CorporaR,,,,15.0,15.0,15.0,04:22:42,15762.46,True,f,
54, SCOTT UK,GB,2025,,CorporaR,jarrow and hebburn/Scott UK,,,16.0,16.0,16.0,04:25:48,15948.19,True,f,
22, ZIP.ch,CH,2025,,CorporaR,Loyco 5/Zip.ch,,,17.0,17.0,17.0,04:26:28,15988.15,True,f,
19, Weisshorn AM,CH,2025,,CorporaR,,,,18.0,18.0,18.0,04:29:35,16175.73,True,f,
11, Mont Cervin Palace,HU,2025,,CorporaR,,,,19.0,19.0,19.0,04:29:53,16193.5,True,f,
29, Forestier II,CH,2025,,CorporaR,Laurent FIVAZ,,,20.0,20.0,20.0,04:35:28,16528.12,True,f,
38, CG Sport Coaching,CH,2025,,CorporaR,CG Sport Coaching,,,21.0,21.0,21.0,04:37:36,16656.83,True,f,
26, Les Régisseurs Associés SA,CH,2025,,CorporaR,Triathlon Club Genève,,,22.0,22.0,22.0,04:40:09,16809.66,True,f,
32, KJN-Ultra,FR,2025,,CorporaR,,,,23.0,23.0,23.0,04:40:20,16820.82,True,f,
31, Swatch Retail AG,CH,2025,,CorporaR,Swatch/Swatch Zermatt,,,24.0,24.0,24.0,04:46:03,17163.51,True,f,
50, girls and trail,CH,2025,,CorporaR,,,,25.0,25.0,25.0,04:47:22,17242.34,True,f,
