# Race: Unknown
# Distance: 32 km
# D+: 2000 m
# D-: 2000 m
# Date: N/A
# URL: https://live.utmb.world/mut/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3022,Valentin MARCHON,CH,30,H,M1,Dupasquier sport,https://utmb.world/runner/4180726.valentin.marchon,849.0,1.0,1.0,1.0,02:43:35,9815.66,True,f,
3038,Alex DÉJANAZ,IT,41,H,M30,TEAM CRAZY,https://utmb.world/runner/1499723.alex.dejanaz,797.0,2.0,2.0,1.0,02:59:31,10771.94,True,f,
3031,Cédric MARIÉTHOZ,CH,52,H,M50,,https://utmb.world/runner/329263.cedric.mariethoz,801.0,3.0,3.0,1.0,03:00:36,10836.73,True,f,
3002,Antoine FREYMOND,CH,31,H,M1,Groupe de course Ollon,https://utmb.world/runner/2177317.antoine.freymond,741.0,4.0,4.0,2.0,03:08:42,11322.44,True,f,
3011,Ben MOUNSEY,GB,44,H,M40,SCOTT RUNNING UK,https://utmb.world/runner/448125.ben.mounsey,732.0,5.0,5.0,1.0,03:16:05,11765.98,True,f,
3004,Otto SAIKKONEN,FI,32,H,M30,Samab Trail Running Club,https://utmb.world/runner/1429217.otto.saikkonen,730.0,6.0,6.0,2.0,03:16:34,11794.55,True,f,
3199,Tobias DONNET,CH,24,H,M1,Compressport Switzerland,https://utmb.world/runner/1523685.tobias.donnet,718.0,7.0,7.0,3.0,03:16:53,11813.8,True,f,
3006,Daniel CAMALET,FR,42,H,M40,Foulées Besançon,https://utmb.world/runner/132644.daniel.camalet,776.0,8.0,8.0,2.0,03:18:11,11891.28,True,f,
3077,Tommaso BESOMI,CH,23,H,M1,PINI Mountain Racing,https://utmb.world/runner/2161535.tommaso.besomi,733.0,9.0,9.0,4.0,03:24:11,12251.5,True,f,
3021,Jef BERTELS,BE,29,H,M1,,https://utmb.world/runner/3222009.jef.bertels,746.0,10.0,10.0,5.0,03:25:07,12307.48,True,f,
3027,Frédéric DUPRAZ,CH,51,H,M40,CS 13 Etoiles,https://utmb.world/runner/64651.frederic.dupraz,682.0,11.0,11.0,3.0,03:29:00,12540.71,True,f,
3013,Saul BETANCORT,ES,36,H,M30,Bächli Bergsport,https://utmb.world/runner/3207897.saul.betancort,646.0,12.0,12.0,3.0,03:35:27,12927.91,True,f,
3327,Baptiste LECLERC,FR,35,H,M30,,https://utmb.world/runner/5243798.baptiste.leclerc,637.0,13.0,13.0,4.0,03:37:44,13064.64,True,f,
3030,Fabian SCHALLER,CH,43,H,M40,,https://utmb.world/runner/3702549.fabian.schaller,,14.0,14.0,4.0,03:39:12,13152.59,True,f,
3037,Quentin FREI,CH,35,H,M30,Team Mollet de fragilos,https://utmb.world/runner/2221169.quentin.frei,655.0,15.0,15.0,5.0,03:40:20,13220.7,True,f,
3054,Olivier ADLER,CH,34,H,M30,Steinbock doré,https://utmb.world/runner/1003639.olivier.adler,592.0,16.0,16.0,6.0,03:42:31,13351.6,True,f,
3099,Nicolas BIZE,CH,50,H,M40,US Yverdon,https://utmb.world/runner/2283171.nicolas.bize,633.0,17.0,17.0,5.0,03:43:41,13421.84,True,f,
3205,Matteo BERGAMASCHI,IT,38,H,M30,Gravity team,https://utmb.world/runner/4629714.matteo.bergamaschi,712.0,18.0,18.0,7.0,03:44:06,13446.92,True,f,
3137,Marc GREZELLA,CH,28,H,M1,Moléchaux Sports Club,https://utmb.world/runner/4457374.marc.grezella,568.0,19.0,19.0,6.0,03:46:01,13561.49,True,f,
3448,Julia HECKER,DE,30,F,W1,SCOTT,https://utmb.world/runner/5398516.julia.hecker,580.0,20.0,1.0,1.0,03:46:21,13581.3,True,f,
3444,Adrien FERON,FR,29,H,M1,SCOTT,https://utmb.world/runner/4392408.adrien.feron,602.0,21.0,20.0,7.0,03:48:42,13722.26,True,f,
3109,Céline ECOEUR,CH,43,F,W40,Jean Pellissier Sport,https://utmb.world/runner/2243497.celine.ecoeur,618.0,22.0,2.0,1.0,03:51:45,13905.42,True,f,
