# Race: Nice Côte d'Azur by UTMB  2024 - Saint-Jean-Cap-Ferrat - Nice 
# Distance: 22 km
# D+: 700 m
# D-: 700 m
# Date: 2024-10-06
# URL: https://live.utmb.world/nicebyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6027,Vincent BOUILLARD,FR,32,H,20-34M,,https://utmb.world/runner/864009.vincent.bouillard,904.0,1.0,1.0,1.0,01:32:07,5527.0,True,f,
6035,Clement GÉNOT,FR,22,H,20-34M,,,,2.0,2.0,2.0,01:34:32,5672.96,True,f,
6010,Morgan LE TENNIER,FR,29,H,20-34M,AJS La Garde,https://utmb.world/runner/6091935.morgan.letennier,711.0,3.0,3.0,3.0,01:37:37,5857.39,True,f,
6008,Alexandre TSCHAN,FR,31,H,20-34M,Mulhouse of Running,https://utmb.world/runner/5443460.alexandre.tschan,717.0,4.0,4.0,4.0,01:38:50,5930.75,True,f,
6003,Leo Paul CRACOWSKI,FR,27,H,20-34M,AL Echirolles / Team CAPRIN,https://utmb.world/runner/2567523.leopaul.cracowski,755.0,5.0,5.0,5.0,01:39:16,5956.07,True,f,
6007,Pierrick PAILLOT,FR,36,H,35-39M,,https://utmb.world/runner/1251223.pierrick.paillot,721.0,6.0,6.0,1.0,01:43:08,6188.63,True,f,
6005,Benjamin BERNARDINI,FR,34,H,20-34M,Expert sport coaching,https://utmb.world/runner/4173360.benjamin.bernardini,745.0,7.0,7.0,6.0,01:44:32,6272.83,True,f,
6009,Stéphane GIORDANENGO,FR,47,H,45-49M,Courir à Peillon,https://utmb.world/runner/10219.stephane.giordanengo,712.0,8.0,8.0,1.0,01:44:38,6278.86,True,f,
6030,Nicolas GUILLOT,FR,31,H,20-34M,,https://utmb.world/runner/1413675.nicolas.guillot,731.0,9.0,9.0,7.0,01:45:00,6300.58,True,f,
6059,Pierre CALVEZ,FR,27,H,20-34M,VMA - Viens M’Attraper,https://utmb.world/runner/1906177.pierre.calvez,623.0,10.0,10.0,8.0,01:45:03,6303.97,True,f,
6017,Vincent DE NODREST,FR,33,H,20-34M,Tyrosse,https://utmb.world/runner/3161449.vincent.denodrest,666.0,11.0,11.0,9.0,01:45:46,6346.43,True,f,
6057,Victor CLERC,FR,27,H,20-34M,,https://utmb.world/runner/5723859.victor.clerc,624.0,12.0,12.0,10.0,01:46:44,6404.57,True,f,
6087,Tom NOEL,FR,28,H,20-34M,n.a.,https://utmb.world/runner/3982687.tom.noel,583.0,13.0,13.0,11.0,01:46:51,6411.81,True,f,
6014,Atef BAROUDI,FR,30,H,20-34M,gilet orange même aux toilettes,https://utmb.world/runner/4410948.atef.baroudi,674.0,14.0,14.0,12.0,01:47:01,6421.94,True,f,
6055,Olivier BARESTE,FR,45,H,40-44M,US CAGNES ATHLETISME,https://utmb.world/runner/5344828.olivier.bareste,630.0,15.0,15.0,1.0,01:47:26,6446.8,True,f,
6031,Jacek SOBAS,PL,40,H,35-39M,ON,https://utmb.world/runner/684780.jacek.sobas,785.0,16.0,16.0,2.0,01:47:37,6457.91,True,f,
6051,Valentin NICOLAS,FR,26,H,20-34M,,https://utmb.world/runner/5785357.valentin.nicolas,649.0,17.0,17.0,13.0,01:47:58,6478.45,True,f,
7687,Marie NIVET,FR,27,F,20-34W,NIKE TRAIL,https://utmb.world/runner/6398444.marie.nivet,,18.0,1.0,1.0,01:48:04,6484.96,True,f,
6021,Kevin MONCELLI,FR,27,H,20-34M,nutripure,https://utmb.world/runner/5544256.kevin.moncelli,690.0,19.0,18.0,14.0,01:48:43,6523.35,True,f,
6053,Lucas CHABANOL,FR,25,H,20-34M,So Trail Lyon,https://utmb.world/runner/4257321.lucas.chabanol,639.0,20.0,19.0,15.0,01:48:49,6529.15,True,f,
6025,Théophile MEUNIER,FR,29,H,20-34M,OFFTRACK ASSOCIATION,https://utmb.world/runner/864031.theophile.meunier,652.0,21.0,20.0,16.0,01:49:23,6563.22,True,f,
6002,Alexandra YATZIMIRSKY,FR,24,F,20-34W,Racing,https://utmb.world/runner/5749462.alexandra.yatzimirsky,652.0,22.0,2.0,2.0,01:51:50,6710.58,True,f,
6060,Martin BERTHOLEY,FR,32,H,20-34M,,https://utmb.world/runner/2659247.martin.bertholey,621.0,23.0,21.0,17.0,01:51:51,6711.06,True,f,
6006,Théo MERCIER,FR,28,H,20-34M,,https://utmb.world/runner/1584201.theo.mercier,724.0,24.0,22.0,18.0,01:52:03,6723.6,True,f,
6062,Enrico TESSER,IT,44,H,40-44M,ASD Villa De Sanctis,https://utmb.world/runner/5965281.enrico.tesser,624.0,25.0,23.0,2.0,01:53:06,6786.78,True,f,
6065,Alexandre TRENSON,FR,21,H,20-34M,aucun,https://utmb.world/runner/5233008.alexandre.trenson,606.0,26.0,24.0,19.0,01:53:26,6806.79,True,f,
6098,Mattia MARTINI,IT,30,H,20-34M,La Michetta A.S.D.,https://utmb.world/runner/4491402.mattia.martini,568.0,27.0,25.0,20.0,01:53:38,6818.14,True,f,
6054,Stephan KALFON,FR,38,H,35-39M,,https://utmb.world/runner/5694380.stephan.kalfon,635.0,28.0,26.0,3.0,01:53:48,6828.76,True,f,
6012,Hervé MARGGRAF,FR,29,H,20-34M,,https://utmb.world/runner/3392271.herve.marggraf,677.0,29.0,27.0,21.0,01:53:57,6837.69,True,f,
6163,Mathieu LE STRAT,FR,34,H,20-34M,,https://utmb.world/runner/6130943.mathieu.lestrat,628.0,30.0,28.0,22.0,01:54:03,6843.0,True,f,
6029,Emilien BOCHET,FR,32,H,20-34M,UTMB,https://utmb.world/runner/84393.emilien.bochet,700.0,31.0,29.0,23.0,01:54:14,6854.81,True,f,
6066,Anthony GINET,FR,29,H,20-34M,OFFTRACK,https://utmb.world/runner/4489490.anthony.ginet,604.0,32.0,30.0,24.0,01:55:24,6924.82,True,f,
6068,Dave DESMEULES-DOAN,CA,35,H,20-34M,,https://utmb.world/runner/4207171.dave.desmeulesdoan,603.0,33.0,31.0,25.0,01:55:25,6925.54,True,f,
6106,Benjamin BOITON,FR,40,H,35-39M,SO,https://utmb.world/runner/5834405.benjamin.boiton,561.0,34.0,32.0,4.0,01:56:33,6993.59,True,f,
6064,Jose Maria GARCIA,PT,28,H,20-34M,Casa do Benfica em Moura,https://utmb.world/runner/4366954.josemaria.garcia,607.0,35.0,33.0,26.0,01:56:50,7010.48,True,f,
6056,Walid AMINE-KHODJA,FR,31,H,20-34M,,https://utmb.world/runner/5244240.walid.aminekhodja,628.0,36.0,34.0,27.0,01:57:20,7040.66,True,f,
6026,Dylan GIROUX,FR,26,H,20-34M,,https://utmb.world/runner/4987654.dylan.giroux,650.0,37.0,35.0,28.0,01:57:32,7052.73,True,f,
6063,Nicolas ROUX,FR,37,H,35-39M,none,https://utmb.world/runner/3487179.nicolas.roux,611.0,38.0,36.0,5.0,01:57:42,7062.86,True,f,
7300,Arno CHAMPALLE,CH,43,H,40-44M,Courir à Peillon,https://utmb.world/runner/4706749.arno.champalle,,39.0,37.0,3.0,01:58:27,7107.03,True,f,
6071,Andrea GUGLIELMETTI,IT,28,H,20-34M,Amici del Mombarone,https://utmb.world/runner/5054502.andrea.guglielmetti,599.0,40.0,38.0,29.0,01:58:32,7112.59,True,f,
6101,Jeremy BLANCHARD,FR,30,H,20-34M,ASPTT SAINT-ETIENNE,https://utmb.world/runner/4540386.jeremy.blanchard,567.0,41.0,39.0,30.0,01:58:45,7125.86,True,f,
6011,Harmen MEIJER,NL,36,H,35-39M,Apollo Amsterdam,https://utmb.world/runner/4278793.harmen.meijer,677.0,42.0,40.0,6.0,01:59:09,7149.53,True,f,
6194,Alexis RIOTTEAU,FR,29,H,20-34M,,https://utmb.world/runner/5665396.alexis.riotteau,517.0,43.0,41.0,31.0,01:59:39,7179.27,True,f,
7683,Etienne POCHON,FR,27,H,20-34M,,https://utmb.world/runner/4624370.etienne.pochon,516.0,44.0,42.0,32.0,02:00:40,7240.86,True,f,
6156,Baptiste SIERRA,FR,31,H,20-34M,,https://utmb.world/runner/5667963.baptiste.sierra,532.0,45.0,43.0,33.0,02:01:06,7266.73,True,f,
6112,Clement MOREAU,FR,29,H,20-34M,,https://utmb.world/runner/5587812.clement.moreau,557.0,46.0,44.0,34.0,02:01:27,7287.48,True,f,
6116,Cyril CHIOCCA,FR,42,H,40-44M,,https://utmb.world/runner/3985930.cyril.chiocca,555.0,47.0,45.0,4.0,02:01:36,7296.91,True,f,
6148,Anthony MONOD,FR,30,H,20-34M,Off Track Association,https://utmb.world/runner/5957644.anthony.monod,536.0,48.0,46.0,35.0,02:01:53,7313.07,True,f,
6072,Paul COTIER,FR,36,H,35-39M,Stade français triathlon,https://utmb.world/runner/4402840.paul.cotier,598.0,49.0,47.0,7.0,02:02:24,7344.19,True,f,
6153,Björn LINDQVIST,SE,36,H,35-39M,,https://utmb.world/runner/5409372.bjorn.lindqvist,534.0,50.0,48.0,8.0,02:02:36,7356.73,True,f,
6024,Zsolt FAZAKAS,HU,54,H,50-54M,,https://utmb.world/runner/2120243.zsolt.fazakas,652.0,51.0,49.0,1.0,02:02:38,7358.65,True,f,
6015,Jekaterina GALLAMOVA,LV,37,F,35-39W,SUPERVARONI.LV,https://utmb.world/runner/4382442.jekaterina.gallamova,615.0,52.0,3.0,1.0,02:02:46,7366.62,True,f,
6058,Ian BILLOD-MOREL,FR,36,H,35-39M,,https://utmb.world/runner/4673761.ian.billodmorel,624.0,53.0,50.0,9.0,02:02:49,7369.77,True,f,
6067,Alain REGNAULT,FR,38,H,35-39M,Association Culturelle et Sportive de la Force Publique,https://utmb.world/runner/620911.alain.regnault,603.0,54.0,51.0,10.0,02:02:58,7378.44,True,f,
6114,Alexandre RIOLI,FR,28,H,20-34M,Lucciana Atletisimu,https://utmb.world/runner/5268482.alexandre.rioli,556.0,55.0,52.0,36.0,02:03:06,7386.9,True,f,
6077,Alexandre MALLIER,FR,44,H,40-44M,Move Your Fit,https://utmb.world/runner/4959904.alexandre.mallier,609.0,56.0,53.0,5.0,02:03:09,7389.8,True,f,
6137,Luca RAGGIRI-MARY,FR,28,H,20-34M,Chapeau Beige,https://utmb.world/runner/5592698.luca.raggirimary,582.0,57.0,54.0,37.0,02:03:33,7413.93,True,f,
6084,Maxime SCHUMANN,FR,31,H,20-34M,Unikalo,https://utmb.world/runner/4836874.maxime.schumann,586.0,58.0,55.0,38.0,02:03:39,7419.76,True,f,
6043,Flora CHAUVIN,FR,30,F,20-34W,,,,59.0,4.0,3.0,02:03:45,7425.53,True,f,
6107,Rémi GOUY,FR,31,H,20-34M,Trail Club de Provence,https://utmb.world/runner/4592570.remi.gouy,559.0,59.0,56.0,39.0,02:03:45,7425.3,True,f,
6158,Teddy RAMOS,FR,27,H,20-34M,,https://utmb.world/runner/5791497.teddy.ramos,529.0,61.0,57.0,40.0,02:03:52,7432.55,True,f,
6033,Mari WETTERHUS,NO,27,F,20-34W,Salomon Norway,https://utmb.world/runner/4221903.mari.wetterhus,654.0,62.0,5.0,4.0,02:04:37,7477.0,True,f,
7596,Oliver MORGADE,ES,39,H,35-39M,,https://utmb.world/runner/6167921.oliver.morgade,,63.0,58.0,11.0,02:04:55,7495.44,True,f,
6018,Sebastien NAIN,FR,53,H,50-54M,TEAM ULTIMUM,https://utmb.world/runner/7854.sebastien.nain,661.0,64.0,59.0,2.0,02:05:05,7505.72,True,f,
7008,Alexandre RAIMBAULT,FR,24,H,20-34M,,https://utmb.world/runner/5793171.alexandre.raimbault,,65.0,60.0,41.0,02:05:32,7532.03,True,f,
6104,Fabien GRAZIANI,FR,30,H,20-34M,,https://utmb.world/runner/1645715.fabien.graziani,565.0,66.0,61.0,42.0,02:05:54,7554.96,True,f,
6091,Alexandre LEVEQUE,FR,36,H,35-39M,Courir à peillon,https://utmb.world/runner/4665358.alexandre.leveque,577.0,67.0,62.0,12.0,02:06:02,7562.21,True,f,
6111,Odilon JUDICE,FR,34,H,20-34M,AMORCER COACHING,https://utmb.world/runner/4441512.odilon.judice,558.0,68.0,63.0,43.0,02:06:05,7565.11,True,f,
6667,Amélie CHEVALIER,FR,27,F,20-34W,Asptt Lyon,https://utmb.world/runner/5588178.amelie.chevalier,384.0,69.0,6.0,5.0,02:06:32,7592.4,True,f,
7155,Nicolas BALCON,FR,26,H,20-34M,,https://utmb.world/runner/5941567.nicolas.balcon,,70.0,64.0,44.0,02:06:36,7596.7,True,f,
6878,Maxime VIRAPIN,FR,26,H,20-34M,Aucun,https://utmb.world/runner/5741727.maxime.virapin,,71.0,65.0,45.0,02:06:41,7601.83,True,f,
6131,Julien GUILHEM,FR,50,H,45-49M,,https://utmb.world/runner/5275156.julien.guilhem,546.0,72.0,66.0,2.0,02:07:24,7644.75,True,f,
7667,Christophe CURIEN,FR,32,H,20-34M,,https://utmb.world/runner/6204525.christophe.curien,,73.0,67.0,46.0,02:07:27,7647.67,True,f,
6001,Amandine GINOUVES,FR,46,F,45-49W,Team Chullanka,https://utmb.world/runner/258702.amandine.ginouves,655.0,74.0,7.0,1.0,02:07:54,7674.41,True,f,
6074,Alexandre JACOMET,FR,21,H,20-34M,Nice Côte d'Azur Athlétisme,https://utmb.world/runner/5826019.alexandre.jacomet,596.0,75.0,68.0,47.0,02:08:28,7708.4,True,f,
6109,Alexandre KORENFELD,FR,30,H,20-34M,,https://utmb.world/runner/3781367.alexandre.korenfeld,557.0,75.0,68.0,47.0,02:08:28,7708.89,True,f,
6185,Fabrice POLLION,FR,46,H,45-49M,,https://utmb.world/runner/6005515.fabrice.pollion,519.0,77.0,70.0,3.0,02:08:37,7717.34,True,f,
7654,Antoine BOUR,FR,30,H,20-34M,,https://utmb.world/runner/6199881.antoine.bour,,78.0,71.0,49.0,02:09:11,7751.41,True,f,
6562,Theo GUILHEM,FR,21,H,20-34M,,,,79.0,72.0,50.0,02:10:02,7802.59,True,f,
6879,Manu GIARDINIERI,FR,32,H,20-34M,,https://utmb.world/runner/5741729.manu.giardinieri,,80.0,73.0,51.0,02:10:03,7803.16,True,f,
6547,Vincent GUILIANI,FR,53,H,50-54M,Trail de Haute Provence,https://utmb.world/runner/7857.vincent.guiliani,598.0,81.0,74.0,3.0,02:10:15,7815.49,True,f,
6222,Corentin SASSIER,FR,27,H,20-34M,,https://utmb.world/runner/5822539.corentin.sassier,507.0,82.0,75.0,52.0,02:10:21,7821.05,True,f,
6140,Marco FOSCHETTI,IT,49,H,45-49M,Libertas Vallesabbia ,https://utmb.world/runner/4032855.marco.foschetti,541.0,83.0,76.0,4.0,02:10:23,7823.7,True,f,
6108,Paul COURTOISIER,FR,37,H,35-39M,,https://utmb.world/runner/4233448.paul.courtoisier,556.0,84.0,77.0,13.0,02:10:36,7836.48,True,f,
6676,Anthony RACO,FR,29,H,20-34M,,https://utmb.world/runner/5123429.anthony.raco,382.0,85.0,78.0,53.0,02:10:48,7848.75,True,f,
6169,Yannick DERAND,FR,36,H,35-39M,,https://utmb.world/runner/5367716.yannick.derand,527.0,86.0,79.0,14.0,02:10:49,7849.51,True,f,
6200,Damien LETELLIER,FR,36,H,35-39M,,https://utmb.world/runner/4892474.damien.letellier,514.0,87.0,80.0,15.0,02:10:54,7854.33,True,f,
6090,Thomas CULUS,BE,31,H,20-34M,,https://utmb.world/runner/2674011.thomas.culus,578.0,88.0,81.0,54.0,02:10:55,7855.78,True,f,
6176,Mathilde DRAGON,FR,30,F,20-34W,Oria sport,https://utmb.world/runner/5353670.mathilde.dragon,525.0,89.0,8.0,6.0,02:11:24,7884.0,True,f,
6184,Christophe BASTIDE,FR,32,H,20-34M,,https://utmb.world/runner/4543776.christophe.bastide,520.0,90.0,82.0,55.0,02:11:25,7885.92,True,f,
7009,Philippe WIEDEMANN-GOIRAN,FR,24,H,20-34M,,https://utmb.world/runner/5803239.philippe.wiedemanngoiran,,91.0,83.0,56.0,02:11:31,7891.92,True,f,
6082,Cyril GERLA,FR,42,H,40-44M,Roucoulade No Trekking Club,https://utmb.world/runner/3396621.cyril.gerla,587.0,92.0,84.0,6.0,02:11:33,7893.18,True,f,
6201,Peter LE VAN,FR,35,H,20-34M,Sens Physique,https://utmb.world/runner/4841698.peter.levan,513.0,93.0,85.0,57.0,02:11:39,7899.45,True,f,
6145,Geoffrey THOMAS,FR,34,H,20-34M,,https://utmb.world/runner/4851001.geoffrey.thomas,538.0,94.0,86.0,58.0,02:11:40,7900.17,True,f,
