# Race: Unknown
# Distance: 51.8 km
# D+: 1547 m
# D-: 1547 m
# Date: 2025-11-22
# URL: https://live.utmb.world/pacifictrails/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
10,Eric LAGERSTROM,US,36,H,35-39M,,https://utmb.world/runner/6727676.eric.lagerstrom,835.0,,,,,0,False,cancelled,
7,Preston CATES,US,28,H,20-34M,,https://utmb.world/runner/4128256.preston.cates,798.0,,,,,0,False,cancelled,
3,Taylor STACK,US,27,H,20-34M,,https://utmb.world/runner/586957.taylor.stack,886.0,,,,,0,False,cancelled,
2,Rod FARVARD,US,30,H,20-34M,,https://utmb.world/runner/1261043.rod.farvard,890.0,,,,,0,False,cancelled,
9,Joshua POTVIN,CA,36,H,35-39M,,https://utmb.world/runner/4636106.joshua.potvin,843.0,,,,,0,False,cancelled,
4,Jonathan REA,US,33,H,20-34M,,https://utmb.world/runner/648574.jonathan.rea,864.0,,,,,0,False,cancelled,
6,Remi LEROUX,CA,28,H,20-34M,,https://utmb.world/runner/4207264.remi.leroux,860.0,,,,,0,False,cancelled,
39,Jacob BANTA,US,31,H,20-34M,,https://utmb.world/runner/2191843.jacob.banta,788.0,,,,,0,False,cancelled,
5,Helen MINO FAUKNER,US,29,F,20-34W,,https://utmb.world/runner/2571507.helen.minofaukner,759.0,,,,,0,False,cancelled,
37,James TILLEY,GB,38,H,35-39M,,https://utmb.world/runner/2356577.james.tilley,807.0,,,,,0,False,cancelled,
36,Johen DELEON,US,27,H,20-34M,,https://utmb.world/runner/5092719.johen.deleon,814.0,,,,,0,False,cancelled,
15,Andrea POMARANSKI,US,43,F,40-44W,,https://utmb.world/runner/6941201.andrea.pomaranski,678.0,,,,,0,False,cancelled,
51,Aaron MORA,US,31,H,20-34M,,https://utmb.world/runner/7179346.aaron.mora,701.0,,,,,0,False,cancelled,
40,Alexander PARKER,US,26,H,20-34M,,https://utmb.world/runner/4595630.alexander.parker,774.0,,,,,0,False,cancelled,
12,Sarah CARTER,US,27,F,20-34W,,https://utmb.world/runner/6198683.sarah.carter,724.0,,,,,0,False,cancelled,
47,Dylan BAKER,US,24,H,20-34M,,https://utmb.world/runner/6997821.dylan.baker,722.0,,,,,0,False,cancelled,
42,Henry HARRIS,US,28,H,20-34M,,https://utmb.world/runner/5039191.henry.harris,760.0,,,,,0,False,cancelled,
46,Joshua TAYLOR,US,25,H,20-34M,,https://utmb.world/runner/3999040.joshua.taylor,727.0,,,,,0,False,cancelled,
45,Etienne SCHOEMAN,ZA,35,H,35-39M,,https://utmb.world/runner/825590.etienne.schoeman,735.0,,,,,0,False,cancelled,
49,Jaden EVANS,US,24,H,20-34M,,https://utmb.world/runner/1124409.jaden.evans,713.0,,,,,0,False,cancelled,
