# Race: Unknown
# Distance: 33 km
# D+: 1550 m
# D-: 1550 m
# Date: 2023-11-05
# URL: https://live.utmb.world/puertovallarta/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2270,Jeff ROSAS,MX,31,H,20-34M,Gapper,https://utmb.world/runner/3892873.jeff.rosas,791.0,1.0,1.0,1.0,03:38:54,13134.608999999999,True,f,
2284,Salvador MARTÍNEZ PAYAN,MX,29,H,20-34M,The North Face México,https://utmb.world/runner/3567913.salvador.martinezpayan,631.0,2.0,2.0,2.0,03:40:55,13255.175,True,f,
2331,Kevin Teodoro AGUILAR PÉREZ,MX,32,H,20-34M,TwinBro,https://utmb.world/runner/5618351.kevinteodoro.aguilarperez,,4.0,4.0,4.0,04:05:15,14715.751,True,f,
2299,Fernando Daniel GARCÍA RODRÍGUEZ,MX,40,H,35-39M,Raya´s Runners Club,https://utmb.world/runner/5574997.fernandodaniel.garciarodriguez,,5.0,5.0,1.0,04:08:00,14880.711000000001,True,f,
2139,Carlos Eden RODRIGUEZ MENDOZA,MX,37,H,35-39M,Try3,https://utmb.world/runner/5467529.carloseden.rodriguezmendoza,605.0,6.0,6.0,2.0,04:15:40,15340.323999999999,True,f,
2157,Josue MONTES DE OCA JAIME,MX,29,H,20-34M,,https://utmb.world/runner/5481197.josue.montesdeocajaime,,7.0,7.0,5.0,04:15:49,15349.93,True,f,
2333,Pilar PELAYO PIÑA,MX,32,H,20-34M,Trackfitmx,https://utmb.world/runner/3205003.pilar.pelayopina,665.0,8.0,8.0,6.0,04:16:38,15398.898000000001,True,f,
2187,Marc LLONCH BLANQUE,ES,27,H,20-34M,Alpunto,https://utmb.world/runner/4807870.marc.llonchblanque,546.0,9.0,9.0,7.0,04:30:01,16201.01,True,f,
2226,Sabrina WHITE,MX,32,F,20-34W,,https://utmb.world/runner/5492631.sabrina.white,,10.0,1.0,1.0,04:35:05,16505.12,True,f,
2305,José Antonio CHÁVEZ CEJA,MX,36,H,20-34M,Team Charly,https://utmb.world/runner/5539934.joseantonio.chavezceja,585.0,11.0,10.0,8.0,04:35:07,16507.935,True,f,
2164,JUAN JORGE ANAYA PEÑA,MX,22,H,20-34M,Arellano Fitness,https://utmb.world/runner/4807864.juanjorge.anayapena,581.0,12.0,11.0,9.0,04:39:39,16779.751,True,f,
2294,Greg CRUICKSHANK,CA,42,H,40-44M,,https://utmb.world/runner/5571483.greg.cruickshank,,13.0,12.0,1.0,04:40:28,16828.979,True,f,
2264,Fernando Azael MEJÍA GONZÁLEZ,MX,34,H,20-34M,45RUN30,https://utmb.world/runner/2447809.fernandoazael.mejiagonzalez,646.0,14.0,13.0,10.0,04:41:44,16904.635,True,f,
2290,Ricardo Daniel LEPE ROCHA,MX,21,H,18-19M,RunFreends,https://utmb.world/runner/4807346.ricardodaniel.leperocha,569.0,15.0,14.0,1.0,04:48:37,17317.686999999998,True,f,
2149,Porfirio ACOSTA,MX,32,H,20-34M,Zapotrail,https://utmb.world/runner/5482477.porfirio.acosta,,16.0,15.0,11.0,05:00:02,18002.876,True,f,
2256,JORGE ALBERTO VIZCAINO DEL TORO,MX,32,H,20-34M,Spirit,https://utmb.world/runner/4609706.jorgealberto.vizcainodeltoro,561.0,17.0,16.0,12.0,05:00:52,18052.09,True,f,
2276,Mariela SILVA,MX,41,F,35-39W,Guerreras de la montaña,https://utmb.world/runner/5544681.mariela.silva,509.0,18.0,2.0,1.0,05:03:06,18186.545,True,f,
2198,Luis Angel HERNANDEZ,MX,29,H,20-34M,Xcorpion,https://utmb.world/runner/5494375.luisangel.hernandez,,19.0,17.0,13.0,05:03:10,18190.0,True,f,
2251,Hugo SEPÚLVEDA ARANGO,CO,48,H,45-49M,,https://utmb.world/runner/5291446.hugo.sepulvedaarango,481.0,20.0,18.0,1.0,05:07:28,18448.223,True,f,
2242,Jorge MONTIEL,MX,50,H,45-49M,Runners de Nayarit utmb,https://utmb.world/runner/5510335.jorge.montiel,,21.0,19.0,2.0,05:10:29,18629.176,True,f,
2326,Eric Alejandro BRACAMONTES HERNANDEZ,MX,32,H,20-34M,ZapoTrail,https://utmb.world/runner/5591059.ericalejandro.bracamonteshernandez,,22.0,20.0,14.0,05:11:39,18699.358,True,f,
2342,MARCO ANTONIO MÁRQUEZ MURGUIA,MX,45,H,40-44M,,https://utmb.world/runner/222757.marcoantonio.marquezmurguia,670.0,23.0,21.0,2.0,05:12:32,18752.811999999998,True,f,
2223,Marc MIRÓ SANS,ES,30,H,20-34M,,https://utmb.world/runner/5491751.marc.mirosans,,24.0,22.0,15.0,05:13:06,18786.816000000003,True,f,
2089,DENNYS IGNACIO ROSALES CHAPA,EC,41,H,35-39M,RUNAWAY,https://utmb.world/runner/5129516.dennysignacio.rosaleschapa,430.0,25.0,23.0,3.0,05:20:38,19238.0,True,f,
2113,Daniel FLORES,MX,38,H,35-39M,Yo Marco,https://utmb.world/runner/5402947.daniel.flores,,26.0,24.0,4.0,05:21:35,19295.468,True,f,
2298,Armando BELTRAN,MX,55,H,50-54M,,https://utmb.world/runner/3777371.armando.beltran,555.0,27.0,25.0,1.0,05:22:53,19373.11,True,f,
2111,Jorge Manuel SOTO ROBLES,MX,31,H,20-34M,,https://utmb.world/runner/5403629.jorgemanuel.sotorobles,417.0,28.0,26.0,16.0,05:24:51,19491.589,True,f,
2301,Hector Guillermo VALDEZ,MX,39,H,35-39M,runfreends-UTMB23,https://utmb.world/runner/5574993.hectorguillermo.valdez,,29.0,27.0,5.0,05:24:59,19499.343999999997,True,f,
2114,ANDRES TORRES,MX,65,H,60-64M,,https://utmb.world/runner/1753235.andres.torres,554.0,30.0,28.0,1.0,05:29:59,19799.827,True,f,
2177,Emilio ESCOBEDO,MX,24,H,20-34M,Rayos-JTZ Trail,,,31.0,29.0,17.0,05:30:19,19819.696,True,f,
2195,Adrian GUTIERREZ,MX,32,H,20-34M,,https://utmb.world/runner/5494203.adrian.gutierrez,,32.0,30.0,18.0,05:30:30,19830.786,True,f,
2150,Santiago OCHOA,MX,34,H,20-34M,,https://utmb.world/runner/5482975.santiago.ochoa,,33.0,31.0,19.0,05:37:22,20242.53,True,f,
2224,Lorena DE LUNA SAUCEDO,MX,35,F,20-34W,,https://utmb.world/runner/5474066.lorena.delunasaucedo,432.0,34.0,3.0,2.0,05:37:40,20260.951,True,f,
2265,ABRAHAM ALEJANDRO GALVAN ROSAS,MX,32,H,20-34M,,https://utmb.world/runner/4807888.abrahamalejandro.galvanrosas,516.0,35.0,32.0,20.0,05:38:02,20282.185,True,f,
2281,Nancy PAYÁN,MX,55,F,50-54W,ProTrail,https://utmb.world/runner/5558387.nancy.payan,,36.0,4.0,1.0,05:40:20,20420.268,True,f,
2303,Yoselinne CHAVEZ,MX,33,F,20-34W,,https://utmb.world/runner/5585667.yoselinne.chavez,,37.0,5.0,3.0,05:42:40,20560.157,True,f,
2074,MÓNICA GUADALUPE SÁNCHEZ CRUZ,MX,41,F,35-39W,Trackfit,https://utmb.world/runner/5289765.monicaguadalupe.sanchezcruz,427.0,38.0,6.0,2.0,05:43:06,20586.389,True,f,
2090,José PESÁNTEZ,EC,33,H,20-34M,RUNAway,https://utmb.world/runner/5354883.jose.pesantez,,39.0,33.0,21.0,05:43:10,20590.811,True,f,
2282,Enrique Eugenio Lopez Lopez,MX,45,H,40-44M,PRO Trail,https://utmb.world/runner/4807908.enriqueeugenio.lopezlopez,488.0,40.0,34.0,3.0,05:43:31,20611.467,True,f,
2088,Paulo BERREZUETA,EC,45,H,40-44M,RUNAway,https://utmb.world/runner/5289781.paulo.berrezueta,,41.0,35.0,4.0,05:43:42,20622.33,True,f,
2304,Jose Luis AVALOS,MX,45,H,40-44M,,https://utmb.world/runner/5590621.joseluis.avalos,,42.0,36.0,5.0,05:43:54,20634.237,True,f,
2120,Marco Antonio REYNOSO TOBIAS,MX,50,H,45-49M,Senderos Runners,https://utmb.world/runner/4386168.marcoantonio.reynosotobias,349.0,43.0,37.0,3.0,05:46:22,20782.644,True,f,
2199,RAYMUNDO MEDRANO,MX,35,H,20-34M,,https://utmb.world/runner/5494441.raymundo.medrano,,44.0,38.0,22.0,05:47:30,20850.006,True,f,
2306,Victor MARTINEZ,MX,35,H,20-34M,,https://utmb.world/runner/2071047.victor.martinez,,45.0,39.0,23.0,05:49:17,20957.189,True,f,
2144,Jorge ZUGARRAMURDI,MX,36,H,20-34M,,https://utmb.world/runner/5463597.jorge.zugarramurdi,,46.0,40.0,24.0,05:50:02,21002.955,True,f,
