# Race: Unknown
# Distance: 49 km
# D+: 2300 m
# D-: 2300 m
# Date: 2024-11-09
# URL: https://live.utmb.world/puertovallarta/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1362,Joren TITUS,CA,42,H,40-44M,,https://utmb.world/runner/2285455.joren.titus,786.0,1.0,1.0,1.0,05:20:40,19240.721,True,f,
1005,Emerson TRUJILLO FLORES,PE,44,H,40-44M,The North Face,https://utmb.world/runner/392237.emerson.trujillo,775.0,2.0,2.0,2.0,05:25:54,19554.352,True,f,
1003,Sara ALONSO,ES,26,F,20-34W,Asics fuji trail team,https://utmb.world/runner/4016633.sara.alonso,780.0,2.0,1.0,1.0,05:25:54,19554.413,True,f,
1435,David NORRIS,US,35,H,20-34M,On Trail,https://utmb.world/runner/5556249.david.norris,831.0,4.0,3.0,1.0,05:26:18,19578.334,True,f,
1000,Juan Carlos CARERA CASAS,MX,37,H,35-39M,Buff - Gapper,https://utmb.world/runner/99949.juancarlos.carera,799.0,5.0,4.0,1.0,05:27:31,19651.161,True,f,
1002,Nicolas PALACIOS,CL,39,H,35-39M,Nnormal,https://utmb.world/runner/569918.nicolas.palacios,781.0,6.0,5.0,2.0,05:29:44,19784.893,True,f,
1004,Christopher LEVESQUE SAVARD,CA,27,H,20-34M,Naak,https://utmb.world/runner/3315641.christopher.levesquesavard,801.0,7.0,6.0,2.0,05:40:23,20423.881,True,f,
1009,Roberto Carlos VARGAS VIDAURRI,MX,35,H,20-34M,The North Face,https://utmb.world/runner/4605450.robertocarlos.vargasvidaurri,730.0,8.0,7.0,3.0,05:45:05,20705.565,True,f,
1338,Javier JANEIRO CERDEIRA,MX,39,H,35-39M,Korpore Arenteiro Trail,https://utmb.world/runner/1883895.javier.janeirocerdeira,750.0,9.0,8.0,3.0,06:06:51,22011.148999999998,True,f,
1259,David CLARK,US,42,H,40-44M,,https://utmb.world/runner/3604011.david.clark,729.0,10.0,9.0,3.0,06:07:19,22039.236,True,f,
1010,Reyna Isela RIVERA CARRILLO,MX,36,F,35-39W,Adidas Terrex México,https://utmb.world/runner/6342371.reynaisela.riveracarrillo,,11.0,2.0,1.0,06:07:50,22070.421000000002,True,f,
1415,Diego ARNAUDA GONZALEZ,MX,25,H,20-34M,Freelife,https://utmb.world/runner/4365304.diego.arnaudagonzalez,663.0,12.0,10.0,4.0,06:13:48,22428.494,True,f,
1020,Jose Luis LÓPEZ FLORES,MX,33,H,20-34M,La pandilla,https://utmb.world/runner/6589711.joseluis.lopezflores,681.0,13.0,11.0,5.0,06:19:03,22743.161,True,f,
1431,José Alfredo NERI RUIZ,MX,27,H,20-34M,JOTAZE,https://utmb.world/runner/4807084.josealfredo.neriruiz,,14.0,12.0,6.0,06:22:09,22929.41,True,f,
1354,Giovanni PERFETTI SANTISTEBAN,CO,30,H,20-34M,Track & mountain,https://utmb.world/runner/4909516.giovanni.perfettisantisteban,664.0,15.0,13.0,7.0,06:25:33,23133.467,True,f,
1413,Phoebe CROSTHWAITE,GB,29,F,20-34W,The Trail Team,https://utmb.world/runner/6624085.phoebe.crosthwaite,,16.0,3.0,2.0,06:30:02,23402.935,True,f,
1452,Jose Antonio BAUTICIA MORENO,MX,26,H,20-34M,,https://utmb.world/runner/6694973.joseantonio.bauticiamoreno,,17.0,14.0,8.0,06:43:04,24184.053,True,f,
1041,Greg CRUICKSHANK,CA,42,H,40-44M,,https://utmb.world/runner/5571483.greg.cruickshank,655.0,18.0,15.0,4.0,06:44:15,24255.99,True,f,
1450,Eleuterio PARRA HERRERA,MX,19,H,18-19M,,https://utmb.world/runner/6694971.eleuterio.parraherrera,,19.0,16.0,1.0,06:49:58,24598.623,True,f,
