# Race: Unknown
# Distance: 20 km
# D+: 920 m
# D-: 920 m
# Date: 2024-08-04
# URL: https://live.utmb.world/quitobyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3002,Camilo NAVAS,EC,25,H,20-34M,TEAM ISDIN-BIOSIL,https://utmb.world/runner/6069980.camilo.navas,699.0,1.0,1.0,1.0,01:45:33,6333.66,True,f,
3020,Santiago SOTOMAYOR,EC,22,H,20-34M,Tenorio Team,https://utmb.world/runner/4839778.santiago.sotomayor,651.0,2.0,2.0,2.0,01:46:36,6396.36,True,f,
3469,Ronny FLORES,EC,26,H,20-34M,Positivo Training,https://utmb.world/runner/6105625.ronny.flores,589.0,3.0,3.0,3.0,01:46:37,6397.76,True,f,
3005,Esteban PAEZ,AR,27,H,20-34M,premium,https://utmb.world/runner/1196605.esteban.paez,687.0,4.0,4.0,4.0,01:47:47,6467.57,True,f,
3016,Emilio LEÓN PÉREZ,EC,21,H,20-34M,Spartan Team,https://utmb.world/runner/4448974.emilio.leonperez,663.0,5.0,5.0,5.0,01:49:44,6584.47,True,f,
3456,Patricio David FACTOS LÓPEZ,EC,29,H,20-34M,Escuela de Iwias,https://utmb.world/runner/6108201.patriciodavid.factoslopez,483.0,6.0,6.0,6.0,01:50:23,6623.62,True,f,
3027,Francisco Xavier ESCOBAR ÁLVAREZ,EC,40,H,35-39M,Club A2 aventura,https://utmb.world/runner/4220220.franciscoxavier.escobaralvarez,603.0,6.0,6.0,1.0,01:50:23,6623.07,True,f,
3391,Israel Bacilio CHIMBO PASATO,EC,21,H,20-34M,Ninguno,https://utmb.world/runner/5198522.israelbacilio.chimbopasato,,8.0,8.0,7.0,01:51:30,6690.77,True,f,
3003,Ignacio POZA,AR,21,H,20-34M,ICS DEPORTES,https://utmb.world/runner/4296368.ignacio.poza,697.0,9.0,9.0,8.0,01:52:35,6755.47,True,f,
3830,Juan Diego VALENCIA OSORIO,CO,29,H,20-34M,Team goats,https://utmb.world/runner/6203797.juandiego.valenciaosorio,,10.0,10.0,9.0,01:53:55,6835.54,True,f,
3026,Juan Fernando VÁSCONEZ,EC,34,H,20-34M,A2 aventura / 1m1t,https://utmb.world/runner/4379868.juanfernando.vasconez,610.0,11.0,11.0,10.0,01:54:20,6860.77,True,f,
3583,José Mario LOPEZ,GT,24,H,20-34M,,https://utmb.world/runner/6158305.josemario.lopez,,12.0,12.0,11.0,01:54:22,6862.59,True,f,
3022,Alex Steven GONZA CABASCANGO,EC,32,H,20-34M,TENORIO,https://utmb.world/runner/2981405.alexsteven.gonzacabascango,644.0,13.0,13.0,12.0,01:54:40,6880.21,True,f,
3024,Iván COELLO,EC,45,H,40-44M,Road Runners,https://utmb.world/runner/2008831.ivan.coello,618.0,14.0,14.0,1.0,02:00:23,7223.94,True,f,
3324,Daniel AUCATOMA,EC,26,H,20-34M,,https://utmb.world/runner/5585901.daniel.aucatoma,,15.0,15.0,13.0,02:01:42,7302.12,True,f,
3380,Daniel CEVALLOS,EC,33,H,20-34M,TRIBURONES,https://utmb.world/runner/6108197.daniel.cevallos,,16.0,16.0,14.0,02:02:00,7320.97,True,f,
3023,Damian ENDARA,EC,50,H,45-49M,TEAM LINDEMANN,https://utmb.world/runner/2441265.damian.endara,620.0,17.0,17.0,1.0,02:02:48,7368.99,True,f,
3025,Sebastian CORDERO,EC,35,H,20-34M,Sin Limites,https://utmb.world/runner/4353392.sebastian.cordero,610.0,17.0,17.0,15.0,02:02:48,7368.99,True,f,
3032,Felipe GOMEZ BARRANTES,CO,27,H,20-34M,aleruners,https://utmb.world/runner/5685093.felipe.gomezbarrantes,558.0,19.0,19.0,16.0,02:03:40,7420.34,True,f,
3046,Carlos ENRIQUEZ,EC,52,H,50-54M,,https://utmb.world/runner/830666.carlos.enriquez,512.0,20.0,20.0,1.0,02:03:43,7423.12,True,f,
3035,Juan Javier JARRIN CHAGÑAY,EC,32,H,20-34M,Desnivel +,https://utmb.world/runner/5129392.juanjavier.jarrinchagnay,546.0,21.0,21.0,17.0,02:04:50,7490.26,True,f,
3037,Geovanny ROMERO,EC,48,H,45-49M,Run+ Crew,https://utmb.world/runner/5563069.geovanny.romero,529.0,22.0,22.0,2.0,02:06:05,7565.76,True,f,
3725,Ruben PUSDA,EC,40,H,35-39M,Team Agrup,https://utmb.world/runner/5653351.ruben.pusda,,23.0,23.0,2.0,02:06:44,7604.12,True,f,
3048,Jorge MALDONADO CORONEL,EC,44,H,40-44M,no,https://utmb.world/runner/5710044.jorge.maldonadocoronel,509.0,24.0,24.0,2.0,02:08:16,7696.12,True,f,
3729,Jorge David QUISHPE,EC,55,H,50-54M,Spartan team,https://utmb.world/runner/6108869.jorgedavid.quishpe,,25.0,25.0,2.0,02:09:09,7749.98,True,f,
3304,Nicolas ALVAREZ,EC,25,H,20-34M,Velo Team,https://utmb.world/runner/4448982.nicolas.alvarez,,26.0,26.0,18.0,02:10:20,7820.51,True,f,
3019,Alejandra PEREZ,EC,27,F,20-34W,,https://utmb.world/runner/5557384.alejandra.perez,572.0,27.0,1.0,1.0,02:11:04,7864.07,True,f,
3878,Lenin Stalin TUMIPAMBA ORTIZ,EC,37,H,35-39M,A2 AVENTURA,https://utmb.world/runner/3322753.leninstalin.tumipambaortiz,583.0,28.0,27.0,3.0,02:12:24,7944.02,True,f,
3487,Jacobo GARCIA GONZALEZ,EC,43,H,40-44M,RunduTri,https://utmb.world/runner/6108207.jacobo.garciagonzalez,,29.0,28.0,3.0,02:12:27,7947.17,True,f,
3001,Georgina BEECH,AU,37,F,35-39W,,https://utmb.world/runner/1455859.georgina.beech,615.0,30.0,2.0,1.0,02:12:39,7959.35,True,f,
3045,Anthony TAYA,EC,19,H,18-19M,La Manada Ultra Trail Runners,https://utmb.world/runner/5464332.anthonyisrael.tayanavarrete,512.0,31.0,29.0,1.0,02:13:29,8009.34,True,f,
3804,Luis TADAY,EC,52,H,50-54M,Wily's Team,https://utmb.world/runner/6201393.luis.taday,,32.0,30.0,3.0,02:13:40,8020.66,True,f,
3004,Paula NAZAL LABRIN,CL,31,F,20-34W,Escuelita de Trail Angol,https://utmb.world/runner/4756150.paula.nazallabrin,607.0,33.0,3.0,2.0,02:14:11,8051.45,True,f,
3049,Andres QUILCA,EC,33,H,20-34M,Manada ultra trail runners,https://utmb.world/runner/5566494.andres.quilca,497.0,34.0,31.0,19.0,02:14:13,8053.12,True,f,
3073,Cristian HERNANDEZ,EC,31,H,20-34M,,https://utmb.world/runner/4979952.cristian.hernandez,496.0,35.0,32.0,20.0,02:14:26,8066.12,True,f,
3846,Pedro VELASCO,EC,28,H,20-34M,Ninguno,https://utmb.world/runner/5562783.pedro.velasco,,36.0,33.0,21.0,02:14:52,8092.25,True,f,
3471,Francisco FLORES,EC,28,H,20-34M,Team Skratch,https://utmb.world/runner/6282463.francisco.flores,,36.0,33.0,21.0,02:14:52,8092.79,True,f,
3714,Julio PICO,EC,33,H,20-34M,Smart Fit,https://utmb.world/runner/6080983.julio.pico,,38.0,35.0,23.0,02:16:12,8172.71,True,f,
3018,Diana Paola BUSTAMANTE SIERRA,CO,40,F,35-39W,Mega_Entto,https://utmb.world/runner/4350364.dianapaola.bustamantesierra,574.0,39.0,4.0,2.0,02:16:29,8189.22,True,f,
3378,Mateo CENTENO,EC,35,H,20-34M,,https://utmb.world/runner/4126223.mateo.centeno,,40.0,36.0,24.0,02:16:35,8195.89,True,f,
3439,Emiliano EGUEZ,EC,21,H,20-34M,Masalud,https://utmb.world/runner/6058137.emiliano.eguez,,41.0,37.0,25.0,02:16:41,8201.96,True,f,
3492,Andrés GÓMEZ ENDARA,EC,38,H,35-39M,Sin Limites,https://utmb.world/runner/4220226.andres.gomezendara,510.0,42.0,38.0,4.0,02:17:29,8249.6,True,f,
3724,Adrian PUENTE,EC,25,H,20-34M,Positivo Training,https://utmb.world/runner/5781965.adrian.puente,,43.0,39.0,26.0,02:17:38,8258.28,True,f,
3646,Maria Salome NAVAS NIETO,EC,24,F,20-34W,,https://utmb.world/runner/5198658.mariasalome.navasnieto,463.0,44.0,5.0,3.0,02:17:51,8271.16,True,f,
3442,Jefferson ERAZO,EC,35,H,20-34M,,https://utmb.world/runner/3820289.jefferson.erazo,,45.0,40.0,27.0,02:19:10,8350.88,True,f,
3029,Humberto DAVALOS,EC,51,H,50-54M,,https://utmb.world/runner/1401505.humberto.davalos,572.0,46.0,41.0,4.0,02:19:12,8352.07,True,f,
3553,Jose Martin JARAMILLO,EC,28,H,20-34M,,https://utmb.world/runner/6048101.josemartin.jaramillo,,47.0,42.0,28.0,02:19:21,8361.12,True,f,
3444,Patricio ESCOBAR,EC,37,H,35-39M,Jacaranda,https://utmb.world/runner/1119427.patricio.escobar,,48.0,43.0,5.0,02:19:42,8382.44,True,f,
3933,Wilson Stalin SANCHEZ ROMERO,EC,44,H,40-44M,Bolkas,https://utmb.world/runner/1442113.wilsonstalin.sanchezromero,,49.0,44.0,4.0,02:19:50,8390.78,True,f,
3910,Jose Ignacio MOREJON,EC,38,H,35-39M,,https://utmb.world/runner/5897117.joseignacio.morejon,,50.0,45.0,6.0,02:21:36,8496.84,True,f,
3031,Gabriela REINOSO ORELLANA,EC,40,F,35-39W,Road Runners CUenca,https://utmb.world/runner/4450388.gabriela.reinosoorellana,491.0,51.0,6.0,3.0,02:21:54,8514.07,True,f,
