# Race: Unknown
# Distance: 36 km
# D+: 1600 m
# D-: 1600 m
# Date: 2024-08-03
# URL: https://live.utmb.world/quitobyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2018,Diego GUAYASAMIN,EC,27,H,20-34M,AXXIS SPORTS,https://utmb.world/runner/4673078.diego.guayasamin,674.0,1.0,1.0,1.0,03:28:49,12529.77,True,f,
2002,Edwin Patricio CUZCO ROSERO,EC,31,H,20-34M,DomerMueble-Huambalo,https://utmb.world/runner/5129346.edwinpatricio.cuzcorosero,737.0,2.0,2.0,2.0,03:37:01,13021.17,True,f,
2007,Martin SAENZ,EC,46,H,45-49M,BET,https://utmb.world/runner/162665.martin.saenz,742.0,3.0,3.0,1.0,03:37:47,13067.65,True,f,
2022,Stefano QUIÑONEZ,EC,23,H,20-34M,No,https://utmb.world/runner/5198552.stefano.quinonez,635.0,4.0,4.0,3.0,03:45:49,13549.44,True,f,
2715,Felipe MUNCHMEYER,EC,35,H,20-34M,Andes Racing,https://utmb.world/runner/384333.felipe.munchmeyer,727.0,5.0,5.0,4.0,03:48:39,13719.79,True,f,
2717,David NAVARRETE,EC,33,H,20-34M,Spartan Team/Ec Runs,https://utmb.world/runner/5885310.david.navarrete,698.0,6.0,6.0,5.0,03:49:20,13760.53,True,f,
2019,Alex CEVALLOS,EC,43,H,40-44M,Andesuyu,https://utmb.world/runner/838527.alex.cevallos,651.0,7.0,7.0,1.0,03:50:04,13804.46,True,f,
2694,Mauricio ARTEAGA SÁNCHEZ,EC,37,H,35-39M,ECUADORUNS,https://utmb.world/runner/6335673.mauricio.arteagasanchez,,8.0,8.0,1.0,03:51:46,13906.41,True,f,
2004,Pedro JURADO,EC,35,H,20-34M,,https://utmb.world/runner/548937.pedro.jurado,701.0,9.0,9.0,6.0,03:56:44,14204.79,True,f,
2024,Juan ESTEBAN ROMERO,EC,40,H,35-39M,Club Khrono,https://utmb.world/runner/3355807.juan.estebanromero,626.0,9.0,9.0,2.0,03:56:44,14204.77,True,f,
2028,Dario Geovanny MOROCHO AUSAY,EC,47,H,45-49M,,https://utmb.world/runner/4450232.dariogeovanny.morochoausay,616.0,11.0,11.0,2.0,03:57:52,14272.53,True,f,
2669,Patricio ORDONEZ,EC,42,H,40-44M,BET ENDURANCE,https://utmb.world/runner/6282653.patricio.ordonez,,12.0,12.0,2.0,03:59:25,14365.08,True,f,
2036,Christian Santiago DELGADO CAJILIMA,EC,34,H,20-34M,,https://utmb.world/runner/5888806.christiansantiago.delgadocajilima,584.0,13.0,13.0,7.0,04:00:12,14412.65,True,f,
2714,Antonio CHANGOLUISA,EC,29,H,20-34M,FEDEME TEAM,https://utmb.world/runner/6355959.antonio.changoluisa,,14.0,14.0,8.0,04:00:26,14426.68,True,f,
2140,Darwin HIDROBO,EC,33,H,20-34M,KHRONOS,https://utmb.world/runner/4449144.darwin.hidrobo,520.0,15.0,15.0,9.0,04:05:04,14704.59,True,f,
2021,Carlos Manuel MUIRRAGUI,EC,36,H,35-39M,,https://utmb.world/runner/548934.carlosmanuel.muirragui,647.0,16.0,16.0,3.0,04:06:43,14803.59,True,f,
2033,Geovanny BARRETO,EC,42,H,40-44M,TEAM UCUENCA,https://utmb.world/runner/4833416.geovanny.barreto,597.0,17.0,17.0,3.0,04:06:49,14809.44,True,f,
2005,Luis Alfredo FLORES BALDEON,EC,61,H,60-64M,Baños de agua Santa,https://utmb.world/runner/2024389.luisalfredo.floresbaldeon,701.0,18.0,18.0,1.0,04:06:53,14813.95,True,f,
2039,William LEONARDO,EC,33,H,20-34M,BlackTrailRunners,https://utmb.world/runner/4220153.william.leonardo,581.0,19.0,19.0,10.0,04:14:57,15297.33,True,f,
2053,Juan Carlos RIOS GRANIZO,EC,36,H,35-39M,Hieleros ecuador,https://utmb.world/runner/2981131.juancarlos.riosgranizo,547.0,20.0,20.0,4.0,04:16:15,15375.19,True,f,
2674,Nataly TORRES,EC,35,F,20-34W,Spartam,https://utmb.world/runner/2980941.nataly.torres,563.0,21.0,1.0,1.0,04:17:15,15435.58,True,f,
2048,Nicolas MIRANDA,EC,48,H,45-49M,,https://utmb.world/runner/676539.nicolas.miranda,554.0,22.0,21.0,3.0,04:18:14,15494.18,True,f,
2020,Leida DIAZ CHAVEZ,PE,29,F,20-34W,,https://utmb.world/runner/5819460.leida.diazchavez,571.0,23.0,2.0,2.0,04:18:29,15509.78,True,f,
2648,Mauricio VELÁSQUEZ BARBA,EC,40,H,35-39M,FTTEAM,https://utmb.world/runner/4324602.mauricio.velasquezbarba,,24.0,22.0,5.0,04:18:33,15513.52,True,f,
2052,Cesar JARAMILLO,EC,36,H,35-39M,BLACK TRAIL RUNNERS,https://utmb.world/runner/4220240.cesar.jaramillo,551.0,25.0,23.0,6.0,04:19:04,15544.15,True,f,
2049,Bryan Israel QUISHPE TIXILEMA,EC,28,H,20-34M,,https://utmb.world/runner/4324668.bryanisrael.quishpetixilema,553.0,26.0,24.0,11.0,04:19:26,15566.44,True,f,
2095,Andres LIGER,EC,31,H,20-34M,Club Byron Piedra,https://utmb.world/runner/5557602.andres.liger,491.0,27.0,25.0,12.0,04:20:01,15601.05,True,f,
