# Race: Unknown
# Distance: 50 km
# D+: 2580 m
# D-: 2580 m
# Date: 2024-08-03
# URL: https://live.utmb.world/quitobyutmb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1001,Joaquin LOPEZ,EC,33,H,20-34M,Kailas / Imptek,https://utmb.world/runner/243895.joaquin.lopez,862.0,1.0,1.0,1.0,05:07:41,18461.43,True,f,
1502,Edson Jair MEJIA CASALLAS,CO,28,H,20-34M,Am running,https://utmb.world/runner/4384812.edsonjair.mejiacasallas,723.0,2.0,2.0,2.0,05:27:50,19670.17,True,f,
1003,Luis VALLE B,CL,36,H,35-39M,Atletico Caleu,https://utmb.world/runner/487396.luis.valleb,756.0,3.0,3.0,1.0,05:36:20,20180.67,True,f,
1008,Klever VILLACRES,EC,35,H,20-34M,Ecuadoruns - Brooks,https://utmb.world/runner/676544.klever.villacres,698.0,4.0,4.0,3.0,05:42:09,20529.64,True,f,
1002,Sebastián GALVIS,CO,31,H,20-34M,Goats,https://utmb.world/runner/4108868.sebastian.galvis,787.0,5.0,5.0,4.0,06:00:27,21627.88,True,f,
1026,Adrian Santiago CARDENAS ALVARADO,EC,26,H,20-34M,Independiente,https://utmb.world/runner/4817360.adriansantiago.cardenas,659.0,6.0,6.0,5.0,06:03:02,21782.4,True,f,
1020,Simon BUSTAMANTE,EC,25,H,20-34M,,https://utmb.world/runner/4062591.simon.bustamante,679.0,7.0,7.0,6.0,06:10:42,22242.69,True,f,
1004,Ruben Dario IZQUIERDO IZQUIERDO,CO,54,H,50-54M,Team mountain 4x4,https://utmb.world/runner/4250097.rubendario.izquierdo,732.0,8.0,8.0,1.0,06:13:39,22419.8,True,f,
1507,Juan Fernando VALENZUELA MONTUFAR,EC,35,H,20-34M,LA MANADA,https://utmb.world/runner/2626797.juanfernando.valenzuelamontufar,672.0,9.0,9.0,7.0,06:16:10,22570.32,True,f,
1029,Byron Ernesto VILLAGÓMEZ MONCAYO,EC,40,H,35-39M,Haru-Soda,https://utmb.world/runner/4220233.byronernesto.villagomezmoncayo,646.0,10.0,10.0,2.0,06:18:33,22713.58,True,f,
1031,Paul ESPINOZA,EC,38,H,35-39M,Ecuadorun,https://utmb.world/runner/810196.paul.espinoza,642.0,11.0,11.0,3.0,06:24:55,23095.29,True,f,
1009,Gustavo VENEGAS,EC,29,H,20-34M,,https://utmb.world/runner/4126002.gustavo.venegas,685.0,12.0,12.0,8.0,06:26:55,23215.98,True,f,
1011,Rommel Stalyn SÁNCHEZ QUIMBIAMBA,EC,30,H,20-34M,SIN LIMITES,https://utmb.world/runner/676606.rommelstalyn.sanchezquimbiamba,742.0,13.0,13.0,9.0,06:33:33,23613.22,True,f,
