# Race: Unknown
# Distance: 77 km
# D+: 4400 m
# D-: 4400 m
# Date: 2025-08-02
# URL: https://live.utmb.world/quitobyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1,Joaquin LOPEZ,EC,33,H,20-34M,Kailas Fuga,https://utmb.world/runner/243895.joaquin.lopez,887.0,1.0,1.0,1.0,08:07:34,29254.48,True,f,
2,Remigio HUAMAN QUISPE,PE,42,H,40-44M,ADIDAS TERREX,https://utmb.world/runner/879725.remigio.huamanquispe,873.0,2.0,2.0,1.0,08:37:57,31077.97,True,f,
5,Marcelo OLIVO,EC,31,H,20-34M,Adidas Terrex,https://utmb.world/runner/4448932.marcelo.olivo,752.0,3.0,3.0,2.0,08:57:00,32220.14,True,f,
4,Emerson TRUJILLO FLORES,PE,44,H,40-44M,The North Face Perú,https://utmb.world/runner/392237.emerson.trujilloflores,767.0,4.0,4.0,2.0,09:09:47,32987.05,True,f,
7,Kevin AGUIAR,EC,28,H,20-34M,Ninguno,https://utmb.world/runner/4306856.kevin.aguiar,744.0,5.0,5.0,3.0,10:10:39,36639.11,True,f,
18,Carlos AGUIRRE,EC,37,H,35-39M,Sin Límites,https://utmb.world/runner/4324542.carlos.aguirre,640.0,6.0,6.0,1.0,10:22:35,37355.56,True,f,
49,Rommel Antonio RIOFRIO MIRANDA,EC,39,H,35-39M,FEDEME,https://utmb.world/runner/5254268.rommelantonio.riofriomiranda,542.0,7.0,7.0,2.0,10:31:06,37866.57,True,f,
12,Eduardo ILVAY,EC,44,H,40-44M,TASTYTOS,https://utmb.world/runner/2646083.eduardo.ilvay,663.0,8.0,8.0,3.0,10:38:10,38290.98,True,f,
31,Kevin Antonio MACAS CORAL,EC,26,H,20-34M,Team Mindo ,https://utmb.world/runner/5561315.kevinantonio.macascoral,592.0,9.0,9.0,4.0,10:40:07,38407.15,True,f,
30,Marcos Tulio FERNÁNDEZ GARCÍA,VE,39,H,35-39M,Ecuadoruns,https://utmb.world/runner/4978364.marcostulio.fernandezgarcia,592.0,10.0,10.0,3.0,10:44:00,38640.75,True,f,
10,Francisco Alcides VALLEJO BRAVO,EC,40,H,40-44M,,https://utmb.world/runner/4126007.franciscoalcides.vallejobravo,672.0,11.0,11.0,4.0,10:46:07,38767.9,True,f,
9,Johan VERMOT-DESROCHES,FR,31,H,20-34M,Riponne square club,https://utmb.world/runner/2122123.johan.vermotdesroches,676.0,12.0,12.0,5.0,10:49:39,38979.09,True,f,
6,Wilmer Joffre LOPEZ MUÑOZ,EC,51,H,50-54M,Independiente,https://utmb.world/runner/3707921.wilmerjoffre.lopezmunoz,744.0,13.0,13.0,1.0,10:54:00,39240.61,True,f,
25,Carlos CHICAIZA,EC,39,H,35-39M,Team premiar,https://utmb.world/runner/1103599.carlos.chicaiza,620.0,13.0,13.0,4.0,10:54:00,39240.73,True,f,
15,William Luciano PILLAJO CABRERA,EC,37,H,35-39M,KHRONO,https://utmb.world/runner/4380088.williamluciano.pillajocabrera,659.0,15.0,15.0,5.0,10:57:04,39424.97,True,f,
19,Segundo Luis DAMIÁN PLAZA,EC,47,H,45-49M,,https://utmb.world/runner/4833500.segundoluis.damianplaza,636.0,16.0,16.0,1.0,11:04:17,39857.27,True,f,
