# Race: Unknown
# Distance: 107.7 km
# D+: 7200 m
# D-: 7200 m
# Date: 2022-07-07
# URL: https://live.utmb.world/restonica/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2,Diego PAZOS,CH,41,H,M0 M,Compressport International,https://utmb.world/runner/42923.diego.pazos,820.0,2.0,2.0,1.0,17:40:27,63627.86,True,f,793.0
1,Noel GIORDANO,FR,28,H,SE M,A Paolina,https://utmb.world/runner/1941347.noel.giordano,820.0,2.0,2.0,1.0,17:40:27,63627.86,True,f,793.0
14,Thibaud LE COGUIC,FR,35,H,SE M,C.O.Porticcio,https://utmb.world/runner/584793.thibaud.lecoguic,753.0,4.0,4.0,2.0,18:00:53,64853.2,True,f,778.0
6,Frederic CALLIER,FR,41,H,M0 M,,https://utmb.world/runner/108633.frederic.callier,782.0,5.0,5.0,2.0,18:58:37,68317.0,True,f,739.0
22,Renaud JOLY,FR,40,H,M0 M,A FURMICULA/MARQUILIANI,https://utmb.world/runner/443126.renaud.joly,663.0,6.0,6.0,3.0,19:31:38,70298.65,True,f,718.0
8,Jacques GUIVARCH,FR,42,H,M0 M,,https://utmb.world/runner/1792417.jacques.guivarch,786.0,7.0,7.0,4.0,19:39:13,70753.23,True,f,713.0
11,Marc SOLE AMETLLER,ES,41,H,M0 M,C.E. CAMI DELS IBERS TRAIL RUNNING,https://utmb.world/runner/482520.marc.soleametller,758.0,10.0,10.0,6.0,21:19:14,76754.31,True,f,657.0
9,Fabian MAGNEE,BE,52,H,M2 M,Liège Pompiers Running Team,https://utmb.world/runner/187123.fabian.magnee,687.0,11.0,11.0,1.0,21:39:50,77990.46,True,f,647.0
35,Justin BIDAULT,FR,35,H,SE M,TEAM BERCI,https://utmb.world/runner/826609.justin.bidault,634.0,12.0,12.0,3.0,22:00:03,79203.77,True,f,637.0
46,Laurent LUCCIONI,FR,54,H,M3 M,Capra Lab ,https://utmb.world/runner/423006.laurent.luccioni,613.0,13.0,13.0,1.0,22:01:02,79262.33,True,f,637.0
13,Jérémie CRUAUD,FR,39,H,M0 M,,https://utmb.world/runner/313899.jeremie.cruaud,681.0,14.0,14.0,7.0,22:13:23,80003.58,True,f,631.0
243,Pierre ZUCCARELLI,FR,40,H,M0 M,Ghjirulatu / Sta Lucia di Mercoriu,https://utmb.world/runner/4472901.pierre.zuccarelli,,16.0,16.0,8.0,22:33:00,81180.7,True,f,622.0
20,Delphine AVENIER,FR,49,F,M2 F,chamonix mont blanc ,https://utmb.world/runner/73308.delphine.avenier,669.0,17.0,1.0,1.0,22:33:40,81220.94,True,f,621.0
29,Quentin DEUILLARD,FR,33,H,SE M,Molo l'ancien,https://utmb.world/runner/1928129.quentin.deuillard,,18.0,17.0,5.0,22:38:32,81512.13,True,f,619.0
30,Sébastien JACQUEMIN,FR,40,H,M0 M,Team EDF - CMCAS,https://utmb.world/runner/3240053.sebastien.jacquemin,654.0,19.0,18.0,9.0,22:39:50,81590.51,True,f,618.0
18,Yannick MATHEZ,CH,55,H,M3 M,Nendaz Trail Dynafit,https://utmb.world/runner/293694.yannick.mathez,686.0,19.0,18.0,2.0,22:39:50,81590.27,True,f,618.0
52,Anthony BRENEOL,FR,38,H,M0 M,Lanrivoare,https://utmb.world/runner/671323.anthony.breneol,631.0,21.0,20.0,10.0,22:40:29,81629.81,True,f,618.0
57,Étienne PAILLARD,FR,53,H,M3 M,Esac2a,https://utmb.world/runner/1036059.etienne.paillard,641.0,22.0,21.0,3.0,22:49:35,82175.98,True,f,614.0
253,Guillaume VIVO,FR,37,H,SE M,Gfca athlétisme - ligue contre le cancer,https://utmb.world/runner/4547827.guillaume.vivo,,24.0,23.0,6.0,23:47:44,85664.54,True,f,
92,Guillaume BAILLY,FR,44,H,M1 M,Les Échappés De Mélusine ,https://utmb.world/runner/677093.guillaume.bailly,572.0,25.0,24.0,4.0,24:02:52,86572.2,True,f,583.0
37,Jamie KILCOYNE,US,55,H,M3 M,,https://utmb.world/runner/62718.jamie.kilcoyne,613.0,26.0,25.0,4.0,24:21:01,87661.66,True,f,576.0
93,Laurent OLLU,FR,56,H,M3 M,S/L AC LA CHAPELLE SUR ERDRE,https://utmb.world/runner/39258.laurent.ollu,588.0,27.0,26.0,5.0,24:40:14,88814.23,True,f,568.0
12,Benoit CICERO,FR,41,H,M0 M,RMIND/GXT,https://utmb.world/runner/577939.benoit.cicero,714.0,29.0,28.0,11.0,24:58:31,89911.12,True,f,561.0
15,Tanguy EPALE,FR,49,H,M2 M,,https://utmb.world/runner/6669.tanguy.epale,699.0,30.0,29.0,2.0,25:02:38,90158.87,True,f,560.0
42,Pauline GAIDET,FR,33,F,SE F,CDS Meribel Sport Montagne,https://utmb.world/runner/1561213.pauline.gaidet,622.0,31.0,2.0,1.0,25:21:45,91305.52,True,f,553.0
102,Christophe FUSTIER,FR,37,H,SE M,Cabriès Trail Club ,https://utmb.world/runner/643975.christophe.fustier,646.0,33.0,31.0,7.0,25:38:30,92310.54,True,f,547.0
63,Angel MUÑOZ FERNANDEZ,ES,51,H,M2 M,ADI-IKE,https://utmb.world/runner/124781.angel.munozfernandez,610.0,35.0,33.0,3.0,26:10:24,94224.0,True,f,536.0
47,Rémi COURDE,FR,39,H,M0 M,,https://utmb.world/runner/707982.remi.courde,588.0,36.0,34.0,12.0,26:12:41,94361.19,True,f,535.0
59,Damien EUDES,FR,48,H,M2 M,,https://utmb.world/runner/332315.damien.eudes,575.0,37.0,35.0,4.0,26:20:43,94843.78,True,f,532.0
165,Julien FERLAY,FR,32,H,SE M,,https://utmb.world/runner/151292.julien.ferlay,582.0,39.0,37.0,9.0,26:32:43,95563.14,True,f,528.0
87,Yannick AUDUBERT,FR,54,H,M3 M,ASCEE 2A,https://utmb.world/runner/38134.yannick.audubert,532.0,40.0,38.0,9.0,26:41:40,96100.8,True,f,525.0
