# Race: Unknown
# Distance: 107.7 km
# D+: 7200 m
# D-: 7200 m
# Date: 2023-07-06
# URL: https://live.utmb.world/restonica/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
901, Restonica Trail,FR,2025,X,Mx,Restonica Trail,,732.0,1.0,1.0,1.0,14:07:58,50878.4,True,f,
920, MUNTAGNE CORSE,FR,2025,H,H,TEAM TAVIGNANU,,569.0,2.0,1.0,1.0,18:05:47,65147.62,True,f,
908, SQUADRA DI BELGUDE,FR,2025,H,H,SQUADRA DI BELGUDE,,527.0,3.0,2.0,2.0,19:43:39,71019.95,True,f,
921, I Figatelli,FR,2025,H,H,,,615.0,4.0,3.0,3.0,19:57:14,71834.79,True,f,
912, CRX/CHC,FR,2025,H,H,Corsica Run X Trem,,,5.0,4.0,4.0,20:08:08,72488.34,True,f,
906, Les Fragiles,FR,2025,X,Mx,Les Fragiles,,551.0,6.0,2.0,2.0,20:13:07,72787.24,True,f,
914, équipe EPS Lycée de Corte,FR,2025,X,Mx,,,570.0,7.0,3.0,3.0,20:44:58,74698.54,True,f,
916, Corsica Run X'Trem,FR,2025,H,H,Corsica Run X'Trem,,454.0,8.0,5.0,5.0,22:15:12,80112.23,True,f,
907, Totally Spies,FR,2025,F,F,,,431.0,9.0,1.0,1.0,23:28:20,84500.67,True,f,
919, sport in calvi,FR,2025,H,H,,,449.0,10.0,6.0,6.0,23:34:44,84884.3,True,f,
911, GR20 Le retour,FR,2025,H,H,"BDL Corti, Restonica Trail, A Bocca Corti, Proxynight Team",,472.0,11.0,7.0,7.0,23:38:15,85095.53,True,f,
917, EDF-CMCAS,FR,2025,X,Mx,EDF-CMCAS,,454.0,12.0,4.0,4.0,23:58:26,86306.19,True,f,
903, corsica team,FR,2025,X,Mx,,,501.0,13.0,5.0,5.0,24:51:45,89505.26,True,f,
918, Squadra Sculcaraccia,FR,2025,X,Mx,,,462.0,14.0,6.0,6.0,25:32:59,91979.39,True,f,
904, La meute en PLS,FR,2025,X,Mx,,,485.0,15.0,7.0,7.0,26:39:48,95988.22,True,f,
915, Elsa/Logan,FR,2025,X,Mx,AS Figarella,,463.0,16.0,8.0,8.0,26:59:34,97174.19,True,f,
905, RAC Trail,FR,2025,X,Mx,ROGNAC AC,,,17.0,9.0,9.0,28:57:49,104269.6,True,f,
913, Les Ratz,FR,2025,X,Mx,,,614.0,18.0,10.0,10.0,14:57:29,53849.0,False,a,
902, Team call-me,FR,2025,H,H,,,,19.0,8.0,8.0,15:29:43,54943.0,False,a,
910, L'arghjetu è i so masci,FR,2025,H,H,,,492.0,20.0,9.0,9.0,12:47:28,46048.0,False,a,
909, Bodart,FR,2025,H,H,,,507.0,,,,00:00:00,0.0,False,np,
