# Race: Unknown
# Distance: 107 km
# D+: 7200 m
# D-: 7200 m
# Date: 2024-07-04
# URL: https://live.utmb.world/restonica/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
910, A Suareddesa/GFCA,FR,2025,H,H,La Suarellaise,,700.0,1.0,1.0,1.0,14:46:44,53204.405999999995,True,f,
912, I Figatelli,FR,2025,H,H,,,502.0,2.0,2.0,2.0,18:18:54,65934.591,True,f,
917, I CURTINESI,FR,2025,X,Mx,,,573.0,3.0,1.0,1.0,18:28:58,66538.613,True,f,
907, Les Fragiles,FR,2025,H,H,Les Fragiles,,584.0,4.0,3.0,3.0,19:54:51,71691.56599999999,True,f,
913, Paki et ses drôles de Dames,FR,2025,X,Mx,À SANTAMARIACCIA,,423.0,5.0,2.0,2.0,21:09:59,76199.243,True,f,
901, Les Gispets,FR,2025,H,H,Les Gispets,,638.0,6.0,4.0,4.0,21:31:22,77482.38,True,f,
919, AS Mai Peghju,FR,2025,H,H,AS Mai Peghju,,,7.0,5.0,5.0,21:41:11,78071.075,True,f,
918, Corsica Run X'Trem,FR,2025,H,H,Corsica Run X'Trem,,,8.0,6.0,6.0,22:01:12,79272.071,True,f,
915, Les 4 fantastiques,FR,2025,X,Mx,Les 4 fantastiques,,520.0,9.0,3.0,3.0,22:52:50,82370.789,True,f,
909, les ours,FR,2025,H,H,les ours,,433.0,10.0,7.0,7.0,23:10:04,83404.538,True,f,
916, LES BOBBIES,FR,2025,H,H,les bobbies,,441.0,11.0,8.0,8.0,23:47:33,85653.98,True,f,
911, Les Traileurs cabossés,FR,2025,X,Mx,COP Club Omnisports Porticcio,,521.0,12.0,4.0,4.0,24:42:14,88934.201,True,f,
914, CE F3CORSE VIASTELLA,FR,2025,H,H,CE F3CORSE VIASTELLA,,459.0,13.0,9.0,9.0,24:46:29,89189.98,True,f,
905, Team Destas by Cltraining,FR,2025,H,H,,,438.0,14.0,10.0,10.0,25:09:52,90592.07199999999,True,f,
908, TEAM POSA,FR,2025,H,H,TEAM POSA,,,15.0,11.0,11.0,28:08:21,101301.985,True,f,
904, Montmartre Calvi,FR,2025,X,Mx,,,379.0,16.0,5.0,5.0,28:51:01,103861.57199999999,True,f,
903, NOPITY!,FR,2025,F,F,NOPITY!,,430.0,17.0,1.0,1.0,30:03:15,108195.788,True,f,
906, Allez là,FR,2025,X,Mx,,,420.0,18.0,6.0,6.0,17:13:30,61502.6,False,a,
902, Spenghjifochi di Vicu,FR,2025,H,H,Spenghjifochi di Vicu,,411.0,,,,00:00:00,0.0,False,np,
