# Race: Unknown
# Distance: 23 km
# D+: 400 m
# D-: 400 m
# Date: 2025-02-14
# URL: https://live.utmb.world/tarawera/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
8090,Joe STEWARD,NZ,29,H,20-34M,,https://utmb.world/runner/2595111.joe.steward,872.0,1.0,1.0,1.0,01:18:47,4726.541,True,f,
7422,Benjamin OTIS,US,25,H,20-34M,,https://utmb.world/runner/6501215.benjamin.otis,,2.0,2.0,2.0,01:19:28,4767.75,True,f,
7917,Case THORBY,NZ,21,H,20-34M,,https://utmb.world/runner/6923489.case.thorby,,4.0,4.0,4.0,01:19:52,4791.207,True,f,
7869,Mike ROBINSON,NZ,40,H,40-44M,,https://utmb.world/runner/4971634.mike.robinson,752.0,5.0,5.0,1.0,01:25:52,5151.701,True,f,
8178,Regan BONES,NZ,33,H,20-34M,,https://utmb.world/runner/5738577.regan.bones,659.0,6.0,6.0,5.0,01:28:05,5284.62,True,f,
7983,Seamus KELLY,NZ,24,H,20-34M,,https://utmb.world/runner/4970028.seamus.kelly,690.0,7.0,7.0,6.0,01:28:46,5326.1990000000005,True,f,
8151,Simon THOMPSON,AU,48,H,45-49M,,https://utmb.world/runner/6967317.simon.thompson,,8.0,8.0,1.0,01:28:57,5336.898,True,f,
7951,Steve MORROW,NZ,51,H,50-54M,,https://utmb.world/runner/4971642.steve.morrow,709.0,9.0,9.0,1.0,01:34:20,5659.8369999999995,True,f,
7172,Macs GREEN,NZ,19,H,18-19M,,https://utmb.world/runner/5509427.macs.green,638.0,10.0,10.0,1.0,01:35:08,5708.049,True,f,
7776,Jessie SPEEDY,NZ,27,F,20-34W,,https://utmb.world/runner/5977441.jessie.speedy,,11.0,1.0,1.0,01:35:21,5721.434,True,f,
7050,Ken VAZEY,NZ,43,H,40-44M,,https://utmb.world/runner/5591209.ken.vazey,612.0,12.0,11.0,2.0,01:37:08,5828.326,True,f,
7580,Matthew SLIGHT,NZ,37,H,35-39M,,https://utmb.world/runner/6701879.matthew.slight,,13.0,12.0,1.0,01:37:42,5861.116999999999,True,f,
8089,Phillipa WILLIAMS,NZ,32,F,20-34W,,https://utmb.world/runner/3709137.phillipa.williams,697.0,14.0,2.0,2.0,01:37:54,5874.04,True,f,
8035,Connor JOHNSTON,NZ,24,H,20-34M,,https://utmb.world/runner/6949675.connor.johnston,,15.0,13.0,7.0,01:37:59,5878.946999999999,True,f,
7889,Shaun MOCHAN,GB,36,H,35-39M,,https://utmb.world/runner/6912059.shaun.mochan,,15.0,13.0,2.0,01:37:59,5879.41,True,f,
8019,Dion GUEST,NZ,35,H,35-39M,,https://utmb.world/runner/4969798.dion.guest,560.0,17.0,15.0,3.0,01:38:38,5918.465,True,f,
7496,Steve JUIGNET,FR,40,H,40-44M,,https://utmb.world/runner/4987962.steve.juignet,,18.0,16.0,3.0,01:39:28,5968.335999999999,True,f,
7615,Shelly SCHENK,CH,25,F,20-34W,,https://utmb.world/runner/2087143.shelly.schenk,668.0,19.0,3.0,3.0,01:40:15,6015.834,True,f,
7528,Liam DINE,NZ,29,H,20-34M,,https://utmb.world/runner/6734325.liam.dine,,20.0,17.0,8.0,01:41:49,6108.988,True,f,
7705,Braden LAWSON,NZ,31,H,20-34M,,https://utmb.world/runner/6789139.braden.lawson,,21.0,18.0,9.0,01:42:57,6176.731,True,f,
8262,Stuart BUTCHER,AU,45,H,45-49M,,https://utmb.world/runner/2337313.stuart.butcher,,22.0,19.0,2.0,01:43:25,6205.845,True,f,
7535,Alistair RICHARDSON,NZ,32,H,20-34M,,https://utmb.world/runner/5908896.alistair.richardson,622.0,23.0,20.0,10.0,01:43:56,6235.486,True,f,
8043,Pierre FLORENT,FR,26,H,20-34M,,https://utmb.world/runner/4314160.pierre.florent,629.0,24.0,21.0,11.0,01:44:09,6249.267,True,f,
7588,James SPENCE,NZ,42,H,40-44M,,https://utmb.world/runner/408673.james.spence,606.0,25.0,22.0,4.0,01:44:23,6263.084,True,f,
8228,Jack WALLIS,KP,31,H,20-34M,,https://utmb.world/runner/6980983.jack.wallis,,26.0,23.0,12.0,01:45:13,6313.314,True,f,
8215,Luis BARROSO-LUQUE,MX,34,H,20-34M,,https://utmb.world/runner/6979263.luis.barrosoluque,,27.0,24.0,13.0,01:45:16,6316.68,True,f,
8140,Théo AUBRY,FR,28,H,20-34M,,https://utmb.world/runner/5690466.theo.aubry,,28.0,25.0,14.0,01:45:58,6357.41,True,f,
7465,Dylan HUGO,AU,30,H,20-34M,,https://utmb.world/runner/6429548.dylan.hugo,572.0,29.0,26.0,15.0,01:46:13,6372.6669999999995,True,f,
7081,Mauricio TORRES TOLEDO,CL,31,H,20-34M,,https://utmb.world/runner/6228277.mauricio.torrestoledo,566.0,30.0,27.0,16.0,01:46:36,6396.816999999999,True,f,
7261,Reuben TOMLINSON,NZ,46,H,45-49M,,https://utmb.world/runner/6405869.reuben.tomlinson,,31.0,28.0,3.0,01:47:05,6424.791,True,f,
8231,Julian SMITH,NZ,28,H,20-34M,,https://utmb.world/runner/5445395.julian.smith,576.0,32.0,29.0,17.0,01:47:13,6433.642,True,f,
7879,Anthony GRASSINEAU,FR,30,H,20-34M,,https://utmb.world/runner/6909061.anthony.grassineau,,33.0,30.0,18.0,01:47:25,6445.309,True,f,
8220,Seth HERBERT,NZ,24,H,20-34M,,https://utmb.world/runner/4971712.seth.herbert,621.0,34.0,31.0,19.0,01:47:31,6450.919,True,f,
7795,Jack SHOUAIB,GB,29,H,20-34M,,https://utmb.world/runner/6840063.jack.shouaib,,35.0,32.0,20.0,01:47:36,6456.05,True,f,
7793,John BOWE,NZ,53,H,50-54M,,https://utmb.world/runner/6839425.john.bowe,,36.0,33.0,2.0,01:47:55,6474.976,True,f,
7991,Ashlee NELSON,US,45,F,45-49W,,https://utmb.world/runner/6941515.ashlee.nelson,,37.0,4.0,1.0,01:48:04,6484.047,True,f,
7833,Anna WILLIAMS,NZ,36,F,35-39W,,https://utmb.world/runner/4970100.anna.williams,553.0,38.0,5.0,1.0,01:49:08,6548.423000000001,True,f,
7443,David HOSKING,NZ,58,H,55-59M,,https://utmb.world/runner/430192.david.hosking,625.0,39.0,34.0,1.0,01:49:34,6574.291,True,f,
8257,Karl HEWETT,AU,38,H,35-39M,,https://utmb.world/runner/5984397.karl.hewett,571.0,39.0,34.0,4.0,01:49:34,6573.8330000000005,True,f,
