# Race: Unknown
# Distance: 47 km
# D+: 2600 m
# D-: 2600 m
# Date: 2025-03-29
# URL: https://live.utmb.world/tenerifebyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2013,Marcin KUBICA,PL,26,H,20-34M,Salomon Team Poland,https://utmb.world/runner/3057019.marcin.kubica,863.0,1.0,1.0,1.0,03:49:08,13748.08,True,f,
2003,Yoel DE PAZ BAEZA,ES,27,H,20-34M,WILDTRAILPROJECT,https://utmb.world/runner/630950.yoel.depazbaeza,894.0,2.0,2.0,2.0,03:50:35,13835.63,True,f,
2018,Pablo BAUTISTA ROVIRA,ES,31,H,20-34M,JOMA TRAIL,https://utmb.world/runner/3796237.pablo.bautistarovira,854.0,3.0,3.0,3.0,03:51:17,13877.32,True,f,
2010,Dominik TABOR,PL,30,H,20-34M,Hoka Garmin Team,https://utmb.world/runner/5144077.dominik.tabor,868.0,4.0,4.0,4.0,03:51:35,13895.01,True,f,
2005,Aritz EGEA CACERES,ES,41,H,40-44M,Domusa Teknik - Lana Team,https://utmb.world/runner/13261.aritz.egeacaceres,882.0,5.0,5.0,1.0,03:54:34,14074.03,True,f,
2002,Lorenzo BELTRAMI,IT,30,H,20-34M,Team RockExperience/Scarpa,https://utmb.world/runner/2396325.lorenzo.beltrami,898.0,6.0,6.0,5.0,03:54:58,14098.94,True,f,
2020,Andres GARCIA BLANCO,ES,33,H,20-34M,FYE- Suunto,https://utmb.world/runner/411993.andres.garciablanco,849.0,7.0,7.0,6.0,03:57:40,14260.53,True,f,
2001,Roberto DELORENZI,CH,28,H,20-34M,Brooks Trail Runners,https://utmb.world/runner/714354.roberto.delorenzi,927.0,8.0,8.0,7.0,04:00:44,14444.31,True,f,
2023,Josep MIRET,ES,24,H,20-34M,WILDTRAILPROJECT,https://utmb.world/runner/3136961.josep.miret,836.0,9.0,9.0,8.0,04:01:33,14493.95,True,f,
2025,Alvaro ESCUELA PERDOMO,ES,32,H,20-34M,Arista Pro Team,https://utmb.world/runner/1421905.alvaro.escuelaperdomo,835.0,10.0,10.0,9.0,04:02:28,14548.41,True,f,
2040,Samuel PONCE,AD,34,H,20-34M,JPS,https://utmb.world/runner/5646116.samuel.ponce,817.0,11.0,11.0,10.0,04:03:54,14634.14,True,f,
