# Race: TORRENCIAL CHILE by UTMB 2025 - 50K
# Distance: 53 km
# D+: 1600 m
# D-: 1600 m
# Date: 2025-06-21
# URL: https://live.utmb.world/torrencialbyutmb/2025
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
796,Luis VALLE B,CL,36,H,35-39M,Atletico Caleu,https://utmb.world/runner/487396.luis.vallebarrientos,763.0,1.0,1.0,1.0,04:40:54,16854.413,True,f,
301,Sergio Gustavo PEREYRA,AR,31,H,20-34M,,https://utmb.world/runner/439612.sergiogustavo.pereyra,854.0,2.0,2.0,1.0,04:50:50,17450.479,True,f,
724,Josue PUMACAYO,PE,27,H,20-34M,PERU TRAIL LAB,https://utmb.world/runner/6979027.josue.pumacayo,779.0,3.0,3.0,2.0,04:54:01,17641.0,True,f,
313,Matías BARROS,CL,34,H,20-34M,Trimps/Huellas,https://utmb.world/runner/2653499.matias.barros,752.0,4.0,4.0,3.0,04:55:47,17747.839,True,f,
312,Genaro CRISOSTOMO,AR,33,H,20-34M,Patagonia Mountain Collective// Momentum Patagonia,https://utmb.world/runner/2630733.genaro.crisostomo,758.0,5.0,5.0,4.0,04:57:21,17841.198,True,f,
309,Franco PAREDES REYES,AR,29,H,20-34M,MANTTRA SPORT,https://utmb.world/runner/880561.franco.paredesreyes,784.0,6.0,6.0,5.0,05:00:42,18042.0,True,f,
333,Santiago Tomas VALLEJOS,AR,34,H,20-34M,MITOCONDRIAS,https://utmb.world/runner/5756838.santiagotomas.vallejos,659.0,7.0,7.0,6.0,05:04:22,18262.668,True,f,
293,Facundo SCAGLIA,UY,32,H,20-34M,,https://utmb.world/runner/4988515.facundo.scagliavarela,626.0,8.0,8.0,7.0,05:07:42,18462.138,True,f,
315,Jorge VERA,CL,36,H,35-39M,Trimps,https://utmb.world/runner/1284579.jorge.vera,723.0,9.0,9.0,2.0,05:08:52,18532.577,True,f,
318,Andres SANHUEZA PIZARRO,CL,33,H,20-34M,Origenes,https://utmb.world/runner/5192405.andres.sanhuezapizarro,696.0,10.0,10.0,8.0,05:09:09,18549.436,True,f,
317,Diego CRUCES,CL,37,H,35-39M,Huellas,https://utmb.world/runner/4753816.diego.cruces,701.0,11.0,11.0,3.0,05:14:57,18897.197,True,f,
652,Criatobal COLLIPAL,CL,32,H,20-34M,Nawelkura,https://utmb.world/runner/6910489.cristobal.collipal,,12.0,12.0,9.0,05:15:33,18933.738,True,f,
316,Luis SOTO,CL,39,H,35-39M,Merrell cads Equipo Aventura,https://utmb.world/runner/944277.luis.soto,702.0,13.0,13.0,4.0,05:19:18,19158.648,True,f,
321,Gonzalo CABALLERO,UY,41,H,40-44M,Cerro trail,https://utmb.world/runner/3537079.gonzalo.caballero,680.0,14.0,14.0,1.0,05:22:04,19324.671,True,f,
320,Martin Ariel CESPEDES,AR,32,H,20-34M,Hernán Ogas Team,https://utmb.world/runner/1784351.martinariel.cespedes,685.0,15.0,15.0,10.0,05:33:56,20036.204,True,f,
304,Leida DIAZ CHAVEZ,PE,29,F,20-34W,HOKA PERU,https://utmb.world/runner/5819460.leida.diazchavez,618.0,16.0,1.0,1.0,05:34:54,20094.435,True,f,
328,Jorge Royer SANTIVAÑEZ,AR,39,H,35-39M,PLOTTEAM,https://utmb.world/runner/6335584.jorgeroyer.santivanez,658.0,17.0,16.0,5.0,05:38:44,20324.805,True,f,
307,Ezequiel Alexis PAULUZAK,AR,40,H,40-44M,Pauluzak Trail Running Team,https://utmb.world/runner/378215.ezequielalexis.pauluzak,791.0,18.0,17.0,2.0,05:39:34,20374.933,True,f,
327,Javier TORRES,CL,33,H,20-34M,ÁPEX,https://utmb.world/runner/3809005.javier.torres,645.0,19.0,18.0,11.0,05:42:56,20576.023,True,f,
325,Yohany MELIÁN,CL,27,H,20-34M,Sin equipo,https://utmb.world/runner/1284581.yohany.melian,664.0,20.0,19.0,12.0,05:45:50,20750.593,True,f,
323,Victor PEREZ,CL,37,H,35-39M,Newen runner,https://utmb.world/runner/3790281.victor.perez,673.0,21.0,20.0,6.0,05:46:44,20804.593,True,f,
795,Lester RODRIGUEZ,CL,35,H,35-39M,Asmar,https://utmb.world/runner/5837898.lester.rodriguez,647.0,22.0,21.0,7.0,05:52:48,21168.25,True,f,
655,Diego MARÍN,CL,34,H,20-34M,Club Sutrail,https://utmb.world/runner/3302669.diego.marin,,23.0,22.0,13.0,05:57:12,21432.731,True,f,
649,Benjamin VARGAS PINO,CL,35,H,35-39M,H&L,https://utmb.world/runner/6910475.benjamin.vargaspino,,24.0,23.0,8.0,05:58:33,21513.46,True,f,
319,Daniel ALLENDE,CL,28,H,20-34M,EL rebaño,https://utmb.world/runner/5845353.daniel.allende,692.0,25.0,24.0,14.0,05:58:50,21530.08,True,f,
302,Leonor CALVO,CL,29,F,20-34W,GREYHOUND,https://utmb.world/runner/4504536.leonor.calvo,622.0,26.0,2.0,2.0,06:01:03,21663.52,True,f,
308,Katherine CAÑETE,CL,41,F,40-44W,Mustangos Trail Running /Adidas Terrex Chile,https://utmb.world/runner/694832.katherine.canete,594.0,27.0,3.0,1.0,06:04:44,21884.291,True,f,
363,Nicolás POBLETE,CL,36,H,35-39M,Coros Chile,https://utmb.world/runner/5800768.nicolas.poblete,572.0,28.0,25.0,9.0,06:05:41,21941.261,True,f,
720,Facundo PESSACG,AR,35,H,35-39M,BRC,https://utmb.world/runner/6979015.facundo.pessacg,,29.0,26.0,10.0,06:08:42,22122.0,True,f,
340,Aaron PAZ,CL,32,H,20-34M,Mision es vida,https://utmb.world/runner/4753338.aaron.paz,612.0,30.0,27.0,15.0,06:09:57,22197.88,True,f,
353,Facundo MEDRANO,AR,47,H,45-49M,turco nimmer,https://utmb.world/runner/1309447.facundo.medrano,585.0,30.0,27.0,1.0,06:09:57,22197.7,True,f,
337,Marcelo ARIAS MASSA,CL,43,H,40-44M,Mañanas,https://utmb.world/runner/362518.marcelo.ariasmassa,614.0,32.0,29.0,3.0,06:11:05,22265.08,True,f,
339,Carlos Mauricio RIVAS ALVEAR,CL,40,H,40-44M,PUREN TRAIL RUNNRES,https://utmb.world/runner/2332081.carlosmauricio.rivasalvear,610.0,33.0,30.0,4.0,06:12:22,22342.48,True,f,
380,Brady LILJEMARK,CL,48,H,45-49M,Trailers Puertecillo & Co.,https://utmb.world/runner/5556168.brady.liljemark,552.0,34.0,31.0,2.0,06:12:35,22355.951,True,f,
344,Diego TAGGART,CL,39,H,35-39M,Primer Umbral,https://utmb.world/runner/5556166.diego.taggart,600.0,35.0,32.0,11.0,06:13:02,22382.289,True,f,
343,Marlon LABRA,CL,37,H,35-39M,3 Runners,https://utmb.world/runner/1675517.marlon.labra,603.0,36.0,33.0,12.0,06:14:36,22476.91,True,f,
345,Javier CÁCERES,CL,44,H,40-44M,Punta barco,https://utmb.world/runner/5862390.javier.caceres,598.0,37.0,34.0,5.0,06:14:59,22499.019,True,f,
338,Jesús MARTINEZ,CL,47,H,45-49M,Primer Umbral,https://utmb.world/runner/1934299.jesus.martinez,620.0,38.0,35.0,3.0,06:17:19,22639.389,True,f,
364,Jean Paul VEAS FLORES,CL,48,H,45-49M,KRunners Team,https://utmb.world/runner/4744896.jeanpaul.veasflores,573.0,39.0,36.0,4.0,06:17:28,22648.511,True,f,
408,Jose ZUMELZU,CL,36,H,35-39M,Trail Running Talca,https://utmb.world/runner/6132896.jose.zumelzu,545.0,40.0,37.0,13.0,06:18:08,22688.469,True,f,
792,Marcelo Eduardo ORTIZ OYARZO,CL,28,H,20-34M,Control Sport,https://utmb.world/runner/6000030.marceloeduardo.ortizoyarzo,589.0,41.0,38.0,16.0,06:18:50,22730.379,True,f,
352,Joaquín Pelayo CÁCERES FUENZALIDA,CL,41,H,40-44M,Punta Barco,https://utmb.world/runner/5862394.joaquinpelayo.caceresfuenzalida,619.0,42.0,39.0,6.0,06:19:34,22774.508,True,f,
357,Federico SCOTTO,AR,32,H,20-34M,Nadalez Team,https://utmb.world/runner/4340120.federico.scotto,578.0,43.0,40.0,17.0,06:22:59,22979.318,True,f,
775,Carolina Tania DIAZ ESTEVEZ,AR,46,F,45-49W,Nadalez team,https://utmb.world/runner/200974.carolinatania.diazestevez,635.0,44.0,4.0,1.0,06:23:02,22982.079,True,f,
326,Natanael Esteban CORTÉS LIRA,CL,28,H,20-34M,Pelados Team,https://utmb.world/runner/4231605.natanaelesteban.corteslira,664.0,45.0,41.0,18.0,06:23:17,22997.018,True,f,
798,Gonzalo NÚÑEZ,CL,34,H,20-34M,TERRACHILEXPEDITION,https://utmb.world/runner/6297308.gonzalo.nunez,603.0,45.0,41.0,18.0,06:23:17,22997.379,True,f,
654,Nicolás MARIN,CL,30,H,20-34M,Malvekes,https://utmb.world/runner/6910497.nicolas.marin,,47.0,43.0,20.0,06:23:49,23029.268,True,f,
334,Carlos Javier DÍAZ MANCILLA,CL,32,H,20-34M,Club de Montaña D' Agostini,https://utmb.world/runner/5579688.carlosjavier.diazmancilla,628.0,48.0,44.0,21.0,06:23:59,23039.378,True,f,
362,Jean Michel ASPEE ASQUET,CL,34,H,20-34M,Atletico Rumbo Runners,https://utmb.world/runner/4744874.jeanmichel.aspeeasquet,588.0,49.0,45.0,22.0,06:27:39,23259.006,True,f,
663,Alberto INOSTROZA,CL,36,H,35-39M,,https://utmb.world/runner/6890518.alberto.inostroza,461.0,50.0,46.0,14.0,06:27:51,23271.156,True,f,
331,Augusto BABINI,AR,42,H,40-44M,,https://utmb.world/runner/912371.augusto.babini,632.0,51.0,47.0,7.0,06:28:35,23315.047,True,f,
350,Bianca DOMINGUEZ,AR,25,F,20-34W,GDE,https://utmb.world/runner/4506470.bianca.dominguez,646.0,52.0,5.0,3.0,06:32:21,23541.0,True,f,
330,Matias CRAIA,AR,37,H,35-39M,Gdentrenamientos,https://utmb.world/runner/1280421.matias.craia,638.0,53.0,48.0,15.0,06:35:58,23758.624,True,f,
399,Eduardo CARDENAS,CL,37,H,35-39M,Club SUTRAIL,https://utmb.world/runner/6297040.eduardo.cardenas,532.0,54.0,49.0,16.0,06:36:35,23795.974,True,f,
398,Joaquin DUSSAILLANT,CL,36,H,35-39M,,https://utmb.world/runner/5797594.joaquin.dussaillant,532.0,55.0,50.0,17.0,06:37:08,23828.553,True,f,
306,Magdalena TORRES,CL,31,F,20-34W,Entrenar Bien,https://utmb.world/runner/5282324.magdalena.torres,595.0,56.0,6.0,4.0,06:37:55,23875.953,True,f,
329,Andrés Alejandro TORRES SANDOVAL,CL,32,H,20-34M,Chilekenya,https://utmb.world/runner/2464149.andresalejandro.torressandoval,635.0,57.0,51.0,23.0,06:41:04,24064.891,True,f,
341,Francisco COSI,PE,33,H,20-34M,Indenpendiente,https://utmb.world/runner/3256929.francisco.cosi,604.0,58.0,52.0,24.0,06:41:30,24090.661,True,f,
404,Maximiliano CHALE,AR,35,H,35-39M,BRC RUNNING TEAM,https://utmb.world/runner/756539.maximiliano.chale,579.0,59.0,53.0,18.0,06:43:45,24225.84,True,f,
372,Luis Miguel RUEDA LOPEZ,AR,37,H,35-39M,EPO,https://utmb.world/runner/5008711.luismiguel.ruedalopez,564.0,60.0,54.0,19.0,06:44:41,24281.34,True,f,
737,Mariana LEAL,CL,41,F,40-44W,Huellas Trail,https://utmb.world/runner/4755910.mariana.leal,582.0,61.0,7.0,2.0,06:44:51,24291.72,True,f,
351,Vladimir CERDA CONTRERAS,CL,34,H,20-34M,Mountain Running Co,https://utmb.world/runner/5797694.vladimir.cerdacontreras,602.0,62.0,55.0,25.0,06:46:30,24390.151,True,f,
785,Cristian DEPPE,CL,39,H,35-39M,Vert.Run,https://utmb.world/runner/4613295.cristian.deppe,590.0,63.0,56.0,20.0,06:50:33,24633.3,True,f,
746,Cristhofer ALVAREZ,CL,33,H,20-34M,Correkmigos,https://utmb.world/runner/6878062.cristhofer.alvarez,486.0,64.0,57.0,26.0,06:50:36,24636.418,True,f,
424,Marcial GONZALEZ,CL,38,H,35-39M,Bucle,https://utmb.world/runner/4936584.marcial.gonzalez,510.0,65.0,58.0,21.0,06:51:22,24682.77,True,f,
389,Ricardo ABURTO,CL,41,H,40-44M,Bucle,https://utmb.world/runner/6296942.ricardo.aburto,544.0,66.0,59.0,8.0,06:51:23,24683.369,True,f,
388,Pedro DE TEZANOS PINTO,CL,38,H,35-39M,Bucle,https://utmb.world/runner/6296940.pedro.detezanospinto,544.0,67.0,60.0,22.0,06:51:27,24687.6,True,f,
640,Martin AMIGO,CL,28,H,20-34M,TR SUMMIT,https://utmb.world/runner/6910487.martin.amigo,,68.0,61.0,27.0,06:51:51,24711.819,True,f,
365,Fernando FULLOLA,CL,35,H,35-39M,—,https://utmb.world/runner/3520451.fernando.fullola,572.0,69.0,62.0,23.0,06:56:47,25007.188,True,f,
332,Jules NAVARRO,FR,35,H,35-39M,,https://utmb.world/runner/5285978.jules.navarro,577.0,70.0,63.0,24.0,06:56:50,25010.58,True,f,
691,Vicente RUIZ,CL,28,H,20-34M,MLVKS,https://utmb.world/runner/6910523.vicente.ruiz,,71.0,64.0,28.0,06:58:32,25112.489,True,f,
762,Iñaki ARRIVILLAGA,CL,38,H,35-39M,RUNNIT,https://utmb.world/runner/7240053.inaki.arrivillaga,,72.0,65.0,25.0,07:01:05,25265.28,True,f,
360,Nicolas LAGOS,CL,30,H,20-34M,Parsifal,https://utmb.world/runner/6128892.nicolas.lagos,605.0,73.0,66.0,29.0,07:06:02,25562.579,True,f,
376,Nicole ROSTAN,AR,30,F,20-34W,GR,https://utmb.world/runner/4929978.nicole.rostan,558.0,74.0,8.0,5.0,07:08:07,25687.528,True,f,
742,Dario ULLOA GOMEZ,CL,35,H,35-39M,Magallanes Trail Runners,https://utmb.world/runner/5579810.dario.ulloagomez,560.0,75.0,67.0,26.0,07:08:46,25726.559,True,f,
756,Kevin Guillermo LEWIS RUIZ,CL,37,H,35-39M,,https://utmb.world/runner/6478139.kevinguillermo.lewisruiz,,76.0,68.0,27.0,07:08:47,25727.519,True,f,
346,Ricardo FISCH,AR,34,H,20-34M,Keep moving trail running team,https://utmb.world/runner/5907406.ricardo.fisch,615.0,77.0,69.0,30.0,07:08:52,25732.348,True,f,
336,Alfonso AGUILAR,AR,40,H,40-44M,Saga Tranining lab,https://utmb.world/runner/3580069.alfonso.aguilar,622.0,78.0,70.0,9.0,07:10:15,25815.028,True,f,
593,Sebastian Gabriel VIVAR VERGARA,CL,23,H,20-34M,No Team,https://utmb.world/runner/6297290.sebastiangabriel.vivarvergara,504.0,79.0,71.0,31.0,07:13:22,26002.948,True,f,
766,Daniela DAVANZO,CL,33,F,20-34W,Parsifal Training,https://utmb.world/runner/757423.daniela.davanzo,,80.0,9.0,6.0,07:13:29,26009.308,True,f,
675,Benjamin LAZO,CL,35,H,35-39M,mustangos,https://utmb.world/runner/6910513.benjamin.lazo,,81.0,72.0,28.0,07:15:54,26154.717,True,f,
710,Federici MACHUCA,AR,29,H,20-34M,RATeam,https://utmb.world/runner/7240043.federici.machuca,,82.0,73.0,32.0,07:16:20,26180.608,True,f,
456,Catalina CERDA PUGA,CL,39,F,35-39W,Mountain Running,https://utmb.world/runner/6001454.catalina.cerdapuga,484.0,83.0,10.0,1.0,07:20:40,26440.526,True,f,
696,Claudio BREVIS IBARRA,CL,30,H,20-34M,Particular,https://utmb.world/runner/6910531.claudio.brevisibarra,,84.0,74.0,33.0,07:20:49,26449.946,True,f,
348,Carlos MALASPINA,PE,41,H,40-44M,PERU TRAIL LAB,https://utmb.world/runner/3291325.carlos.malaspina,593.0,85.0,75.0,10.0,07:23:07,26587.106,True,f,
634,Jonathan Arturo LOPEZ TRONCOSO,CL,37,H,35-39M,GRT,https://utmb.world/runner/5966134.jonathanarturo.lopeztroncoso,518.0,86.0,76.0,29.0,07:25:51,26751.327,True,f,
523,Francisco DE LA FUENTE,CL,35,H,35-39M,,https://utmb.world/runner/5838114.francisco.delafuente,434.0,87.0,77.0,30.0,07:26:03,26763.086,True,f,
368,Nicolas RODRIGUEZ CARRASCO,CL,28,H,20-34M,Entrenar Bien,https://utmb.world/runner/5556116.nicolas.rodriguezcarrasco,624.0,88.0,78.0,34.0,07:26:34,26794.407,True,f,
750,Cristofher Nicolas GUZMÁN FUENTES,CL,33,H,20-34M,Individual,https://utmb.world/runner/7240075.cristofhernicolas.guzmanfuentes,,89.0,79.0,35.0,07:27:22,26842.917,True,f,
471,Sergio PINO FONSECA,CL,37,H,35-39M,,https://utmb.world/runner/6296966.sergio.pinofonseca,469.0,89.0,79.0,31.0,07:27:22,26842.826,True,f,
383,Ezequiel WEBER,AR,43,H,40-44M,Manttra Sport,https://utmb.world/runner/2297131.ezequiel.weber,548.0,91.0,81.0,11.0,07:27:35,26855.637,True,f,
483,Alejandra PINZÓN,VE,28,F,20-34W,,https://utmb.world/runner/6653728.alejandra.pinzon,464.0,92.0,11.0,7.0,07:27:53,26873.848,True,f,
386,Manuel AMPUERO VELASQUEZ,CL,50,H,50-54M,,https://utmb.world/runner/5209890.manuel.ampuerovelasquez,545.0,93.0,82.0,1.0,07:29:20,26960.427,True,f,
