# Race: TransJeju BY UTMB 2023 - TransJeju by UTMB 100K
# Distance: 100 km
# D+: 4020 m
# D-: 4020 m
# Date: 2023-10-06
# URL: https://live.utmb.world/transjeju/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3,Tao LUO,CN,27,H,20-34M,,https://utmb.world/runner/544891.tao.luo,877.0,1.0,1.0,1.0,09:18:09,33489.57,True,f,
6,Guidu QIN,CN,33,H,20-34M,,https://utmb.world/runner/4154759.guidu.qin,827.0,2.0,2.0,2.0,09:22:29,33749.83,True,f,
2,Ji DUO,CN,33,H,20-34M,,https://utmb.world/runner/1023247.ji.duo,881.0,3.0,3.0,3.0,09:40:14,34814.92,True,f,
1,Jiaju ZHAO,CN,30,H,20-34M,,https://utmb.world/runner/1845145.jiaju.zhao,899.0,4.0,4.0,4.0,09:49:10,35350.7,True,f,
749,Hirokazu NISHIMURA,JP,43,H,40-44M,,https://utmb.world/runner/36506.hirokazu.nishimura,840.0,5.0,5.0,1.0,09:57:38,35858.29,True,f,
8,Minchul KO,KR,38,H,35-39M,,https://utmb.world/runner/2405271.minchul.koh,790.0,6.0,6.0,1.0,10:10:19,36619.25,True,f,
719,Peng LIU,CN,30,H,20-34M,,https://utmb.world/runner/1993271.peng.liu,759.0,7.0,7.0,5.0,10:28:15,37695.28,True,f,
22,Disi LIANG,CN,30,H,20-34M,,https://utmb.world/runner/982751.disi.liang,673.0,8.0,8.0,6.0,10:31:59,37919.73,True,f,
21,Amgalanjargal DAVAAJARGAL,MN,43,H,40-44M,,https://utmb.world/runner/4770892.amgalanjargal.davaajargal,680.0,9.0,9.0,2.0,11:02:01,39721.32,True,f,
7,Hajime MAMBA,JP,33,H,20-34M,,https://utmb.world/runner/699956.mamba.hajime,816.0,10.0,10.0,7.0,11:02:20,39740.97,True,f,
9,Naota TAKEMURA,JP,32,H,20-34M,,https://utmb.world/runner/2381255.naota.takemura,772.0,11.0,11.0,8.0,11:21:49,40909.11,True,f,
5,Sangé SHERPA,NP,44,H,40-44M,,https://utmb.world/runner/6302.sange.sherpa,839.0,12.0,12.0,3.0,11:24:26,41066.48,True,f,
14,Jooho YUM,KR,40,H,35-39M,,https://utmb.world/runner/1389463.jooho.yum,717.0,13.0,13.0,2.0,11:26:28,41188.83,True,f,
15,Hironori NOMOTO,JP,38,H,35-39M,,https://utmb.world/runner/1357635.hironori.nomoto,716.0,14.0,14.0,3.0,11:39:26,41966.47,True,f,
18,Junghyun LIM,KR,39,H,35-39M,,https://utmb.world/runner/3515817.junghyun.lim,698.0,15.0,15.0,4.0,11:46:12,42372.8,True,f,
682,Yu-Heng CHIU,TW,33,H,20-34M,,https://utmb.world/runner/4871222.yuheng.chiu,685.0,16.0,16.0,9.0,11:46:29,42389.13,True,f,
32,Taesung YANG,KR,39,H,35-39M,,https://utmb.world/runner/4301884.taesung.yang,640.0,17.0,17.0,5.0,12:10:26,43826.57,True,f,
431,Kazuyuki TAKAHASHI,JP,47,H,45-49M,,https://utmb.world/runner/36456.kazuyuki.takahashi,719.0,18.0,18.0,1.0,12:10:36,43836.94,True,f,
1168,Wenrong ZHENG,CN,37,F,35-39W,,https://utmb.world/runner/879489.wenrong.zheng,680.0,19.0,1.0,1.0,12:22:46,44566.61,True,f,
1169,Lin CHEN,CN,34,F,20-34W,,https://utmb.world/runner/2414677.lin.chen,674.0,20.0,2.0,1.0,12:22:50,44570.39,True,f,
727,Hunyoung CHOI,KR,39,H,35-39M,,https://utmb.world/runner/4258082.hunyoung.choi,636.0,21.0,19.0,6.0,12:25:15,44715.85,True,f,
