# Race: Unknown
# Distance: 52 km
# D+: 2110 m
# D-: 2110 m
# Date: 2023-10-06
# URL: https://live.utmb.world/transjeju/2023
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2926,Xingjing LI,CN,34,H,20-34M,,https://utmb.world/runner/1845151.xingjing.li,764.0,1.0,1.0,1.0,04:27:07,16027.56,True,f,
2928,Ryunosuke OMI,JP,24,H,20-34M,,https://utmb.world/runner/4596412.ryunosuke.omi,817.0,2.0,2.0,2.0,04:36:50,16610.28,True,f,
2002,Guangfu MENG,CN,27,H,20-34M,,https://utmb.world/runner/2989453.guangfu.meng,870.0,3.0,3.0,3.0,04:48:45,17325.0,True,f,
2693,Gediminas GRINIUS,LT,46,H,40-44M,,https://utmb.world/runner/136586.gediminas.grinius,845.0,4.0,4.0,1.0,04:50:32,17432.05,True,f,
2931,Hiroki KAI,JP,31,H,20-34M,,https://utmb.world/runner/4511652.kai.hiroki,828.0,5.0,5.0,4.0,04:54:24,17664.52,True,f,
2005,Jongyoul KIM,KR,51,H,45-49M,,https://utmb.world/runner/4258079.jongyoul.kim,731.0,6.0,6.0,1.0,05:06:19,18379.17,True,f,
3001,Fuzhao XIANG,CN,34,F,20-34W,,https://utmb.world/runner/989977.fuzhao.xiang,762.0,7.0,1.0,1.0,05:06:46,18406.17,True,f,
2930,Wonjin LEE,KR,44,H,40-44M,,https://utmb.world/runner/1459963.wonjin.lee,633.0,8.0,7.0,2.0,05:27:04,19624.0,True,f,
2007,Kyuho LEE,KR,36,H,20-34M,,https://utmb.world/runner/3530857.kyuho.lee,676.0,9.0,8.0,5.0,05:32:52,19972.51,True,f,
3003,Anna LI,CN,32,F,20-34W,,https://utmb.world/runner/4836984.anna.li,669.0,10.0,2.0,2.0,05:33:25,20005.95,True,f,
2012,Malachy KIRWAN,IE,39,H,35-39M,,https://utmb.world/runner/794349.malachy.kirwan,638.0,11.0,9.0,1.0,05:40:31,20431.81,True,f,
2025,Alexandre REINERT,HK,44,H,40-44M,,https://utmb.world/runner/203918.alexandre.reinert,,12.0,10.0,3.0,05:40:53,20453.06,True,f,
2084,Cheuk Ting Plato LUK,HK,33,H,20-34M,,https://utmb.world/runner/1443777.cheuktingplato.luk,522.0,13.0,11.0,6.0,05:46:54,20814.11,True,f,
2019,Youngjo KIM,KR,35,H,20-34M,,https://utmb.world/runner/4543836.youngjo.kim,619.0,14.0,12.0,7.0,05:48:27,20907.92,True,f,
2021,Seung Min CHOI,KR,37,H,35-39M,,https://utmb.world/runner/4288374.seungmin.choi,601.0,15.0,13.0,2.0,05:48:52,20932.45,True,f,
2031,Sam PARKINSON,AU,25,H,20-34M,,https://utmb.world/runner/4158260.sam.parkinson,584.0,16.0,14.0,8.0,05:51:29,21089.83,True,f,
2017,Sangmin CHUNG,KR,46,H,40-44M,,https://utmb.world/runner/4259021.sangmin.chung,616.0,17.0,15.0,4.0,05:51:36,21096.41,True,f,
2015,Yu Jian JIANG,CN,33,H,20-34M,,https://utmb.world/runner/4416560.yujian.jiang,623.0,18.0,16.0,9.0,06:02:43,21763.55,True,f,
3444,Xin WANG,CN,41,F,35-39W,,https://utmb.world/runner/5431178.xin.wang,606.0,19.0,3.0,1.0,06:06:46,22006.98,True,f,
2612,Yun PHUA,NZ,42,H,40-44M,,https://utmb.world/runner/523910.yun.phua,,20.0,17.0,5.0,06:07:15,22035.85,True,f,
