# Race: Unknown
# Distance: 129 km
# D+: 5800 m
# D-: 5800 m
# Date: 2024-11-08
# URL: https://live.utmb.world/translantau/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
1002,Terunobu KUROKAWA,JP,33,H,20-34H,,https://utmb.world/runner/1484139.terunobu.kurokawa,823.0,1.0,1.0,1.0,17:16:41,62200.93,True,f,
1003,Zhaoying LIU,CN,34,H,20-34H,Kailas Fuga,https://utmb.world/runner/1153341.zhaoying.liu,801.0,2.0,2.0,2.0,17:47:44,64063.21,True,f,
1016,Xingzhi BAI,CN,39,H,35-39H,VIBRAM,https://utmb.world/runner/1225025.xingzhi.bai,788.0,3.0,3.0,1.0,18:11:42,65081.17,True,f,
1017,Chun Kit TSANG,HK,42,H,40-44H,hoka,https://utmb.world/runner/1823429.chunkit.tsang,740.0,4.0,4.0,1.0,19:09:57,68997.88,True,f,
1100,Chi Keung CHAN,HK,34,H,20-34H,TPH Elite team,https://utmb.world/runner/1220471.chikeung.chan,696.0,5.0,5.0,3.0,19:45:59,71158.41,True,f,
1110,Wing Yam MAN,HK,39,H,35-39H,,https://utmb.world/runner/795992.wingyam.man,641.0,6.0,6.0,2.0,19:49:56,71396.23,True,f,
1008,Toshikazu KAGAWA,JP,39,H,35-39H,Shigahumara/OLENO,https://utmb.world/runner/3528069.toshikazu.kagawa,737.0,7.0,7.0,3.0,19:52:45,71565.55,True,f,
1112,Jeremy PELLETANT,FR,32,H,20-34H,,https://utmb.world/runner/4317796.jeremy.pelletant,632.0,8.0,8.0,4.0,19:58:06,71885.51,True,f,
1170,Limbu BEDHRAJ,NP,44,H,40-44H,HKNUTRA,https://utmb.world/runner/5116238.limbu.bedhraj,543.0,9.0,9.0,2.0,20:32:32,73952.6,True,f,
1018,Johanna ANTILA,FI,45,F,40-44F,Salomon Finland,https://utmb.world/runner/3421721.johanna.antila,741.0,10.0,1.0,1.0,20:54:44,75283.53,True,f,
1453,Jay CECH,US,48,H,45-49H,,https://utmb.world/runner/4005806.jay.cech,575.0,11.0,10.0,1.0,20:55:55,75355.42,True,f,
1101,Ho Yin YEUNG,HK,32,H,20-34H,Hill & Heal,https://utmb.world/runner/421244.hoyin.yeung,675.0,12.0,11.0,5.0,21:08:19,76098.88,True,f,
1138,Xiaoqing SUN,HK,38,F,35-39F,,https://utmb.world/runner/4108939.xiaoqing.sun,570.0,13.0,2.0,1.0,21:21:09,76868.47,True,f,
1290,Rabin Kumar LIMBU,NP,47,H,45-49H,hknutra,https://utmb.world/runner/6496353.rabinkumar.limbu,463.0,14.0,12.0,2.0,21:48:32,78511.69,True,f,
1125,Lok Shun YUEN,HK,47,H,45-49H,,https://utmb.world/runner/4137618.lokshun.yuen,606.0,15.0,13.0,3.0,21:57:53,79072.55,True,f,
1115,Alexandre SORIN,FR,43,H,40-44H,,https://utmb.world/runner/1522503.alexandre.sorin,629.0,16.0,14.0,3.0,21:59:59,79199.74,True,f,
1006,Weiqiang ZHANG,CN,41,H,40-44H,VIBRAM,https://utmb.world/runner/2484445.weiqiang.zhang,751.0,17.0,15.0,4.0,22:01:21,79280.8,True,f,
1102,Kwok Wai Anson NG,HK,51,H,50-54H,Happy Runners,https://utmb.world/runner/192550.kwokwaianson.ng,668.0,18.0,16.0,1.0,22:07:49,79668.68,True,f,
1117,Kin Fai LO,HK,46,H,45-49H,,https://utmb.world/runner/5012519.kinfai.lo,625.0,19.0,17.0,4.0,22:08:40,79719.78,True,f,
1105,Hyun Chang CHUNG,KR,52,H,50-54H,,https://utmb.world/runner/471766.hyunchang.chung,655.0,20.0,18.0,2.0,22:35:28,81327.54,True,f,
1015,Junyue ZHENG,CN,39,F,35-39F,Kailas Fuga,https://utmb.world/runner/764321.junyue.zheng,599.0,21.0,3.0,2.0,22:39:44,81583.88,True,f,
1119,Naoki TANAKA,JP,47,H,45-49H,Tomo's Pit / TOHOKU RIZE,https://utmb.world/runner/2387219.naoki.tanaka,622.0,22.0,19.0,5.0,22:51:37,82297.56,True,f,
1132,Yiu Chung TSANG,HK,49,H,45-49H,,https://utmb.world/runner/5055882.yiuchung.tsang,588.0,23.0,20.0,6.0,22:54:15,82455.3,True,f,
1213,Bhesh Raj BHATTARAI,NP,41,H,40-44H,HKNUTRA,https://utmb.world/runner/4830194.bheshraj.bhattarai,509.0,24.0,21.0,5.0,23:13:06,83586.19,True,f,
1233,Limbu DILU,NP,34,F,20-34F,HKNUTRA,https://utmb.world/runner/6645609.limbu.dilu,,25.0,4.0,1.0,23:15:03,83703.55,True,f,
