# Race: Unknown
# Distance: 140 km
# D+: 9300 m
# D-: 9300 m
# Date: 2022-07-08
# URL: https://live.utmb.world/tvsb/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
12,Antoine BOUCHET,FR,45,H,M1 M,,https://utmb.world/runner/11104.antoine.bouchet,796.0,1.0,1.0,1.0,21:23:11,76991.97,True,f,
11,Bozhidar ANTONOV,BG,40,H,M0 M,,https://utmb.world/runner/392498.bozhidar.antonov,767.0,2.0,2.0,1.0,22:10:56,79856.68,True,f,
284,Jean-Grégoire LUISIER,CH,34,H,SE M,,https://utmb.world/runner/764513.jeangregoire.luisier,779.0,3.0,3.0,1.0,22:46:51,82011.39,True,f,
279,Gwenaël LANGLOIS,FR,38,H,M0 M,,https://utmb.world/runner/82958.gwenael.langlois,753.0,4.0,4.0,2.0,22:55:13,82513.55,True,f,
17,Michaël DEFAGO,CH,38,H,M0 M,,https://utmb.world/runner/144284.michael.defago,736.0,5.0,5.0,3.0,23:19:16,83956.63,True,f,
277,Florentin GOORIS,BE,42,H,M0 M,,https://utmb.world/runner/110288.florentin.gooris,752.0,6.0,6.0,4.0,23:28:44,84524.52,True,f,
24,Philippe DONISCHAL,FR,53,H,M3 M,,https://utmb.world/runner/621017.philippe.donischal,700.0,7.0,7.0,1.0,24:18:35,87515.15,True,f,
66,Emily VAUDAN,CH,42,F,M0 F,,https://utmb.world/runner/20837.emily.vaudan,702.0,8.0,1.0,1.0,24:24:33,87873.44,True,f,
37,Romain BASSET,FR,45,H,M1 M,,https://utmb.world/runner/38767.romain.basset,699.0,9.0,8.0,2.0,24:58:32,89912.84,True,f,
102,Plamen BALZHIEV,BG,41,H,M0 M,,https://utmb.world/runner/527146.plamen.balzhiev,668.0,10.0,9.0,5.0,25:29:32,91772.85,True,f,
28,Simon SCHERER,DE,36,H,SE M,,https://utmb.world/runner/3028369.simon.scherer,717.0,11.0,10.0,2.0,25:43:38,92618.23,True,f,
131,Anthony CHAUVIN,FR,42,H,M0 M,,https://utmb.world/runner/242886.anthony.chauvin,655.0,12.0,11.0,6.0,25:58:00,93480.63,True,f,
35,Simon IMPER,CH,58,H,M4 M,,https://utmb.world/runner/1075159.simon.imper,648.0,13.0,12.0,1.0,26:14:43,94483.12,True,f,
16,Jose PINHO,PT,57,H,M3 M,,https://utmb.world/runner/529803.jose.pinho,684.0,14.0,13.0,2.0,26:18:52,94732.7,True,f,
98,François-Olivier WEICHERT,FR,28,H,SE M,,https://utmb.world/runner/4099830.francoisolivier.weichert,660.0,15.0,14.0,3.0,26:26:25,95185.16,True,f,
46,Andréa BRAGA,FR,37,H,SE M,,https://utmb.world/runner/499802.andrea.braga,633.0,16.0,15.0,4.0,26:53:49,96829.68,True,f,
57,Janko SCHLOEFFEL,DE,63,H,M5 M,,https://utmb.world/runner/67520.janko.schloeffel,645.0,17.0,16.0,1.0,27:01:13,97273.88,True,f,
40,Mathieu LOUIS,FR,33,H,SE M,,https://utmb.world/runner/841737.mathieu.louis,671.0,18.0,17.0,5.0,27:02:00,97320.87,True,f,
141,Jérôme DUAY,CH,48,H,M2 M,,https://utmb.world/runner/669505.jerome.duay,621.0,19.0,18.0,1.0,27:23:03,98583.67,True,f,
60,Natalia ROMAN LOPEZ,ES,36,F,SE F,,https://utmb.world/runner/651855.natalia.romanlopez,620.0,20.0,2.0,1.0,27:27:07,98827.92,True,f,
74,Andrea VLASAKOVA,CZ,37,F,SE F,,https://utmb.world/runner/1478627.andrea.vlasakova,618.0,21.0,3.0,2.0,27:32:49,99169.4,True,f,
23,Edouard GODINEAU,FR,45,H,M1 M,,https://utmb.world/runner/423842.edouard.godineau,670.0,22.0,19.0,3.0,27:41:01,99661.64,True,f,
67,Graham NASH,GB,56,H,M3 M,,https://utmb.world/runner/51257.graham.nash,608.0,23.0,20.0,3.0,28:00:24,100824.66,True,f,
121,René CRETTEX,CH,57,H,M3 M,,https://utmb.world/runner/20325.rene.crettex,635.0,24.0,21.0,4.0,28:04:17,101057.13,True,f,
276,Simon CORNU,FR,34,H,SE M,,https://utmb.world/runner/4526671.simon.cornu,608.0,25.0,22.0,6.0,28:26:34,102394.11,True,f,
251,Dorsan LEPOUR,BE,28,H,SE M,,https://utmb.world/runner/2384151.dorsan.lepour,608.0,26.0,23.0,7.0,28:41:36,103296.76,True,f,
55,Eric GERBER,CH,60,H,M4 M,,https://utmb.world/runner/44837.eric.gerber,592.0,27.0,24.0,2.0,28:45:42,103542.56,True,f,
62,Pierrick BOUAZZA,FR,42,H,M0 M,,https://utmb.world/runner/842005.pierrick.bouazza,611.0,28.0,25.0,7.0,29:00:15,104415.18,True,f,
41,Olivier ISCHER,CH,35,H,SE M,,https://utmb.world/runner/2283175.olivier.ischer,709.0,29.0,26.0,8.0,29:10:01,105001.12,True,f,
26,Daniel KNEUBUHL,CH,35,H,SE M,,https://utmb.world/runner/1505643.daniel.kneubuhl,649.0,30.0,27.0,9.0,29:17:39,105459.31,True,f,
7,Konoka AZUMI,JP,36,F,SE F,,https://utmb.world/runner/664803.konoka.azumi,711.0,31.0,4.0,3.0,29:18:57,105537.55,True,f,
90,Stefan HAEBLER,CH,50,H,M2 M,,https://utmb.world/runner/45814.stefan.haebler,603.0,32.0,28.0,2.0,29:19:05,105545.4,True,f,
68,Jay ALDOUS,US,64,H,M5 M,,https://utmb.world/runner/29057.jay.aldous,603.0,33.0,29.0,2.0,29:35:15,106515.92,True,f,
58,Alexis GAILLAC,FR,43,H,M1 M,,https://utmb.world/runner/591547.alexis.gaillac,622.0,34.0,30.0,4.0,29:49:01,107341.6,True,f,
109,Michal VOMOCIL,CZ,48,H,M2 M,,https://utmb.world/runner/1852703.michal.vomocil,583.0,35.0,31.0,3.0,29:52:18,107538.43,True,f,
135,Kim-Dania SCHIERHORN,DE,39,F,M0 F,,https://utmb.world/runner/143139.kimdania.schierhorn,583.0,36.0,5.0,2.0,29:52:47,107567.29,True,f,
115,Hervé FUCHS,FR,55,H,M3 M,,https://utmb.world/runner/10441.herve.fuchs,616.0,37.0,32.0,5.0,29:53:04,107584.39,True,f,
83,Ludovic BUONO,CH,42,H,M0 M,,https://utmb.world/runner/132568.ludovic.buono,604.0,38.0,33.0,8.0,30:00:44,108044.73,True,f,
272,Carlos GOMEZ BRAVO,CL,54,H,M3 M,,https://utmb.world/runner/84101.carlos.gomezbravo,623.0,38.0,33.0,6.0,30:00:44,108044.23,True,f,
65,Olivier JOUFFREY,FR,55,H,M3 M,,https://utmb.world/runner/236540.olivier.jouffrey,656.0,40.0,35.0,7.0,30:04:07,108247.96,True,f,
132,Christine TOUSCH,FR,50,F,M2 F,,https://utmb.world/runner/509896.christine.tousch,603.0,41.0,6.0,1.0,30:19:51,109191.87,True,f,
39,Fabien MURISIER,CH,49,H,M2 M,,https://utmb.world/runner/1038403.fabien.murisier,699.0,42.0,36.0,4.0,30:32:04,109924.63,True,f,
164,Julien THIEMARD,CH,43,H,M1 M,,https://utmb.world/runner/1502713.julien.thiemard,562.0,43.0,37.0,5.0,30:42:09,110529.73,True,f,
84,Yves BONORA,FR,48,H,M2 M,,https://utmb.world/runner/2599065.yves.bonora,582.0,44.0,38.0,5.0,30:43:08,110588.88,True,f,
51,Adriana PLOSNITA,RO,36,F,SE F,,https://utmb.world/runner/1162439.adriana.plosnita,646.0,45.0,7.0,4.0,31:07:03,112023.63,True,f,
50,Adrian PLOSNITA,RO,42,H,M0 M,,https://utmb.world/runner/770951.adrian.plosnita,643.0,46.0,39.0,9.0,31:07:05,112025.27,True,f,
63,Christophe BAUD,FR,40,H,M0 M,,https://utmb.world/runner/244132.christophe.baud,597.0,46.0,39.0,9.0,31:07:05,112025.27,True,f,
107,Jean-Louis COLLIARD,CH,65,H,M5 M,,https://utmb.world/runner/65581.jeanlouis.colliard,547.0,48.0,41.0,3.0,31:07:15,112035.46,True,f,
70,Roland PUGIN,CH,60,H,M4 M,,https://utmb.world/runner/144330.roland.pugin,596.0,49.0,42.0,3.0,31:07:16,112036.21,True,f,
252,Fabian JENDRUSCH,DE,32,H,SE M,,https://utmb.world/runner/1656541.fabian.jendrusch,545.0,50.0,43.0,10.0,31:11:51,112311.92,True,f,
64,Bryan CORNELIUS,CH,34,H,SE M,,https://utmb.world/runner/1108155.bryan.cornelius,603.0,51.0,44.0,11.0,31:32:48,113568.22,True,f,
97,Florian BONHOURE,FR,29,H,SE M,,https://utmb.world/runner/1918169.florian.bonhoure,637.0,52.0,45.0,12.0,31:43:35,114215.43,True,f,
105,Ismael BONVIN,CH,42,H,M0 M,,https://utmb.world/runner/328351.ismael.bonvin,566.0,53.0,46.0,11.0,31:51:11,114671.87,True,f,
120,Paul DURY,FR,33,H,SE M,,https://utmb.world/runner/3538555.paul.dury,650.0,54.0,47.0,13.0,31:53:49,114829.6,True,f,
21,Pierre SOUILLE,FR,39,H,M0 M,,https://utmb.world/runner/2145641.pierre.souille,669.0,55.0,48.0,12.0,31:53:50,114830.61,True,f,
22,Stéphane MEYER,FR,36,H,SE M,,https://utmb.world/runner/586324.stephane.meyer,668.0,56.0,49.0,14.0,31:54:08,114848.1,True,f,
49,Rémi PARIS,FR,39,H,M0 M,,https://utmb.world/runner/385698.remi.paris,615.0,57.0,50.0,13.0,31:56:51,115011.33,True,f,
220,Frank STEININGER,DE,48,H,M2 M,,https://utmb.world/runner/61932.frank.steininger,538.0,58.0,51.0,6.0,32:17:45,116265.69,True,f,
94,Benjamin METZ MICHEL,FR,41,H,M0 M,,https://utmb.world/runner/2213127.benjamin.metzmichel,598.0,58.0,51.0,14.0,32:17:45,116265.67,True,f,
191,Florian VIGNOT,FR,41,H,M0 M,,https://utmb.world/runner/595848.florian.vignot,553.0,60.0,53.0,15.0,32:17:46,116266.18,True,f,
130,Grégory MOLINARO,FR,52,H,M2 M,,https://utmb.world/runner/177921.gregory.molinaro,570.0,61.0,54.0,7.0,32:24:36,116676.88,True,f,
