# Race: Unknown
# Distance: 38 km
# D+: 2500 m
# D-: 2500 m
# Date: 2024-07-07
# URL: https://live.utmb.world/tvsb/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
3005,Werner MARTI,CH,36,H,35-39M,adidas TERREX,https://utmb.world/runner/20062.werner.marti,833.0,1.0,1.0,1.0,03:49:30,13770.84,True,f,
3001,Peter FRAŇO,SK,29,H,20-34M,Scarpa,https://utmb.world/runner/1238361.peter.frano,880.0,3.0,3.0,1.0,03:53:37,14017.63,True,f,
3011,Siméon BATLOGG,FR,24,H,20-34M,besançon Trail running,https://utmb.world/runner/2239377.simeon.batlogg,781.0,4.0,4.0,2.0,04:08:16,14896.85,True,f,
3014,Tobias SCHMID,CH,28,H,20-34M,,https://utmb.world/runner/1556887.tobias.schmid,759.0,5.0,5.0,3.0,04:11:52,15112.73,True,f,
3006,Athanasios PAGOUNADIS,GR,38,H,35-39M,Salomon Hellas,https://utmb.world/runner/1113973.athanasios.pagounadis,817.0,6.0,6.0,3.0,04:14:11,15251.97,True,f,
3345,Rachid ELMORABITY,MA,43,H,40-44M,TGCC,,,7.0,7.0,1.0,04:16:39,15399.13,True,f,
3018,Man Kumar ROKA MAGAR,NP,22,H,20-34M,TARCIS ANCAY RUNNING,https://utmb.world/runner/5774912.mankumar.rokamagar,733.0,8.0,8.0,4.0,04:17:19,15439.56,True,f,
3013,Octavian Andrei IVANOV,RO,45,H,40-44M,Ciucas X3,https://utmb.world/runner/1162453.octavianandrei.ivanov,762.0,9.0,9.0,2.0,04:17:26,15446.36,True,f,
3036,Pierrick PAILLOT,FR,36,H,35-39M,,https://utmb.world/runner/1251223.pierrick.paillot,702.0,9.0,9.0,4.0,04:17:26,15446.11,True,f,
3040,Aleksandr TSAPLIN,AN,27,H,20-34M,,https://utmb.world/runner/5665609.aleksandr.tsaplin,685.0,11.0,11.0,5.0,04:17:43,15463.61,True,f,
