# Race: Unknown
# Distance: 55 km
# D+: 3500 m
# D-: 3500 m
# Date: 2022-08-25
# URL: https://live.utmb.world/utmb/2022
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
6002,Manuel MERILLAS,ES,34,H,20-34M,LAND/OQUENDO/SCARPA,https://utmb.world/runner/124391.manuel.merillas,926.0,1.0,1.0,1.0,05:18:29,19109.03,True,f,920.0
6015,Antonio MARTÍNEZ PÉREZ,ES,34,H,20-34M,SCARPA TEAM,https://utmb.world/runner/1861165.antonio.martinezperez,895.0,2.0,2.0,2.0,05:21:01,19261.46,True,f,913.0
6004,Robbie SIMPSON,GB,34,H,20-34M,ADIDAS TERREX,https://utmb.world/runner/301409.robbie.simpson,912.0,3.0,3.0,3.0,05:24:00,19440.25,True,f,904.0
6024,Arnaud BONIN,FR,40,H,35-39M,SCOTT,https://utmb.world/runner/240069.arnaud.bonin,884.0,4.0,4.0,1.0,05:29:05,19745.28,True,f,890.0
6045,Paul MATHOU,FR,32,H,20-34M,PNA SARLAT,https://utmb.world/runner/595330.paul.mathou,869.0,5.0,5.0,4.0,05:31:36,19896.9,True,f,884.0
6282,Nicolas MARTIN,FR,39,H,35-39M,TEAM BROOKS,https://utmb.world/runner/6279.nicolas.martin,903.0,6.0,6.0,2.0,05:34:47,20087.63,True,f,875.0
6061,Antoine THIRIAT,FR,25,H,20-34M,SCOTT RUNNING FRANCE,https://utmb.world/runner/2187535.antoine.thiriat,869.0,7.0,7.0,5.0,05:36:32,20192.58,True,f,871.0
6014,Martin DEMATTEIS,IT,39,H,35-39M,ADIDAS TERREX,https://utmb.world/runner/321405.martin.dematteis,901.0,8.0,8.0,3.0,05:42:25,20545.04,True,f,856.0
6040,Leonard MITRICA,RO,30,H,20-34M,CSA STEAUA,https://utmb.world/runner/1238621.leonard.mitrica,875.0,9.0,9.0,6.0,05:42:52,20572.44,True,f,855.0
6083,Andreas RIEDER,AT,39,H,35-39M,BROOKS TRAIL TEAM,https://utmb.world/runner/3034585.andreas.rieder,837.0,10.0,10.0,4.0,05:49:38,20978.15,True,f,838.0
6204,Joaquin NARVAEZ,AR,36,H,20-34M,ASOCAT,https://utmb.world/runner/1135405.joaquin.narvaez,789.0,11.0,11.0,7.0,05:53:39,21219.32,True,f,829.0
6070,Justin GRUNEWALD,US,40,H,35-39M,ALTRA/RABBIT,https://utmb.world/runner/1719513.justin.grunewald,856.0,12.0,12.0,5.0,05:56:08,21368.82,True,f,823.0
6093,Tomas HUDEC,CZ,35,H,20-34M,INOV-8/EDGARPOWER,https://utmb.world/runner/1389341.tomas.hudec,843.0,13.0,13.0,8.0,05:58:14,21494.32,True,f,818.0
6104,Tobias BAGGENSTOS,CH,33,H,20-34M,BROOKS TRAIL RUNNERS,https://utmb.world/runner/3964257.tobias.baggenstos,837.0,14.0,14.0,9.0,05:59:50,21590.07,True,f,814.0
6148,Leandre SANTIN,FR,29,H,20-34M,BROOKS TRAIL RUNNERS,https://utmb.world/runner/714355.leandre.santin,813.0,15.0,15.0,10.0,06:00:39,21639.15,True,f,812.0
6156,Omar EZACRITI,MA,34,H,20-34M,,https://utmb.world/runner/2618451.omar.ezacriti,804.0,16.0,16.0,11.0,06:02:34,21754.13,True,f,808.0
6100,Jérémy NION,FR,38,H,35-39M,TAILLEFER TRAIL TEAM,https://utmb.world/runner/1029095.jeremy.nion,834.0,17.0,17.0,6.0,06:03:09,21789.54,True,f,807.0
6110,Francisco José ANGUITA BAYO,ES,30,H,20-34M,C.D. OLIMPO GRANADA,https://utmb.world/runner/976085.fran.anguita,835.0,18.0,18.0,12.0,06:03:34,21814.06,True,f,806.0
6018,Benedikt HOFFMANN,DE,40,H,35-39M,ASICS TRAIL,https://utmb.world/runner/929131.benedikt.hoffmann,888.0,19.0,19.0,7.0,06:03:50,21830.71,True,f,805.0
6113,Massimo FARCOZ,IT,33,H,20-34M,U.S. MALONNO - CIMALP,https://utmb.world/runner/2244189.massimo.farcoz,821.0,20.0,20.0,13.0,06:05:44,21944.76,True,f,801.0
6134,Oscar BASANTES,EC,34,H,20-34M,PETZL - CLUB A2 ,https://utmb.world/runner/548700.oscar.basantes,816.0,21.0,21.0,14.0,06:05:53,21953.77,True,f,801.0
6057,Eduard HERNANDEZ,ES,44,H,40-44M,BROOKS TRAIL RUNNERS,https://utmb.world/runner/698916.eduard.hernandez,862.0,22.0,22.0,1.0,06:06:51,22011.13,True,f,799.0
6182,Adrien CHOUCHOU,DZ,38,H,35-39M,ALES CEVENNES ATHLETISME - TEAM TRAIL,https://utmb.world/runner/757663.adrien.chouchou,797.0,23.0,23.0,8.0,06:06:53,22013.81,True,f,799.0
6053,Jeshurun SMALL,US,27,H,20-34M,ADIDAS TERREX,https://utmb.world/runner/666979.jeshurun.small,860.0,24.0,24.0,15.0,06:07:10,22030.98,True,f,798.0
6155,Albi CEDRÈS VIÑOLY,ES,36,H,20-34M,HTT,https://utmb.world/runner/1628373.albi.cedresvinoly,809.0,25.0,25.0,16.0,06:07:50,22070.74,True,f,797.0
6097,Mario MIRABEL ALVIZ,ES,34,H,20-34M,BROOKS TRAIL ESP,https://utmb.world/runner/2360291.mario.mirabelalviz,841.0,26.0,26.0,17.0,06:08:48,22128.61,True,f,794.0
6186,Diego Ramón SIMON,AR,38,H,35-39M,SALOMON ARGENTINA ,https://utmb.world/runner/892921.diegoramon.simon,787.0,27.0,27.0,9.0,06:09:13,22153.16,True,f,794.0
6092,Simone EYDALLIN,IT,39,H,35-39M,TEAM DYNAFIT,https://utmb.world/runner/807119.simone.eydallin,835.0,28.0,28.0,10.0,06:09:34,22174.82,True,f,793.0
6082,Helio FUMO,PT,42,H,40-44M,COMPRESSPORT ,https://utmb.world/runner/968119.helio.fumo,840.0,29.0,29.0,2.0,06:09:37,22177.75,True,f,793.0
