# Race: Unknown
# Distance: 55 km
# D+: 3300 m
# D-: 3300 m
# Date: 2024-05-11
# URL: https://live.utmb.world/uts/2024
bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
2008,Brennan TOWNSHEND,GB,32,H,20-34M,,https://utmb.world/runner/1640163.brennan.townshend,822.0,1.0,1.0,1.0,06:01:52,21712,True,f,852.0
2006,Michele MERIDIO,IT,28,H,20-34M,,https://utmb.world/runner/1524379.michele.meridio,834.0,2.0,2.0,2.0,06:08:02,22082,True,f,837.0
2002,Harry JONES,GB,36,H,35-39M,,https://utmb.world/runner/568200.harry.jones,862.0,3.0,3.0,1.0,06:11:36,22296,True,f,829.0
2001,Josh WADE,GB,31,H,20-34M,,https://utmb.world/runner/1682129.josh.wade,868.0,4.0,4.0,3.0,06:36:56,23816,True,f,776.0
2007,Henriette ALBON,NO,34,F,20-34W,,https://utmb.world/runner/991239.henriette.albon,722.0,5.0,1.0,1.0,06:39:54,23994,True,f,771.0
2003,Riccardo MONTANI,IT,33,H,20-34M,,https://utmb.world/runner/291288.riccardo.montani,858.0,6.0,5.0,4.0,06:53:20,24800,True,f,746.0
2017,Jordan EASTWOOD,GB,33,H,20-34M,,https://utmb.world/runner/4195921.jordan.eastwood,741.0,7.0,6.0,5.0,07:01:43,25303,True,f,731.0
2018,Sam MAYGLOTHLING,GB,41,H,40-44M,,https://utmb.world/runner/4471581.sam.mayglothling,727.0,8.0,7.0,1.0,07:07:22,25642,True,f,721.0
2029,Angus IRVINE,GB,44,H,40-44M,,https://utmb.world/runner/1815779.angus.irvine,695.0,9.0,8.0,2.0,07:18:27,26307,True,f,703.0
2030,Dan SUMMERS,GB,42,H,40-44M,,https://utmb.world/runner/336290.dan.summers,692.0,10.0,9.0,3.0,07:21:29,26489,True,f,698.0
2056,Alexis FULLER,GB,39,H,35-39M,,https://utmb.world/runner/685940.alexis.fuller,645.0,11.0,10.0,2.0,07:24:02,26642,True,f,694.0
3106,Kevin MEYNARD-KRAUSE,CH,36,H,35-39M,,https://utmb.world/runner/5231945.kevin.meynardkrause,,12.0,11.0,3.0,07:31:32,27092,True,f,683.0
2010,Lina EL KOTT HELANDER,SE,31,F,20-34W,,https://utmb.world/runner/655746.lina.elkotthelander,704.0,13.0,2.0,2.0,07:35:14,27314,True,f,677.0
2009,Sanna EL KOTT HELANDER,SE,31,F,20-34W,,https://utmb.world/runner/1065261.sanna.elkotthelander,715.0,14.0,3.0,3.0,07:36:41,27401,True,f,675.0
2146,Andrew CAMPBELL,GB,37,H,35-39M,,https://utmb.world/runner/2050323.andrew.campbell,562.0,15.0,12.0,4.0,07:39:19,27559,True,f,671.0
2012,Jonathan COX,GB,34,H,20-34M,,https://utmb.world/runner/3307507.jonathan.cox,783.0,16.0,13.0,6.0,07:50:01,28201,True,f,656.0
2039,Dave WALKER BLAIR,GB,36,H,35-39M,,https://utmb.world/runner/4278696.dave.walkerblair,669.0,17.0,14.0,5.0,07:53:08,28388,True,f,651.0
3310,Andrew CLARKE,GB,35,H,20-34M,,https://utmb.world/runner/5517793.andrew.clarke,,18.0,15.0,7.0,07:57:22,28642,True,f,646.0
2110,Harvey WHITE,GB,26,H,20-34M,,https://utmb.world/runner/4703168.harvey.white,591.0,19.0,16.0,8.0,07:58:31,28711,True,f,644.0
2048,Frederick SKARBEK,GB,33,H,20-34M,,https://utmb.world/runner/4938893.frederick.skarbek,653.0,20.0,17.0,9.0,07:58:50,28730,True,f,644.0
2063,Jonathan BREEZE,GB,42,H,40-44M,,https://utmb.world/runner/2655361.jonathan.breeze,636.0,21.0,18.0,4.0,08:02:55,28975,True,f,638.0
2014,Claudia CHMIELOWSKA,PL,27,F,20-34W,,https://utmb.world/runner/1081129.claudia.chmielowska,657.0,22.0,4.0,4.0,08:03:37,29017,True,f,637.0
2059,Rich WILLIAMSON,GB,43,H,40-44M,,https://utmb.world/runner/2199691.rich.williamson,642.0,23.0,19.0,5.0,08:05:06,29106,True,f,635.0
2073,Luke SAKER,GB,36,H,35-39M,,https://utmb.world/runner/4240937.luke.saker,625.0,24.0,20.0,6.0,08:05:39,29139,True,f,635.0
2005,Thibault JEAN,FR,31,H,20-34M,,https://utmb.world/runner/517871.thibault.jean,837.0,25.0,21.0,10.0,08:05:50,29150,True,f,634.0
2077,James GRINTER,GB,36,H,35-39M,,https://utmb.world/runner/4123203.james.grinter,618.0,26.0,22.0,7.0,08:20:48,30048,True,f,615.0
2052,Ceri MERWOOD,GB,29,F,20-34W,,https://utmb.world/runner/4710432.ceri.merwood,570.0,27.0,5.0,5.0,08:21:33,30093,True,f,614.0
3367,Kevin NELSON,GB,37,H,35-39M,,https://utmb.world/runner/5546777.kevin.nelson,,28.0,23.0,8.0,08:24:58,30298,True,f,610.0
2020,Rebecca DI-LUZIO,GB,44,F,40-44W,,https://utmb.world/runner/4123193.rebecca.diluzio,622.0,29.0,6.0,1.0,08:25:51,30351,True,f,609.0
2138,Oscar PRINCE,GB,34,H,20-34M,,https://utmb.world/runner/3611069.oscar.prince,568.0,30.0,24.0,11.0,08:26:21,30381,True,f,609.0
2945,Liz MACDONALD,CA,30,F,20-34W,,https://utmb.world/runner/5823825.liz.macdonald,,31.0,7.0,6.0,08:27:13,30433,True,f,608.0
2437,Michael HARRINGTON,GB,36,H,35-39M,,https://utmb.world/runner/5592366.michael.harrington,470.0,32.0,25.0,9.0,08:30:16,30616,True,f,604.0
2035,Thomas MARCHANT,GB,32,H,20-34M,,https://utmb.world/runner/4719704.thomas.marchant,675.0,33.0,26.0,12.0,08:30:58,30658,True,f,603.0
2232,Jeremy HUTCHINSON,GB,51,H,50-54M,,https://utmb.world/runner/3005135.jeremy.hutchinson,526.0,34.0,27.0,1.0,08:33:58,30838,True,f,600.0
2055,Piotr BERGEL,PL,47,H,45-49M,,https://utmb.world/runner/2523701.piotr.bergel,646.0,35.0,28.0,1.0,08:39:09,31149,True,f,594.0
2123,Lee BAILEY,GB,49,H,45-49M,,https://utmb.world/runner/4244102.lee.bailey,579.0,36.0,29.0,2.0,08:40:00,31200,True,f,593.0
2053,Domantas CIBAS,LT,34,H,20-34M,,https://utmb.world/runner/2426013.domantas.cibas,648.0,37.0,30.0,13.0,08:42:54,31374,True,f,589.0
2046,Dan JONES,GB,45,H,40-44M,,https://utmb.world/runner/2695659.dan.jones,654.0,38.0,31.0,6.0,08:42:56,31376,True,f,589.0
2108,Declan O'CALLAGHAN,IE,29,H,20-34M,,https://utmb.world/runner/5249639.declan.ocallaghan,592.0,39.0,32.0,14.0,08:46:52,31612,True,f,585.0
2097,Jonathan O’HAGAN,IE,49,H,45-49M,,https://utmb.world/runner/4541458.jonathan.ohagan,602.0,40.0,33.0,3.0,08:47:34,31654,True,f,584.0
2092,Adam SWANSON,GB,51,H,50-54M,,https://utmb.world/runner/685956.adam.swanson,606.0,41.0,34.0,2.0,08:48:43,31723,True,f,583.0
2243,Michael MERGLER POOLE,GB,28,H,20-34M,,https://utmb.world/runner/4879369.michael.merglerpoole,522.0,42.0,35.0,15.0,08:48:50,31730,True,f,583.0
2094,James TROTT,GB,28,H,20-34M,,https://utmb.world/runner/4004012.james.trott,604.0,43.0,36.0,16.0,08:50:25,31825,True,f,581.0
3276,Simon LAWRENCE,GB,30,H,20-34M,,https://utmb.world/runner/5501367.simon.lawrence,,44.0,37.0,17.0,08:51:56,31916,True,f,579.0
3253,Roger MAIDMENT,GB,52,H,50-54M,,https://utmb.world/runner/5494303.roger.maidment,,45.0,38.0,3.0,08:52:16,31936,True,f,579.0
2085,Matt SEARSON,GB,46,H,45-49M,,https://utmb.world/runner/4011911.matt.searson,610.0,46.0,39.0,4.0,08:53:11,31991,True,f,578.0
2033,Nicole FRISBY,GB,37,F,35-39W,,https://utmb.world/runner/4256416.nicole.frisby,595.0,47.0,8.0,1.0,08:53:17,31997,True,f,578.0
2047,Becky ATKINSON,GB,48,F,45-49W,,https://utmb.world/runner/5174616.becky.atkinson,573.0,48.0,9.0,1.0,08:53:24,32004,True,f,578.0
2166,Andrew MEANEY,JP,27,H,20-34M,,https://utmb.world/runner/3513415.andrew.meaney,554.0,49.0,40.0,18.0,08:53:32,32012,True,f,578.0
2101,Craig RUMBLE,GB,46,H,45-49M,,https://utmb.world/runner/2345995.craig.rumble,600.0,50.0,41.0,5.0,08:54:28,32068,True,f,577.0
2067,André BARROS,PT,35,H,20-34M,,https://utmb.world/runner/1436049.andre.barros,631.0,51.0,42.0,19.0,08:54:34,32074,True,f,577.0
2054,Nick BRENCHLEY,GB,46,H,45-49M,,https://utmb.world/runner/757077.nick.brenchley,647.0,52.0,43.0,6.0,08:55:18,32118,True,f,576.0
3161,Thomas SILKSTONE,GB,27,H,20-34M,,https://utmb.world/runner/5403235.thomas.silkstone,,53.0,44.0,20.0,08:55:27,32127,True,f,576.0
2380,Nick BULLOCH,GB,50,H,45-49M,,https://utmb.world/runner/4462666.nick.bulloch,483.0,54.0,45.0,7.0,08:55:41,32141,True,f,575.0
2090,Romain BORGEAL,FR,32,H,20-34M,,https://utmb.world/runner/638666.romain.borgeal,608.0,55.0,46.0,21.0,08:55:46,32146,True,f,575.0
3397,Joe O'SHEA,GB,40,H,35-39M,,https://utmb.world/runner/5583599.joe.oshea,,56.0,47.0,10.0,08:56:10,32170,True,f,575.0
3026,Jamie BRAY,GB,46,H,45-49M,,https://utmb.world/runner/5226343.jamie.bray,,57.0,48.0,8.0,08:58:11,32291,True,f,573.0
2062,David HANNA,GB,43,H,40-44M,,https://utmb.world/runner/512788.david.hanna,637.0,58.0,49.0,7.0,09:03:42,32622,True,f,567.0
2132,George LUCAS,GB,30,H,20-34M,,https://utmb.world/runner/1290977.george.lucas,570.0,59.0,50.0,22.0,09:05:38,32738,True,f,565.0
2045,Romain LELEU,FR,41,H,40-44M,,https://utmb.world/runner/3797251.romain.leleu,655.0,60.0,51.0,8.0,09:07:11,32831,True,f,563.0
2356,Carel MÜLLER,ZA,42,H,40-44M,,https://utmb.world/runner/4244058.carel.muller,488.0,61.0,52.0,9.0,09:07:27,32847,True,f,563.0
2070,Marian BUNTE,DE,36,H,35-39M,,https://utmb.world/runner/5051750.marian.bunte,629.0,62.0,53.0,11.0,09:08:22,32902,True,f,562.0
2448,Dan JEWELL,GB,40,H,35-39M,,https://utmb.world/runner/4633876.dan.jewell,467.0,63.0,54.0,12.0,09:09:26,32966,True,f,561.0
